Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57750.12	-57751.56	1.431967	0.019231	0.00523774	0.00830284	0.103583	0.00552108	0.00150372	0.00238369	0.0297378	-3.95123	-5.25187	-4.79116	-2.26739	-1.24795	-0.015985	0.002656308	0.1435154	0.00648749	0.005873819	0.03006043	0.005878377	0.02547171	0.02011875	0.05089081	0.001033391	0.116203	0.00825888	0.198374	0.328617	0.00737439	0.043733	0.285807	0.0116333	0.0591263	0.0664487	0.0583483	0.051504	0.24637	0.276882	0.243129	0.214609	-2.82808	-2.71132	-2.84132	-2.9661	1.42716	0.935336
1	-57754.19	-57757.7	3.507458	0.0123548	0.00910903	0.0112598	0.117361	0.00354696	0.00261514	0.00323261	0.0336936	-4.39371	-4.69849	-4.48652	-2.1425	-1.24795	0.189119	0.001714572	0.1435154	0.008506453	0.005873819	0.03006043	0.007189493	0.03832846	0.02011875	0.05089081	0.0003366298	0.101742	0.00723106	0.173686	0.146809	0.00645664	0.303652	0.250238	0.0101855	0.0602307	0.0664487	0.0680918	0.062039	0.251614	0.277589	0.284453	0.259168	-2.80957	-2.71132	-2.6869	-2.77999	1.42971	0.0519098
2	-57744.51	-57748.23	3.71474	0.0137179	0.0241965	0.0109833	0.117361	0.00227576	0.00401412	0.0018221	0.0194699	-4.28905	-3.72155	-4.51138	-2.1425	-1.79639	0.0657592	0.003149247	0.1322174	0.008506453	0.005873819	0.02180943	0.007189493	0.02233986	0.01731383	0.04840521	0.001110275	0.101742	0.00723106	0.173686	0.146809	0.00645664	0.303652	0.250238	0.0101855	0.0602307	0.0664487	0.0635537	0.0554622	0.228596	0.252195	0.241207	0.210498	-2.80957	-2.71132	-2.75587	-2.89205	1.33377	0.487189
3	-57752.71	-57751.87	-0.8415148	0.0039113	0.0241965	0.0340486	0.117361	0.000648874	0.00401412	0.00564856	0.0194699	-5.54388	-3.72155	-3.37997	-2.1425	-1.79639	-1.41306	0.0006324248	0.1244408	0.006771313	0.005873819	0.02141926	0.007189493	0.02364877	0.01396791	0.03427073	0.003340092	0.101742	0.00723106	0.173686	0.146809	0.00645664	0.303652	0.250238	0.0101855	0.0632027	0.0652094	0.059576	0.0550231	0.244402	0.252162	0.230378	0.212772	-2.76141	-2.73015	-2.8205	-2.9	1.35247	2.83573
4	-57766.95	-57765.89	-1.053378	0.0051836	0.0224384	0.0243944	0.0272848	0.000859943	0.00372246	0.00404696	0.00452647	-5.26226	-3.79698	-3.7134	-3.60143	-1.79639	-1.41306	0.004440856	0.1319338	0.006771313	0.005873819	0.02488483	0.007189493	0.02125378	0.009968669	0.03356504	0.003340092	0.0921306	0.00654796	0.251746	0.132941	0.0058467	0.274966	0.226598	0.00922329	0.063445	0.0673616	0.0620232	0.0550231	0.258147	0.274083	0.252362	0.22388	-2.75758	-2.69768	-2.78025	-2.9	1.40336	2.83573
5	-57762.03	-57759.48	-2.543787	0.00644757	0.0262176	0.0288796	0.0351409	0.00106963	0.00434942	0.00479104	0.00582976	-5.04405	-3.64133	-3.54462	-3.34839	-1.79639	-1.41306	0.002667732	0.1398502	0.007974551	0.006938007	0.0244827	0.008665051	0.03134353	0.009968669	0.05190452	0.003340092	0.101275	0.00719789	0.276734	0.146136	0.00642702	0.203002	0.24909	0.0101388	0.063445	0.0673616	0.0740244	0.0530663	0.244971	0.260093	0.285819	0.204897	-2.75758	-2.69768	-2.60336	-2.93621	1.35096	4.69134
6	-57749.55	-57754.94	5.389146	0.015503	0.0196167	0.0288796	0.058929	0.00483721	0.00612073	0.00901093	0.0183869	-4.16672	-3.93138	-3.54462	-2.83142	-1.1647	-1.41306	0.002616186	0.1364902	0.007974551	0.004025466	0.02167097	0.009036118	0.03134353	0.01592316	0.05190452	0.0003993967	0.15123	0.0107483	0.106257	0.213208	0.0095972	0.303134	0.190685	0.0151398	0.0622219	0.0689044	0.072451	0.0492202	0.240248	0.26605	0.279744	0.190046	-2.77705	-2.67504	-2.62484	-3.01145	1.35096	0.235759
7	-57750.04	-57753.18	3.138211	0.0145266	0.0196167	0.022317	0.0646901	0.00150761	0.00203587	0.00231612	0.00671372	-4.23177	-3.93138	-3.80241	-2.73815	-2.26546	-0.689145	0.002290137	0.1545454	0.007974551	0.004025466	0.02404407	0.005848068	0.02413723	0.01414109	0.05190452	0.004912475	0.102315	0.0113677	0.112381	0.225495	0.0101503	0.320604	0.201675	0.0160123	0.0622219	0.0689044	0.0765366	0.0602562	0.240248	0.26605	0.295519	0.232658	-2.77705	-2.67504	-2.56999	-2.80915	1.35096	0.235759
8	-57746.17	-57750.67	4.49714	0.00854013	0.0299293	0.0254286	0.0278747	0.0035014	0.0122709	0.0104256	0.0114285	-4.76298	-3.50892	-3.67188	-3.58003	-0.891612	-0.381867	0.002290137	0.1360172	0.008792963	0.004025466	0.0224445	0.008662928	0.02413723	0.01523761	0.05190452	0.0009678765	0.122756	0.0136388	0.134833	0.0707637	0.0121781	0.384654	0.241965	0.0192113	0.0705838	0.0676743	0.0693872	0.0602562	0.258477	0.247822	0.254095	0.220657	-2.65095	-2.69305	-2.66805	-2.80915	1.29801	1.06587
9	-57740.22	-57742.61	2.390036	0.00598512	0.012184	0.0231993	0.0278747	0.00245387	0.00499539	0.00951159	0.0114285	-5.11848	-4.40763	-3.76363	-3.58003	-0.891612	0.828139	0.002310516	0.1360172	0.008406017	0.004025466	0.0224445	0.008662928	0.02433831	0.01523761	0.05190452	0.0009678765	0.142207	0.0157999	0.156197	0.0819766	0.0141078	0.287149	0.280306	0.0222554	0.0647278	0.0752684	0.0721218	0.0562689	0.237032	0.275632	0.264109	0.206056	-2.73756	-2.5867	-2.6294	-2.87761	1.29801	1.06587
