Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
0	-57864.22	-57879.78	15.56165	0.0103308	0.0103308	0.0103308	0.0103308	0.00845008	0.00845008	0.00845008	0.00845008	-4.572623	-0.2009568	0.03027415	0.167723	0.004269214	0.007240055	0.02188302	0.0113696	0.03030588	0.01487452	0.05266288	0.0003184956	0.219962	0.117316	0.0920877	0.124416	0.145598	0.0261206	0.106994	0.167505	0.0450783	0.0450783	0.0450783	0.0450783	0.215817	0.215817	0.215817	0.215817	-3.099355	1.566028
1	-57808.7	-57820.97	12.2663	0.0052158	0.0052158	0.0052158	0.0052158	0.00576536	0.00576536	0.00576536	0.00576536	-5.256062	0.100174	0.0173699	0.1315045	0.008002496	0.007240055	0.02346125	0.01298183	0.03030588	0.01487452	0.05266288	0.008469499	0.245578	0.130978	0.102812	0.0224492	0.162554	0.0291625	0.119454	0.187012	0.0450783	0.0450783	0.0450783	0.0450783	0.216169	0.216169	0.216169	0.216169	-3.099355	1.56766
2	-57861.59	-57874.05	12.45595	0.00653568	0.00653568	0.00653568	0.00653568	0.0205139	0.0205139	0.0205139	0.0205139	-5.030479	1.143825	0.03862222	0.1490818	0.01022497	0.006554757	0.02346125	0.01298183	0.03306383	0.006624752	0.04509955	0.008469499	0.249189	0.132904	0.104324	0.0227793	0.164944	0.0148873	0.121211	0.189762	0.0469181	0.0469181	0.0469181	0.0469181	0.22141	0.22141	0.22141	0.22141	-3.059352	1.551612
3	-57804.45	-57814.55	10.1028	0.00241985	0.00241985	0.00241985	0.00241985	0.00759531	0.00759531	0.00759531	0.00759531	-6.024049	1.143825	0.005932795	0.1490818	0.01022497	0.006554757	0.01385836	0.0114669	0.03306383	0.01326046	0.04509955	0.01065648	0.213303	0.113764	0.0892999	0.0194988	0.116632	0.0127434	0.272324	0.162434	0.0530936	0.0530936	0.0530936	0.0530936	0.250552	0.250552	0.250552	0.250552	-2.9357	1.551612
4	-57812.81	-57822.92	10.11101	0.00241985	0.00241985	0.00241985	0.00241985	0.00814112	0.00814112	0.00814112	0.00814112	-6.024049	1.213221	0.002818459	0.1097163	0.01415753	0.006554757	0.02695595	0.01190396	0.009471923	0.01010876	0.04509955	0.01491926	0.0466425	0.137865	0.108218	0.0236296	0.14134	0.015443	0.330016	0.196846	0.0492428	0.0492428	0.0492428	0.0492428	0.23238	0.23238	0.23238	0.23238	-3.010993	1.551612
5	-57886.57	-57898.85	12.27252	0.00509306	0.00509306	0.00509306	0.00509306	0.0037192	0.0037192	0.0037192	0.0037192	-5.279876	-0.3143702	0.004304421	0.1001609	0.01415753	0.003398751	0.02695595	0.0173027	0.009471923	0.04602718	0.02477272	0.01491926	0.0661959	0.195661	0.153585	0.0335356	0.240318	0.021917	0.0094208	0.279367	0.0494612	0.0494612	0.0494612	0.0494612	0.233411	0.233411	0.233411	0.233411	-3.006566	1.551612
6	-57847.28	-57861.56	14.28368	0.00648275	0.00648275	0.00648275	0.00648275	0.00219813	0.00219813	0.00219813	0.00219813	-5.03861	-1.081537	0.004304421	0.1064977	0.01384103	0.003398751	0.0121372	0.0173027	0.00750265	0.009706053	0.02477272	0.003783026	0.0675522	0.19967	0.156732	0.0137344	0.245242	0.0223661	0.00961382	0.28509	0.0494612	0.0494612	0.0494612	0.0494612	0.233411	0.233411	0.233411	0.233411	-3.006566	1.551612
7	-58034.28	-58049.94	15.66598	0.0418191	0.0418191	0.0418191	0.0418191	0.0141798	0.0141798	0.0141798	0.0141798	-3.174401	-1.081537	0.02611293	0.1167646	0.01384103	0.006866809	0.006223001	0.01351988	0.00750265	0.006199675	0.02477272	0.03211796	0.0675522	0.19967	0.156732	0.0137344	0.245242	0.0223661	0.00961382	0.28509	0.0405552	0.0405552	0.0405552	0.0405552	0.218813	0.218813	0.218813	0.218813	-3.205091	1.685553
8	-58027.31	-58041.92	14.60958	0.0418191	0.0418191	0.0418191	0.0418191	0.0141798	0.0141798	0.0141798	0.0141798	-3.174401	-1.081537	0.01756592	0.1803295	0.01350765	0.006866809	0.006223001	0.01435542	0.002044043	0.0338493	0.07726896	0.03211796	0.0675522	0.19967	0.156732	0.0137344	0.245242	0.0223661	0.00961382	0.28509	0.0408837	0.0408837	0.0408837	0.0408837	0.255325	0.255325	0.255325	0.255325	-3.197025	1.831809
9	-57967.72	-57981.78	14.06138	0.0142845	0.0142845	0.0142845	0.0142845	0.00484351	0.00484351	0.00484351	0.00484351	-4.248579	-1.081537	0.008464322	0.1748801	0.007195374	0.003145804	0.01438139	0.005835336	0.006675824	0.03172521	0.07726896	0.02326691	0.0670046	0.198051	0.155461	0.0136231	0.243254	0.0221848	0.0095359	0.290885	0.0408837	0.0408837	0.0408837	0.0408837	0.215539	0.215539	0.215539	0.215539	-3.197025	1.662411
