Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57747.19	-57748.46	1.267504	0.00228305	0.0124426	0.0205089	0.0707949	0.00104236	0.00568088	0.00936369	0.0323226	-6.08224	-4.38663	-3.8869	-2.64797	-0.784021	-0.303733	0.004164592	0.1376595	0.01064168	0.005056076	0.02208959	0.008804362	0.02370471	0.01569371	0.03447596	0.0007700589	0.174921	0.0609637	0.0247798	0.0895007	0.021295	0.184175	0.297045	0.147319	0.0622606	0.0746503	0.0641832	0.0630682	0.228521	0.273996	0.235578	0.231485	-2.77643	-2.59494	-2.74601	-2.76354	1.3003	0.807997
1	-57755.97	-57759.5	3.528898	0.007527	0.0160651	0.0276131	0.0501934	0.00343658	0.0073348	0.0126072	0.0229166	-4.88926	-4.1311	-3.58946	-2.99187	-0.784021	-0.832256	0.0007130897	0.1234263	0.01064168	0.005056076	0.02897067	0.008804362	0.02411983	0.01569371	0.05280831	0.001313528	0.171728	0.0538704	0.004709	0.0931756	0.0221693	0.191737	0.309242	0.153368	0.0634557	0.0622614	0.0641832	0.0558665	0.232907	0.228524	0.235578	0.205052	-2.75741	-2.77641	-2.74601	-2.88479	1.3003	0.807997
2	-57755.41	-57755.93	0.5293642	0.00543467	0.00543903	0.0297064	0.018376	0.00248129	0.00248328	0.013563	0.00838988	-5.21496	-5.21415	-3.51639	-3.99671	-0.784021	-0.832256	0.004470873	0.1276444	0.01064168	0.002824331	0.02897067	0.007269262	0.03022821	0.01521242	0.05280831	0.001313528	0.157727	0.0494782	0.0842041	0.0855786	0.0203618	0.176104	0.285684	0.140863	0.0632952	0.0715488	0.0641832	0.0523532	0.232318	0.262612	0.235578	0.192157	-2.75995	-2.63738	-2.74601	-2.94974	1.3003	0.807997
3	-57752.49	-57757.72	5.230098	0.0218399	0.0107332	0.0259274	0.0213363	0.00997136	0.00490043	0.0118376	0.00974144	-3.82402	-4.53441	-3.65245	-3.84735	-0.784021	-0.832256	0.002917251	0.1301184	0.007181957	0.002975652	0.02897067	0.007269262	0.03022821	0.0106538	0.04444246	0.0007378563	0.160206	0.0502558	0.0855275	0.0869236	0.0206818	0.178872	0.290174	0.127361	0.0632952	0.0715488	0.0596909	0.0523532	0.233444	0.263885	0.220151	0.193088	-2.75995	-2.63738	-2.81858	-2.94974	1.30513	0.348433
4	-57750.96	-57749.7	-1.25269	0.00473787	0.00627034	0.0233303	0.0278985	0.000384963	0.00050948	0.00189564	0.00226681	-5.35217	-5.07192	-3.758	-3.57918	-2.5102	-0.949166	0.001966554	0.1301184	0.008177139	0.002975652	0.02897067	0.008084991	0.03022821	0.0106538	0.04072505	6.465608e-05	0.0911487	0.0634905	0.108051	0.109815	0.0261283	0.0738764	0.36659	0.160901	0.0600938	0.0715488	0.0598517	0.0523532	0.231541	0.275678	0.230608	0.201717	-2.81185	-2.63738	-2.81589	-2.94974	1.34885	1.64889
5	-57750.26	-57751.09	0.8240358	0.00295888	0.0139173	0.0233303	0.0336956	0.000240416	0.00113082	0.00189564	0.00273784	-5.82294	-4.27462	-3.758	-3.39039	-2.5102	-0.949166	0.001458513	0.1371082	0.008020794	0.003565015	0.02587251	0.01132149	0.02466258	0.01303703	0.04072505	3.008072e-05	0.0865071	0.0602573	0.102549	0.104222	0.0247977	0.0701143	0.398845	0.152707	0.0600938	0.0745338	0.0601773	0.0471134	0.231541	0.287179	0.231863	0.181528	-2.81185	-2.5965	-2.81046	-3.0552	1.34885	0.12383
6	-57747.23	-57744.09	-3.135934	0.00136179	0.00686955	0.0233303	0.0792259	0.000110649	0.000558167	0.00189564	0.00643728	-6.59896	-4.98066	-3.758	-2.53545	-2.5102	0.712261	0.003399582	0.1343005	0.008020794	0.003565015	0.02333318	0.01132149	0.02112703	0.02168416	0.05630511	0.0001257757	0.0646112	0.0450055	0.0765923	0.0785264	0.0820835	0.0523676	0.297893	0.30292	0.0600938	0.0690532	0.0523893	0.0471134	0.245716	0.28235	0.214213	0.192641	-2.81185	-2.67288	-2.94905	-3.0552	1.40827	0.154292
7	-57751.11	-57746.7	-4.409045	0.00136179	0.00946224	0.0233303	0.0471351	0.000110649	0.000768829	0.00189564	0.00382984	-6.59896	-4.66045	-3.758	-3.05474	-2.5102	0.588743	0.003399582	0.1338964	0.008020794	0.003317443	0.02256268	0.01051303	0.01718718	0.01346609	0.05630511	0.003528525	0.0644742	0.0449101	0.0764299	0.0783599	0.0819095	0.0522565	0.299382	0.302278	0.0600938	0.0699583	0.0508605	0.0500195	0.248628	0.289441	0.210427	0.206947	-2.81185	-2.65986	-2.97867	-2.99534	1.42005	0.691926
8	-57756.77	-57753.66	-3.113892	0.00136179	0.0196902	0.0451057	0.0306162	0.000110649	0.00159987	0.00366494	0.00248764	-6.59896	-3.92764	-3.09875	-3.48623	-2.5102	-0.0455775	0.006627125	0.1510194	0.01052586	0.004713542	0.02434238	0.01051303	0.01718718	0.01346609	0.04535447	0.003528525	0.0644742	0.0449101	0.0764299	0.0783599	0.0819095	0.0522565	0.299382	0.302278	0.0600938	0.0672505	0.0593923	0.0554983	0.250542	0.28038	0.247617	0.231383	-2.81185	-2.69933	-2.82359	-2.8914	1.42772	0.691926
9	-57764.75	-57763.15	-1.603612	0.0127377	0.0276017	0.0242865	0.0809097	0.00142899	0.00309652	0.00272461	0.00907693	-4.36319	-3.58988	-3.71783	-2.51442	-2.1876	3.02723	0.002566257	0.1519677	0.01052586	0.004713542	0.02197615	0.009662421	0.01718718	0.01346609	0.05728921	0.003528525	0.0782016	0.0585814	0.0996964	0.102214	0.106844	0.0681642	0.0920022	0.394296	0.0621319	0.0648066	0.0571165	0.0454231	0.259039	0.270191	0.238129	0.189377	-2.7785	-2.73635	-2.86266	-3.09173	1.42772	0.691926
