Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57793.12	-57796.69	3.569149	0.0146164	0.00803263	0.0559881	0.159833	0.013004	0.0071465	0.0498116	0.1422	-4.22561	-4.82424	-2.88262	-1.83363	-0.11689	-0.634393	0.002642233	0.128955	0.006285046	0.005546355	0.02059757	0.008797001	0.01726362	0.04156855	0.03617428	0.000166272	0.0438209	0.070513	0.29887	0.0914673	0.140689	0.0887549	0.124042	0.141843	0.0609052	0.0625625	0.0574827	0.07872	0.255681	0.262638	0.241313	0.330468	-2.79844	-2.77159	-2.85627	-2.54186	1.43461	2.96781
1	-57761.77	-57766.9	5.126225	0.0107925	0.0129547	0.0153305	0.161892	0.00960194	0.0115256	0.0136393	0.144033	-4.5289	-4.3463	-4.17791	-1.82083	-0.11689	-0.634393	0.003021429	0.1492463	0.007910572	0.00747921	0.02641249	0.008797001	0.02344942	0.02698993	0.04749282	0.000166272	0.0330228	0.0531376	0.296119	0.0689284	0.106021	0.0668844	0.0934759	0.282411	0.0609052	0.0625625	0.0574827	0.0885502	0.255681	0.262638	0.241313	0.371735	-2.79844	-2.77159	-2.85627	-2.42419	1.43461	0.117617
2	-57774.19	-57779.72	5.523657	0.0166087	0.0153358	0.0316152	0.161892	0.0147765	0.013644	0.0281275	0.144033	-4.09783	-4.17757	-3.45412	-1.82083	-0.11689	-0.634393	0.004797767	0.1317304	0.007910572	0.00747921	0.02641249	0.01080142	0.01720386	0.03462032	0.03621903	0.002431846	0.0330228	0.0531376	0.296119	0.0689284	0.106021	0.0668844	0.0934759	0.282411	0.0609052	0.0606336	0.0650382	0.0668893	0.255681	0.254541	0.273032	0.280802	-2.79844	-2.80291	-2.73278	-2.70472	1.43461	0.0945304
3	-57785.18	-57791.15	5.96787	0.0249036	0.0157701	0.0263082	0.161892	0.00972517	0.0061584	0.0102737	0.0632208	-3.69274	-4.14964	-3.63787	-1.82083	-0.940296	-0.634393	0.005769865	0.1421008	0.007910572	0.00747921	0.03469983	0.009520425	0.01456452	0.02724967	0.03621903	0.001931595	0.0817816	0.306152	0.246529	0.0617023	0.0949067	0.0598725	0.0836764	0.065379	0.0606439	0.0728883	0.0677888	0.0854155	0.226473	0.272199	0.253155	0.318981	-2.80274	-2.61883	-2.69136	-2.46023	1.31761	0.0171557
4	-57763.6	-57768.7	5.102011	0.0249036	0.0157701	0.0132897	0.0901111	0.00533992	0.00338147	0.00284962	0.0193219	-3.69274	-4.14964	-4.32077	-2.40671	-1.5398	0.34808	0.004027345	0.140634	0.006747936	0.004906359	0.03423857	0.009520425	0.02058429	0.0122008	0.03621903	0.001931595	0.0804215	0.30106	0.242429	0.0606761	0.0933283	0.075508	0.0822847	0.0642917	0.0600258	0.0747139	0.0677888	0.0624762	0.224164	0.279017	0.253155	0.233315	-2.81298	-2.59409	-2.69136	-2.77297	1.31761	0.0171557
5	-57770.73	-57773.54	2.804246	0.0249036	0.00832312	0.0265608	0.0407495	0.00533992	0.00178467	0.00569526	0.00873765	-3.69274	-4.78872	-3.62832	-3.20031	-1.5398	-1.72964	0.00397327	0.1405553	0.006747936	0.004906359	0.03423857	0.007844769	0.02058429	0.02271993	0.04232465	0.002590996	0.0926864	0.346974	0.126894	0.0699296	0.107561	0.0870235	0.0948337	0.0740967	0.0677292	0.0790501	0.0677888	0.0624762	0.252932	0.29521	0.253155	0.233315	-2.69224	-2.53767	-2.69136	-2.77297	1.31761	0.0280082
6	-57761.23	-57764.85	3.621235	0.0345847	0.00934689	0.0400076	0.128907	0.0057679	0.00155884	0.0066723	0.0214987	-3.36434	-4.67271	-3.21869	-2.04866	-1.7911	-1.72964	0.000500592	0.1290548	0.006747936	0.004906359	0.0259271	0.007844769	0.02058429	0.02271993	0.04232465	0.002590996	0.0922857	0.345475	0.126346	0.0696274	0.107097	0.0866473	0.0944238	0.0780989	0.0677242	0.0790501	0.0677679	0.0566214	0.24547	0.286521	0.245628	0.205227	-2.69231	-2.53767	-2.69167	-2.87137	1.28773	0.0280082
7	-57756.33	-57756.12	-0.2024597	0.00451705	0.00191289	0.0400076	0.0872141	0.00142004	0.000601364	0.0125774	0.0274179	-5.3999	-6.25914	-3.21869	-2.43939	-1.15717	-1.4953	0.002462936	0.1618233	0.006701738	0.004233488	0.02555097	0.007844769	0.02058429	0.02271993	0.04232465	0.0001315058	0.0788871	0.295317	0.108002	0.0595185	0.0915476	0.168167	0.0807148	0.117846	0.0696195	0.0766395	0.061464	0.0566214	0.252339	0.277783	0.222779	0.205227	-2.66471	-2.56864	-2.7893	-2.87137	1.28773	0.0280082
8	-57764.43	-57766.78	2.343344	0.0187408	0.00191289	0.0400076	0.0632268	0.0106104	0.00108301	0.0226509	0.0357968	-3.97705	-6.25914	-3.21869	-2.76103	-0.568869	-1.4953	0.004611294	0.1668978	0.0086088	0.004233488	0.02555097	0.01208837	0.02446622	0.01130854	0.04232465	0.0001315058	0.0871825	0.326371	0.119359	0.0196057	0.101174	0.185851	0.0333481	0.127109	0.0753205	0.0749636	0.061464	0.0701731	0.275681	0.274374	0.224965	0.256841	-2.586	-2.59075	-2.7893	-2.65679	1.29749	0.359427
9	-57761.87	-57766.91	5.032606	0.0285573	0.00547925	0.0412522	0.0632268	0.0161681	0.00310216	0.0233556	0.0357968	-3.55584	-5.20679	-3.18805	-2.76103	-0.568869	-1.4953	0.000788161	0.1437443	0.006972835	0.004233488	0.02555097	0.01042513	0.01270149	0.01009368	0.04556585	0.0009784402	0.22554	0.315462	0.11537	0.0189504	0.0977927	0.0717906	0.0322335	0.122861	0.0727005	0.0749636	0.0792108	0.0637297	0.258762	0.266817	0.281935	0.226833	-2.62141	-2.59075	-2.53564	-2.7531	1.26956	0.359427
