Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57745.26	-57746.26	1.006727	0.00281614	0.0382095	0.00697382	0.0313619	0.00291873	0.0396013	0.00722785	0.0325043	-5.87239	-3.26467	-4.96559	-3.46216	0.0357787	-1.02755	0.002020859	0.1270792	0.01048119	0.003539833	0.02117028	0.007050092	0.03234056	0.01612333	0.04538978	0.001210102	0.0111789	0.22638	0.0170394	0.03197	0.057506	0.0839373	0.571105	0.00088319	0.060339	0.0699453	0.0678789	0.0572997	0.237631	0.275463	0.267325	0.225661	-2.80778	-2.66004	-2.69003	-2.85946	1.37074	0.26005
1	-57752.92	-57754.6	1.683522	0.00701496	0.0362073	0.0234805	0.0046314	0.0125251	0.0646474	0.041924	0.00826926	-4.95971	-3.31849	-3.75158	-5.3749	0.579686	-1.02755	0.002004956	0.1302003	0.01048119	0.003539833	0.01975859	0.008258393	0.02253094	0.0188936	0.06598553	0.001161962	0.0114743	0.232362	0.0174897	0.00639053	0.0590255	0.0861553	0.586196	0.000906527	0.0643066	0.0769544	0.0678789	0.0546848	0.240207	0.287451	0.253551	0.204267	-2.74409	-2.56454	-2.69003	-2.90617	1.31784	0.26005
2	-57744.82	-57745.34	0.5210148	0.00701496	0.0153317	0.0168274	0.00611719	0.00271095	0.00592498	0.00650301	0.002364	-4.95971	-4.17783	-4.08474	-5.09665	-0.950746	-1.02755	0.002958874	0.1466551	0.009607065	0.003539833	0.02115509	0.008258393	0.02102038	0.0135674	0.06598553	0.001161962	0.0347137	0.225702	0.0220822	0.00620736	0.0573337	0.0836859	0.569394	0.000880544	0.0659084	0.0711102	0.0626432	0.0589521	0.243715	0.26295	0.231641	0.217992	-2.71949	-2.64352	-2.7703	-2.83103	1.30773	0.653412
3	-57753.35	-57749.73	-3.617561	0.0060657	0.00739002	0.0161964	0.00611719	0.00147257	0.00179407	0.00393199	0.00148507	-5.1051	-4.90762	-4.12297	-5.09665	-1.41564	1.33724	0.002958874	0.1414511	0.009607065	0.003539833	0.02115509	0.008884556	0.03013068	0.0135674	0.06598553	0.001161962	0.0423325	0.275239	0.0269287	0.00756973	0.0699171	0.102053	0.474887	0.0010738	0.0659084	0.0711102	0.0605377	0.0606971	0.238019	0.256804	0.218623	0.219199	-2.71949	-2.64352	-2.80449	-2.80186	1.28408	2.16317
4	-57749.34	-57745.94	-3.392018	0.0060657	0.0105723	0.0161964	0.00591006	0.00147257	0.00256663	0.00393199	0.00143478	-5.1051	-4.54952	-4.12297	-5.1311	-1.41564	2.00198	0.002958874	0.1445482	0.009607065	0.003700084	0.02115509	0.008884556	0.01904676	0.0135674	0.06598553	0.0003934689	0.0415865	0.270388	0.0325247	0.00743634	0.068685	0.111409	0.466519	0.00145167	0.0659084	0.0741357	0.0617756	0.0616424	0.238019	0.26773	0.223094	0.222613	-2.71949	-2.60186	-2.78425	-2.7864	1.28408	2.16317
5	-57754.64	-57754.93	0.2873207	0.0179595	0.0103026	0.0259216	0.00586299	0.00600161	0.00344288	0.00866234	0.00195926	-4.01963	-4.57535	-3.65268	-5.1391	-1.09609	1.4318	0.004755008	0.1448359	0.009607065	0.002727541	0.02401594	0.0100043	0.01904676	0.01232177	0.07233698	0.002978016	0.0420883	0.273651	0.0329172	0.00752607	0.0695138	0.112753	0.460081	0.00146918	0.0659084	0.0734737	0.0596138	0.0616424	0.238019	0.26534	0.215287	0.222613	-2.71949	-2.61083	-2.81987	-2.7864	1.28408	1.10218
6	-57749.75	-57752.01	2.255029	0.0179595	0.0103026	0.0259216	0.0095186	0.00600161	0.00344288	0.00866234	0.00318087	-4.01963	-4.57535	-3.65268	-4.65451	-1.09609	-1.67148	0.001903196	0.1430508	0.007249642	0.002734412	0.02401594	0.0100043	0.01904676	0.01232177	0.07233698	0.0002129989	0.0394328	0.502234	0.0604132	0.0138127	0.0615506	0.206937	0.112923	0.0026964	0.0682699	0.0755931	0.0592113	0.0592004	0.255057	0.282417	0.221214	0.221173	-2.68429	-2.58239	-2.82664	-2.82683	1.31802	1.10218
7	-57748.45	-57751.69	3.247402	0.0135073	0.0103026	0.0259216	0.0103781	0.00451378	0.00344288	0.00866234	0.0034681	-4.30453	-4.57535	-3.65268	-4.56805	-1.09609	0.677858	0.001195411	0.1298482	0.008884831	0.002734412	0.02223186	0.0100043	0.01904676	0.01232177	0.05639715	0.0002129989	0.0347947	0.443162	0.0533074	0.132884	0.0512348	0.182597	0.099641	0.00237925	0.0652877	0.0769359	0.0592113	0.0522085	0.235977	0.278079	0.214015	0.188703	-2.72895	-2.56478	-2.82664	-2.95251	1.28493	1.10218
8	-57749.01	-57746.07	-2.937719	0.00170505	0.00858765	0.0202613	0.0103781	0.000330982	0.00166702	0.0039331	0.00201459	-6.37416	-4.75743	-3.89904	-4.56805	-1.63929	1.40262	0.001528337	0.1222829	0.008657452	0.00325226	0.02223186	0.008251058	0.01536573	0.02019582	0.04818805	0.0006724347	0.0347947	0.443162	0.0533074	0.132884	0.0512348	0.182597	0.099641	0.00237925	0.0627858	0.0687719	0.0573197	0.059356	0.226934	0.248571	0.207178	0.214538	-2.76803	-2.67696	-2.85911	-2.8242	1.28493	0.0863704
9	-57752.01	-57746.99	-5.016989	0.00257116	0.0103517	0.00750564	0.0103781	0.00044847	0.00180558	0.00130916	0.00181019	-5.9634	-4.5706	-4.8921	-4.56805	-1.74627	1.40262	0.001758312	0.1295539	0.008657452	0.003127286	0.02141415	0.008251058	0.01536573	0.02019582	0.05111801	0.0002270508	0.0374125	0.476503	0.057318	0.142882	0.0663777	0.104733	0.107138	0.00763593	0.0627858	0.0715584	0.0555855	0.0540078	0.226934	0.258642	0.200909	0.195207	-2.76803	-2.63724	-2.88983	-2.91863	1.28493	2.45428
10	-57752.46	-57751.44	-1.020564	0.00257116	0.0103517	0.00750564	0.0376341	0.00119806	0.00482348	0.00349733	0.017536	-5.9634	-4.5706	-4.8921	-3.27985	-0.763655	0.678515	0.001758312	0.1179596	0.00828683	0.003127286	0.0244493	0.0116131	0.01536573	0.02018309	0.04454787	0.006120381	0.0380873	0.485097	0.0583518	0.145459	0.0675749	0.0885865	0.10907	0.00777365	0.0611448	0.0715584	0.0579447	0.0575882	0.221003	0.258642	0.209437	0.208148	-2.79451	-2.63724	-2.84827	-2.85444	1.28493	0.193896
11	-57739.34	-57743.05	3.706535	0.00841251	0.00983674	0.0328406	0.0509426	0.0026661	0.00311747	0.0104079	0.0161448	-4.77804	-4.62163	-3.41609	-2.97706	-1.1491	0.678515	0.001758312	0.1310168	0.00828683	0.003127286	0.02454357	0.0116131	0.02438423	0.01442856	0.04454787	0.001227441	0.0703103	0.329839	0.0734086	0.182992	0.0850116	0.111445	0.137214	0.00977953	0.0611448	0.0686488	0.059057	0.0575882	0.233869	0.26257	0.225883	0.220265	-2.79451	-2.67875	-2.82925	-2.85444	1.34151	0.451455
12	-57739.5	-57739.24	-0.2580863	0.00146422	0.00983674	0.0328406	0.0802794	0.000464042	0.00311747	0.0104079	0.0254422	-6.52643	-4.62163	-3.41609	-2.52224	-1.1491	0.820495	0.002260405	0.1310168	0.00828683	0.004092174	0.02256111	0.0116131	0.01646986	0.02262893	0.04454787	0.001227441	0.0703103	0.329839	0.0734086	0.182992	0.0850116	0.111445	0.137214	0.00977953	0.0592805	0.0650065	0.0573771	0.0575882	0.237054	0.259951	0.229443	0.230287	-2.82547	-2.73327	-2.85811	-2.85444	1.38601	0.0218911
