Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
12	-57912.01	-57929.09	17.07492	0.0170841	0.0170841	0.0170841	0.0170841	0.0100185	0.0100185	0.0100185	0.0100185	-4.069607	-0.5337136	0.01726465	0.1857694	0.002400724	0.001739213	0.01944593	0.0198537	0.06233418	0.01017841	0.05160427	0.0004498673	0.08253	0.0752058	0.0770158	0.0567353	0.444236	0.0802741	0.138268	0.0457343	0.0733472	0.0733472	0.0733472	0.0733472	0.261299	0.261299	0.261299	0.261299	-2.612551	1.270459
13	-57964.63	-57981.72	17.09613	0.00894965	0.00894965	0.00894965	0.00894965	0.00738513	0.00738513	0.00738513	0.00738513	-4.716141	-0.1921461	0.002152263	0.2210924	0.01603964	0.001739213	0.01669547	0.008479311	0.01581665	0.001369411	0.06256413	0.0004498673	0.0392751	0.0442118	0.0452759	0.0333534	0.261157	0.468556	0.0812849	0.0268862	0.0575237	0.0575237	0.0575237	0.0575237	0.256469	0.256469	0.256469	0.256469	-2.855559	1.494812
14	-57977.54	-57993.04	15.5055	0.0181592	0.0181592	0.0181592	0.0181592	0.0473453	0.0473453	0.0473453	0.0473453	-4.00858	0.9582913	0.0006176187	0.1753233	0.01788902	0.01621793	0.02121848	0.008479311	0.01203914	0.001369411	0.06256413	0.004175409	0.0504968	0.056844	0.142231	0.0428832	0.335774	0.232693	0.10451	0.0345681	0.0649172	0.0649172	0.0649172	0.0649172	0.289434	0.289434	0.289434	0.289434	-2.734642	1.494812
15	-58103.8	-58118.15	14.35106	0.0177353	0.0177353	0.0177353	0.0177353	0.0211018	0.0211018	0.0211018	0.0211018	-4.032198	0.1738001	0.003706471	0.08278714	0.006076601	0.009193691	0.02864519	0.01775936	0.03888791	0.001369411	0.171864	0.01775123	0.0448039	0.0504356	0.126196	0.150786	0.29792	0.20646	0.0927275	0.030671	0.0649172	0.0649172	0.0649172	0.0649172	0.289434	0.289434	0.289434	0.289434	-2.734642	1.494812
16	-57989.82	-58005.91	16.08524	0.0137485	0.0137485	0.0137485	0.0137485	0.0163583	0.0163583	0.0163583	0.0163583	-4.286822	0.1738001	0.004376636	0.1727812	0.01048064	0.001238003	0.05033305	0.003253143	0.03888791	0.0173935	0.01852159	0.007054552	0.0400332	0.0450652	0.0486691	0.3053	0.266197	0.184476	0.0828538	0.0274051	0.071545	0.071545	0.071545	0.071545	0.215222	0.215222	0.215222	0.215222	-2.637429	1.101346
17	-58093.18	-58110.41	17.22675	0.0431406	0.0431406	0.0431406	0.0431406	0.0110629	0.0110629	0.0110629	0.0110629	-3.143292	-1.360866	0.04546205	0.08336962	0.01432768	0.0003662761	0.02424405	0.003253143	0.01209509	0.0173935	0.05361639	0.007054552	0.0545003	0.0613508	0.0662571	0.0667254	0.349921	0.251142	0.112795	0.0373087	0.0619102	0.0619102	0.0619102	0.0619102	0.186239	0.186239	0.186239	0.186239	-2.78207	1.101346
18	-58089.47	-58106.8	17.33024	0.0431406	0.0431406	0.0431406	0.0431406	0.0110629	0.0110629	0.0110629	0.0110629	-3.143292	-1.360866	0.06816608	0.1805367	0.00911825	0.0002437946	0.02424405	0.002363145	0.01814989	0.01357128	0.08934818	0.007054552	0.0562569	0.0150257	0.0363866	0.068876	0.409277	0.259236	0.116431	0.0385112	0.0619102	0.0619102	0.0619102	0.0619102	0.186239	0.186239	0.186239	0.186239	-2.78207	1.101346
19	-58120.33	-58138.13	17.79436	0.030532	0.030532	0.030532	0.030532	0.0411858	0.0411858	0.0411858	0.0411858	-3.488981	0.2993198	0.06798028	0.174315	0.00911825	0.002266326	0.005082834	0.002363145	0.01814989	0.01357128	0.08934818	0.005805087	0.0728107	0.0637696	0.0740329	0.0891431	0.164192	0.335517	0.150691	0.0498433	0.0727375	0.0727375	0.0727375	0.0727375	0.218812	0.218812	0.218812	0.218812	-2.620898	1.101355
20	-58186.41	-58205.07	18.66481	0.030532	0.030532	0.030532	0.030532	0.00953323	0.00953323	0.00953323	0.00953323	-3.488981	-1.163991	0.06798028	0.1809207	0.00911825	0.0005050265	0.004842855	0.02144074	0.0224446	0.004043346	0.03078505	0.001247039	0.0728107	0.0637696	0.0740329	0.0891431	0.164192	0.335517	0.150691	0.0498433	0.0684667	0.0684667	0.0684667	0.0684667	0.205964	0.205964	0.205964	0.205964	-2.681408	1.101355
21	-58117.18	-58133.25	16.06272	0.0354562	0.0354562	0.0354562	0.0354562	0.0587405	0.0587405	0.0587405	0.0587405	-3.339457	0.5048307	0.01342735	0.1854582	0.00911825	0.01021756	0.006156851	0.02144074	0.00205437	0.01095963	0.1595465	0.01778669	0.0478594	0.395081	0.0486628	0.0585949	0.107926	0.22054	0.0384868	0.0828493	0.0770945	0.0770945	0.0770945	0.0770945	0.263232	0.263232	0.263232	0.263232	-2.562723	1.228002
