Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
10	-57763.14	-57763.65	0.5147534	0.00682844	0.0111653	0.02778	0.0244135	0.00468687	0.00766356	0.0190675	0.0167568	-4.98666	-4.49495	-3.58344	-3.71262	-0.376331	1.28202	0.0002694036	0.1396462	0.006001219	0.003897776	0.02767189	0.005324813	0.02579961	0.01514205	0.05507861	0.002009039	0.182085	0.0996188	0.0774222	0.0934737	0.178832	0.0426695	0.148552	0.177347	0.0696774	0.0773484	0.0688304	0.0644941	0.261497	0.290286	0.258319	0.242044	-2.66388	-2.55944	-2.67611	-2.74118	1.32255	2.89929
11	-57756.3	-57759.74	3.440281	0.0170973	0.0111653	0.02778	0.0452891	0.0200106	0.0130678	0.0325135	0.0530061	-4.06883	-4.49495	-3.58344	-3.09469	0.157341	-0.716744	0.001009706	0.1300233	0.006651903	0.003897776	0.02767189	0.005324813	0.01913663	0.01514205	0.05507861	0.001358253	0.0204651	0.119304	0.0927208	0.111944	0.214169	0.051101	0.177905	0.212391	0.0691966	0.0726569	0.0688304	0.0656561	0.248882	0.261328	0.247565	0.236147	-2.6708	-2.62201	-2.67611	-2.72333	1.28003	2.89929
12	-57766.83	-57764.1	-2.727141	0.00491175	0.00257107	0.00537182	0.0153907	0.00574868	0.00300917	0.00628714	0.0180132	-5.31613	-5.96343	-5.22659	-4.17399	0.157341	-0.716744	0.004765421	0.1300233	0.006651903	0.003897776	0.02767284	0.005324813	0.01913663	0.01514205	0.03899721	0.001155362	0.018695	0.108984	0.084701	0.102262	0.195645	0.0379178	0.257775	0.19402	0.0691966	0.0726569	0.0544062	0.0656561	0.248882	0.261328	0.195685	0.236147	-2.6708	-2.62201	-2.91128	-2.72333	1.28003	0.480355
13	-57763.55	-57764.63	1.082583	0.00701157	0.00257107	0.0179655	0.0331425	0.00351958	0.0012906	0.00901812	0.0166365	-4.96019	-5.96343	-4.0193	-3.40694	-0.689218	-0.716744	0.004765421	0.1247222	0.006651903	0.003897776	0.02582013	0.005152831	0.01869916	0.01514205	0.03187133	0.0004892245	0.0138406	0.42679	0.0627074	0.0757082	0.0926024	0.028072	0.190841	0.109438	0.0623795	0.0726569	0.0544062	0.0552434	0.2356	0.274417	0.205486	0.208648	-2.77452	-2.62201	-2.91128	-2.89601	1.3289	0.480355
14	-57780.83	-57783.67	2.840408	0.021828	0.00228598	0.0179655	0.0331677	0.0109569	0.00114749	0.00901812	0.0166491	-3.82456	-6.08096	-4.0193	-3.40618	-0.689218	-0.0581653	0.008606609	0.1457061	0.006651903	0.003897776	0.02582013	0.005152831	0.02600724	0.01039104	0.03187133	0.0004892245	0.0138406	0.42679	0.0627074	0.0757082	0.0926024	0.028072	0.190841	0.109438	0.0623795	0.0681031	0.058612	0.0761819	0.2356	0.257218	0.221371	0.287731	-2.77452	-2.68673	-2.83682	-2.57463	1.3289	0.480355
15	-57755.68	-57759.03	3.35003	0.00427085	0.0168053	0.0179655	0.0434405	0.000960495	0.00377943	0.00404036	0.00976957	-5.45594	-4.08606	-4.0193	-3.13636	-1.49212	0.0478323	0.005321689	0.1460265	0.006460589	0.003897776	0.02149458	0.006557759	0.02600724	0.01411749	0.03187133	0.0004892245	0.0123504	0.380838	0.0559558	0.0675568	0.0826319	0.132719	0.170293	0.0976552	0.0623795	0.0681031	0.0549223	0.063189	0.2356	0.257218	0.207436	0.238658	-2.77452	-2.68673	-2.90183	-2.76163	1.3289	0.296636
16	-57753.41	-57751.68	-1.731143	0.00443752	0.00463132	0.016253	0.108441	0.000997978	0.00104156	0.00365521	0.024388	-5.41766	-5.37491	-4.11948	-2.22155	-1.49212	0.0478323	0.001260639	0.1515214	0.009249541	0.003897776	0.02149458	0.01105961	0.02218787	0.01411749	0.03187133	0.0009082532	0.0117038	0.3609	0.0530263	0.06402	0.0783059	0.178124	0.161378	0.0925426	0.0698992	0.0737067	0.0583267	0.063189	0.259957	0.274117	0.216919	0.235002	-2.6607	-2.60766	-2.8417	-2.76163	1.31346	2.73851
17	-57766.54	-57767.22	0.6814262	0.00443752	0.0209638	0.0169325	0.108441	0.000997978	0.00471467	0.00380804	0.024388	-5.41766	-3.86496	-4.07852	-2.22155	-1.49212	0.0478323	0.003517045	0.1378652	0.008418614	0.003897776	0.02314224	0.01240417	0.02218787	0.02129863	0.02302106	0.006165278	0.0114611	0.353417	0.0519269	0.0626926	0.0766823	0.195164	0.158032	0.0906239	0.0652013	0.0714506	0.0559163	0.0575189	0.228496	0.250397	0.195957	0.201574	-2.73028	-2.63875	-2.8839	-2.85564	1.25404	1.84173
18	-57755.76	-57760.6	4.839723	0.0125597	0.0209638	0.0378342	0.108441	0.00260927	0.00435523	0.00786005	0.0225287	-4.37726	-3.86496	-3.27454	-2.22155	-1.57142	0.0478323	0.003517045	0.1518485	0.005575857	0.00595898	0.02314224	0.007737019	0.02145991	0.02129863	0.03342134	0.006165278	0.0139516	0.0521257	0.0632104	0.159413	0.093345	0.237573	0.176243	0.204139	0.0652091	0.0772967	0.0642662	0.0575189	0.237877	0.281972	0.234437	0.209824	-2.73016	-2.5601	-2.74472	-2.85564	1.29416	0.37069
19	-57760.93	-57765.64	4.717069	0.0205236	0.0154655	0.0275635	0.134317	0.00503787	0.00379626	0.00676592	0.0329704	-3.88618	-4.16914	-3.59126	-2.00755	-1.40459	0.0478323	0.006559573	0.148391	0.007067387	0.00595898	0.0227199	0.01252014	0.02145991	0.02129863	0.03342134	0.002167002	0.0147404	0.060015	0.0727773	0.18354	0.108645	0.27353	0.202917	0.0838352	0.069796	0.0710437	0.0642662	0.0575189	0.25461	0.259161	0.234437	0.209824	-2.66218	-2.64446	-2.74472	-2.85564	1.29416	0.897871
