Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
0	-57854.52	-57870.32	15.79868	0.0501213	0.0501213	0.0501213	0.0501213	0.0192604	0.0192604	0.0192604	0.0192604	-2.993308	-0.9563979	0.01134182	0.1999215	0.007935391	0.002411096	0.03069089	0.01527464	0.06401915	0.01940305	0.04272986	0.002679572	0.00170397	0.0895573	0.065271	0.304945	0.104781	0.0768089	0.136387	0.220546	0.0830949	0.0830949	0.0830949	0.0830949	0.271692	0.271692	0.271692	0.271692	-2.487772	1.184685
1	-57890.97	-57904.3	13.32731	0.010292	0.010292	0.010292	0.010292	0.00395495	0.00395495	0.00395495	0.00395495	-4.57639	-0.9563979	0.007394072	0.1999215	0.007397839	0.003930301	0.03330196	0.01527464	0.06401915	0.005110087	0.05325784	0.02849768	0.00142521	0.0749063	0.218187	0.255058	0.0876391	0.0642435	0.114075	0.184466	0.0895867	0.0895867	0.0895867	0.0895867	0.26385	0.26385	0.26385	0.26385	-2.412549	1.080176
2	-57961.87	-57978.93	17.06532	0.0452623	0.0452623	0.0452623	0.0452623	0.0668787	0.0668787	0.0668787	0.0668787	-3.095281	0.3904064	0.01950191	0.1399149	0.009351128	0.003930301	0.02076201	0.005493137	0.06401915	0.01291966	0.1377876	0.0004925533	0.00175544	0.0922623	0.0370389	0.314155	0.107945	0.0791288	0.140506	0.227207	0.089678	0.089678	0.089678	0.089678	0.264119	0.264119	0.264119	0.264119	-2.41153	1.080176
3	-57833.19	-57849.1	15.91299	0.0523264	0.0523264	0.0523264	0.0523264	0.00938861	0.00938861	0.00938861	0.00938861	-2.950254	-1.718004	0.002013507	0.1799922	0.009351128	0.001715146	0.02076201	0.005176772	0.04193311	0.01291966	0.09531623	0.002052389	0.00250747	0.214781	0.0399812	0.339111	0.11652	0.0630677	0.151668	0.072364	0.0995957	0.0995957	0.0995957	0.0995957	0.293329	0.293329	0.293329	0.293329	-2.306637	1.080176
4	-57927.35	-57945.05	17.69908	0.0402709	0.0402709	0.0402709	0.0402709	0.0425866	0.0425866	0.0425866	0.0425866	-3.212125	0.05591017	0.003705108	0.1838459	0.009351128	0.001264305	0.01499583	0.005176772	0.07694114	0.01291966	0.09531623	0.0007878458	0.00342334	0.293231	0.0545845	0.0977171	0.15908	0.0861036	0.207065	0.0987954	0.0995957	0.0995957	0.0995957	0.0995957	0.293329	0.293329	0.293329	0.293329	-2.306637	1.080176
5	-57938.16	-57955.04	16.87165	0.0151211	0.0151211	0.0151211	0.0151211	0.0310392	0.0310392	0.0310392	0.0310392	-4.191665	0.7191596	0.003299352	0.1800874	0.009351128	0.009416593	0.01841963	0.009602971	0.04555628	0.008967451	0.0778204	9.463307e-05	0.00277169	0.237414	0.0441942	0.0791163	0.128798	0.260067	0.16765	0.0799894	0.104185	0.104185	0.104185	0.104185	0.255383	0.255383	0.255383	0.255383	-2.261588	0.8965969
6	-57942.68	-57960.58	17.89345	0.0275764	0.0275764	0.0275764	0.0275764	0.0566064	0.0566064	0.0566064	0.0566064	-3.590794	0.7191596	0.01833919	0.1326126	0.009351128	0.005269781	0.03681413	0.009602971	0.04555628	0.008967451	0.03984462	9.463307e-05	0.0032572	0.279	0.0519354	0.0929746	0.142032	0.139785	0.197016	0.0940006	0.095207	0.095207	0.095207	0.095207	0.233376	0.233376	0.233376	0.233376	-2.351702	0.8965969
7	-57933.03	-57949.69	16.66691	0.0275764	0.0275764	0.0275764	0.0275764	0.00792454	0.00792454	0.00792454	0.00792454	-3.590794	-1.246998	0.002150189	0.09994195	0.009351128	0.005269781	0.03977525	0.009602971	0.04555628	0.009321316	0.1012389	9.463307e-05	0.00328442	0.281331	0.0523694	0.234744	0.143219	0.140953	0.101792	0.0423077	0.095207	0.095207	0.095207	0.095207	0.275933	0.275933	0.275933	0.275933	-2.351702	1.064104
8	-57870.98	-57888.36	17.3808	0.0823568	0.0823568	0.0823568	0.0823568	0.0261184	0.0261184	0.0261184	0.0261184	-2.496694	-1.148421	0.002262676	0.1720867	0.009351128	0.005269781	0.01989668	0.009602971	0.04555628	0.02071622	0.1012389	9.463307e-05	0.0119229	0.288297	0.051828	0.232317	0.141738	0.139495	0.0925319	0.0418702	0.102553	0.102553	0.102553	0.102553	0.259803	0.259803	0.259803	0.259803	-2.27738	0.9295492
9	-57982.07	-58001.28	19.21532	0.0823568	0.0823568	0.0823568	0.0823568	0.0401351	0.0401351	0.0401351	0.0401351	-2.496694	-0.7188097	0.02156622	0.1620539	0.01266779	0.006282417	0.02533956	0.007467312	0.04555628	0.007229245	0.02301354	4.777351e-05	0.00962384	0.232705	0.041834	0.187519	0.114407	0.305426	0.074689	0.0337964	0.0911386	0.0911386	0.0911386	0.0911386	0.234054	0.234054	0.234054	0.234054	-2.395374	0.9431697
10	-57911.45	-57929.23	17.78149	0.0823568	0.0823568	0.0823568	0.0823568	0.0401351	0.0401351	0.0401351	0.0401351	-2.496694	-0.7188097	0.01182716	0.1336908	0.01266779	0.001846539	0.02533956	0.006265501	0.02829969	0.009715335	0.02301354	0.002883719	0.00937644	0.226723	0.0664654	0.182699	0.111466	0.297575	0.072769	0.0329276	0.0785178	0.0785178	0.0785178	0.0785178	0.249451	0.249451	0.249451	0.249451	-2.54443	1.155938
