Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57748.85	-57743.28	-5.573578	0.00493822	0.00268308	0.00620794	0.0348964	0.0011716	0.000636566	0.00147285	0.00827925	-5.31075	-5.92079	-5.08193	-3.35537	-1.43863	1.15085	0.001762741	0.1337324	0.00748696	0.003513373	0.02068841	0.01012629	0.02456254	0.02187062	0.05185426	0.001729297	0.0191415	0.223375	0.0470074	0.0983968	0.205569	0.0167011	0.270161	0.119649	0.0588802	0.0631691	0.0557647	0.05562	0.241898	0.259518	0.229098	0.228504	-2.83225	-2.76194	-2.88661	-2.88921	1.41301	2.04896
1	-57747.54	-57743.35	-4.187161	0.0120579	0.00468739	0.00620794	0.0696769	0.00194544	0.000756271	0.0010016	0.0112418	-4.41803	-5.36288	-5.08193	-2.66389	-1.82423	1.97805	0.004012106	0.1292701	0.00748696	0.00344172	0.0243292	0.009760934	0.02258179	0.02352438	0.05185426	0.001729297	0.0246459	0.28761	0.0605251	0.126692	0.264683	0.0215038	0.0602844	0.154056	0.0588802	0.063552	0.0594709	0.0540176	0.241898	0.261091	0.244325	0.221921	-2.83225	-2.7559	-2.82227	-2.91845	1.41301	2.04896
2	-57741.93	-57741.56	-0.3697396	0.0120579	0.0038764	0.0107104	0.0713679	0.00194544	0.000625424	0.00172803	0.0115146	-4.41803	-5.55285	-4.53654	-2.63991	-1.82423	1.73896	0.004436656	0.1348289	0.00748696	0.003629175	0.02610258	0.009256751	0.02719167	0.02061687	0.04270006	0.0001928038	0.0301501	0.331217	0.0740421	0.0289761	0.384351	0.0263062	0.0737478	0.0512093	0.0590972	0.0637664	0.0594709	0.0540176	0.24185	0.260959	0.243379	0.221062	-2.82857	-2.75253	-2.82227	-2.91845	1.40913	0.374674
3	-57748.04	-57744.82	-3.221883	0.00504078	0.00724966	0.0107104	0.0755514	0.000382476	0.000550077	0.000812665	0.00573256	-5.29019	-4.9268	-4.53654	-2.58294	-2.57865	1.73896	0.004846953	0.1398307	0.009200876	0.003734831	0.02559366	0.01098581	0.02229452	0.01370522	0.04270006	0.001843348	0.0301501	0.331217	0.0740421	0.0289761	0.384351	0.0263062	0.0737478	0.0512093	0.0618077	0.0647455	0.0631594	0.0540176	0.240695	0.252136	0.245959	0.210358	-2.78373	-2.73729	-2.76209	-2.91845	1.3595	0.374674
4	-57745.74	-57741.64	-4.09739	0.00195457	0.0124001	0.0107104	0.0302955	0.000148305	0.00094087	0.000812665	0.00229871	-6.23759	-4.39005	-4.53654	-3.49676	-2.57865	0.84833	0.001856635	0.144879	0.008286247	0.003734831	0.0243585	0.01035133	0.02747356	0.01370522	0.04843247	0.001843348	0.0349774	0.384247	0.0858968	0.0336154	0.184334	0.030518	0.187002	0.0594083	0.0646424	0.0680077	0.056913	0.0550567	0.256747	0.270113	0.226047	0.218674	-2.73888	-2.68813	-2.86623	-2.89939	1.37922	0.374674
5	-57740.14	-57743	2.855688	0.00964909	0.00887749	0.0185114	0.0442054	0.00191971	0.0017662	0.00368289	0.00879477	-4.64089	-4.72424	-3.98937	-3.11891	-1.61469	0.84833	0.004865495	0.144879	0.008286247	0.004007162	0.02489448	0.008576584	0.02747356	0.01407886	0.04843247	0.0004180955	0.0514945	0.108118	0.360468	0.0364299	0.0930236	0.0386219	0.23666	0.0751839	0.0646424	0.0718315	0.056913	0.0550567	0.249975	0.277776	0.220085	0.212907	-2.73888	-2.63343	-2.86623	-2.89939	1.35249	0.374674
6	-57738.13	-57738.74	0.6087546	0.00340541	0.00887749	0.0185114	0.0321141	0.000677515	0.0017662	0.00368289	0.00638919	-5.68239	-4.72424	-3.98937	-3.43846	-1.61469	-0.00728958	0.004180299	0.1336124	0.008476972	0.003213455	0.02489448	0.008243385	0.02194329	0.01407886	0.04843247	0.0004596335	0.0672787	0.137504	0.348472	0.0533189	0.0899279	0.0373367	0.228784	0.037378	0.0624115	0.0689871	0.0592655	0.0509748	0.241348	0.266776	0.229182	0.197122	-2.77401	-2.67384	-2.82573	-2.97642	1.35249	0.771625
7	-57738.97	-57741.22	2.258653	0.0099074	0.00740334	0.0135905	0.0337405	0.00556195	0.00415619	0.00762963	0.0189417	-4.61447	-4.90582	-4.29838	-3.38906	-0.577334	-0.00728958	0.002480241	0.1418981	0.008119414	0.003213455	0.02649703	0.008243385	0.0209475	0.01407886	0.04843247	0.0004596335	0.0921113	0.188257	0.107992	0.072999	0.12312	0.0511176	0.313229	0.0511743	0.0629167	0.0702865	0.0593976	0.0554404	0.243302	0.271801	0.229693	0.214391	-2.76594	-2.65518	-2.8235	-2.89245	1.35249	1.80484
8	-57739.86	-57742.89	3.026319	0.0099074	0.0167169	0.0135905	0.029291	0.00556195	0.00938474	0.00762963	0.0164438	-4.61447	-4.09134	-4.29838	-3.53048	-0.577334	-1.73177	0.00178823	0.1472244	0.008244125	0.003823889	0.02578174	0.008243385	0.0209475	0.01793373	0.04843247	0.0008719831	0.0892845	0.182479	0.104678	0.0707588	0.15003	0.0495489	0.303616	0.0496038	0.0638719	0.0726583	0.060172	0.0585718	0.250379	0.284821	0.235875	0.229602	-2.75088	-2.62199	-2.81055	-2.8375	1.36609	0.203842
9	-57738.86	-57740.22	1.358548	0.0137673	0.0110897	0.0248947	0.0426792	0.00164628	0.00132609	0.00297688	0.00510354	-4.28546	-4.50174	-3.6931	-3.15404	-2.12378	0.269734	0.002400088	0.1500812	0.00810978	0.003823889	0.02460156	0.008243385	0.01994231	0.0158405	0.04843247	0.001985086	0.0761431	0.155621	0.089271	0.052843	0.127948	0.042256	0.413615	0.0423028	0.0638719	0.0697278	0.060172	0.061532	0.247339	0.270015	0.233011	0.238278	-2.75088	-2.66316	-2.81055	-2.7882	1.35388	1.91048
