Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57749.01	-57747.97	-1.037319	0.0119263	0.0195189	0.00470021	0.132388	0.000767764	0.00125655	0.00030258	0.00852257	-4.42901	-3.93637	-5.36015	-2.02202	-2.74302	-0.056142	0.001212018	0.1610365	0.007732649	0.00505086	0.02386107	0.007996306	0.03214547	0.01884494	0.03772819	0.00129321	0.170336	0.00772327	0.0308502	0.309983	0.0278895	0.00143119	0.382528	0.0692585	0.0668411	0.0720926	0.069469	0.0529021	0.266521	0.287461	0.277	0.210941	-2.70544	-2.6298	-2.66687	-2.93931	1.38314	0.846163
1	-57747.73	-57748.48	0.7573918	0.0141044	0.0188171	0.00633892	0.132388	0.000907979	0.00121136	0.000408073	0.00852257	-4.26127	-3.97299	-5.06105	-2.02202	-2.74302	-0.056142	0.0008319437	0.1647398	0.007732649	0.00505086	0.02386107	0.006489217	0.02049425	0.01884494	0.03772819	0.0004148867	0.21114	0.0598733	0.0382402	0.0538024	0.0345703	0.00177402	0.474161	0.126439	0.06773	0.0708875	0.0626961	0.0600754	0.261095	0.273267	0.241689	0.231587	-2.69223	-2.64666	-2.76946	-2.81215	1.34935	0.846163
2	-57745.77	-57745.51	-0.2645296	0.0141044	0.0188171	0.00633892	0.132388	0.000908313	0.00121181	0.000408223	0.0085257	-4.26127	-3.97299	-5.06105	-2.02202	-2.74265	-0.515051	0.001527669	0.1475784	0.008872899	0.005577015	0.02386107	0.007877901	0.02049425	0.029054	0.04695714	0.0009967317	0.0456444	0.0267762	0.612527	0.0307485	0.0154603	0.000247027	0.212051	0.0565455	0.0701434	0.0741862	0.0626961	0.0598328	0.250542	0.264982	0.223941	0.213714	-2.65721	-2.60118	-2.76946	-2.8162	1.27308	0.846163
3	-57748.41	-57747.85	-0.5583782	0.0134811	0.00228747	0.00905951	0.095054	0.00397476	0.000674438	0.00267111	0.0280257	-4.30647	-6.08031	-4.70394	-2.35331	-1.22132	0.512442	0.001777495	0.1291546	0.006869681	0.005577015	0.02440587	0.007877901	0.01677101	0.029054	0.04571152	0.0009753822	0.0353059	0.0207114	0.700289	0.0237839	0.0119585	0.000191076	0.164022	0.043738	0.0675068	0.0711025	0.0616245	0.0598328	0.251076	0.264449	0.229198	0.222534	-2.69553	-2.64363	-2.7867	-2.8162	1.31353	0.846163
4	-57742.34	-57740.12	-2.220758	0.0046708	0.00228747	0.00835197	0.111428	0.00137714	0.000674438	0.0024625	0.0328533	-5.36642	-6.08031	-4.78526	-2.19438	-1.22132	0.307206	0.003247873	0.1304957	0.009444096	0.005305695	0.02433901	0.007877901	0.02783799	0.02243321	0.03889482	0.000335812	0.0572789	0.0336013	0.581072	0.038586	0.019401	0.000309993	0.266102	0.0036484	0.0631981	0.0711025	0.0616112	0.0598328	0.234342	0.263652	0.228458	0.221863	-2.76148	-2.64363	-2.78691	-2.8162	1.31051	0.846163
5	-57742.1	-57741.22	-0.878077	0.00529782	0.00353169	0.0155161	0.123601	0.00171895	0.00114591	0.0050344	0.0401041	-5.24046	-5.64598	-4.16588	-2.0907	-1.12558	2.31473	0.002314042	0.1304957	0.009425446	0.005305695	0.02433901	0.009942579	0.01863357	0.02243321	0.03957319	2.16667e-05	0.0556824	0.0326647	0.564877	0.0337343	0.0188603	0.000301353	0.258685	0.0351949	0.0673334	0.0721845	0.0616112	0.0598328	0.244312	0.261914	0.22355	0.217097	-2.6981	-2.62853	-2.78691	-2.8162	1.28879	0.829449
6	-57735.46	-57739.62	4.16094	0.0116039	0.00618713	0.0241822	0.0690357	0.00376504	0.0020075	0.00784623	0.0223996	-4.45641	-5.08528	-3.72214	-2.67313	-1.12558	-0.283064	0.002314042	0.139195	0.007924431	0.004402375	0.02433901	0.008967775	0.01863357	0.01583925	0.05142747	0.0001669436	0.0556824	0.0326647	0.564877	0.0337343	0.0188603	0.000301353	0.258685	0.0351949	0.0673334	0.0732348	0.0603045	0.0598328	0.247499	0.269191	0.221663	0.219929	-2.6981	-2.61408	-2.80835	-2.8162	1.30175	0.829449
7	-57738.17	-57742.41	4.239313	0.0116039	0.00762573	0.0162753	0.0690357	0.00376504	0.00247427	0.00528074	0.0223996	-4.45641	-4.87623	-4.11811	-2.67313	-1.12558	-0.283064	0.002548982	0.1371923	0.007924431	0.004402375	0.02686288	0.008967775	0.01409489	0.01859599	0.04313869	0.0001669436	0.053081	0.0311387	0.538487	0.0788761	0.0179792	0.000287274	0.2466	0.0335506	0.0659182	0.0762774	0.0628369	0.0593909	0.238838	0.276372	0.227674	0.215188	-2.71934	-2.57338	-2.76721	-2.82361	1.28737	0.829449
8	-57740.29	-57743.33	3.040818	0.00755764	0.0108832	0.0199665	0.0690357	0.0023488	0.00338235	0.0062053	0.0214553	-4.8852	-4.52053	-3.9137	-2.67313	-1.16865	-0.283064	0.002789093	0.1367409	0.007512409	0.003988344	0.02627615	0.008967775	0.01409489	0.01859599	0.04313869	0.002713811	0.053081	0.0311387	0.538487	0.0788761	0.0179792	0.000287274	0.2466	0.0335506	0.0659182	0.0771589	0.0628369	0.0633966	0.238838	0.279566	0.227674	0.229702	-2.71934	-2.56189	-2.76721	-2.75835	1.28737	0.829449
9	-57739.94	-57740.08	0.1384991	0.0104344	0.0035612	0.0199665	0.0690357	0.00167502	0.000571676	0.00320521	0.0110822	-4.56265	-5.63766	-3.9137	-2.67313	-1.82928	-0.283064	0.002125865	0.1367409	0.007512409	0.004768053	0.02627615	0.01029119	0.01940996	0.01527358	0.04640005	0.002713811	0.025481	0.0319247	0.552079	0.080867	0.0223051	0.000121094	0.252824	0.0343975	0.0673701	0.072467	0.0666444	0.0639995	0.241501	0.259772	0.238899	0.229418	-2.69755	-2.62462	-2.70838	-2.74888	1.27667	0.829449
