Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
0	-57927.1	-57942.14	15.0427	0.00836099	0.00836099	0.00836099	0.00836099	0.00202836	0.00202836	0.00202836	0.00202836	-4.784179	-1.416348	0.0007336552	0.1756312	0.002156441	0.001872784	0.01392944	0.007921222	0.02268524	0.01539293	0.02379416	0.01080539	0.211058	0.0844945	0.333137	0.0533571	0.0027005	0.0903519	0.0965374	0.128363	0.0701921	0.0701921	0.0701921	0.0701921	0.226958	0.226958	0.226958	0.226958	-2.65652	1.173529
1	-57876.29	-57892.05	15.76244	0.0173283	0.0173283	0.0173283	0.0173283	0.00420382	0.00420382	0.00420382	0.00420382	-4.055413	-1.416348	0.006083017	0.1426749	0.002816658	0.001872784	0.03985744	0.01102838	0.04705444	0.00216233	0.02379416	0.01080539	0.209704	0.0839525	0.331	0.0986681	0.00268318	0.0897722	0.0566804	0.12754	0.0625226	0.0625226	0.0625226	0.0625226	0.231845	0.231845	0.231845	0.231845	-2.772227	1.310539
2	-57980.35	-57994.65	14.29473	0.0173283	0.0173283	0.0173283	0.0173283	0.0152896	0.0152896	0.0152896	0.0152896	-4.055413	-0.1251706	0.006083017	0.1753913	0.004773318	0.003187457	0.03985744	0.004905142	0.1141276	0.03012662	0.02379416	0.01726493	0.209704	0.0839525	0.331	0.0986681	0.00268318	0.0897722	0.0566804	0.12754	0.0625226	0.0625226	0.0625226	0.0625226	0.286753	0.286753	0.286753	0.286753	-2.772227	1.523092
3	-57937.84	-57951.47	13.62938	0.0173283	0.0173283	0.0173283	0.0173283	0.0606453	0.0606453	0.0606453	0.0606453	-4.055413	1.2527	0.001024888	0.1753913	0.004773318	0.01347742	0.02519993	0.002711996	0.0504389	0.03012662	0.02379416	0.02792309	0.22634	0.0906124	0.357258	0.106495	0.00289603	0.0968938	0.0611768	0.058328	0.0707231	0.0707231	0.0707231	0.0707231	0.311987	0.311987	0.311987	0.311987	-2.648984	1.484189
4	-57853.3	-57867.91	14.61172	0.0173283	0.0173283	0.0173283	0.0173283	0.0606453	0.0606453	0.0606453	0.0606453	-4.055413	1.2527	0.01934459	0.1923852	0.003660751	0.004662109	0.02816675	0.008431442	0.05143308	0.006601641	0.01607113	0.02792309	0.224536	0.08989	0.35441	0.105646	0.00287295	0.114889	0.0498936	0.057863	0.0707231	0.0707231	0.0707231	0.0707231	0.311987	0.311987	0.311987	0.311987	-2.648984	1.484189
5	-57876.98	-57892.05	15.06642	0.0173283	0.0173283	0.0173283	0.0173283	0.0520533	0.0520533	0.0520533	0.0520533	-4.055413	1.099927	0.006425599	0.1680858	0.005922431	0.003151716	0.02816675	0.008280136	0.07566536	0.006601641	0.00627403	0.02792309	0.271533	0.257369	0.220313	0.110596	0.00178592	0.0714189	0.0310156	0.0359696	0.0738587	0.0738587	0.0738587	0.0738587	0.325359	0.325359	0.325359	0.325359	-2.605601	1.482774
6	-58019.98	-58033.42	13.43974	0.0197422	0.0197422	0.0197422	0.0197422	0.0593045	0.0593045	0.0593045	0.0593045	-3.924996	1.099927	0.03118959	0.2258005	0.01781523	0.003151716	0.05385653	0.008280136	0.07566536	0.006601641	0.03865077	0.02792309	0.26554	0.251689	0.215451	0.108155	0.0238149	0.0698428	0.0303311	0.0351758	0.0773439	0.0773439	0.0773439	0.0773439	0.295523	0.295523	0.295523	0.295523	-2.559494	1.340484
7	-57890.38	-57903.42	13.04706	0.00879457	0.00879457	0.00879457	0.00879457	0.017015	0.017015	0.017015	0.017015	-4.73362	0.6599606	0.005029185	0.2258005	0.02121898	0.003151716	0.01409025	0.01096409	0.03442148	0.01899837	0.03865077	0.02792309	0.0562309	0.323417	0.276851	0.138977	0.0306017	0.0897468	0.038975	0.0452004	0.0791785	0.0791785	0.0791785	0.0791785	0.302532	0.302532	0.302532	0.302532	-2.536051	1.340484
8	-57914.45	-57931.23	16.78132	0.0742876	0.0742876	0.0742876	0.0742876	0.0848778	0.0848778	0.0848778	0.0848778	-2.599811	0.1332681	0.001837946	0.2439815	0.02121898	0.003151716	0.02761627	0.01096409	0.04926686	0.01899837	0.0553183	0.0003826223	0.0055172	0.340796	0.291728	0.146445	0.0322461	0.0945694	0.0410693	0.0476292	0.102174	0.102174	0.102174	0.102174	0.390397	0.390397	0.390397	0.390397	-2.281075	1.340484
9	-58030.47	-58043.18	12.71601	0.0107351	0.0107351	0.0107351	0.0107351	0.00864837	0.00864837	0.00864837	0.00864837	-4.534239	-0.2161456	0.01065565	0.4115035	0.02121898	0.006291233	0.02761627	0.004924283	0.02754049	0.02932626	0.0553183	0.03540072	0.00687292	0.172928	0.363413	0.182431	0.0460533	0.117808	0.0511611	0.059333	0.101327	0.101327	0.101327	0.101327	0.373171	0.373171	0.373171	0.373171	-2.2894	1.303683
10	-57997.67	-58010.93	13.26242	0.0107351	0.0107351	0.0107351	0.0107351	0.00864837	0.00864837	0.00864837	0.00864837	-4.534239	-0.2161456	0.03114134	0.394469	0.02121898	0.006291233	0.01406253	0.004924283	0.02754049	0.0133543	0.0553183	0.03540072	0.00655608	0.164956	0.386652	0.174021	0.0439303	0.112377	0.0488026	0.0627059	0.0792869	0.0792869	0.0792869	0.0792869	0.354206	0.354206	0.354206	0.354206	-2.534682	1.496806
11	-57976.61	-57990.52	13.91051	0.0108376	0.0108376	0.0108376	0.0108376	0.00873095	0.00873095	0.00873095	0.00873095	-4.524735	-0.2161456	0.03114134	0.394469	0.00740132	0.006291233	0.01406253	0.004924283	0.01035437	0.0296983	0.0553183	0.03540072	0.00421215	0.110871	0.409423	0.18427	0.0465175	0.118995	0.0593124	0.0663989	0.0803544	0.0803544	0.0803544	0.0803544	0.358975	0.358975	0.358975	0.358975	-2.521309	1.496806
12	-58157.01	-58173.46	16.44965	0.0670708	0.0670708	0.0670708	0.0670708	0.0540334	0.0540334	0.0540334	0.0540334	-2.702007	-0.2161456	0.04710292	0.1522487	0.00740132	0.003934903	0.01406253	0.03646851	0.01035437	0.03936713	0.109062	0.0006167412	0.0040353	0.106216	0.43422	0.176533	0.0445644	0.113999	0.0568221	0.0636111	0.0532774	0.0532774	0.0532774	0.0532774	0.238011	0.238011	0.238011	0.238011	-2.932242	1.496806
13	-57918.34	-57936.03	17.69052	0.0129344	0.0129344	0.0129344	0.0129344	0.0104202	0.0104202	0.0104202	0.0104202	-4.347863	-0.2161456	0.03159002	0.1479797	0.00740132	0.002656123	0.02435345	0.01953008	0.01035437	0.007385083	0.109062	2.904898e-05	0.00276389	0.0727502	0.297409	0.421398	0.0305234	0.078081	0.0535054	0.043569	0.0565337	0.0565337	0.0565337	0.0565337	0.252558	0.252558	0.252558	0.252558	-2.872919	1.496806
14	-57932.97	-57946.7	13.73482	0.00251068	0.00251068	0.00251068	0.00251068	0.00202265	0.00202265	0.00202265	0.00202265	-5.987201	-0.2161456	0.01077467	0.1443232	0.01294033	0.001607195	0.02074036	0.02066902	0.006559395	0.007385083	0.007994054	0.002778441	0.00525198	0.0594278	0.423077	0.34423	0.0249338	0.0637824	0.0437072	0.0355904	0.0533224	0.0533224	0.0533224	0.0533224	0.22548	0.22548	0.22548	0.22548	-2.931399	1.441876
15	-58061.91	-58075.63	13.71696	0.00251068	0.00251068	0.00251068	0.00251068	0.00188763	0.00188763	0.00188763	0.00188763	-5.987201	-0.2852322	0.0138014	0.1577244	0.01294033	0.00667718	0.01687738	0.02066902	0.006559395	0.007385083	0.01671802	0.0002201109	0.00389539	0.171712	0.327069	0.266114	0.0192756	0.150631	0.0337888	0.0275139	0.0609565	0.0609565	0.0609565	0.0609565	0.354921	0.354921	0.354921	0.354921	-2.797595	1.761736
16	-57871.92	-57889.37	17.44864	0.0195951	0.0195951	0.0195951	0.0195951	0.0143911	0.0143911	0.0143911	0.0143911	-3.932478	-0.3086692	0.02198694	0.1273356	0.01294033	0.004961457	0.01687738	0.007729772	0.01107327	0.007385083	0.01671802	0.001376882	0.00389539	0.171712	0.327069	0.266114	0.0192756	0.150631	0.0337888	0.0275139	0.0566727	0.0566727	0.0566727	0.0566727	0.236031	0.236031	0.236031	0.236031	-2.870463	1.426671
17	-57884.33	-57899.45	15.11909	0.0182871	0.0182871	0.0182871	0.0182871	0.0486093	0.0486093	0.0486093	0.0486093	-4.001559	0.977618	0.00599364	0.1527243	0.02277373	0.004961457	0.03919955	0.007729772	0.01107327	0.01149145	0.08605322	0.001376882	0.00186069	0.0820207	0.156229	0.684875	0.00920727	0.0365247	0.0161397	0.0131424	0.0638077	0.0638077	0.0638077	0.0638077	0.265747	0.265747	0.265747	0.265747	-2.751882	1.426671
18	-57834.65	-57849.82	15.17355	0.0182871	0.0182871	0.0182871	0.0182871	0.049336	0.049336	0.049336	0.049336	-4.001559	0.9924581	0.00599364	0.1757276	0.01237227	0.0007577567	0.01731353	0.007729772	0.01107327	0.02366423	0.08110795	0.01127523	0.00182141	0.00578503	0.152932	0.670419	0.00901293	0.1033	0.015799	0.0409308	0.0638077	0.0638077	0.0638077	0.0638077	0.323775	0.323775	0.323775	0.323775	-2.751882	1.624176
19	-57842.84	-57862.89	20.05525	0.0607624	0.0607624	0.0607624	0.0607624	0.0814573	0.0814573	0.0814573	0.0814573	-2.800784	0.2931082	0.002821876	0.1994237	0.01237227	0.0007577567	0.01731353	0.007729772	0.01107327	0.02366423	0.08110795	1.374618e-05	0.00188127	0.00597514	0.0647834	0.69245	0.00930911	0.167007	0.0163182	0.0422759	0.0786888	0.0786888	0.0786888	0.0786888	0.36463	0.36463	0.36463	0.36463	-2.542254	1.533382
20	-57852.29	-57866.44	14.15486	0.00181239	0.00181239	0.00181239	0.00181239	0.00242966	0.00242966	0.00242966	0.00242966	-6.31311	0.2931082	0.004718226	0.1987989	0.005098518	0.0007577567	0.01731353	0.006571935	0.03511945	0.008239565	0.08110795	5.056965e-05	0.00182671	0.00580186	0.0629047	0.67237	0.00903916	0.191162	0.015845	0.04105	0.072489	0.072489	0.072489	0.072489	0.335901	0.335901	0.335901	0.335901	-2.62432	1.533382
21	-57829.11	-57841.96	12.85553	0.00277792	0.00277792	0.00277792	0.00277792	0.00034711	0.00034711	0.00034711	0.00034711	-5.886053	-2.079817	0.01210884	0.2407024	0.004427999	0.0007577567	0.01985094	0.006571935	0.03476983	0.01704605	0.07018847	5.056965e-05	0.00182671	0.00580186	0.0629047	0.67237	0.00903916	0.191162	0.015845	0.04105	0.0674973	0.0674973	0.0674973	0.0674973	0.31277	0.31277	0.31277	0.31277	-2.695668	1.533382
22	-57832.1	-57845.93	13.8288	0.0019004	0.0019004	0.0019004	0.0019004	0.000710659	0.000710659	0.000710659	0.000710659	-6.26569	-0.9836283	0.007416908	0.209176	0.007236108	0.0005949416	0.01749145	0.01442388	0.01234775	0.0112175	0.07018847	5.056965e-05	0.00182671	0.00580186	0.0629047	0.67237	0.00903916	0.191162	0.015845	0.04105	0.0674973	0.0674973	0.0674973	0.0674973	0.31277	0.31277	0.31277	0.31277	-2.695668	1.533382
23	-57859.31	-57874.4	15.08802	0.0111424	0.0111424	0.0111424	0.0111424	0.00284905	0.00284905	0.00284905	0.00284905	-4.496997	-1.363773	0.007416908	0.1407026	0.00926074	0.0001397721	0.01749145	0.01442388	0.01234775	0.0112175	0.07018847	0.01605984	0.00179278	0.00569409	0.0617362	0.65988	0.00887125	0.187611	0.0248213	0.0495932	0.0546379	0.0546379	0.0546379	0.0546379	0.234067	0.234067	0.234067	0.234067	-2.907028	1.454881
24	-58077.02	-58091.12	14.09488	0.0890868	0.0890868	0.0890868	0.0890868	0.022779	0.022779	0.022779	0.022779	-2.418144	-1.363773	0.04534431	0.1470179	0.00926074	0.001752135	0.04386585	0.007577611	0.04737204	0.03169762	0.07018847	0.01605984	0.00173924	0.00552405	0.0677694	0.640175	0.00860633	0.182009	0.0460651	0.0481122	0.0546379	0.0546379	0.0546379	0.0546379	0.234067	0.234067	0.234067	0.234067	-2.907028	1.454881
25	-58047.27	-58062.13	14.86711	0.111122	0.111122	0.111122	0.111122	0.0284132	0.0284132	0.0284132	0.0284132	-2.19713	-1.363773	0.009812785	0.1389531	0.005070149	0.001752135	0.04386585	0.007577611	0.04737204	0.02518067	0.01999972	0.03155927	0.00157546	0.00500384	0.0613874	0.579888	0.00779586	0.259041	0.041727	0.0435814	0.0545353	0.0545353	0.0545353	0.0545353	0.238608	0.238608	0.238608	0.238608	-2.908906	1.475971
26	-57979.76	-57994.22	14.45331	0.111122	0.111122	0.111122	0.111122	0.0284132	0.0284132	0.0284132	0.0284132	-2.19713	-1.363773	0.001646939	0.1592549	0.007054299	0.006370678	0.03037385	0.01008732	0.04737204	0.01187971	0.01999972	0.03155927	0.00154359	0.00490262	0.0480714	0.568158	0.00763816	0.253801	0.0731858	0.0426998	0.0515783	0.0515783	0.0515783	0.0515783	0.22567	0.22567	0.22567	0.22567	-2.964654	1.475971
27	-57830.94	-57845.05	14.105	0.022769	0.022769	0.022769	0.022769	0.00588353	0.00588353	0.00588353	0.00588353	-3.782356	-1.353242	0.00697386	0.1888988	0.007054299	0.006370678	0.0204874	0.01008732	0.04737204	0.01187971	0.01532148	0.03155927	0.00186293	0.00591689	0.0580166	0.685701	0.00921838	0.0994236	0.0883268	0.0515338	0.0681545	0.0681545	0.0681545	0.0681545	0.298195	0.298195	0.298195	0.298195	-2.685978	1.475971
28	-57843.44	-57858.03	14.59425	0.0467698	0.0467698	0.0467698	0.0467698	0.016115	0.016115	0.016115	0.016115	-3.062519	-1.065489	0.01567508	0.172413	0.0109163	0.006370678	0.0204874	0.01008732	0.03570468	0.01187971	0.08690359	0.01529525	0.00171031	0.00543215	0.0532635	0.629524	0.00846315	0.0308855	0.223409	0.0473118	0.0739128	0.0739128	0.0739128	0.0739128	0.27385	0.27385	0.27385	0.27385	-2.604869	1.309694
29	-57839.35	-57853.82	14.46528	0.0546372	0.0546372	0.0546372	0.0546372	0.0188257	0.0188257	0.0188257	0.0188257	-2.907041	-1.065489	0.00804091	0.150979	0.0109163	0.006370678	0.03494622	0.008913415	0.03570468	0.01187971	0.08690359	0.01529525	0.00144719	0.00459645	0.0450694	0.532677	0.00716116	0.0181907	0.350825	0.0400333	0.0692868	0.0692868	0.0692868	0.0692868	0.25671	0.25671	0.25671	0.25671	-2.6695	1.309694
30	-57950.09	-57962.81	12.72057	0.0206734	0.0206734	0.0206734	0.0206734	0.00712321	0.00712321	0.00712321	0.00712321	-3.878908	-1.065489	0.01844832	0.1243285	0.0109163	0.006370678	0.0358583	0.008913415	0.03570468	0.02324514	0.08690359	0.05183045	0.00128497	0.0026156	0.0400172	0.401522	0.00635842	0.0161516	0.334006	0.198045	0.0709642	0.0709642	0.0709642	0.0709642	0.262925	0.262925	0.262925	0.262925	-2.64558	1.309694
31	-57908.6	-57926.11	17.51418	0.0432148	0.0432148	0.0432148	0.0432148	0.0256513	0.0256513	0.0256513	0.0256513	-3.141572	-0.5215896	0.014171	0.1397611	0.01630158	0.006370678	0.0358583	0.008913415	0.009231906	0.01655799	0.01754899	0.0008216795	0.00122933	0.00250236	0.0382847	0.384138	0.00608313	0.0587468	0.319545	0.18947	0.0709642	0.0709642	0.0709642	0.0709642	0.245456	0.245456	0.245456	0.245456	-2.64558	1.240941
32	-57858.2	-57874.09	15.89295	0.0210796	0.0210796	0.0210796	0.0210796	0.0125123	0.0125123	0.0125123	0.0125123	-3.85945	-0.5215896	0.004068351	0.1105015	0.008576079	0.006370678	0.0358583	0.003501889	0.04983197	0.006470411	0.01650391	0.0156906	0.000971483	0.00250301	0.0382946	0.384237	0.0060847	0.0587619	0.319628	0.189519	0.076677	0.076677	0.076677	0.076677	0.265216	0.265216	0.265216	0.265216	-2.568153	1.240941
33	-57858.94	-57874.03	15.08527	0.0219036	0.0219036	0.0219036	0.0219036	0.0130015	0.0130015	0.0130015	0.0130015	-3.821102	-0.5215896	0.001103074	0.1139054	0.008576079	0.006370678	0.03759937	0.003501889	0.04983197	0.02594277	0.03580695	0.0103735	0.00139044	0.00358244	0.0548092	0.549941	0.00870875	0.0783564	0.11276	0.190452	0.0803785	0.0803785	0.0803785	0.0803785	0.257645	0.257645	0.257645	0.257645	-2.521009	1.164835
34	-57889.47	-57902.83	13.36635	0.00259392	0.00259392	0.00259392	0.00259392	0.00153969	0.00153969	0.00153969	0.00153969	-5.954586	-0.5215896	0.01686587	0.1139054	0.004596069	0.002641273	0.02863107	0.002889778	0.02848733	0.003015437	0.1069716	0.002984893	0.00141284	0.00364016	0.0556924	0.558802	0.00884907	0.079619	0.0984631	0.193521	0.0671832	0.0671832	0.0671832	0.0671832	0.238107	0.238107	0.238107	0.238107	-2.700333	1.265297
35	-57901.57	-57913.33	11.7639	0.00259392	0.00259392	0.00259392	0.00259392	0.00590279	0.00590279	0.00590279	0.00590279	-5.954586	0.8222561	0.005561966	0.2801157	0.003777218	0.003261299	0.0282568	0.002584192	0.03107064	0.02632639	0.02796495	0.01878077	0.00171652	0.00363905	0.0556754	0.558632	0.00884638	0.0795948	0.0984332	0.193462	0.0894044	0.0894044	0.0894044	0.0894044	0.321165	0.321165	0.321165	0.321165	-2.414585	1.278786
36	-57984.91	-57998.52	13.61088	0.0134223	0.0134223	0.0134223	0.0134223	0.0305442	0.0305442	0.0305442	0.0305442	-4.310836	0.8222561	0.01154063	0.2585614	0.002364715	0.01658047	0.0282568	0.006353626	0.02432942	0.02632639	0.05249414	0.03143174	0.00171652	0.00363905	0.0556754	0.558632	0.00884638	0.0795948	0.0984332	0.193462	0.0894044	0.0894044	0.0894044	0.0894044	0.321165	0.321165	0.321165	0.321165	-2.414585	1.278786
37	-58039.9	-58051.48	11.58228	0.00805005	0.00805005	0.00805005	0.00805005	0.0296207	0.0296207	0.0296207	0.0296207	-4.822077	1.302796	0.0005355624	0.2501945	0.01180491	0.01079505	0.0282568	0.0203311	0.03462191	0.03343796	0.01153409	0.03143174	0.00230339	0.00373056	0.0570754	0.54699	0.00906883	0.0815962	0.100908	0.198327	0.0894044	0.0894044	0.0894044	0.0894044	0.321165	0.321165	0.321165	0.321165	-2.414585	1.278786
38	-57893.84	-57909.18	15.33869	0.030153	0.030153	0.030153	0.030153	0.0194604	0.0194604	0.0194604	0.0194604	-3.501469	-0.4379054	0.0007268617	0.1649747	0.01180491	0.008875177	0.02587846	0.0203311	0.03462191	0.01242381	0.03388099	0.00406499	0.00813472	0.00445418	0.0681463	0.65309	0.0108279	0.0974234	0.140051	0.0178725	0.0894044	0.0894044	0.0894044	0.0894044	0.321165	0.321165	0.321165	0.321165	-2.414585	1.278786
39	-57859.45	-57876.43	16.97625	0.030153	0.030153	0.030153	0.030153	0.0212116	0.0212116	0.0212116	0.0212116	-3.501469	-0.3517383	0.004194305	0.1534491	0.01180491	0.0006920052	0.02587846	0.0203311	0.02397067	0.01242381	0.03388099	0.00406499	0.00823304	0.00450801	0.06897	0.660983	0.0109588	0.098601	0.141744	0.00600158	0.0840172	0.0840172	0.0840172	0.0840172	0.266879	0.266879	0.266879	0.266879	-2.476734	1.155774
40	-57794.12	-57810.99	16.86622	0.00920595	0.00920595	0.00920595	0.00920595	0.00647606	0.00647606	0.00647606	0.00647606	-4.687905	-0.3517383	0.01167735	0.139032	0.01180491	0.004329419	0.02587846	0.007747749	0.02397067	0.01242381	0.03388099	0.0001077454	0.00705328	0.00386203	0.0590869	0.566267	0.00938843	0.227768	0.121433	0.00514158	0.0785316	0.0785316	0.0785316	0.0785316	0.242288	0.242288	0.242288	0.242288	-2.544255	1.126627
41	-57891.49	-57908.48	16.98552	0.0227437	0.0227437	0.0227437	0.0227437	0.0112253	0.0112253	0.0112253	0.0112253	-3.783468	-0.7061175	0.01884944	0.139032	0.01180491	0.007701399	0.02587846	0.008757626	0.007737395	0.01242381	0.1231322	0.0002512887	0.00719777	0.00394115	0.0602973	0.577867	0.00958075	0.232433	0.0827543	0.0259283	0.0677062	0.0677062	0.0677062	0.0677062	0.205226	0.205226	0.205226	0.205226	-2.692577	1.108932
