Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57785.43	-57790.75	5.314896	0.0305138	0.0343239	0.0352154	0.0263887	0.00728329	0.00819271	0.00840552	0.00629869	-3.48958	-3.37191	-3.34627	-3.63482	-1.4326	0.225258	0.004206915	0.1638847	0.005089044	0.006359192	0.02808446	0.005951209	0.02497592	0.01134475	0.04192756	0.01877185	0.122711	0.305059	0.00378036	0.104385	0.296181	0.149214	0.00402404	0.0146468	0.0676696	0.0765879	0.0623344	0.0633935	0.259672	0.293894	0.239199	0.243263	-2.69312	-2.56932	-2.77524	-2.75839	1.34478	0.476043
1	-57776.13	-57780.27	4.139386	0.0123344	0.0343239	0.0352154	0.0424422	0.00294408	0.00819271	0.00840552	0.0101305	-4.39536	-3.37191	-3.34627	-3.15961	-1.4326	1.24824	0.004374711	0.1638847	0.006988749	0.004418433	0.0271743	0.005951209	0.03128673	0.01134475	0.04192756	0.01877185	0.131737	0.327496	0.00405842	0.0385109	0.317965	0.160188	0.00432001	0.0157241	0.0659173	0.0782799	0.0707066	0.0493282	0.254518	0.302252	0.27301	0.190465	-2.71935	-2.54746	-2.64922	-3.00926	1.35097	0.0471048
2	-57777.73	-57783.91	6.17894	0.0222017	0.0360954	0.0352154	0.0424422	0.0349035	0.0567461	0.0553627	0.066724	-3.80759	-3.32159	-3.34627	-3.15961	0.452421	-1.10782	0.003987248	0.1536937	0.006988749	0.004418433	0.0271743	0.005951209	0.03128673	0.009333945	0.04192756	0.01167709	0.164423	0.109001	0.00506539	0.0480662	0.396859	0.251568	0.00539189	0.0196255	0.0706116	0.0782799	0.0786945	0.0549407	0.281729	0.312324	0.313978	0.219205	-2.65056	-2.54746	-2.54218	-2.9015	1.38375	0.30751
3	-57817.77	-57824.05	6.273028	0.0202464	0.0558056	0.0352154	0.0424422	0.036393	0.100311	0.0632998	0.0762899	-3.89978	-2.88588	-3.34627	-3.15961	0.586397	1.22447	0.001562157	0.1776101	0.007493791	0.003921279	0.0271743	0.005951209	0.03128673	0.00912593	0.04192756	0.01167709	0.182071	0.1207	0.00560906	0.0532251	0.0476629	0.349623	0.0059706	0.235138	0.0729341	0.0774933	0.0703607	0.0549407	0.290995	0.309186	0.280728	0.219205	-2.6182	-2.55756	-2.65412	-2.9015	1.38375	0.151661
4	-57817.47	-57823.48	6.006239	0.0131652	0.0485982	0.0536657	0.0424422	0.0236644	0.0873554	0.0964642	0.0762899	-4.33018	-3.02417	-2.92498	-3.15961	0.586397	1.22447	0.001351252	0.1943898	0.007493791	0.005013676	0.0271743	0.01074745	0.03128673	0.02398888	0.02747258	0.003151367	0.182071	0.1207	0.00560906	0.0532251	0.0476629	0.349623	0.0059706	0.235138	0.0765293	0.0889917	0.0900679	0.0758167	0.30534	0.355063	0.359357	0.302497	-2.57008	-2.41921	-2.40719	-2.57944	1.38375	0.158938
5	-57786.56	-57790.75	4.188264	0.0133837	0.0423705	0.0361505	0.0553234	0.010832	0.0342922	0.0292581	0.0447756	-4.31372	-3.1613	-3.32006	-2.89456	-0.211533	-0.275227	0.003296502	0.1903962	0.009692008	0.005013676	0.02059137	0.008105839	0.03128673	0.01067981	0.04903327	0.01334765	0.172163	0.114131	0.00530382	0.104747	0.0450692	0.330597	0.00564569	0.222343	0.0676738	0.0744093	0.0977767	0.0758167	0.270008	0.296881	0.390113	0.302497	-2.69306	-2.59817	-2.32507	-2.57944	1.38375	2.17506
6	-57818.88	-57822.68	3.793262	0.0349555	0.0423705	0.072074	0.0165695	0.0282909	0.0342922	0.0583326	0.0134104	-3.35368	-3.1613	-2.63006	-4.10019	-0.211533	-1.68128	0.001536241	0.1927532	0.009692008	0.005013676	0.02059137	0.004745006	0.03128673	0.01067981	0.04903327	0.007382369	0.181277	0.120173	0.0448302	0.0181076	0.0474551	0.348099	0.00594457	0.234113	0.0744417	0.0915908	0.0919677	0.0784509	0.297011	0.365433	0.366936	0.313007	-2.59774	-2.39042	-2.38632	-2.54528	1.38375	2.17506
7	-57801.81	-57799.6	-2.217533	0.00623027	0.0423705	0.072074	0.0105141	0.0140003	0.0952121	0.16196	0.0236266	-5.07834	-3.1613	-2.63006	-4.55504	0.809655	-2.56265	0.00520907	0.1818389	0.009692008	0.004208468	0.02507852	0.00577102	0.03290689	0.009707347	0.04903327	0.02604762	0.184699	0.122442	0.0456766	0.0184494	0.048351	0.354671	0.0060568	0.219653	0.0715378	0.0858717	0.0919677	0.0567793	0.285425	0.342614	0.366936	0.22654	-2.63753	-2.4549	-2.38632	-2.86858	1.38375	2.13153
8	-57795.5	-57797.01	1.513817	0.0121725	0.0900228	0.072074	0.0174018	0.00396245	0.0293047	0.0234619	0.00566474	-4.40858	-2.40769	-2.63006	-4.05118	-1.12232	-2.56265	0.002320569	0.1931825	0.009692008	0.004208468	0.01736304	0.00577102	0.02106855	0.01535977	0.04903327	0.0009744918	0.277565	0.111672	0.0686425	0.0277257	0.0726616	0.102536	0.00910213	0.330094	0.0702734	0.080967	0.0825798	0.0639823	0.28038	0.323045	0.32948	0.255279	-2.65536	-2.51371	-2.49399	-2.74915	1.38375	2.13153
9	-57768.44	-57768.77	0.3220856	0.0084486	0.0384697	0.0160816	0.0500293	0.00269658	0.0122786	0.00513286	0.0159681	-4.77375	-3.25788	-4.13008	-2.99515	-1.14202	-2.56265	0.003958999	0.166451	0.009692008	0.004208468	0.01736304	0.00577102	0.02680451	0.01535977	0.03189927	0.001239379	0.405897	0.170868	0.105029	0.0424227	0.0208591	0.15689	0.0120396	0.0859955	0.0702734	0.0747835	0.0693362	0.0691742	0.28038	0.298374	0.276641	0.275994	-2.65536	-2.59316	-2.66879	-2.67113	1.38375	2.13153
