Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-55844.21	-55843.71	-0.4987704	0.0233155	0.0233155	0.0123722	0.0123722	-3.758638	-0.6336619	0.004258033	0.1783682	0.005789707	0.02083326	0.183732	0.00285861	0.604881	0.208528	0.0698944	0.0698944	0.274882	0.274882	-2.66077	1.369356
1	-55858.37	-55857.95	-0.4204756	0.0233155	0.0233155	0.0123722	0.0123722	-3.758638	-0.6336619	0.007088925	0.1480481	0.006682969	0.02106584	0.360596	0.00446026	0.309579	0.325365	0.0684769	0.0684769	0.235412	0.235412	-2.68126	1.234841
2	-55842.51	-55841.1	-1.405238	0.00988909	0.00988909	0.0052476	0.0052476	-4.616323	-0.6336619	0.0005782803	0.1320518	0.003843173	0.02106584	0.360596	0.00446026	0.309579	0.325365	0.0638203	0.0638203	0.243053	0.243053	-2.751684	1.337209
3	-55885.34	-55885.42	0.08011703	0.0265513	0.0265513	0.0372181	0.0372181	-3.628675	0.337715	0.0009671458	0.1324326	0.003843173	0.02106584	0.14694	0.00181752	0.718659	0.132584	0.0638203	0.0638203	0.231509	0.231509	-2.751684	1.288547
4	-55854.98	-55854.4	-0.5768811	0.0467124	0.0467124	0.0139012	0.0139012	-3.063745	-1.212035	0.0002478639	0.1370572	0.003843173	0.04516098	0.14694	0.00181752	0.718659	0.132584	0.0653995	0.0653995	0.237238	0.237238	-2.72724	1.288547
5	-55835.67	-55833.79	-1.878713	0.0146691	0.0146691	0.0043654	0.0043654	-4.222011	-1.212035	0.0003432009	0.1504457	0.005560341	0.04516098	0.169186	0.00177012	0.699918	0.129126	0.0684205	0.0684205	0.248196	0.248196	-2.682083	1.288547
6	-55826.58	-55824.91	-1.66359	0.00940697	0.00940697	0.00989188	0.00989188	-4.666305	0.0502634	0.000349789	0.1279085	0.005461536	0.03241691	0.231364	0.210227	0.471435	0.0869739	0.0672557	0.0672557	0.25343	0.25343	-2.699253	1.326584
7	-55825.61	-55822.4	-3.206579	0.0154649	0.0154649	0.00186939	0.00186939	-4.16918	-2.112963	0.002016063	0.1556434	0.005498673	0.03241691	0.389808	0.19837	0.265287	0.146536	0.0672557	0.0672557	0.26289	0.26289	-2.699253	1.363232
8	-55837.21	-55834.04	-3.164561	0.0266391	0.0266391	0.00251297	0.00251297	-3.625375	-2.360916	0.006973675	0.1528675	0.005498673	0.03241691	0.327209	0.137413	0.488652	0.0467258	0.0620621	0.0620621	0.242589	0.242589	-2.77962	1.363232
9	-55868.95	-55869.13	0.1794296	0.0482617	0.0482617	0.038227	0.038227	-3.031118	-0.2330945	0.00617403	0.1786052	0.004764113	0.03392249	0.338179	0.108494	0.505034	0.0482924	0.0730966	0.0730966	0.26401	0.26401	-2.615973	1.284204
10	-55852.67	-55851.19	-1.487355	0.0110366	0.0110366	0.00874184	0.00874184	-4.50654	-0.2330945	0.01377074	0.1629332	0.005812404	0.0249226	0.0342685	0.740872	0.205234	0.0196249	0.0656575	0.0656575	0.27699	0.27699	-2.723303	1.43953
11	-55859.32	-55859.14	-0.179528	0.0323925	0.0323925	0.0217834	0.0217834	-3.429827	-0.39678	0.0007144887	0.1629332	0.005812404	0.0249226	0.206069	0.633098	0.144063	0.0167701	0.0636068	0.0636068	0.251181	0.251181	-2.755035	1.373453
12	-55883.71	-55883.38	-0.3259252	0.0323925	0.0323925	0.0217834	0.0217834	-3.429827	-0.39678	0.01691677	0.2149409	0.007130769	0.0249226	0.298929	0.559049	0.127213	0.0148086	0.069476	0.069476	0.274358	0.274358	-2.666774	1.373453
