Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-55836.25	-55834.77	-1.475526	0.010869	0.010869	0.00735738	0.00735738	-4.521838	-0.3902138	0.00733532	0.1277577	0.004241509	0.03636801	0.511972	0.334036	0.0379872	0.116005	0.0591245	0.0591245	0.221252	0.221252	-2.82811	1.319655
1	-55830.35	-55826.36	-3.985619	0.00305833	0.00305833	0.00207622	0.00207622	-5.789885	-0.387322	0.00733532	0.1238134	0.004241509	0.03073374	0.47211	0.323933	0.0914607	0.112496	0.0600128	0.0600128	0.224576	0.224576	-2.813197	1.319655
2	-55833.84	-55828.5	-5.34108	0.00305833	0.00305833	0.000561678	0.000561678	-5.789885	-1.694698	0.003539143	0.1208328	0.004128541	0.03073374	0.360763	0.123066	0.0698896	0.446282	0.0576851	0.0576851	0.215865	0.215865	-2.852756	1.319655
3	-55827.59	-55821.65	-5.940168	0.00260021	0.00260021	0.000477541	0.000477541	-5.952163	-1.694698	0.003328598	0.113431	0.004854157	0.03073374	0.171627	0.327416	0.0678297	0.433128	0.0585995	0.0585995	0.245497	0.245497	-2.83703	1.432561
4	-55844.34	-55841.66	-2.672853	0.0140916	0.0140916	0.00258799	0.00258799	-4.262175	-1.694698	0.002265137	0.1142535	0.005911781	0.03587847	0.458287	0.355242	0.181122	0.00534946	0.0533195	0.0533195	0.208532	0.208532	-2.931453	1.363791
5	-55833.8	-55830.24	-3.565934	0.00904018	0.00904018	0.00166027	0.00166027	-4.706077	-1.694698	0.007728657	0.1488386	0.005911781	0.03587847	0.419603	0.409665	0.165834	0.00489791	0.0533195	0.0533195	0.243556	0.243556	-2.931453	1.519045
6	-55834.24	-55831.38	-2.855061	0.0133974	0.0133974	0.0025229	0.0025229	-4.312695	-1.66965	0.007804892	0.1466558	0.005911781	0.03387264	0.419603	0.409665	0.165834	0.00489791	0.0544912	0.0544912	0.248721	0.248721	-2.909717	1.518292
7	-55827.97	-55823.15	-4.819185	0.00444935	0.00444935	0.000830017	0.000830017	-5.414998	-1.679066	0.007804892	0.1483536	0.005851999	0.03387264	0.497964	0.162176	0.334047	0.0058126	0.0567812	0.0567812	0.242363	0.242363	-2.868549	1.451229
8	-55837.53	-55832.89	-4.63494	0.0049661	0.0049661	0.000872016	0.000872016	-5.305121	-1.739582	0.009364577	0.158098	0.00392948	0.03534086	0.533084	0.103087	0.357606	0.00622255	0.0543136	0.0543136	0.257056	0.257056	-2.912981	1.554519
9	-55845.43	-55842.16	-3.275105	0.00985101	0.00985101	0.00172978	0.00172978	-4.620181	-1.739582	0.009364577	0.1472815	0.00392948	0.03171475	0.517517	0.161122	0.31532	0.00604083	0.0543136	0.0543136	0.263006	0.263006	-2.912981	1.577402
10	-55835.35	-55831.32	-4.030814	0.00429199	0.00429199	0.00173782	0.00173782	-5.451004	-0.9041181	0.002351031	0.138061	0.00581671	0.03420903	0.384399	0.119678	0.218933	0.27699	0.0543136	0.0543136	0.263006	0.263006	-2.912981	1.577402
11	-55834.59	-55830.81	-3.778377	0.00440499	0.00440499	0.00243569	0.00243569	-5.425018	-0.5925079	0.005089467	0.1295314	0.006217703	0.03409514	0.122273	0.162212	0.315876	0.39964	0.0527015	0.0527015	0.2552	0.2552	-2.943111	1.577402
12	-55833.07	-55830.28	-2.789567	0.00709724	0.00709724	0.00392434	0.00392434	-4.94805	-0.5925079	0.005089467	0.127659	0.006217703	0.03409514	0.122273	0.162212	0.315876	0.39964	0.0499536	0.0499536	0.237135	0.237135	-2.996661	1.557536
13	-55830.69	-55826.78	-3.901526	0.0038453	0.0038453	0.00212622	0.00212622	-5.560904	-0.5925079	0.006236113	0.1198469	0.004303119	0.03409514	0.128042	0.378295	0.0751666	0.418496	0.05004	0.05004	0.237545	0.237545	-2.994933	1.557536
14	-55837.02	-55834.43	-2.595667	0.00670737	0.00670737	0.00370877	0.00370877	-5.004548	-0.5925079	0.004752595	0.1259235	0.004877605	0.0243889	0.103548	0.341859	0.0607876	0.493805	0.05004	0.05004	0.237545	0.237545	-2.994933	1.557536
15	-55830.43	-55827.74	-2.691469	0.00670737	0.00670737	0.00370877	0.00370877	-5.004548	-0.5925079	0.00794938	0.1255035	0.005458559	0.03074552	0.676424	0.121838	0.0257458	0.175992	0.0520752	0.0520752	0.231207	0.231207	-2.955066	1.490626
16	-55836.93	-55833.78	-3.148303	0.00532677	0.00532677	0.00319447	0.00319447	-5.235011	-0.5113238	0.009416123	0.1184333	0.005458559	0.03074552	0.676424	0.121838	0.0257458	0.175992	0.0520752	0.0520752	0.240363	0.240363	-2.955066	1.52946
17	-55830.73	-55828.94	-1.788073	0.0111595	0.0111595	0.00669238	0.00669238	-4.495462	-0.5113238	0.004535174	0.1377798	0.005458559	0.03074552	0.0403908	0.437562	0.0924618	0.429586	0.05297	0.05297	0.244451	0.244451	-2.93803	1.529289
18	-55825	-55821.68	-3.322842	0.00482396	0.00482396	0.00715906	0.00715906	-5.334161	0.3947839	0.004535174	0.1401375	0.005458559	0.03301049	0.069754	0.143123	0.0452392	0.741884	0.0559901	0.0559901	0.256139	0.256139	-2.88258	1.520544
19	-55825.11	-55821.82	-3.292127	0.00482396	0.00482396	0.00356269	0.00356269	-5.334161	-0.303079	0.003693924	0.1313458	0.005130955	0.03572254	0.339828	0.192866	0.171802	0.295505	0.0559901	0.0559901	0.256139	0.256139	-2.88258	1.520544
20	-55830.96	-55826.69	-4.269552	0.00315196	0.00315196	0.00232785	0.00232785	-5.759731	-0.303079	0.002716572	0.1475133	0.005438675	0.03572254	0.290777	0.299672	0.150568	0.258983	0.0559901	0.0559901	0.240291	0.240291	-2.88258	1.456674
21	-55827.78	-55824.02	-3.757662	0.00405635	0.00405635	0.00242623	0.00242623	-5.507471	-0.5139449	0.008124881	0.1475133	0.005438675	0.03610288	0.290777	0.299672	0.150568	0.258983	0.0559901	0.0559901	0.239693	0.239693	-2.88258	1.454183
22	-55824.45	-55822.5	-1.943002	0.0101471	0.0101471	0.00606931	0.00606931	-4.590565	-0.5139449	0.002435489	0.122514	0.005438675	0.03610288	0.259108	0.267035	0.24308	0.230777	0.055307	0.055307	0.243371	0.243371	-2.894856	1.481687
23	-55833.8	-55832.49	-1.306528	0.0128242	0.0128242	0.00767057	0.00767057	-4.35642	-0.5139449	0.003212869	0.1222346	0.003572102	0.03167962	0.20126	0.207417	0.18881	0.402513	0.0538956	0.0538956	0.23716	0.23716	-2.920707	1.481687
24	-55835.69	-55834.34	-1.342526	0.0128242	0.0128242	0.00767057	0.00767057	-4.35642	-0.5139449	0.005679558	0.1397793	0.003572102	0.03293403	0.157848	0.162677	0.148084	0.531391	0.0544787	0.0544787	0.239726	0.239726	-2.909946	1.481687
25	-55839.88	-55838.36	-1.526059	0.0128242	0.0128242	0.0295139	0.0295139	-4.35642	0.8335265	0.001376889	0.112301	0.003572102	0.03293403	0.257393	0.0768266	0.24147	0.42431	0.0544787	0.0544787	0.239726	0.239726	-2.909946	1.481687
26	-55831.5	-55829.98	-1.529175	0.0128242	0.0128242	0.03161	0.03161	-4.35642	0.9021384	0.005926533	0.1318062	0.003744347	0.03543796	0.14229	0.489658	0.133488	0.234564	0.0630739	0.0630739	0.254187	0.254187	-2.763448	1.393762
27	-55836.33	-55835.05	-1.278501	0.0142149	0.0142149	0.0350379	0.0350379	-4.253464	0.9021384	0.00127996	0.1249682	0.003870972	0.02738305	0.177519	0.610891	0.166538	0.045052	0.0638552	0.0638552	0.266091	0.266091	-2.751137	1.427221
28	-55824.15	-55818.9	-5.241902	0.00191064	0.00191064	0.00176579	0.00176579	-6.260315	-0.0788401	0.004268762	0.1426919	0.003870972	0.03310271	0.117018	0.655828	0.178788	0.048366	0.0638552	0.0638552	0.257633	0.257633	-2.751137	1.394917
29	-55821.32	-55817.08	-4.241795	0.00300335	0.00300335	0.00456178	0.00456178	-5.808027	0.4179837	0.005469938	0.1439488	0.005046838	0.03310271	0.150108	0.63125	0.172088	0.0465535	0.0642017	0.0642017	0.259031	0.259031	-2.745725	1.394917
30	-55825.06	-55821.01	-4.047342	0.00326924	0.00326924	0.00496564	0.00496564	-5.723197	0.4179837	0.005739147	0.1295113	0.005483573	0.03678188	0.145566	0.642409	0.166881	0.0451448	0.0663284	0.0663284	0.252863	0.252863	-2.713136	1.33823
31	-55824.9	-55822.38	-2.517572	0.00571385	0.00571385	0.00867874	0.00867874	-5.164862	0.4179837	0.003707238	0.1295113	0.004841419	0.02645528	0.789407	0.0445369	0.0367432	0.129313	0.0663284	0.0663284	0.246929	0.246929	-2.713136	1.314483
32	-55831.72	-55828.95	-2.772616	0.0064645	0.0064645	0.0023382	0.0023382	-5.041429	-1.016945	0.009617856	0.1490031	0.004841419	0.02887339	0.291231	0.139671	0.163563	0.405535	0.0656194	0.0656194	0.244289	0.244289	-2.723884	1.314483
33	-55825.08	-55821.19	-3.887988	0.00402451	0.00402451	0.00145566	0.00145566	-5.515352	-1.016945	0.004639752	0.140106	0.004841419	0.03452518	0.355055	0.193679	0.226809	0.224457	0.0622739	0.0622739	0.231835	0.231835	-2.776212	1.314483
34	-55823.02	-55821.08	-1.943796	0.0108396	0.0108396	0.00386253	0.00386253	-4.524551	-1.031883	0.005785998	0.132938	0.004841419	0.03452518	0.475388	0.184435	0.126432	0.213744	0.0645115	0.0645115	0.240165	0.240165	-2.740912	1.314483
35	-55822.79	-55818.28	-4.502941	0.00632242	0.00632242	0.00080214	0.00080214	-5.063653	-2.064575	0.001098226	0.1128795	0.00512132	0.0328981	0.523804	0.101374	0.139309	0.235513	0.0618009	0.0618009	0.230074	0.230074	-2.783837	1.314483
36	-55823.79	-55820.88	-2.906607	0.0168748	0.0168748	0.00214094	0.00214094	-4.081934	-2.064575	0.001640904	0.1469059	0.004888688	0.03422737	0.036846	0.205039	0.281767	0.476349	0.0663476	0.0663476	0.247001	0.247001	-2.712848	1.314483
37	-55821.16	-55817.57	-3.59684	0.0108842	0.0108842	0.0013809	0.0013809	-4.520442	-2.064575	0.002650237	0.1469059	0.004888688	0.03836785	0.0417405	0.232275	0.186359	0.539626	0.0670957	0.0670957	0.249786	0.249786	-2.701635	1.314483
38	-55821.96	-55817.67	-4.291322	0.00743428	0.00743428	0.000943203	0.000943203	-4.901654	-2.064575	0.00268385	0.1499946	0.004888688	0.03836785	0.0505542	0.439375	0.298649	0.211421	0.0654803	0.0654803	0.249293	0.249293	-2.726006	1.336882
39	-55822.95	-55819	-3.952724	0.00335713	0.00335713	0.00518837	0.00518837	-5.696668	0.435333	0.006659153	0.1403713	0.00482424	0.03836785	0.0505542	0.439375	0.298649	0.211421	0.0649052	0.0649052	0.244252	0.244252	-2.734828	1.325275
40	-55820.24	-55816.25	-3.992344	0.00335713	0.00335713	0.00518837	0.00518837	-5.696668	0.435333	0.004738035	0.132737	0.00482424	0.03836785	0.0811576	0.418959	0.218696	0.281188	0.0643211	0.0643211	0.253549	0.253549	-2.743868	1.371668
41	-55820.36	-55817.07	-3.294674	0.00550121	0.00550121	0.00200384	0.00200384	-5.202788	-1.009904	0.00092225	0.1303322	0.00482424	0.03836785	0.0987961	0.292677	0.266227	0.3423	0.0614025	0.0614025	0.242044	0.242044	-2.790305	1.371668
42	-55819.41	-55816.05	-3.354847	0.00550121	0.00550121	0.00200384	0.00200384	-5.202788	-1.009904	0.001542361	0.1281307	0.005542491	0.03777641	0.181359	0.20575	0.492401	0.12049	0.0614025	0.0614025	0.242044	0.242044	-2.790305	1.371668
43	-55820.13	-55817.9	-2.231646	0.00945406	0.00945406	0.00344368	0.00344368	-4.661312	-1.009904	0.001579747	0.1281307	0.00468672	0.03776648	0.408936	0.343985	0.0456367	0.201442	0.0635654	0.0635654	0.25057	0.25057	-2.755687	1.371668
44	-55825.77	-55824.59	-1.187756	0.0200382	0.0200382	0.00680722	0.00680722	-3.910114	-1.079659	0.00146631	0.1271536	0.00428685	0.03776648	0.408936	0.343985	0.0456367	0.201442	0.062213	0.062213	0.244041	0.244041	-2.777191	1.366771
45	-55825.38	-55824.4	-0.984596	0.0200382	0.0200382	0.00851289	0.00851289	-3.910114	-0.8560607	0.004566098	0.1574458	0.00428685	0.03776648	0.342639	0.429123	0.0382379	0.19	0.0663647	0.0663647	0.260326	0.260326	-2.71259	1.366771
46	-55834.43	-55833.62	-0.8122023	0.018211	0.018211	0.00773661	0.00773661	-4.005731	-0.8560607	0.001817468	0.128705	0.004706301	0.02294299	0.342639	0.429123	0.0382379	0.19	0.0635641	0.0635641	0.236961	0.236961	-2.755706	1.315845
47	-55830.19	-55829.21	-0.9768566	0.0211286	0.0211286	0.0089761	0.0089761	-3.857129	-0.8560607	0.001757762	0.1362209	0.006470158	0.03064446	0.368595	0.385876	0.0411347	0.204394	0.0637454	0.0637454	0.24216	0.24216	-2.752858	1.334699
48	-55832.74	-55831.88	-0.8616266	0.0192046	0.0192046	0.00815875	0.00815875	-3.952604	-0.8560607	0.0009406119	0.1356073	0.003736907	0.03476805	0.26941	0.527827	0.0562668	0.146495	0.0689646	0.0689646	0.264327	0.264327	-2.674162	1.343595
49	-55822.81	-55819.85	-2.959835	0.011974	0.011974	0.0020398	0.0020398	-4.425018	-1.769883	0.0009406119	0.1394642	0.005315328	0.03855003	0.182595	0.300843	0.143346	0.373215	0.0652662	0.0652662	0.251254	0.251254	-2.729281	1.347989
50	-55824.2	-55822.39	-1.808056	0.011974	0.011974	0.00470036	0.00470036	-4.425018	-0.935097	0.003128557	0.1388002	0.004430464	0.03855003	0.327073	0.247668	0.11801	0.307249	0.0643573	0.0643573	0.263966	0.263966	-2.743305	1.411371
51	-55820.03	-55818.2	-1.835552	0.00907086	0.00907086	0.00749707	0.00749707	-4.702689	-0.1905547	0.004500727	0.1388002	0.004620184	0.04081188	0.342725	0.268686	0.177614	0.210975	0.0646229	0.0646229	0.250121	0.250121	-2.739186	1.353377
52	-55823.62	-55820.82	-2.803239	0.005875	0.005875	0.00394442	0.00394442	-5.137048	-0.398405	0.003753606	0.1410979	0.006716422	0.03361858	0.346426	0.271588	0.168733	0.213253	0.0646229	0.0646229	0.250121	0.250121	-2.739186	1.353377
53	-55822.23	-55819.47	-2.760488	0.00583221	0.00583221	0.00391569	0.00391569	-5.14436	-0.398405	0.00306699	0.1354134	0.006158232	0.03361858	0.327194	0.37323	0.231882	0.067694	0.0662464	0.0662464	0.256405	0.256405	-2.714375	1.353377
54	-55818.25	-55815.17	-3.079493	0.00562767	0.00562767	0.00224971	0.00224971	-5.180059	-0.9168964	0.00306699	0.1354134	0.004978295	0.03361858	0.468147	0.0640086	0.369415	0.0984293	0.0636547	0.0636547	0.246314	0.246314	-2.754282	1.353134
55	-55827.6	-55824.23	-3.36392	0.00378558	0.00378558	0.00324227	0.00324227	-5.576557	-0.1549263	0.005546752	0.1368801	0.00362302	0.03361858	0.533167	0.0561835	0.324253	0.0863962	0.0658981	0.0658981	0.249829	0.249829	-2.719646	1.332666
56	-55828.52	-55825	-3.513444	0.00378558	0.00378558	0.00243986	0.00243986	-5.576557	-0.4392582	0.004931297	0.1584643	0.00362302	0.03361858	0.496305	0.065976	0.301835	0.135884	0.0658981	0.0658981	0.261088	0.261088	-2.719646	1.376748
