Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-56043.29	-56042.21	-1.081677	0.0794133	0.0794133	0.0729386	0.0729386	-2.533089	-0.08504792	0.01875507	0.2402172	0.005625538	0.07605615	0.244318	0.152609	0.00482575	0.598247	0.0490818	0.0490818	0.358746	0.358746	-3.014268	1.989128
1	-55991.79	-55991.28	-0.5104964	0.0659618	0.0659618	0.0605838	0.0605838	-2.718679	-0.08504792	0.01767584	0.2240568	0.005625538	0.02555604	0.370196	0.127188	0.0040219	0.498594	0.0490818	0.0490818	0.358746	0.358746	-3.014268	1.989128
2	-56056.45	-56055.21	-1.237015	0.0228578	0.0228578	0.0193917	0.0193917	-3.778464	-0.164448	0.005200543	0.2730938	0.007631245	0.01769751	0.42699	0.146701	0.00463893	0.421671	0.0490818	0.0490818	0.358746	0.358746	-3.014268	1.989128
3	-55952.19	-55950.78	-1.409335	0.0228578	0.0228578	0.00944829	0.00944829	-3.778464	-0.8834578	0.00570941	0.2077572	0.007631245	0.01769751	0.42699	0.146701	0.00463893	0.421671	0.0491124	0.0491124	0.312304	0.312304	-3.013644	1.849864
4	-55950.63	-55946.44	-4.183759	0.00429684	0.00429684	0.0101762	0.0101762	-5.449875	0.8621715	0.03074664	0.2636798	0.005952179	0.01960781	0.236985	0.195346	0.00617715	0.561492	0.0491124	0.0491124	0.312304	0.312304	-3.013644	1.849864
5	-56008.17	-56006.53	-1.637374	0.0299273	0.0299273	0.111365	0.111365	-3.508983	1.314039	0.02210998	0.2593411	0.005952179	0.01960781	0.270341	0.222841	0.00704659	0.499772	0.0520848	0.0520848	0.347401	0.347401	-2.954882	1.897607
6	-56004.36	-56003.83	-0.5304801	0.0705544	0.0705544	0.0326596	0.0326596	-2.651371	-0.770245	0.02210998	0.2850041	0.005952179	0.01647636	0.34704	0.310993	0.00983411	0.332133	0.0520848	0.0520848	0.347401	0.347401	-2.954882	1.897607
7	-55947.71	-55944.34	-3.369866	0.00646141	0.00646141	0.00299099	0.00299099	-5.041907	-0.770245	0.0300767	0.1874779	0.007588505	0.01647636	0.412004	0.111028	0.0137164	0.463251	0.0397224	0.0397224	0.264945	0.264945	-3.225839	1.897607
8	-55977.69	-55974.95	-2.743957	0.0297476	0.0297476	0.00415902	0.00415902	-3.515007	-1.967468	0.0300767	0.2399486	0.002293147	0.04018385	0.597807	0.265134	0.0327545	0.104304	0.0403588	0.0403588	0.26919	0.26919	-3.209946	1.897607
9	-55996.7	-55993.36	-3.338922	0.0203835	0.0203835	0.00284982	0.00284982	-3.893032	-1.967468	0.03919181	0.2399486	0.008939778	0.0166433	0.2664	0.136575	0.142678	0.454347	0.0414716	0.0414716	0.276612	0.276612	-3.182747	1.897607
