Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-55824.88	-55820.99	-3.898697	0.0104859	0.0104859	0.00121269	0.00121269	-4.557726	-2.157189	0.006025189	0.1330872	0.005219226	0.03421633	0.260937	0.14729	0.416707	0.175066	0.0622823	0.0622823	0.246745	0.246745	-2.776078	1.376678
1	-55821.32	-55817.42	-3.898032	0.0104859	0.0104859	0.00121269	0.00121269	-4.557726	-2.157189	0.001630874	0.130979	0.005219226	0.03421633	0.481439	0.271755	0.172215	0.0745913	0.0612239	0.0612239	0.242552	0.242552	-2.793218	1.376678
2	-55827.14	-55824.84	-2.303074	0.00932352	0.00932352	0.00362605	0.00362605	-4.675215	-0.9443952	0.0007390991	0.130979	0.005219226	0.03941214	0.134876	0.708221	0.109483	0.0474202	0.0587539	0.0587539	0.232767	0.232767	-2.834398	1.376678
3	-55823.86	-55821.02	-2.844932	0.00932352	0.00932352	0.00231722	0.00231722	-4.675215	-1.392171	0.003427607	0.1170714	0.005219226	0.04284541	0.132821	0.697427	0.123054	0.0466976	0.0583465	0.0583465	0.227055	0.227055	-2.841356	1.358792
4	-55820.74	-55817.89	-2.850108	0.00932352	0.00932352	0.00231722	0.00231722	-4.675215	-1.392171	0.005054292	0.1465759	0.005219226	0.04049324	0.132821	0.697427	0.123054	0.0466976	0.0632509	0.0632509	0.254417	0.254417	-2.760647	1.391864
5	-55822.1	-55819.94	-2.15359	0.00932352	0.00932352	0.00439942	0.00439942	-4.675215	-0.751068	0.004889085	0.1530384	0.005219226	0.03751187	0.0148213	0.792328	0.139798	0.0530518	0.0643237	0.0643237	0.266813	0.266813	-2.743827	1.422621
6	-55824.19	-55821.68	-2.513262	0.0078423	0.0078423	0.00370048	0.00370048	-4.848223	-0.751068	0.007425562	0.1588184	0.005219226	0.03883211	0.0148213	0.792328	0.139798	0.0530518	0.0623214	0.0623214	0.262623	0.262623	-2.77545	1.438413
7	-55825.75	-55822.57	-3.181634	0.00560071	0.00560071	0.00264276	0.00264276	-5.184862	-0.751068	0.008579351	0.1599111	0.005219226	0.03883211	0.0401914	0.436851	0.379096	0.143862	0.0610395	0.0610395	0.257221	0.257221	-2.796234	1.438413
8	-55822.88	-55819.48	-3.398297	0.00560071	0.00560071	0.0146927	0.0146927	-5.184862	0.9644592	0.004497286	0.1425452	0.005819946	0.03883211	0.0542379	0.662661	0.08896	0.194141	0.0610395	0.0610395	0.257221	0.257221	-2.796234	1.438413
9	-55821.56	-55818.79	-2.767877	0.00560071	0.00560071	0.00361945	0.00361945	-5.184862	-0.436571	0.004497286	0.1349258	0.003934583	0.0343709	0.0854066	0.468805	0.140082	0.305707	0.0593468	0.0593468	0.250087	0.250087	-2.824357	1.438413
