Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-55991.56	-55989.29	-2.27264	0.0204712	0.0204712	0.00663879	0.00663879	-3.888737	-1.126089	0.009092174	0.1508838	0.01196371	0.03734883	0.2856	0.403372	0.0357927	0.275236	0.0508056	0.0508056	0.306136	0.306136	-2.979748	1.796022
1	-55966.97	-55964.63	-2.339122	0.0138825	0.0138825	0.0206557	0.0206557	-4.277123	0.3973584	0.006368236	0.1571169	0.01196371	0.03478402	0.55554	0.162602	0.0324357	0.249421	0.0400028	0.0400028	0.24657	0.24657	-3.218805	1.818696
2	-55944.66	-55942.85	-1.804337	0.021705	0.021705	0.0322947	0.0322947	-3.830211	0.3973584	0.009806366	0.1102885	0.005677308	0.07026752	0.219669	0.242939	0.19465	0.342743	0.0364708	0.0364708	0.224799	0.224799	-3.311244	1.818696
3	-56021.31	-56020.16	-1.15104	0.021705	0.021705	0.00766541	0.00766541	-3.830211	-1.040826	0.0007454473	0.1571602	0.005677308	0.007919785	0.219669	0.242939	0.19465	0.342743	0.0364708	0.0364708	0.224799	0.224799	-3.311244	1.818696
4	-56262.77	-56262.05	-0.714661	0.163021	0.163021	0.057573	0.057573	-1.813876	-1.040826	0.07289589	0.2049512	0.005677308	0.007919785	0.191875	0.338724	0.170022	0.299378	0.0364708	0.0364708	0.270488	0.270488	-3.311244	2.003717
5	-55984.42	-55980.04	-4.371609	0.0263349	0.0263349	0.00199818	0.00199818	-3.636861	-2.578658	0.01140243	0.2090109	0.01241621	0.01965943	0.0852919	0.150569	0.0755779	0.688562	0.0494045	0.0494045	0.274231	0.274231	-3.007713	1.713929
6	-55953.31	-55950.26	-3.049793	0.00988409	0.00988409	0.0154408	0.0154408	-4.616829	0.4460889	0.01140243	0.1495603	0.01241621	0.06888007	0.246301	0.434803	0.218249	0.100647	0.0494045	0.0494045	0.274231	0.274231	-3.007713	1.713929
7	-55941.69	-55939.22	-2.463292	0.0107248	0.0107248	0.0167542	0.0167542	-4.535197	0.4460889	0.006694794	0.08475522	0.01241621	0.057821	0.04834	0.422737	0.473924	0.0549988	0.0494045	0.0494045	0.206294	0.206294	-3.007713	1.42926
8	-56018.36	-56016.65	-1.702833	0.0107248	0.0107248	0.0167542	0.0167542	-4.535197	0.4460889	0.006694794	0.2016369	0.003606307	0.057821	0.0226815	0.198352	0.222369	0.556597	0.0598122	0.0598122	0.211212	0.211212	-2.816546	1.261653
9	-55970.68	-55967.67	-3.017106	0.0105564	0.0105564	0.0687419	0.0687419	-4.551026	1.873629	0.02412988	0.08103172	0.002582077	0.05044093	0.0239081	0.209079	0.234395	0.532618	0.0634355	0.0634355	0.224007	0.224007	-2.757732	1.261653
10	-56123.73	-56122.97	-0.756831	0.0266553	0.0266553	0.0240596	0.0240596	-3.624766	-0.1024534	0.02917289	0.07906512	0.002582077	0.06192828	0.0239081	0.209079	0.234395	0.532618	0.0466049	0.0466049	0.252797	0.252797	-3.06605	1.690881
11	-56144.93	-56144.64	-0.2949674	0.0266553	0.0266553	0.0240596	0.0240596	-3.624766	-0.1024534	0.02184515	0.07820519	0.0006310969	0.0578133	0.0267047	0.233535	0.144841	0.59492	0.0306709	0.0306709	0.166367	0.166367	-3.484442	1.690881
12	-56141.38	-56141.09	-0.2863507	0.0266553	0.0266553	0.0240596	0.0240596	-3.624766	-0.1024534	0.06014716	0.1033962	0.0006310969	0.0578133	0.180834	0.211714	0.182449	0.425004	0.0335062	0.0335062	0.181746	0.181746	-3.396026	1.690881
13	-56187.89	-56187.64	-0.2545192	0.0266553	0.0266553	0.0240596	0.0240596	-3.624766	-0.1024534	0.09005857	0.1252406	0.0005340445	0.0578133	0.046735	0.246372	0.212316	0.494577	0.0335062	0.0335062	0.181746	0.181746	-3.396026	1.690881
14	-56116.98	-56116.8	-0.1747353	0.0266553	0.0266553	0.0240596	0.0240596	-3.624766	-0.1024534	0.03171924	0.103796	0.0005340445	0.0578133	0.0414284	0.331945	0.188208	0.438419	0.0335062	0.0335062	0.181746	0.181746	-3.396026	1.690881
15	-56087.76	-56086.86	-0.8999275	0.0229009	0.0229009	0.0206708	0.0206708	-3.776579	-0.1024534	0.06342157	0.09299558	0.001614042	0.0578133	0.041921	0.324001	0.190446	0.443632	0.0336031	0.0336031	0.182272	0.182272	-3.393137	1.690881
16	-55948.79	-55946.48	-2.311944	0.0156647	0.0156647	0.0112399	0.0112399	-4.156344	-0.3319403	0.01943516	0.08772651	0.005987275	0.0578133	0.304254	0.13895	0.345196	0.211599	0.0299576	0.0299576	0.198987	0.198987	-3.507971	1.893453
17	-55958.86	-55952.91	-5.954057	0.00276531	0.00276531	0.00198419	0.00198419	-5.890604	-0.3319403	0.03169661	0.1682936	0.005987275	0.0578133	0.0915613	0.0418153	0.0429362	0.823687	0.0312058	0.0312058	0.248192	0.248192	-3.467151	2.073598
18	-55972.82	-55971.63	-1.194232	0.0525403	0.0525403	0.0376992	0.0376992	-2.946176	-0.3319403	0.01251753	0.1386255	0.00385079	0.0578133	0.133639	0.0610319	0.730554	0.0747748	0.0312058	0.0312058	0.248192	0.248192	-3.467151	2.073598
19	-56235.89	-56234.88	-1.012804	0.0525403	0.0525403	0.0376992	0.0376992	-2.946176	-0.3319403	0.0126966	0.1335024	0.001049758	0.1180549	0.139936	0.466101	0.357384	0.0365795	0.0312058	0.0312058	0.263268	0.263268	-3.467151	2.132568
20	-56309.98	-56309.72	-0.2563129	0.0525403	0.0525403	0.0376992	0.0376992	-2.946176	-0.3319403	0.02372777	0.1335024	0.000226539	0.1180549	0.0809665	0.235739	0.662129	0.0211648	0.0312058	0.0312058	0.263268	0.263268	-3.467151	2.132568
21	-56289.39	-56287.77	-1.625253	0.0184759	0.0184759	0.013257	0.013257	-3.991287	-0.3319403	0.04697512	0.1551304	0.0005569624	0.1180549	0.174797	0.508932	0.270579	0.0456921	0.0312058	0.0312058	0.263268	0.263268	-3.467151	2.132568
22	-56122.59	-56121.23	-1.363271	0.0184759	0.0184759	0.0464716	0.0464716	-3.991287	0.922374	0.0512199	0.2023669	0.0005706616	0.03334838	0.244573	0.148515	0.378591	0.228321	0.0304442	0.0304442	0.256843	0.256843	-3.49186	2.132568
23	-55969.69	-55967.01	-2.678969	0.0120249	0.0120249	0.00475314	0.00475314	-4.420774	-0.9281751	0.02868275	0.1496252	0.002797274	0.03334838	0.282805	0.171731	0.281453	0.264011	0.0304442	0.0304442	0.256843	0.256843	-3.49186	2.132568
