Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-56486.95	-56486.17	-0.7779526	0.0233822	0.0233822	0.0296912	0.0296912	-3.755782	0.238879	0.004410188	0.1513823	0.01760548	0.02237673	0.210945	0.612809	0.129229	0.0470165	0.0875438	0.0875438	0.315979	0.315979	-2.435616	1.283537
1	-56482.91	-56482.42	-0.4887947	0.0408473	0.0408473	0.0518689	0.0518689	-3.197915	0.238879	0.00838474	0.2231837	0.01760548	0.02237673	0.286724	0.024513	0.624856	0.0639065	0.0875438	0.0875438	0.350908	0.350908	-2.435616	1.388384
2	-56452.9	-56452.29	-0.6128622	0.0251501	0.0251501	0.039136	0.039136	-3.682893	0.4421812	0.00838474	0.2440828	0.006283063	0.03060745	0.474688	0.146632	0.00353806	0.375142	0.0875438	0.0875438	0.350908	0.350908	-2.435616	1.388384
3	-56466.43	-56466.36	-0.0694367	0.0535641	0.0535641	0.083351	0.083351	-2.926876	0.4421812	0.01936688	0.227942	0.009538035	0.02060768	0.125918	0.296938	0.00716476	0.569979	0.0875438	0.0875438	0.350908	0.350908	-2.435616	1.388384
4	-56445.42	-56445.6	0.1840209	0.0535641	0.0535641	0.083351	0.083351	-2.926876	0.4421812	0.00639047	0.1742813	0.009538035	0.01589029	0.388593	0.207704	0.00501164	0.398691	0.0875438	0.0875438	0.333085	0.333085	-2.435616	1.336259
5	-56426.56	-56426.08	-0.4844612	0.0224369	0.0224369	0.034914	0.034914	-3.797048	0.4421812	0.00439378	0.1817118	0.009538035	0.01589029	0.227587	0.535977	0.00293516	0.233501	0.0851511	0.0851511	0.323982	0.323982	-2.463328	1.336259
6	-56468.07	-56467.81	-0.2598633	0.0224369	0.0224369	0.0344766	0.0344766	-3.797048	0.4295738	0.00439378	0.2510463	0.006284619	0.01595186	0.463417	0.328663	0.00258115	0.205339	0.0851511	0.0851511	0.299495	0.299495	-2.463328	1.257671
7	-56423.98	-56423.42	-0.5643276	0.0224369	0.0224369	0.0300436	0.0300436	-3.797048	0.2919436	0.002603298	0.1632911	0.006284619	0.02626856	0.400788	0.419392	0.00223232	0.177588	0.0785633	0.0785633	0.328487	0.328487	-2.54385	1.430591
8	-56444.18	-56443.6	-0.5781032	0.04587	0.04587	0.0176842	0.0176842	-3.081944	-0.9531417	0.008624641	0.1774597	0.0135593	0.02626856	0.264509	0.514774	0.00274002	0.217977	0.0779855	0.0779855	0.259539	0.259539	-2.551232	1.202386
9	-56419.72	-56419.51	-0.2137637	0.0479858	0.0479858	0.0202065	0.0202065	-3.036851	-0.8648981	0.005784125	0.1774597	0.008178135	0.02626856	0.110567	0.298211	0.417259	0.173963	0.0774336	0.0774336	0.257703	0.257703	-2.558335	1.202386
10	-56409.21	-56408.94	-0.2718319	0.0304172	0.0304172	0.0328246	0.0328246	-3.492747	0.0761707	0.003848791	0.150012	0.008178135	0.02626856	0.26984	0.133707	0.187083	0.40937	0.0774336	0.0774336	0.297827	0.297827	-2.558335	1.347092
11	-56425.32	-56425.29	-0.02357753	0.0552985	0.0552985	0.0247819	0.0247819	-2.89501	-0.8026332	0.005645516	0.1976301	0.008178135	0.01635804	0.0912356	0.025101	0.261349	0.622314	0.0733387	0.0733387	0.282077	0.282077	-2.612667	1.347092
12	-56463.97	-56462.74	-1.229576	0.0192068	0.0192068	0.00860749	0.00860749	-3.952489	-0.8026332	0.01835746	0.2860161	0.008178135	0.02847888	0.434847	0.0679613	0.147048	0.350144	0.0786696	0.0786696	0.296325	0.296325	-2.542498	1.326199
13	-56453.47	-56452.03	-1.441816	0.0129844	0.0129844	0.0243023	0.0243023	-4.34401	0.6268244	0.0260642	0.2056194	0.008178135	0.02620131	0.434847	0.0679613	0.147048	0.350144	0.0760652	0.0760652	0.26672	0.26672	-2.576165	1.25461
14	-56430.35	-56429.08	-1.277663	0.0129844	0.0129844	0.00840124	0.00840124	-4.34401	-0.4353668	0.01072436	0.2482391	0.005493388	0.02658972	0.214781	0.179483	0.580381	0.025355	0.0789595	0.0789595	0.309286	0.309286	-2.53882	1.365329
15	-56402.07	-56400.63	-1.435711	0.0131376	0.0131376	0.00850036	0.00850036	-4.33228	-0.4353668	0.005663841	0.1953145	0.008234932	0.02658972	0.221409	0.185022	0.567432	0.0261375	0.0691121	0.0691121	0.270713	0.270713	-2.672026	1.365329
16	-56405.89	-56405.37	-0.5238507	0.0264425	0.0264425	0.0213833	0.0213833	-3.632784	-0.2123592	0.009622167	0.1953145	0.007434908	0.02634841	0.1544	0.349191	0.478182	0.018227	0.0709266	0.0709266	0.296452	0.296452	-2.646109	1.430238
17	-56428.39	-56427.67	-0.7168133	0.0183846	0.0183846	0.0149154	0.0149154	-3.996243	-0.209119	0.01166681	0.2214442	0.007434908	0.02634841	0.223228	0.168423	0.392091	0.216258	0.0828442	0.0828442	0.283226	0.283226	-2.490794	1.229285
18	-56410.35	-56408.07	-2.279667	0.0183846	0.0183846	0.00233376	0.00233376	-3.996243	-2.064033	0.001869958	0.1527997	0.004018555	0.01926441	0.638012	0.0784878	0.18272	0.10078	0.078583	0.078583	0.268658	0.268658	-2.5436	1.229285
19	-56397.14	-56396.14	-0.9970377	0.0189543	0.0189543	0.00710221	0.00710221	-3.965725	-0.9816243	0.004905852	0.1778203	0.006669753	0.02504013	0.245544	0.220109	0.251723	0.282624	0.078583	0.078583	0.263764	0.263764	-2.5436	1.210901
20	-56403.39	-56402.92	-0.4784647	0.026005	0.026005	0.0116752	0.0116752	-3.649465	-0.8008239	0.007630797	0.1568814	0.006669753	0.02385655	0.247878	0.222201	0.244612	0.28531	0.078583	0.078583	0.27133	0.27133	-2.5436	1.239181
21	-56413.88	-56413.73	-0.1478316	0.0303899	0.0303899	0.0136438	0.0136438	-3.493646	-0.8008239	0.002295333	0.1568814	0.003388539	0.02385655	0.34068	0.30539	0.101628	0.252302	0.0707419	0.0707419	0.280131	0.280131	-2.648717	1.37622
22	-56439.18	-56437.66	-1.52165	0.0103552	0.0103552	0.0203659	0.0203659	-4.570262	0.6763669	0.001011353	0.2008916	0.003388539	0.02385655	0.323568	0.290051	0.0965234	0.289857	0.0707419	0.0707419	0.304491	0.304491	-2.648717	1.459602
23	-56396.38	-56393.46	-2.916472	0.0103552	0.0103552	0.00202303	0.00202303	-4.570262	-1.632895	0.001011353	0.1495742	0.007093117	0.02637326	0.195076	0.403636	0.134322	0.266966	0.0708218	0.0708218	0.280343	0.280343	-2.647588	1.375848
24	-56394.49	-56392.59	-1.90256	0.0213191	0.0213191	0.00416497	0.00416497	-3.848152	-1.632895	0.003937758	0.1495742	0.007093117	0.02637326	0.0141846	0.250812	0.246025	0.488978	0.0708218	0.0708218	0.273264	0.273264	-2.647588	1.35027
25	-56432.75	-56430.47	-2.283489	0.00823943	0.00823943	0.00394227	0.00394227	-4.798824	-0.7371733	0.0271268	0.152842	0.007093117	0.02548245	0.0237539	0.420016	0.412001	0.144229	0.0599498	0.0599498	0.231314	0.231314	-2.814248	1.35027
26	-56448.27	-56447.32	-0.9557093	0.0158359	0.0158359	0.0324086	0.0324086	-4.145476	0.7161436	0.01556779	0.152842	0.005283763	0.01353275	0.0196446	0.520351	0.340726	0.119278	0.0599498	0.0599498	0.281919	0.281919	-2.814248	1.548113
27	-56399.19	-56398.16	-1.027675	0.0158359	0.0158359	0.0324086	0.0324086	-4.145476	0.7161436	0.002080161	0.09255953	0.006552869	0.02070394	0.0191072	0.506116	0.358761	0.116015	0.0610303	0.0610303	0.240541	0.240541	-2.796385	1.371522
28	-56408.47	-56406.73	-1.740087	0.0109075	0.0109075	0.0223226	0.0223226	-4.518302	0.7161436	0.01070575	0.1164417	0.007171301	0.02070394	0.363816	0.328255	0.232684	0.0752447	0.0610303	0.0610303	0.263001	0.263001	-2.796385	1.460787
29	-56394.52	-56393.96	-0.5610612	0.0275544	0.0275544	0.0129156	0.0129156	-3.591592	-0.7577287	0.007665083	0.1472228	0.007171301	0.02070394	0.641884	0.125048	0.100312	0.132755	0.0610303	0.0610303	0.245498	0.245498	-2.796385	1.391919
30	-56378.58	-56377.16	-1.425997	0.0131091	0.0131091	0.00614462	0.00614462	-4.334449	-0.7577287	0.005759941	0.1406204	0.007171301	0.02070394	0.065158	0.20106	0.31582	0.417962	0.063602	0.063602	0.255843	0.255843	-2.75511	1.391919
31	-56396.43	-56395.27	-1.157917	0.0131091	0.0131091	0.00614462	0.00614462	-4.334449	-0.7577287	0.001901864	0.09483868	0.007171301	0.02070394	0.04096	0.497766	0.198532	0.262741	0.067935	0.067935	0.223965	0.223965	-2.689204	1.19294
32	-56413.99	-56413.27	-0.7162239	0.0202066	0.0202066	0.00947143	0.00947143	-3.901747	-0.7577287	0.004593727	0.1034327	0.008255429	0.02500383	0.0577379	0.292042	0.279855	0.370365	0.0734463	0.0734463	0.232938	0.232938	-2.611201	1.154219
33	-56405.52	-56404.94	-0.5776181	0.0264107	0.0264107	0.0123795	0.0123795	-3.633987	-0.7577287	0.003536906	0.1761795	0.008255429	0.02500383	0.790079	0.00482208	0.0901112	0.114987	0.0734463	0.0734463	0.250239	0.250239	-2.611201	1.225862
34	-56418.04	-56417.79	-0.2487072	0.030834	0.030834	0.0144528	0.0144528	-3.479138	-0.7577287	0.003029814	0.1759661	0.006055468	0.02500383	0.81376	0.0069352	0.0139284	0.165377	0.0886584	0.0886584	0.300839	0.300839	-2.422964	1.221785
35	-56437.15	-56436.88	-0.2769066	0.0397719	0.0397719	0.0150583	0.0150583	-3.224594	-0.9712319	0.0006512002	0.2020077	0.00826902	0.02500383	0.202652	0.752695	0.00346862	0.0411841	0.0947929	0.0947929	0.278771	0.278771	-2.356061	1.078695
36	-56440.91	-56441.35	0.4422608	0.0615577	0.0615577	0.0437046	0.0437046	-2.78778	-0.3425222	0.00213236	0.1680185	0.007429411	0.02500383	0.202652	0.752695	0.00346862	0.0411841	0.0964848	0.0964848	0.283746	0.283746	-2.33837	1.078695
37	-56436.1	-56436.42	0.3169333	0.0322442	0.0322442	0.0228927	0.0228927	-3.434416	-0.3425222	0.009793293	0.1503127	0.005881262	0.01962304	0.0979437	0.0905895	0.393809	0.417658	0.0857036	0.0857036	0.252041	0.252041	-2.45686	1.078695
38	-56444.9	-56445.37	0.4611761	0.0345647	0.0345647	0.0245401	0.0245401	-3.364923	-0.3425222	0.007209614	0.1441166	0.005638657	0.01554567	0.0835657	0.0772911	0.335998	0.503145	0.0857036	0.0857036	0.267898	0.267898	-2.45686	1.13971
39	-56447.38	-56446.74	-0.6441933	0.0130025	0.0130025	0.00923146	0.00923146	-4.342615	-0.3425222	0.01180809	0.1441166	0.006158481	0.01554567	0.0835657	0.0772911	0.335998	0.503145	0.0820617	0.0820617	0.246623	0.246623	-2.500284	1.10039
40	-56406.31	-56405.08	-1.232263	0.0198277	0.0198277	0.00476628	0.00476628	-3.920673	-1.425517	0.005210708	0.1441166	0.006862942	0.02008026	0.13656	0.126306	0.549075	0.18806	0.0820617	0.0820617	0.247961	0.247961	-2.500284	1.105798
41	-56418.44	-56417.6	-0.8370255	0.0341332	0.0341332	0.00791212	0.00791212	-3.377485	-1.461874	0.01066728	0.1556044	0.006862942	0.02008026	0.151449	0.0310428	0.608943	0.208565	0.0748092	0.0748092	0.236446	0.236446	-2.592815	1.150781
42	-56466.3	-56465.17	-1.12387	0.0341332	0.0341332	0.00807084	0.00807084	-3.377485	-1.442012	0.01911555	0.1569543	0.01267803	0.02008026	0.151449	0.0310428	0.608943	0.208565	0.0775562	0.0775562	0.245129	0.245129	-2.556753	1.150781
43	-56408.47	-56405.55	-2.919774	0.00887783	0.00887783	0.00165929	0.00165929	-4.724199	-1.677164	0.004119413	0.1099469	0.009310363	0.02008026	0.151449	0.0310428	0.608943	0.208565	0.0755134	0.0755134	0.226991	0.226991	-2.583446	1.1006
44	-56458.45	-56455.78	-2.677217	0.0100036	0.0100036	0.00186971	0.00186971	-4.604808	-1.677164	0.006240706	0.1139795	0.01217848	0.01820318	0.137248	0.106435	0.563363	0.192954	0.0848742	0.0848742	0.227684	0.227684	-2.466586	0.9867893
45	-56452.5	-56452.05	-0.4495917	0.0193212	0.0193212	0.0140497	0.0140497	-3.946552	-0.3186052	0.006240706	0.1366425	0.01217848	0.01973486	0.13284	0.103016	0.545269	0.218875	0.0858573	0.0858573	0.230321	0.230321	-2.455069	0.9867893
46	-56450.39	-56450.2	-0.1857418	0.0262933	0.0262933	0.0191195	0.0191195	-3.638442	-0.3186052	0.002454461	0.1432972	0.01217848	0.02228045	0.115904	0.108948	0.576665	0.198484	0.0858573	0.0858573	0.230321	0.230321	-2.455069	0.9867893
47	-56475.69	-56475.47	-0.2143333	0.0262933	0.0262933	0.0191195	0.0191195	-3.638442	-0.3186052	0.01375047	0.1432972	0.01129739	0.02484292	0.0461933	0.043421	0.229829	0.680557	0.0869869	0.0869869	0.233352	0.233352	-2.441998	0.9867893
48	-56453.46	-56453.78	0.3204215	0.0461021	0.0461021	0.0335237	0.0335237	-3.076897	-0.3186052	0.004190192	0.1432972	0.01129739	0.01919298	0.0227723	0.0214056	0.150641	0.805181	0.0869869	0.0869869	0.241388	0.241388	-2.441998	1.020648
49	-56424.77	-56423.93	-0.8392736	0.0461021	0.0461021	0.00997315	0.00997315	-3.076897	-1.530962	0.004190192	0.1796802	0.01022871	0.01919298	0.0266894	0.0250876	0.00454016	0.943683	0.0878866	0.0878866	0.257368	0.257368	-2.431708	1.07446
