Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-57254.36	-57251.38	-2.977896	0.0352045	0.0352045	0.0343802	0.0343802	-3.34658	-0.02369553	2.723323	0.03242149	0.03345879	0.04362844	0.26388	0.401585	0.26589	0.0686443	0.0763066	0.0763066	0.134597	0.134597	-2.572996	0.5675231
1	-57200.19	-57198.87	-1.317979	0.0465078	0.0465078	0.0284654	0.0284654	-3.068135	-0.4909323	1.985416	0.9293352	0.001566916	0.04362844	0.279729	0.425704	0.169335	0.125233	0.0919515	0.0919515	0.136259	0.136259	-2.386494	0.3932951
2	-57173.15	-57171.53	-1.622694	0.0465078	0.0465078	0.0284654	0.0284654	-3.068135	-0.4909323	0.5443453	2.413194	0.006372753	0.01553058	0.279729	0.425704	0.169335	0.125233	0.168003	0.168003	0.248957	0.248957	-1.783771	0.3932951
3	-57129.34	-57127.15	-2.191453	0.0311334	0.0311334	0.0159815	0.0159815	-3.469475	-0.6668499	0.3362741	2.413194	0.01438859	0.01553058	0.170994	0.360847	0.347263	0.120897	0.160097	0.160097	0.237241	0.237241	-1.831976	0.3932951
4	-57229.35	-57230.26	0.9087964	0.0311334	0.0311334	0.125227	0.125227	-3.469475	1.391851	0.07501743	0.1320812	0.001273864	0.01553058	0.176545	0.358431	0.344937	0.120087	0.111795	0.111795	0.165664	0.165664	-2.191087	0.3932951
5	-57661.76	-57661.11	-0.6558259	0.0642149	0.0642149	0.0245307	0.0245307	-2.745521	-0.9623079	0.2894344	0.1072634	0.02146106	0.1033069	0.175599	0.499123	0.205834	0.119444	0.105817	0.105817	0.13267	0.13267	-2.246042	0.2261515
6	-57142.02	-57140.67	-1.35284	0.0642149	0.0642149	0.0245307	0.0245307	-2.745521	-0.9623079	2.164833	0.3291145	0.02146106	0.007628257	0.186086	0.52893	0.158407	0.126577	0.100174	0.100174	0.125595	0.125595	-2.300845	0.2261515
7	-57137.8	-57137.56	-0.2410133	0.0642149	0.0642149	0.0245307	0.0245307	-2.745521	-0.9623079	1.440545	0.2741623	0.02146106	0.004129325	0.188492	0.535768	0.147527	0.128213	0.116813	0.116813	0.141801	0.141801	-2.147179	0.1938505
8	-57158.77	-57159.55	0.7866355	0.148722	0.148722	0.0773912	0.0773912	-1.905675	-0.6532069	0.6316859	0.1550173	0.01091729	0.007307183	0.251487	0.183811	0.393639	0.171063	0.116813	0.116813	0.176108	0.176108	-2.147179	0.4105187
9	-57038.21	-57038.69	0.481992	0.148722	0.148722	0.0361612	0.0361612	-1.905675	-1.414095	0.1184412	0.1550173	0.01091729	0.007307183	0.251487	0.183811	0.393639	0.171063	0.138632	0.138632	0.209001	0.209001	-1.975933	0.4105187
10	-57335.59	-57337.67	2.078584	0.0518459	0.0518459	0.0932984	0.0932984	-2.95948	0.5875279	0.2688438	0.2384239	0.008108684	0.001122532	0.414025	0.0529994	0.336403	0.196573	0.139245	0.139245	0.209925	0.209925	-1.971522	0.4105187
11	-57830.71	-57832.31	1.597365	0.0518459	0.0518459	0.0932984	0.0932984	-2.95948	0.5875279	0.433909	0.1154957	0.04048852	0.0005211083	0.339145	0.043414	0.456419	0.161021	0.0924304	0.0924304	0.143302	0.143302	-2.3813	0.438501
12	-57542.34	-57544.94	2.599947	0.0518459	0.0518459	0.106352	0.106352	-2.95948	0.7184829	0.04178251	0.02719997	0.04048852	0.0001310966	0.195628	0.0528422	0.55554	0.19599	0.120539	0.120539	0.200435	0.200435	-2.115785	0.5085211
13	-57787.98	-57789.72	1.738095	0.0781495	0.0781495	0.160309	0.160309	-2.549132	0.7184829	0.6309572	0.2070762	0.04048852	0.0001310966	0.27604	0.271506	0.175903	0.276551	0.106018	0.106018	0.223226	0.223226	-2.244146	0.7445747
14	-57541.41	-57541.33	-0.07703435	0.0781495	0.0781495	0.167282	0.167282	-2.549132	0.7610586	1.110596	0.3333692	0.03045186	0.001846956	0.343609	0.466639	0.0133949	0.176358	0.11418	0.11418	0.24041	0.24041	-2.169982	0.7445747
15	-57289.79	-57287.49	-2.305136	0.0173967	0.0173967	0.0372383	0.0372383	-4.051476	0.7610586	0.5840294	2.126807	0.03045186	0.001846956	0.351965	0.477987	0.0137207	0.156328	0.125711	0.125711	0.233552	0.233552	-2.073766	0.619414
16	-58468.84	-58464.32	-4.5165	0.0427579	0.0427579	0.091525	0.091525	-3.152202	0.7610586	3.554703	0.09908501	0.03045186	0.167722	0.617921	0.0835358	0.0240885	0.274454	0.104239	0.104239	0.144451	0.144451	-2.261073	0.3262605
17	-58194.64	-58188.91	-5.732128	0.0134886	0.0134886	0.0288729	0.0288729	-4.305911	0.7610586	3.554703	0.1327014	0.03045186	0.167722	0.617921	0.0835358	0.0240885	0.274454	0.0946043	0.0946043	0.1311	0.1311	-2.358052	0.3262605
18	-57185.45	-57184.38	-1.066827	0.0493698	0.0493698	0.01879	0.01879	-3.008416	-0.9660148	0.3293442	0.6062851	0.03045186	0.0356463	0.528399	0.102595	0.0297739	0.339232	0.108419	0.108419	0.162042	0.162042	-2.221751	0.4018527
19	-57218.83	-57217.14	-1.696479	0.0441859	0.0441859	0.016817	0.016817	-3.119349	-0.9660148	1.420912	1.132506	0.03045186	0.004646739	0.194132	0.603703	0.0109388	0.191226	0.110457	0.110457	0.165087	0.165087	-2.203133	0.4018527
20	-57365.28	-57363.86	-1.415517	0.112489	0.112489	0.0428129	0.0428129	-2.184901	-0.9660148	1.915033	1.061913	0.03045186	0.001793955	0.0328042	0.753534	0.0136537	0.200008	0.113829	0.113829	0.170128	0.170128	-2.17306	0.4018527
21	-57150.19	-57148.24	-1.949581	0.112489	0.112489	0.0428129	0.0428129	-2.184901	-0.9660148	2.605101	0.3404371	0.0037353	0.03969936	0.0600188	0.541331	0.0136002	0.38505	0.113829	0.113829	0.179744	0.179744	-2.17306	0.4568397
22	-58199.84	-58199.39	-0.4505155	0.112489	0.112489	0.0808288	0.0808288	-2.184901	-0.33052	0.525415	0.3404371	0.01837512	0.03969936	0.122068	0.146728	0.0153324	0.715872	0.20331	0.20331	0.321042	0.321042	-1.593023	0.4568397
23	-57449.67	-57448.73	-0.9445912	0.112489	0.112489	0.0812357	0.0812357	-2.184901	-0.3254996	0.179907	1.44009	0.01837512	0.03969936	0.529562	0.396845	0.028784	0.0448091	0.226903	0.226903	0.260128	0.260128	-1.483231	0.1366499
24	-57107.31	-57107.44	0.1324784	0.0543307	0.0543307	0.0331187	0.0331187	-2.912666	-0.4949928	0.179907	0.2897135	0.01837512	0.03969936	0.07401	0.278724	0.0202164	0.62705	0.148479	0.148479	0.182669	0.182669	-1.907313	0.2072343
25	-57027.66	-57026.87	-0.7888898	0.0422672	0.0422672	0.0381965	0.0381965	-3.163743	-0.1012673	0.4441029	0.9977325	0.01837512	0.02603904	0.07401	0.278724	0.0202164	0.62705	0.131881	0.131881	0.196067	0.196067	-2.025853	0.3965521
26	-58288.16	-58288.38	0.2163478	0.0422672	0.0422672	0.0381965	0.0381965	-3.163743	-0.1012673	0.1112178	0.520353	0.01950888	0.01594091	0.07401	0.278724	0.0202164	0.62705	0.0658584	0.0658584	0.0979109	0.0979109	-2.720249	0.3965521
27	-57275.16	-57274.19	-0.96967	0.0299311	0.0299311	0.0270485	0.0270485	-3.508857	-0.1012673	0.8724062	0.7349297	0.01950888	0.01594091	0.195634	0.150029	0.0534389	0.600898	0.0809524	0.0809524	0.120351	0.120351	-2.513894	0.3965521
28	-57188.39	-57187.7	-0.6984759	0.0267043	0.0267043	0.0241325	0.0241325	-3.62293	-0.1012673	0.8923401	0.1698462	0.02702872	0.01594091	0.178411	0.254881	0.0487343	0.517974	0.0809524	0.0809524	0.120351	0.120351	-2.513894	0.3965521
29	-57503.78	-57502.53	-1.250644	0.026391	0.026391	0.0378015	0.0378015	-3.634734	0.3593268	0.8923401	0.2520526	0.02702872	0.03032018	0.178411	0.254881	0.0487343	0.517974	0.137864	0.137864	0.212823	0.212823	-1.981486	0.4341916
30	-57251.87	-57249.65	-2.214513	0.026391	0.026391	0.0378015	0.0378015	-3.634734	0.3593268	0.2782802	1.552451	0.02702872	0.03032018	0.157938	0.340384	0.043142	0.458536	0.149241	0.149241	0.297636	0.297636	-1.90219	0.6903067
31	-57129.02	-57122.89	-6.129562	0.0195354	0.0195354	0.07117	0.07117	-3.935527	1.292843	0.05299183	5.752191	0.00944631	0.01057749	0.157938	0.340384	0.043142	0.458536	0.161012	0.161012	0.294556	0.294556	-1.826274	0.6039871
