Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
22	-56445.87	-56440.41	-5.457927	0.00343604	0.00343604	0.0130829	0.0130829	-5.673435	1.336983	0.02190017	0.1681249	0.01164139	0.02373349	0.00455629	0.0786913	0.021936	0.894816	0.044864	0.044864	0.243358	0.243358	-3.104119	1.690896
23	-56434.75	-56430.35	-4.40018	0.0038316	0.0038316	0.00644525	0.00644525	-5.564474	0.5200616	0.02190017	0.1518104	0.01164139	0.02373349	0.024051	0.336501	0.367253	0.272196	0.044864	0.044864	0.238055	0.238055	-3.104119	1.668864
24	-56436.57	-56434.26	-2.300837	0.0108122	0.0108122	0.0271183	0.0271183	-4.527082	0.9195348	0.02190017	0.1537222	0.006128207	0.02373349	0.024051	0.336501	0.367253	0.272196	0.0456313	0.0456313	0.242126	0.242126	-3.087162	1.668864
25	-56471.48	-56467.93	-3.548517	0.0108122	0.0108122	0.0774035	0.0774035	-4.527082	1.968358	0.02415028	0.1440489	0.008712838	0.01227174	0.00274113	0.343848	0.375272	0.278139	0.0556212	0.0556212	0.295134	0.295134	-2.88919	1.668864
26	-56465.55	-56461.23	-4.326644	0.0108122	0.0108122	0.1049	0.1049	-4.527082	2.272339	0.01554097	0.1224886	0.01200961	0.01227174	0.00274113	0.343848	0.375272	0.278139	0.0556212	0.0556212	0.295134	0.295134	-2.88919	1.668864
27	-56422.46	-56418.07	-4.386846	0.0108122	0.0108122	0.1049	0.1049	-4.527082	2.272339	0.004677201	0.1132481	0.006158786	0.02761553	0.358885	0.489489	0.122121	0.029505	0.0557301	0.0557301	0.295711	0.295711	-2.887235	1.668864
28	-56401.55	-56399.3	-2.251132	0.00910593	0.00910593	0.0286072	0.0286072	-4.69883	1.144734	0.00801727	0.1150619	0.006158786	0.016771	0.440609	0.0685939	0.149931	0.340866	0.0575646	0.0575646	0.243403	0.243403	-2.854848	1.441811
29	-56434.56	-56432.86	-1.6924	0.00910593	0.00910593	0.00690172	0.00690172	-4.69883	-0.2771553	0.001545327	0.1988932	0.008199754	0.016771	0.20205	0.423495	0.219796	0.154659	0.0838687	0.0838687	0.331167	0.331167	-2.478502	1.373371
30	-56463.62	-56461.63	-1.995685	0.011446	0.011446	0.0277666	0.0277666	-4.470117	0.8861962	0.004376106	0.2085378	0.008199754	0.03566868	0.141527	0.3392	0.176047	0.343226	0.0838687	0.0838687	0.304633	0.304633	-2.478502	1.289855
31	-56455.69	-56453.37	-2.318207	0.00737987	0.00737987	0.0109678	0.0109678	-4.909	0.39621	0.004338237	0.1999226	0.0057827	0.03566868	0.116657	0.279595	0.145111	0.458637	0.0795951	0.0795951	0.30698	0.30698	-2.530802	1.349828
32	-56418.19	-56414.37	-3.819356	0.00607472	0.00607472	0.0320639	0.0320639	-5.10362	1.663595	0.005559498	0.1999226	0.0057827	0.02098073	0.0767273	0.183894	0.249368	0.490011	0.0795951	0.0795951	0.337609	0.337609	-2.530802	1.444935
33	-56481.57	-56479.8	-1.776876	0.0209556	0.0209556	0.110609	0.110609	-3.86535	1.663595	0.01936348	0.1999226	0.007596382	0.01503425	0.169646	0.406593	0.163762	0.26	0.0900809	0.0900809	0.359368	0.359368	-2.407047	1.38364
34	-56455.64	-56453.78	-1.859689	0.0209556	0.0209556	0.110609	0.110609	-3.86535	1.663595	0.01110393	0.1673257	0.007477965	0.01944195	0.183264	0.439231	0.176907	0.200598	0.0921151	0.0921151	0.367484	0.367484	-2.384716	1.38364
35	-56432.7	-56430.47	-2.223504	0.0162433	0.0162433	0.100018	0.100018	-4.120074	1.817671	0.003360936	0.1673257	0.004940072	0.01944195	0.489422	0.14651	0.297156	0.0669116	0.0875827	0.0875827	0.349402	0.349402	-2.435172	1.38364
36	-56430.64	-56428.82	-1.819152	0.0162433	0.0162433	0.0557152	0.0557152	-4.120074	1.232571	0.004955101	0.1872705	0.01228483	0.01944195	0.497499	0.144193	0.292455	0.0658531	0.0844821	0.0844821	0.337033	0.337033	-2.471215	1.38364
37	-56424.63	-56422.44	-2.189139	0.0125061	0.0125061	0.0428965	0.0428965	-4.381537	1.232571	0.009364146	0.166523	0.008376657	0.02580101	0.498909	0.301577	0.162845	0.0366684	0.0777135	0.0777135	0.327573	0.327573	-2.554726	1.438681
38	-56416.18	-56414.17	-2.01345	0.0119983	0.0119983	0.0411546	0.0411546	-4.422992	1.232571	0.006971514	0.1516956	0.008376657	0.01704184	0.650349	0.0895772	0.212276	0.0477987	0.0752022	0.0752022	0.313472	0.313472	-2.587575	1.427531
39	-56402.62	-56400.49	-2.12613	0.0119983	0.0119983	0.0411546	0.0411546	-4.422992	1.232571	0.002269857	0.1363995	0.01055789	0.01704184	0.0255619	0.166311	0.394115	0.414012	0.0703554	0.0703554	0.293269	0.293269	-2.654196	1.427531
40	-56435.59	-56433.01	-2.579982	0.00986666	0.00986666	0.033843	0.033843	-4.618593	1.232571	0.01468877	0.1476495	0.006977516	0.03270664	0.0314268	0.20447	0.2551	0.509004	0.0630339	0.0630339	0.251228	0.251228	-2.764083	1.382687
41	-56397.45	-56395.01	-2.435453	0.00783101	0.00783101	0.0207979	0.0207979	-4.849664	0.9767603	0.01468877	0.1476495	0.006187752	0.0221184	0.0214203	0.457772	0.173874	0.346933	0.0630339	0.0630339	0.251228	0.251228	-2.764083	1.382687
42	-56407.74	-56405.16	-2.587382	0.00783101	0.00783101	0.0207979	0.0207979	-4.849664	0.9767603	0.004665773	0.1464363	0.006187752	0.03022552	0.0187069	0.399784	0.333558	0.247951	0.0698389	0.0698389	0.286397	0.286397	-2.661565	1.411187
43	-56472.2	-56470.34	-1.856044	0.0176796	0.0176796	0.0469542	0.0469542	-4.035343	0.9767603	0.004050511	0.2046585	0.0157493	0.03022552	0.0132721	0.283638	0.236653	0.466437	0.0729043	0.0729043	0.298967	0.298967	-2.618608	1.411187
