Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-56707.52	-56706.95	-0.568873	0.0306341	0.0306341	0.0774002	0.0774002	-3.48564	0.9268747	0.139119	0.2162802	0.006790932	0.01265561	0.0312561	0.0775589	0.501048	0.390137	0.0612061	0.0612061	0.256659	0.256659	-2.793509	1.433503
1	-56517.03	-56515.74	-1.292257	0.0306341	0.0306341	0.0066105	0.0066105	-3.48564	-1.533456	0.01967193	0.1723798	0.006618785	0.01436281	0.225076	0.182766	0.229046	0.363112	0.0496401	0.0496401	0.208159	0.208159	-3.002956	1.433503
2	-56690.7	-56690.07	-0.6310079	0.073147	0.073147	0.0157843	0.0157843	-2.615285	-1.533456	0.04453164	0.1406116	0.006618785	0.01436281	0.223822	0.183062	0.229417	0.3637	0.0669825	0.0669825	0.261009	0.261009	-2.703324	1.360122
3	-56592.28	-56592.06	-0.2194943	0.073147	0.073147	0.0179201	0.0179201	-2.615285	-1.406549	0.046627	0.1905359	0.006198588	0.01436281	0.199095	0.114895	0.203263	0.482747	0.077786	0.077786	0.245755	0.245755	-2.553794	1.150373
4	-56590.22	-56590.01	-0.2185702	0.0814483	0.0814483	0.0199538	0.0199538	-2.507787	-1.406549	0.04499287	0.1905359	0.006198588	0.01671431	0.417496	0.0736803	0.130349	0.378475	0.0813129	0.0813129	0.244064	0.244064	-2.509451	1.099126
5	-56483.28	-56482.31	-0.9628785	0.0217324	0.0217324	0.00532416	0.00532416	-3.828952	-1.406549	0.03029365	0.1985744	0.003745584	0.01734554	0.502546	0.0754965	0.133562	0.288396	0.0716057	0.0716057	0.248479	0.248479	-2.636581	1.244184
6	-56636.87	-56636.8	-0.0691272	0.086824	0.086824	0.0599477	0.0599477	-2.443872	-0.3704097	0.03029365	0.1519229	0.01956799	0.01734554	0.0389135	0.341444	0.0891071	0.530535	0.0742448	0.0742448	0.274585	0.274585	-2.600388	1.307893
7	-56485.9	-56484.59	-1.316376	0.0153528	0.0153528	0.0106004	0.0106004	-4.176457	-0.3704097	0.0210849	0.2044918	0.00454599	0.03295644	0.131408	0.28952	0.0755563	0.503516	0.0524821	0.0524821	0.248482	0.248482	-2.947283	1.554896
8	-56516.55	-56516.32	-0.231978	0.0351011	0.0351011	0.0339569	0.0339569	-3.349522	-0.03314083	0.02804434	0.2044918	0.003514794	0.03295644	0.360833	0.213047	0.0555992	0.37052	0.0556784	0.0556784	0.263615	0.263615	-2.888163	1.554896
9	-56554.03	-56552.47	-1.559989	0.0221957	0.0221957	0.0144152	0.0144152	-3.807856	-0.4316156	0.0273159	0.1625395	0.01955383	0.03295644	0.360833	0.213047	0.0555992	0.37052	0.0579178	0.0579178	0.274217	0.274217	-2.84873	1.554896
