Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-57209.76	-57210.62	0.8625755	0.105798	0.105798	0.125307	0.125307	-2.246228	0.1692358	0.5951559	0.2718675	0.003505367	0.01056181	0.214185	0.185615	0.467037	0.133163	0.101675	0.101675	0.252596	0.252596	-2.285974	0.9100095
1	-57270.67	-57270.75	0.08548513	0.0322888	0.0322888	0.0557907	0.0557907	-3.433035	0.5468859	0.724874	0.1681945	0.003505367	0.01792744	0.204152	0.0276172	0.641307	0.126925	0.0608815	0.0608815	0.124802	0.124802	-2.798826	0.7178021
2	-57040.6	-57041.67	1.073991	0.0506424	0.0506424	0.0627716	0.0627716	-2.982966	0.2147136	0.3708872	0.1681945	0.003505367	0.01272461	0.291342	0.0394122	0.0616282	0.607617	0.095318	0.095318	0.204262	0.204262	-2.350537	0.7621854
3	-57171.33	-57171.36	0.02470152	0.106494	0.106494	0.132	0.132	-2.239664	0.2147136	0.6793626	0.7964251	0.003505367	0.01272461	0.0725624	0.210454	0.0153493	0.701634	0.0951176	0.0951176	0.267635	0.267635	-2.352641	1.034511
4	-57290.6	-57290.62	0.02476147	0.106494	0.106494	0.067209	0.067209	-2.239664	-0.460285	0.3583678	1.143496	0.00106606	0.03249754	0.023483	0.221591	0.0161615	0.738764	0.0951176	0.0951176	0.267635	0.267635	-2.352641	1.034511
5	-57359.52	-57357.71	-1.808135	0.0172035	0.0172035	0.0108572	0.0108572	-4.062642	-0.460285	1.290256	0.9256459	0.001168394	0.04101255	0.0963099	0.68338	0.0662828	0.154027	0.0951176	0.0951176	0.228774	0.228774	-2.352641	0.8776186
6	-57051.42	-57049.29	-2.128137	0.0391892	0.0391892	0.0462649	0.0462649	-3.239354	0.1659816	1.303816	0.9256459	0.01225178	0.04101255	0.0956438	0.678654	0.0727409	0.152962	0.0835483	0.0835483	0.200948	0.200948	-2.48233	0.8776186
7	-57106.96	-57105.36	-1.598349	0.017499	0.017499	0.0213435	0.0213435	-4.04561	0.1986012	1.303816	0.6356206	0.00136553	0.04430458	0.0956438	0.678654	0.0727409	0.152962	0.0669619	0.0669619	0.161054	0.161054	-2.703632	0.8776186
8	-57691.11	-57689.44	-1.667447	0.0317724	0.0317724	0.014719	0.014719	-3.449159	-0.769456	0.3387335	0.103828	0.06000108	0.04430458	0.135251	0.545581	0.102863	0.216304	0.0813832	0.0813832	0.19574	0.19574	-2.508587	0.8776186
9	-58273.45	-58270.7	-2.746384	0.0307823	0.0307823	0.0576571	0.0576571	-3.480815	0.6275731	1.477116	0.8146832	0.004471425	0.1368145	0.111103	0.401894	0.309317	0.177686	0.0813832	0.0813832	0.19574	0.19574	-2.508587	0.8776186
10	-57960.52	-57957.2	-3.320261	0.0307823	0.0307823	0.0442917	0.0442917	-3.480815	0.3638574	0.5338106	0.8146832	0.09977516	0.1368145	0.230115	0.146437	0.363297	0.260152	0.0813832	0.0813832	0.19574	0.19574	-2.508587	0.8776186
11	-57987.7	-57984.44	-3.263631	0.0307823	0.0307823	0.0291393	0.0291393	-3.480815	-0.05485431	0.2251834	0.8146832	0.1080117	0.1772023	0.0711315	0.204985	0.359719	0.364164	0.107414	0.107414	0.28844	0.28844	-2.231063	0.987795
12	-58357.82	-58354.54	-3.276011	0.0238989	0.0238989	0.0208973	0.0208973	-3.733923	-0.1342115	0.1772498	0.5994468	0.1080117	0.1772023	0.0544846	0.261168	0.405409	0.278939	0.13392	0.13392	0.359616	0.359616	-2.010515	0.987795
13	-58258.18	-58254.29	-3.887202	0.0355828	0.0355828	0.193039	0.193039	-3.335892	1.691031	0.3445624	0.2034008	0.1080117	0.1772023	0.355915	0.177908	0.276164	0.190013	0.109945	0.109945	0.241823	0.241823	-2.207772	0.7882233
14	-58083.43	-58076.17	-7.26007	0.00458261	0.00458261	0.024861	0.024861	-5.385486	1.691031	0.3445624	0.5844745	0.1080117	0.1657361	0.125425	0.0626948	0.108474	0.703406	0.107099	0.107099	0.235562	0.235562	-2.234005	0.7882233
15	-57873.42	-57869.6	-3.81914	0.0330136	0.0330136	0.179101	0.179101	-3.410835	1.691031	0.07483301	0.1234821	0.1080117	0.1657361	0.299866	0.0294345	0.340458	0.330241	0.107099	0.107099	0.308822	0.308822	-2.234005	1.059014
16	-58267	-58259.93	-7.076454	0.0330136	0.0330136	0.175642	0.175642	-3.410835	1.671527	2.283319	1.450411	0.1080117	0.1657361	0.299866	0.0294345	0.340458	0.330241	0.107099	0.107099	0.241641	0.241641	-2.234005	0.8137029
17	-57663.44	-57660.32	-3.128531	0.0250291	0.0250291	0.0253354	0.0253354	-3.687718	0.01216495	0.3673003	2.23637	0.06565238	0.01788958	0.557275	0.0186127	0.215286	0.208826	0.117946	0.117946	0.23475	0.23475	-2.137532	0.6882985
18	-57598.42	-57595.34	-3.072002	0.0250291	0.0250291	0.00847056	0.00847056	-3.687718	-1.083441	0.01233085	2.340408	0.006486125	0.0827096	0.460035	0.00782858	0.0905505	0.441586	0.111193	0.111193	0.221311	0.221311	-2.196485	0.6882985
19	-56991.43	-56991.15	-0.2824376	0.0250291	0.0250291	0.0862104	0.0862104	-3.687718	1.236753	0.02847002	0.6776159	0.002161914	0.0201005	0.395685	0.0271098	0.269018	0.308187	0.114475	0.114475	0.227842	0.227842	-2.167402	0.6882985
20	-57031.7	-57031.3	-0.4017868	0.0250291	0.0250291	0.075184	0.075184	-3.687718	1.099901	0.7794219	0.09437481	0.005051029	0.0201005	0.22163	0.338075	0.205209	0.235087	0.114475	0.114475	0.166167	0.166167	-2.167402	0.3726373
21	-57620.88	-57621.7	0.8202412	0.0216998	0.0216998	0.0328126	0.0328126	-3.830452	0.4135087	0.1928086	1.332865	0.003277989	0.001937081	0.0136624	0.298793	0.580859	0.106686	0.171758	0.171758	0.203939	0.203939	-1.76167	0.1717342
22	-57455.69	-57456.03	0.3475027	0.0216998	0.0216998	0.11488	0.11488	-3.830452	1.666582	0.3473539	0.2420217	0.003277989	0.001937081	0.0176175	0.0958069	0.749007	0.137569	0.134439	0.134439	0.191527	0.191527	-2.006644	0.3539189
23	-57795.76	-57791.32	-4.439748	0.0216998	0.0216998	0.11488	0.11488	-3.830452	1.666582	4.222504	0.2985367	0.04301391	0.0006966621	0.0159267	0.0866124	0.677125	0.220336	0.156028	0.156028	0.222283	0.222283	-1.857723	0.3539189
24	-58100.36	-58100.98	0.6142931	0.0233458	0.0233458	0.0304284	0.0304284	-3.757339	0.2649602	0.8169979	0.1203987	0.04301391	0.0006966621	0.0150085	0.13927	0.638088	0.207633	0.156028	0.156028	0.213912	0.213912	-1.857723	0.3155303
25	-57551.43	-57549.91	-1.524874	0.0439678	0.0439678	0.0573067	0.0573067	-3.124298	0.2649602	0.1451729	3.236546	0.04301391	0.001829879	0.0150085	0.13927	0.638088	0.207633	0.129498	0.129498	0.141986	0.141986	-2.044088	0.09205912
26	-57027.18	-57027.92	0.740731	0.0439678	0.0439678	0.0154287	0.0154287	-3.124298	-1.04723	0.0891235	0.6697471	0.002276119	0.01474933	0.0606224	0.13282	0.608539	0.198018	0.125828	0.125828	0.186827	0.186827	-2.072836	0.3952642
27	-57393	-57393.45	0.4430643	0.0959028	0.0959028	0.0336531	0.0336531	-2.34442	-1.04723	0.06196236	0.2025315	0.002276119	0.07011203	0.0151825	0.139245	0.637975	0.207597	0.0927327	0.0927327	0.170566	0.170566	-2.378034	0.6094016
28	-57092.76	-57093.01	0.2460532	0.0959028	0.0959028	0.0336531	0.0336531	-2.34442	-1.04723	0.3401342	0.3693547	0.01343798	0.008007656	0.0154792	0.141966	0.650441	0.192114	0.0927327	0.0927327	0.170566	0.170566	-2.378034	0.6094016
29	-57146.45	-57142.65	-3.793873	0.0429112	0.0429112	0.0875061	0.0875061	-3.148623	0.7125762	4.169424	0.3693547	0.01343798	0.03069892	0.0105948	0.097169	0.445196	0.44704	0.138827	0.138827	0.15775	0.15775	-1.974528	0.1277826
30	-57040.69	-57039.76	-0.9226948	0.0775487	0.0775487	0.0170405	0.0170405	-2.556849	-1.515313	0.4034211	0.6538171	0.01343798	0.03083735	0.0127215	0.54417	0.207798	0.23531	0.153197	0.153197	0.160169	0.160169	-1.876032	0.0445058
31	-57481.84	-57479.75	-2.090358	0.0839831	0.0839831	0.0146019	0.0146019	-2.47714	-1.749464	0.849293	0.4195349	0.05296462	0.02424421	0.093223	0.521968	0.159099	0.22571	0.146801	0.146801	0.153483	0.153483	-1.918674	0.0445058
32	-57669.17	-57666.74	-2.427389	0.021444	0.021444	0.00372841	0.00372841	-3.84231	-1.749464	0.204308	0.5475214	0.05073944	0.02424421	0.093223	0.521968	0.159099	0.22571	0.172343	0.172343	0.17776	0.17776	-1.758267	0.03094698
33	-57027.77	-57025.64	-2.133117	0.0521282	0.0521282	0.0860761	0.0860761	-2.954049	0.5015245	0.5338534	3.305698	0.004504182	0.02531747	0.0955629	0.50997	0.163092	0.231375	0.162685	0.162685	0.163873	0.163873	-1.815938	0.007271128
