Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-58312.71	-58315.99	3.284627	0.00736334	0.0227532	0.02053	0.0403195	-4.91124	-3.78305	-3.88587	-3.21092	-2.10228	-1.9303	-2.21287	-2.07078	0.007929146	0.003097501	0.02136442	0.007910107	0.02409942	0.01524322	0.0565599	0.0001797016	0.104111	0.32755	0.493324	0.0750141	0.122177	0.145104	0.109386	0.126088
1	-58317.95	-58318.41	0.4600991	0.0139999	0.0177087	0.0107901	0.0209284	-4.2687	-4.0337	-4.52913	-3.86665	-2.04672	-1.90758	-2.21287	-2.01333	0.008376169	0.003097501	0.02136442	0.01075907	0.02409942	0.01524322	0.0565599	0.008202903	0.138163	0.434683	0.327605	0.0995492	0.129158	0.148439	0.109386	0.133544
2	-58320.71	-58321.6	0.8968627	0.0139999	0.0253755	0.0192278	0.0114855	-4.2687	-3.67397	-3.9514	-4.46667	-2.09509	-1.90758	-2.07402	-2.08883	0.01094776	0.003703048	0.02136442	0.01075907	0.02409942	0.01524322	0.0565599	0.004955154	0.129133	0.471631	0.306193	0.0930429	0.123059	0.148439	0.12568	0.123831
3	-58317.49	-58318.66	1.172578	0.0154226	0.0251849	0.0192278	0.0114855	-4.17192	-3.68151	-3.9514	-4.46667	-2.08725	-1.90758	-2.12821	-1.94754	0.00713527	0.003760556	0.0219995	0.00980347	0.02527434	0.01661754	0.0565599	0.004955154	0.129133	0.471631	0.306193	0.0930429	0.124028	0.148439	0.11905	0.142625
4	-58316.44	-58318.01	1.56693	0.0108785	0.0251849	0.0261063	0.015072	-4.52096	-3.68151	-3.64558	-4.19491	-2.09385	-1.90454	-2.03684	-1.94754	0.00713527	0.003760556	0.02718956	0.008384559	0.01876666	0.01348118	0.06010841	0.004955154	0.0721654	0.160677	0.171115	0.596043	0.123212	0.148891	0.130441	0.142625
5	-58322.6	-58322.76	0.154327	0.0067527	0.00865215	0.0336098	0.0376613	-4.99781	-4.74995	-3.39294	-3.27912	-2.01948	-1.96485	-2.14315	-1.94901	0.01062758	0.003760556	0.02718956	0.009777671	0.01876666	0.01348118	0.06010841	0.004955154	0.0511729	0.113937	0.121338	0.713551	0.132724	0.140176	0.117285	0.142415
6	-58318.21	-58317.38	-0.8357922	0.0067527	0.012131	0.0223974	0.0134975	-4.99781	-4.41199	-3.79881	-4.30525	-2.13038	-1.96485	-2.14315	-1.89239	0.01062758	0.003760556	0.02718956	0.01147922	0.01876666	0.01348118	0.05913994	0.004955154	0.00382761	0.0674032	0.506645	0.422124	0.118792	0.140176	0.117285	0.150711
7	-58329.47	-58330.89	1.427066	0.00876109	0.0121191	0.0223974	0.0226152	-4.73743	-4.41297	-3.79881	-3.78913	-2.13038	-1.88673	-2.0726	-2.027	0.01073303	0.002765603	0.02718956	0.01147922	0.01588528	0.01348118	0.08482437	0.0005506426	0.00606405	0.106786	0.218382	0.668768	0.118792	0.151567	0.125858	0.13173
8	-58314.87	-58315.94	1.076472	0.00876109	0.0105056	0.031602	0.0150562	-4.73743	-4.55585	-3.45454	-4.19597	-2.07003	-1.99315	-2.14917	-2.027	0.01073303	0.00429775	0.02718956	0.01147922	0.01588528	0.01348118	0.05640055	0.0005506426	0.00627482	0.304482	0.225972	0.46327	0.126181	0.136266	0.11658	0.13173
9	-58312.03	-58314.13	2.097645	0.00876109	0.0159228	0.0195522	0.0251901	-4.73743	-4.14	-3.93467	-3.68131	-2.07003	-1.95392	-2.14917	-2.027	0.01031573	0.00429775	0.02718956	0.007782766	0.01559347	0.01348118	0.05640055	0.0004836896	0.00627482	0.304482	0.225972	0.46327	0.126181	0.141718	0.11658	0.13173
10	-58313.73	-58312.79	-0.9464853	0.0112252	0.00255125	0.0195522	0.0251901	-4.48959	-5.97117	-3.93467	-3.68131	-2.09622	-2.003	-2.06842	-2.09414	0.009109815	0.00279251	0.02756972	0.008858443	0.01568758	0.01460557	0.05640055	0.0004836896	0.00354913	0.17222	0.476208	0.348024	0.12292	0.13493	0.126385	0.123176
11	-58312.62	-58311.69	-0.9277967	0.0060949	0.00888985	0.00987274	0.017708	-5.1003	-4.72285	-4.61798	-4.03374	-2.08853	-2.003	-2.06842	-1.90974	0.007332452	0.003975036	0.02756972	0.009478168	0.01964448	0.01460557	0.05640055	0.0004836896	0.0021845	0.106002	0.677604	0.21421	0.123869	0.13493	0.126385	0.14812
