Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-58674.81	-58679.67	4.856976	0.0623802	0.166542	0.0576587	0.124695	-2.77451	-1.79251	-2.85321	-2.08188	-2.02618	-1.50149	-2.25162	-1.39585	0.01551135	0.002633505	0.02886149	0.01266012	0.01221869	0.009151364	0.1843907	0.002360235	0.0027678	0.129524	0.360625	0.507084	0.131838	0.222799	0.105229	0.247622
1	-58470.36	-58474.86	4.49294	0.0342889	0.0234898	0.0576587	0.12279	-3.37293	-3.75119	-2.85321	-2.09728	-2.02618	-1.78965	-1.92378	-1.39585	0.01551135	0.002356509	0.02995128	0.006612677	0.01221869	0.009151364	0.01939576	0.02185308	0.0027678	0.129524	0.360625	0.507084	0.131838	0.167018	0.146053	0.247622
2	-58752.51	-58758.89	6.384266	0.0272691	0.262756	0.0767752	0.12279	-3.602	-1.33653	-2.56687	-2.09728	-1.86115	-1.13739	-1.92378	-1.85089	0.01551135	0.00104567	0.006796338	0.006612677	0.009675129	0.009151364	0.006890677	0.02185308	0.00264267	0.16888	0.34432	0.484158	0.155494	0.320653	0.146053	0.157098
3	-58658.07	-58662.07	3.995918	0.0506224	0.244971	0.0767752	0.0510311	-2.98336	-1.40662	-2.56687	-2.97532	-2.03089	-1.13739	-1.92378	-1.48291	0.02038982	0.00104567	0.01288204	0.01493021	0.02091239	0.009151364	0.08389168	0.02185308	0.00195913	0.383853	0.25526	0.358928	0.131218	0.320653	0.146053	0.226976
4	-58968.19	-58969.75	1.561837	0.0631685	0.244971	0.0374746	0.0505952	-2.76195	-1.40662	-3.28409	-2.9839	-1.9426	-1.13739	-1.92378	-1.48062	0.02038982	0.01151131	0.04428143	0.02649694	0.04091707	0.004744261	0.08389168	0.02185308	0.00195913	0.383853	0.25526	0.358928	0.14333	0.320653	0.146053	0.227496
5	-58996.78	-58997.61	0.8307271	0.0631685	0.144511	0.082712	0.0869901	-2.76195	-1.9344	-2.49239	-2.44196	-2.0211	-1.72572	-1.92378	-1.48062	0.02038982	0.003499376	0.008204002	0.02649694	0.04091707	0.0678528	0.1866972	0.2492801	0.00195913	0.383853	0.25526	0.358928	0.13251	0.178045	0.146053	0.227496
6	-58917	-58917.96	0.9593125	0.0551084	0.0578158	0.0393275	0.0869901	-2.89845	-2.85049	-3.23583	-2.44196	-2.00831	-1.58251	-1.94319	-1.48062	0.02038982	0.003499376	0.008204002	0.007474349	0.04557775	0.0678528	0.1866972	0.2492801	0.002295	0.278222	0.299021	0.420462	0.134216	0.205458	0.143246	0.227496
7	-58828.09	-58827.84	-0.2508637	0.0249112	0.0411544	0.0393275	0.0982282	-3.69244	-3.19042	-3.23583	-2.32046	-2.00831	-2.21955	-1.94319	-4.12046	0.008342865	0.007356544	0.0226256	0.01614753	0.04557775	0.0678528	0.02879179	0.2492801	0.002295	0.278222	0.299021	0.420462	0.134216	0.108658	0.143246	0.0162371
8	-58889.54	-58887.92	-1.618169	0.0249112	0.0237803	0.0528508	0.0316077	-3.69244	-3.7389	-2.94028	-3.45435	-2.00831	-2.12655	-1.80365	-4.12046	0.009714679	0.001575866	0.009311179	0.01120131	0.04007157	0.4266567	0.09882701	0.2492801	0.00101912	0.123548	0.499336	0.376098	0.134216	0.119247	0.164697	0.0162371
9	-58810.91	-58811.52	0.6014696	0.0433344	0.0105814	0.0587275	0.0316077	-3.13881	-4.54866	-2.83485	-3.45435	-1.92674	-2.21143	-2.82694	-1.97954	0.02006037	0.00342788	0.01188718	0.01468047	0.003555056	0.06646869	0.07419046	0.2492801	0.00101912	0.123548	0.499336	0.376098	0.145623	0.109544	0.0591938	0.138133
10	-58943.07	-58942.87	-0.2041328	0.00835126	0.0426293	0.093633	0.0399438	-4.78534	-3.15521	-2.36837	-3.22028	-1.86769	-2.2058	-2.35977	-1.12091	0.01097558	0.00342788	0.04015212	0.01468047	0.003137087	0.06646869	0.07419046	0.2492801	0.00101912	0.123548	0.499336	0.376098	0.15448	0.110162	0.0944419	0.325983
11	-58835.11	-58836.7	1.589554	0.0371736	0.0192155	0.0207454	0.0650283	-3.29216	-3.95204	-3.87543	-2.73293	-1.86769	-2.19206	-1.84119	-1.23049	0.01135602	0.004178274	0.01422915	0.01799389	0.003137087	0.06646869	0.01230417	0.2492801	0.00101912	0.123548	0.499336	0.376098	0.15448	0.111687	0.158629	0.292148
12	-58780.39	-58782.87	2.481461	0.0371736	0.0116079	0.162878	0.0376243	-3.29216	-4.45607	-1.81475	-3.2801	-2.16787	-2.19206	-1.99996	-1.58713	0.01135602	0.004178274	0.02852149	0.02737113	0.003137087	0.06646869	0.03208343	0.01096375	0.000836954	0.101464	0.41008	0.487619	0.114421	0.111687	0.135341	0.204511
13	-58795.51	-58801	5.486498	0.05291	0.0272896	0.0456537	0.0627369	-2.93916	-3.60125	-3.08667	-2.76881	-2.11515	-1.89949	-2.4078	-1.58713	0.01135602	1.906536e-05	0.02852149	0.02737113	0.05141394	0.06646869	0.01552742	0.01096375	0.000836954	0.101464	0.41008	0.487619	0.120615	0.149646	0.0900129	0.204511
14	-58591.85	-58596.79	4.940761	0.0166613	0.0272896	0.0468997	0.0398844	-4.09467	-3.60125	-3.05974	-3.22177	-2.09995	-2.14452	-2.06128	-1.58713	0.008275264	6.373986e-06	0.02852149	0.02826949	0.05141394	0.02720457	0.04311016	0.01096375	0.000836954	0.101464	0.41008	0.487619	0.122462	0.117124	0.127291	0.204511
15	-58920.38	-58927.11	6.724419	0.0396844	0.148358	0.0460087	0.0398844	-3.2268	-1.90813	-3.07893	-3.22177	-2.3674	-1.31194	-2.06128	-2.16752	0.008275264	4.845657e-07	0.03006639	0.02826949	0.05141394	0.02720457	0.04311016	0.04168415	0.00109263	0.132459	0.229868	0.63658	0.0937245	0.269296	0.127291	0.114461
16	-58922.72	-58932.51	9.7922	0.0383684	0.103291	0.040582	0.0771056	-3.26052	-2.27021	-3.20443	-2.56258	-2.01355	-1.25007	-2.17279	-1.88957	0.0160971	1.742853e-08	0.03006639	0.011664	0.05141394	0.002168201	0.03681885	0.0605729	0.00212009	0.257018	0.446025	0.294837	0.133515	0.286486	0.113859	0.151137
17	-58783.04	-58794.17	11.13037	0.0235337	0.214189	0.0737847	0.0101464	-3.74932	-1.5409	-2.6066	-4.59064	-2.30046	-1.29082	-2.01423	-1.88957	0.0160971	9.352743e-09	0.02864439	0.02605493	0.05141394	0.002168201	0.1329509	1.130752e-05	0.00181634	0.220195	0.525394	0.252595	0.100212	0.275044	0.133423	0.151137
18	-58804.32	-58812.27	7.953932	0.0192514	0.13043	0.00786525	0.0893023	-3.95017	-2.03692	-4.8453	-2.41573	-2.03662	-1.29082	-2.57364	-2.00787	0.008559765	9.352743e-09	0.02864439	0.03132812	0.05141394	0.04257868	0.1329509	0.0001990595	0.00181634	0.220195	0.525394	0.252595	0.130469	0.275044	0.0762571	0.134274
19	-58694.07	-58702.1	8.021581	0.0500838	0.0835539	0.0686633	0.0128943	-2.99406	-2.48226	-2.67854	-4.35097	-1.85626	-1.64437	-2.28732	-2.00787	0.008559765	1.877497e-07	0.02864439	0.03132812	0.05141394	0.04257868	0.1854059	0.0001990595	0.00154109	0.186826	0.445774	0.365859	0.156256	0.193135	0.101538	0.134274
20	-58494.73	-58501.67	6.937498	0.0566614	0.0308262	0.0808476	0.00421657	-2.87066	-3.47939	-2.51519	-5.46873	-2.09083	-1.92133	-1.59382	-1.53043	0.008559765	1.877497e-07	0.02513179	0.006079266	0.05141394	0.0275008	0.1854059	7.704474e-05	0.00154109	0.186826	0.445774	0.365859	0.123585	0.146412	0.203149	0.216442
21	-58562.92	-58567.15	4.229248	0.0566614	0.0308262	0.0316677	0.00421657	-2.87066	-3.47939	-3.45246	-5.46873	-2.27992	-2.16647	-1.85544	-1.53043	0.008559765	2.429102e-05	0.02513179	0.006079266	0.05141394	0.0275008	0.1854059	7.704474e-05	0.00211293	0.256149	0.240124	0.501614	0.102293	0.114581	0.156384	0.216442
22	-58911.52	-58914.14	2.622418	0.0566614	0.0890467	0.0316677	0.00917703	-2.87066	-2.41859	-3.45246	-4.69105	-2.23468	-2.16647	-1.6224	-1.53043	0.04420156	5.689841e-05	0.02513179	0.01225919	0.05141394	0.0275008	0.2501395	0.002298545	0.00211293	0.256149	0.240124	0.501614	0.107026	0.114581	0.197425	0.216442
23	-58827.44	-58831.36	3.917751	0.0716023	0.0390036	0.0161188	0.0178967	-2.63663	-3.2441	-4.12777	-4.02314	-2.33968	-2.16647	-1.73414	-1.66687	0.007275289	5.689841e-05	0.00811723	0.01225919	0.1001375	0.0275008	0.2501395	0.002298545	0.00211293	0.256149	0.240124	0.501614	0.0963589	0.114581	0.176551	0.188838
24	-59008.16	-59009.19	1.037223	0.0649613	0.0713543	0.0065352	0.0178967	-2.73396	-2.6401	-5.03055	-4.02314	-1.89362	-2.22093	-1.73414	-1.66687	0.03041442	0.0001061443	0.00811723	0.002626162	0.1001375	0.0133251	0.2501395	0.06065543	0.00216387	0.262326	0.221801	0.51371	0.150526	0.108508	0.176551	0.188838
25	-59029.32	-59030.46	1.141467	0.0299351	0.0713543	0.0145916	0.0245094	-3.50872	-2.6401	-4.22731	-3.7087	-1.90043	-1.89107	-2.22058	-2.11693	0.00854274	0.0001061443	0.008845862	0.002626162	0.06084503	0.08735095	0.2501395	0.375981	0.00236522	0.193685	0.242439	0.561511	0.149504	0.15091	0.108546	0.120401
26	-58637.5	-58639.11	1.617579	0.0206362	0.117552	0.0259985	0.0714071	-3.88071	-2.14088	-3.64972	-2.63936	-2.07002	-1.45734	-2.22058	-2.11693	0.00854274	0.002858485	0.02651185	0.01522415	0.06084503	0.08735095	0.04741923	0.02487875	0.00236522	0.193685	0.242439	0.561511	0.126183	0.232856	0.108546	0.120401
27	-58769.31	-58771.52	2.208767	0.0157497	0.108271	0.0981958	0.0714071	-4.15094	-2.22312	-2.32079	-2.63936	-2.07002	-1.4544	-2.28068	-2.11693	0.00854274	0.00301976	0.02651185	0.02319794	0.05957153	0.08735095	0.04741923	0.009365875	0.00222165	0.242629	0.227723	0.527426	0.126183	0.233541	0.102215	0.120401
28	-58752.46	-58754.22	1.757363	0.033461	0.0946927	0.0389563	0.0504395	-3.39738	-2.35712	-3.24531	-2.98698	-1.86221	-1.4544	-1.65114	-2.11693	0.02015947	0.007425149	0.01502643	0.02319794	0.05957153	0.08735095	0.04741923	0.009365875	0.00222165	0.242629	0.227723	0.527426	0.155329	0.233541	0.191832	0.120401
