Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-59096.84	-59097.07	0.2290431	0.0119949	0.130875	0.134717	0.100858	-4.42328	-2.03351	-2.00458	-2.29405	-1.7354	-1.63843	-1.81347	-1.64846	0.02563699	0.1349002	0.01485224	0.02832756	0.0678387	0.0002445229	1.177618	0.00173229	0.0306534	0.184662	0.477339	0.307346	0.17633	0.194285	0.163087	0.192347
1	-59280.28	-59279.67	-0.6094358	0.0341531	0.107478	0.0625181	0.100858	-3.3769	-2.23047	-2.7723	-2.29405	-1.96214	-1.75188	-1.55779	-1.64846	0.01706324	0.1349002	0.05768858	0.02832756	0.07284857	0.0001812049	0.8795078	0.09264552	0.0396332	0.161868	0.617172	0.181327	0.140557	0.173447	0.210601	0.192347
2	-59371.43	-59367.17	-4.267815	0.013988	0.0234477	0.0625181	0.294207	-4.26956	-3.75298	-2.7723	-1.22347	-1.96214	-2.7372	-1.61163	-2.85787	0.0205835	0.1349002	0.05568385	0.03724256	0.2511286	0.001136668	0.6947702	0.09264552	0.0396332	0.161868	0.617172	0.181327	0.140557	0.0647513	0.199563	0.0573908
3	-59076.88	-59072.88	-4.000101	0.013988	0.0285821	0.0218579	0.294207	-4.26956	-3.55497	-3.82319	-1.22347	-1.79214	-2.05055	-1.61163	-2.99505	0.005545161	0.1349002	0.01664118	0.02975234	0.2511286	0.01035727	0.6947702	0.03274686	0.0414567	0.169316	0.645567	0.14366	0.166604	0.128664	0.199563	0.0500341
4	-59018.9	-59017.91	-0.997046	0.0253209	0.0847028	0.0153595	0.105964	-3.67613	-2.46861	-4.17602	-2.24465	-1.79214	-1.73654	-3.32971	-4.51177	0.008595222	0.08394641	0.0115305	0.01183197	0.04410459	0.01035727	0.6947702	0.0009467455	0.0414567	0.169316	0.645567	0.14366	0.166604	0.176129	0.0358034	0.010979
5	-58882.16	-58884.21	2.057412	0.0860709	0.0728315	0.0154953	0.019781	-2.45258	-2.61961	-4.16722	-3.92303	-1.70021	-1.73654	-2.3452	-3.79717	0.006274098	0.08394641	0.0115305	0.005988751	0.002213877	0.01021699	0.6947702	0.0009467455	0.0323556	0.132145	0.723377	0.112122	0.182646	0.176129	0.095828	0.0224342
6	-59057.61	-59057.73	0.1145662	0.0860709	0.0728315	0.0154953	0.0306192	-2.45258	-2.61961	-4.16722	-3.48613	-1.87841	-1.73018	-2.0224	-2.69861	0.01091551	0.08394641	0.0115305	0.009665414	0.01461352	0.1523376	0.6947702	0.001373818	0.0323556	0.132145	0.723377	0.112122	0.152833	0.177253	0.132338	0.067299
7	-59086.56	-59089.13	2.5731	0.0860709	0.0383591	0.0156048	0.154623	-2.45258	-3.26076	-4.16017	-1.86677	-1.9057	-2.09223	-2.0224	-2.69861	0.008493764	0.03196107	0.0115305	0.009665414	0.004267339	0.1523376	0.6947702	0.000221998	0.0730143	0.180873	0.132372	0.61374	0.148718	0.123412	0.132338	0.067299
8	-58962.49	-58962.73	0.236503	0.0290609	0.0383591	0.0156048	0.740789	-3.53836	-3.26076	-4.16017	-0.30004	-1.9057	-1.73147	-2.0224	-2.46991	0.002657308	0.1668954	0.03234151	0.009665414	0.004267339	0.01260945	0.6947702	0.001136237	0.374489	0.12205	0.0893223	0.41414	0.148718	0.177023	0.132338	0.0845929
9	-59047.87	-59046.17	-1.695367	0.0105844	0.0383591	0.017352	0.0205536	-4.54837	-3.26076	-4.05404	-3.88472	-2.0129	-1.73147	-3.51146	-2.12883	0.002563294	0.1668954	0.03234151	0.02940169	0.02083854	0.0006810903	1.055907	0.002790838	0.374489	0.12205	0.0893223	0.41414	0.1336	0.177023	0.0298532	0.118976
10	-59036.48	-59037.4	0.9181987	0.0105844	0.0383591	0.107952	0.0342234	-4.54837	-3.26076	-2.22607	-3.37485	-2.0129	-1.80084	-2.82429	-2.12398	0.002274491	0.1668954	0.03234151	0.01627499	0.02083854	0.0006810903	0.9141776	0.002790838	0.506936	0.0962064	0.0704089	0.326448	0.1336	0.165161	0.0593506	0.119555
11	-59069.9	-59070.1	0.199046	0.0364546	0.0738035	0.0873498	0.0793359	-3.31169	-2.60635	-2.43783	-2.53406	-1.94605	-1.46594	-2.26516	-2.3009	0.02082003	0.1668954	0.03234151	0.04548478	0.02976568	0.001618427	0.9141776	0.007259249	0.524421	0.0995246	0.0728373	0.303217	0.142837	0.230862	0.103814	0.100169
12	-59005	-59003.33	-1.669077	0.0500837	0.0738035	0.16257	0.091291	-2.99406	-2.60635	-1.81665	-2.3937	-1.94605	-1.46594	-1.83603	-2.09377	0.00946338	0.1991285	0.03234151	0.01317834	0.04471555	0.001618427	2.128718	0.04697614	0.563591	0.0913275	0.0668383	0.278244	0.142837	0.230862	0.159449	0.123222
13	-58969.57	-58966.47	-3.106415	0.0211158	0.0898306	0.16257	0.446813	-3.85774	-2.40983	-1.81665	-0.805616	-1.94605	-1.76091	-1.83603	-1.51994	0.00946338	0.1991285	0.01204301	0.03507042	0.009983818	0.02873589	2.128718	0.01035876	0.563655	0.091314	0.0668284	0.278202	0.142837	0.171889	0.159449	0.218726
14	-59146.71	-59144.83	-1.877257	0.0740588	0.0244359	0.16257	0.0464963	-2.6029	-3.7117	-1.81665	-3.06838	-1.90446	-1.76091	-3.06652	-2.88163	0.006977868	0.1991285	0.0162174	0.03826783	0.01690884	0.01420801	1.769759	0.01035876	0.587467	0.0529264	0.0696516	0.289955	0.148903	0.171889	0.0465831	0.0560432
