Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-73683.17	-73673.45	-9.726138	0.342121	0.222012	0.230261	0.0778144	-1.07259	-1.50502	-1.46854	-2.55343	-2.71595	-2.34361	-3.41033	-1.13349	0.7028249	0.0330616	0.0008766676	1.800317	1.557185	0.01939174	0.06071493	0.5794035	0.292883	0.651127	0.00499587	0.0509942	0.066142	0.0959804	0.0330303	0.321908
1	-72239.24	-72230.68	-8.560384	0.0417145	0.222012	0.230261	0.0422561	-3.17691	-1.50502	-1.46854	-3.16401	-0.876352	-3.76682	-3.41033	-1.13349	0.7028249	0.4489457	0.001204735	0.9958057	0.0701191	0.02395891	0.06071493	0.3742919	0.292883	0.651127	0.00499587	0.0509942	0.416299	0.0231255	0.0330303	0.321908
2	-70995.37	-70993.61	-1.761783	0.299797	0.394804	0.118702	0.0222149	-1.20465	-0.929366	-2.13114	-3.80699	-2.82629	-3.76682	-3.45395	-1.6629	0.05645129	0.4489457	7.364401e-05	0.04077372	0.0701191	0.0002018017	0.4144895	0.4632683	0.292883	0.651127	0.00499587	0.0509942	0.0592325	0.0231255	0.0316206	0.189589
3	-77064.86	-77059.11	-5.747673	0.0928841	0.0362126	0.220338	0.0180967	-2.3764	-3.31835	-1.51259	-4.01203	-2.82629	-3.76682	-3.45395	-1.6629	1.393604	0.6526437	0.0001507931	0.04077372	0.1887523	0.0002018017	0.4144895	0.4632683	0.292883	0.651127	0.00499587	0.0509942	0.0592325	0.0231255	0.0316206	0.189589
4	-92004.2	-91996.72	-7.479766	0.0928841	0.0297112	0.220017	0.638436	-2.3764	-3.51623	-1.51405	-0.448734	-4.26168	-1.96327	-3.45395	-3.03758	0.9113633	0.8472443	0.0001507931	0.8609885	0.1887523	0.0001570243	0.04104189	0.6993969	0.292883	0.651127	0.00499587	0.0509942	0.0140987	0.140399	0.0316206	0.0479506
5	-84478.75	-84468.78	-9.968087	0.0928841	0.0297112	0.226543	0.638436	-2.3764	-3.51623	-1.48482	-0.448734	-4.26168	-0.75053	-0.841735	-2.34295	0.9113633	0.7162032	0.005576863	0.8609885	0.08556578	0.0001570243	0.08473428	0.6993969	0.538692	0.341698	0.0106726	0.108938	0.0140987	0.472116	0.430962	0.0960437
6	-77616.37	-77603.04	-13.33253	0.129273	0.0235744	0.226543	0.0382394	-2.04583	-3.7476	-1.48482	-3.26389	-0.772167	-3.39595	-2.36054	-3.06727	0.9113633	0.8919508	0.04774609	0.8609885	0.08556578	1.603066	0.009713916	0.2884586	0.538692	0.341698	0.0106726	0.108938	0.462011	0.0335088	0.0943697	0.0465482
7	-71227.07	-71216.9	-10.16909	0.129273	0.0282205	0.0414396	0.049085	-2.04583	-3.56771	-3.18352	-3.0142	-2.40303	-2.84122	-3.89334	-3.06727	0.9113633	0.8919508	0.04774609	0.7645378	0.08556578	0.112318	0.1545008	0.04813062	0.538692	0.341698	0.0106726	0.108938	0.0904438	0.0583544	0.0203771	0.0465482
8	-68600.78	-68589.63	-11.14745	0.139675	0.110709	0.0414396	0.0450359	-1.96844	-2.20085	-3.18352	-3.1003	-2.33645	-3.46974	-1.58528	-3.71843	0.9113633	0.3518849	0.04774609	1.241859	0.08556578	0.112318	0.3510416	0.2346459	0.658954	0.194733	0.0130552	0.133258	0.0966705	0.0311253	0.20489	0.024272
9	-67796.72	-67788.38	-8.340025	0.236373	0.110709	0.0699419	0.0450359	-1.44234	-2.20085	-2.66009	-3.1003	-2.33645	-3.46974	-2.04124	-1.54404	0.9113633	0.05280746	0.08057716	0.2136509	0.08556578	0.070228	0.3510416	0.6891095	0.658954	0.194733	0.0130552	0.133258	0.0966705	0.0311253	0.129868	0.213517
10	-65777.62	-65765.59	-12.02781	0.0753715	0.110709	0.0699419	0.0204451	-2.58533	-2.20085	-2.66009	-3.89001	-1.28601	-1.8634	-3.2193	-3.70764	0.9113633	0.3924076	0.08057716	0.2136509	0.4470228	0.070228	0.3510416	0.6891095	0.658954	0.194733	0.0130552	0.133258	0.276372	0.155144	0.039983	0.0245355
11	-68343.06	-68330.07	-12.98945	0.0753715	0.263297	0.0699419	0.0204451	-2.58533	-1.33447	-2.66009	-3.89001	-1.28601	-2.80131	-4.01366	-2.13331	0.9113633	0.03733125	0.07696109	0.03121535	0.4470228	0.2432856	2.784488	0.228319	0.658954	0.194733	0.0130552	0.133258	0.276372	0.0607303	0.0180671	0.118445
12	-72900.54	-72888.47	-12.0778	0.0304998	0.203269	1.0016	0.0413425	-3.49004	-1.59323	0.00159606	-3.18586	-3.28078	-2.80131	-3.96594	-3.12189	0.9113633	0.03733125	0.07696109	0.03121535	0.4470228	0.1165826	2.465407	0.01067679	0.657854	0.0860814	0.0228481	0.233216	0.0375988	0.0607303	0.0189502	0.0440736
13	-63667.63	-63654.99	-12.63534	0.103397	0.0493278	0.0349406	0.0508941	-2.26918	-3.00927	-3.35411	-2.97801	-1.66907	-1.43291	-3.92122	-3.12189	0.929027	0.03733125	0.2418526	0.02958491	0.4470228	0.4902056	2.465407	0.0647014	0.657854	0.0860814	0.0228481	0.233216	0.188422	0.238615	0.019817	0.0440736
14	-63016.72	-63003.15	-13.57661	0.0359549	0.22156	0.0349406	0.652384	-3.32549	-1.50706	-3.35411	-0.427122	-2.24787	-1.6108	0.501707	-2.31021	0.3141886	0.629483	0.4780019	0.001179804	0.4470228	0.03002078	2.465407	0.0647014	0.657854	0.0860814	0.0228481	0.233216	0.105624	0.199728	1.65154	0.09924
15	-65690.04	-65683.73	-6.314171	0.0328724	0.22156	0.0349406	0.0683267	-3.41512	-1.50706	-3.35411	-2.68345	-0.44671	-3.63477	-3.25874	-1.36125	0.3141886	0.006504258	0.02038847	0.001179804	0.4576669	2.217007	0.01507013	0.0647014	0.631021	0.0825702	0.062705	0.223704	0.639729	0.0263901	0.0384367	0.25634
16	-65060.45	-65052.45	-8.00183	0.0751618	0.015387	0.0308667	0.0792577	-2.58811	-4.17423	-3.47808	-2.53505	-0.44671	-3.63477	-2.71604	-3.00842	0.3141886	0.1605108	0.02038847	0.03057813	0.4576669	0.02494297	0.7777365	0.0390799	0.288904	0.159129	0.120845	0.431122	0.639729	0.0263901	0.066136	0.0493695
17	-63115.38	-63101.91	-13.4683	0.0751618	0.0188966	0.168424	0.0298391	-2.58811	-3.96877	-1.78127	-3.51194	-2.80883	-2.19604	-4.29237	-0.450575	0.004319499	0.1605108	0.01351557	0.03057813	1.241974	0.3512924	0.7777365	2.638645	0.288904	0.159129	0.120845	0.431122	0.0602754	0.111242	0.0136724	0.637262
18	-64647.47	-64634.54	-12.92877	0.0751618	0.566684	0.0554275	0.0238055	-2.58811	-0.567953	-2.89268	-3.73784	-1.76568	-1.5519	-2.36155	-1.97053	0.1840934	0.1605108	0.01351557	0.03057813	1.241974	0.3512924	0.7777365	2.194703	0.199403	0.29353	0.209506	0.297561	0.17107	0.211844	0.0942744	0.139383
19	-61891.7	-61872.79	-18.90954	0.190631	0.0143952	0.0468557	0.546618	-1.65742	-4.24086	-3.06068	-0.604005	-0.826285	-1.5519	-2.28703	-2.30629	0.03206653	0.4964485	0.07821071	0.5397046	3.741775	0.8861008	0.7777365	0.5937635	0.199403	0.29353	0.209506	0.297561	0.437672	0.211844	0.101568	0.09963
