Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-58309.1	-58308.73	-0.3658214	0.00643642	0.01	0.012497	0.0145747	-5.04578	-4.60517	-4.38227	-4.22847	-2.10703	-1.99881	-2.22212	-2.02998	0.007943159	0.003062285	0.02279171	0.009133047	0.01908878	0.01730833	0.073137	0.0004003204	0.60327	0.224785	0.0798022	0.0921428	0.121598	0.135496	0.108379	0.131338
1	-58310.18	-58308.64	-1.538594	0.00338285	0.01	0.0140117	0.0145747	-5.68904	-4.60517	-4.26786	-4.22847	-2.04572	-1.96421	-2.24811	-2.02998	0.008462272	0.003062285	0.02279171	0.009133047	0.01908878	0.01659267	0.06010394	0.0004003204	0.61567	0.217759	0.0773081	0.089263	0.129286	0.140267	0.105598	0.131338
2	-58304.59	-58302.67	-1.926172	0.00368182	0.01	0.0108121	0.0135661	-5.60435	-4.60517	-4.52709	-4.30018	-2.09372	-1.96421	-2.18653	-2.02998	0.008462272	0.003197565	0.02279171	0.008917205	0.02104348	0.01858422	0.05848762	0.0004003204	0.498994	0.176492	0.252167	0.0723467	0.123228	0.140267	0.112306	0.131338
3	-58313.42	-58310.52	-2.899455	0.00288875	0.00514692	0.0108121	0.0189585	-5.84693	-5.26936	-4.52709	-3.9655	-2.09372	-1.938	-2.18653	-2.18186	0.008462272	0.003197565	0.02107698	0.008917205	0.0150713	0.01308778	0.05473659	0.0004003204	0.498994	0.176492	0.252167	0.0723467	0.123228	0.143991	0.112306	0.112831
4	-58307.71	-58308.09	0.384254	0.00799441	0.012537	0.0108121	0.0268386	-4.82901	-4.37907	-4.52709	-3.61791	-2.07944	-1.93946	-2.18653	-2.10439	0.008462272	0.004002424	0.02169212	0.009747898	0.01887473	0.01471313	0.04630585	0.001517863	0.498994	0.176492	0.252167	0.0723467	0.125001	0.143782	0.112306	0.121919
5	-58310.81	-58312.37	1.555038	0.00657268	0.0241234	0.0182738	0.0268386	-5.02483	-3.72457	-4.00228	-3.61791	-2.09819	-1.89403	-2.27146	-2.10439	0.008491864	0.004002424	0.02169212	0.009747898	0.01887473	0.01241426	0.04630585	0.001869783	0.113236	0.244197	0.542467	0.1001	0.122678	0.150464	0.103161	0.121919
6	-58309.57	-58307.63	-1.937951	0.00657268	0.0241234	0.00645009	0.00948691	-5.02483	-3.72457	-5.04366	-4.65784	-2.09819	-1.89403	-2.27146	-2.1315	0.007634474	0.004002424	0.02347906	0.00774695	0.0211826	0.01330843	0.05932627	0.003779542	0.113236	0.244197	0.542467	0.1001	0.122678	0.150464	0.103161	0.118659
7	-58315.47	-58318.17	2.703695	0.0115335	0.0241234	0.0168141	0.0376251	-4.4625	-3.72457	-4.08554	-3.28008	-2.09819	-1.89403	-2.28375	-2.11632	0.008195588	0.004814865	0.02443333	0.00964345	0.0211826	0.01330843	0.04755696	0.001192253	0.113236	0.244197	0.542467	0.1001	0.122678	0.150464	0.101901	0.120474
8	-58313.79	-58316.01	2.218563	0.00878591	0.0210914	0.0182978	0.0246856	-4.73461	-3.85889	-4.00098	-3.70154	-2.09819	-1.89403	-2.27027	-1.91602	0.008195588	0.004335447	0.02479855	0.00846994	0.0211826	0.01081443	0.04472918	0.0008751427	0.113236	0.244197	0.542467	0.1001	0.122678	0.150464	0.103284	0.147191
9	-58307.78	-58309.2	1.423257	0.00468616	0.0210914	0.0207962	0.0246856	-5.36314	-3.85889	-3.87299	-3.70154	-2.12689	-1.90251	-2.08553	-1.95349	0.008195588	0.003339921	0.02479855	0.00846994	0.0211826	0.0139463	0.04472918	0.0004811243	0.113236	0.244197	0.542467	0.1001	0.119207	0.149193	0.124241	0.141778
10	-58313.16	-58311.57	-1.595069	0.00623311	0.00842916	0.00801507	0.0246856	-5.07788	-4.77606	-4.82643	-3.70154	-2.12689	-1.97287	-2.18812	-1.95349	0.008195588	0.003314019	0.02479855	0.009955175	0.02599498	0.0139463	0.0356085	0.002633481	0.113236	0.244197	0.542467	0.1001	0.119207	0.139058	0.112127	0.141778
11	-58310.65	-58309.74	-0.9121934	0.00623311	0.00842916	0.00818654	0.0272335	-5.07788	-4.77606	-4.80526	-3.60331	-2.09392	-1.98855	-2.1621	-1.98454	0.007136555	0.003514673	0.02479855	0.01031635	0.02599498	0.0139463	0.03731566	0.0008833999	0.113236	0.244197	0.542467	0.1001	0.123204	0.136894	0.115083	0.137444
12	-58310.98	-58308.05	-2.927035	0.00358901	0.00842916	0.00818654	0.0272335	-5.62988	-4.77606	-4.80526	-3.60331	-2.10758	-1.9622	-2.29611	-1.98454	0.007136555	0.004481424	0.02551104	0.01031635	0.01929531	0.0139463	0.04018172	0.004190826	0.113236	0.244197	0.542467	0.1001	0.121531	0.140549	0.10065	0.137444
13	-58321.85	-58320.64	-1.209998	0.00358901	0.00842916	0.0255886	0.0272335	-5.62988	-4.77606	-3.66561	-3.60331	-2.18698	-1.95963	-2.10054	-2.07623	0.007136555	0.004481424	0.02328268	0.01009276	0.01929531	0.009013292	0.04018172	0.005784392	0.113236	0.244197	0.542467	0.1001	0.112255	0.140911	0.122391	0.125402
14	-58316.96	-58316.21	-0.7519069	0.00583716	0.0173137	0.0325836	0.00965983	-5.14351	-4.05626	-3.42395	-4.63978	-2.08288	-1.94813	-2.10054	-2.21331	0.009305271	0.004202045	0.02760144	0.01009276	0.02167337	0.009124091	0.05392802	0.007930447	0.112613	0.242855	0.539484	0.105049	0.124571	0.142541	0.122391	0.109339
15	-58317.61	-58319.17	1.551074	0.00583716	0.0270708	0.0395901	0.0396685	-5.14351	-3.6093	-3.22918	-3.2272	-2.08288	-1.92886	-2.06984	-1.99334	0.008654204	0.004295482	0.02476696	0.01072269	0.02244117	0.009124091	0.05183546	0.007930447	0.112613	0.242855	0.539484	0.105049	0.124571	0.145314	0.126206	0.13624
16	-58315.36	-58314.58	-0.7835203	0.00233835	0.0400732	0.0395901	0.0136938	-6.05831	-3.21705	-3.22918	-4.29081	-2.1314	-1.88362	-2.06984	-1.98067	0.008654204	0.004295482	0.02143434	0.008598558	0.02244117	0.009124091	0.05183546	0.003155818	0.0931703	0.200926	0.446342	0.259562	0.118671	0.152039	0.126206	0.137977
17	-58316.66	-58317.26	0.6074596	0.00437545	0.0352965	0.0395979	0.0136938	-5.43175	-3.34397	-3.22898	-4.29081	-2.10531	-1.88362	-2.06984	-2.13064	0.01063835	0.004295482	0.0196962	0.009317976	0.02244117	0.009124091	0.05183546	0.003155818	0.0955834	0.20613	0.343266	0.355021	0.121808	0.152039	0.126206	0.118762
18	-58316.31	-58316.19	-0.1237928	0.00368786	0.0289413	0.0328924	0.0136938	-5.60271	-3.54249	-3.41451	-4.29081	-2.1043	-1.86996	-2.06984	-2.13064	0.01063835	0.004481196	0.0196962	0.01031054	0.01829139	0.01247701	0.04365413	0.003155818	0.0999429	0.215531	0.313313	0.371213	0.121932	0.15413	0.126206	0.118762
19	-58322.73	-58325.02	2.284031	0.00533316	0.0289413	0.047152	0.0451423	-5.23381	-3.54249	-3.05438	-3.09794	-2.12137	-1.90309	-2.08778	-2.02918	0.01063835	0.004171895	0.0196962	0.01074735	0.01829139	0.01247701	0.03415137	0.003155818	0.0999429	0.215531	0.313313	0.371213	0.119868	0.149106	0.123962	0.131444
20	-58327.15	-58323.87	-3.276426	0.00209478	0.0047619	0.0190059	0.0942383	-6.16831	-5.34711	-3.963	-2.36193	-2.12709	-1.96326	-2.16648	-1.81342	0.007372126	0.00581347	0.0196962	0.009171632	0.01829139	0.01209744	0.03415137	0.003155818	0.358068	0.153719	0.223459	0.264754	0.119183	0.1404	0.11458	0.163096
21	-58328.54	-58323.8	-4.736804	0.00209478	0.0047619	0.00927556	0.0856037	-6.16831	-5.34711	-4.68037	-2.45803	-2.09165	-1.96326	-2.25695	-1.93533	0.009451762	0.005960299	0.0196962	0.008404543	0.02164082	0.0237693	0.03415137	0.002689445	0.300821	0.129143	0.187733	0.382302	0.123483	0.1404	0.104669	0.144377
22	-58318.17	-58320.77	2.607227	0.00573278	0.0166576	0.0146244	0.0856037	-5.16155	-4.09489	-4.22506	-2.45803	-2.07552	-1.96326	-2.13312	-1.93533	0.009451762	0.005960299	0.0196962	0.008404543	0.02164082	0.01645085	0.0421438	5.508284e-05	0.144822	0.161186	0.228557	0.465436	0.125491	0.1404	0.118467	0.144377
23	-58313.39	-58314.58	1.187264	0.00573278	0.0176072	0.0149665	0.0809694	-5.16155	-4.03945	-4.20194	-2.51368	-2.07174	-1.96326	-2.13312	-1.93533	0.008276786	0.005249082	0.02637147	0.008404543	0.02718971	0.01767261	0.0434638	0.0007713081	0.535291	0.0852788	0.133181	0.246249	0.125966	0.1404	0.118467	0.144377
24	-58315.11	-58316.13	1.018382	0.00431038	0.0176072	0.0162253	0.0809694	-5.44673	-4.03945	-4.12118	-2.51368	-2.11898	-1.96326	-2.13312	-1.93533	0.008276786	0.005249082	0.02637147	0.008404543	0.01932811	0.01401461	0.04059539	0.0007741996	0.535291	0.0852788	0.133181	0.246249	0.120154	0.1404	0.118467	0.144377
25	-58313.67	-58313	-0.6709189	0.00431038	0.00712831	0.0162253	0.0627894	-5.44673	-4.94368	-4.12118	-2.76797	-2.11898	-2.00023	-2.16905	-1.85925	0.008276786	0.005249082	0.02637147	0.007458447	0.02451771	0.01801871	0.04059539	0.0007741996	0.535291	0.0852788	0.133181	0.246249	0.120154	0.135305	0.114286	0.15579
26	-58319.43	-58319.97	0.5412547	0.00834108	0.00712831	0.015365	0.0629964	-4.78656	-4.94368	-4.17566	-2.76468	-2.11898	-2.05678	-2.14466	-1.84962	0.008276786	0.005249082	0.02637147	0.009944217	0.01681738	0.01801871	0.0498926	0.0007741996	0.672619	0.107157	0.167348	0.0528763	0.120154	0.127865	0.117107	0.157297
