Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-63476.45	-63464.7	-11.75047	0.0194259	0.346624	0.0530504	0.0873162	-3.94115	-1.05951	-2.93651	-2.43822	-2.3681	-3.58945	-0.822693	0.19021	0.1046004	0.1340301	0.2594376	0.08501547	1.039625	0.0358592	0.4679222	0.09494677	0.30326	0.0518263	0.499263	0.145651	0.0936585	0.0276136	0.439247	1.2095
1	-65605.92	-65598.2	-7.717096	0.0529019	0.776745	0.0530504	0.0873162	-2.93932	-0.252643	-2.93651	-2.43822	-0.625704	-3.58945	-3.03978	-4.09874	0.0007862723	0.2818098	0.002986575	0.08501547	1.039625	0.002360748	0.7319984	0.9078353	0.535211	0.0410221	0.395182	0.028585	0.534885	0.0276136	0.0478452	0.0165936
2	-61497.57	-61489.35	-8.219833	0.0879796	0.159304	0.0530504	0.0379721	-2.43065	-1.83694	-2.93651	-3.2709	-1.79922	-2.76121	-1.65269	-4.09874	0.009318913	0.2818098	0.03212192	0.08501547	1.039625	0.01136706	0.7319984	0.9078353	0.616744	0.0472714	0.303045	0.0329396	0.165427	0.063215	0.191533	0.0165936
3	-62720.08	-62708.98	-11.1047	0.123769	0.0563305	0.251204	0.173695	-2.08933	-2.87652	-1.38149	-1.75046	-1.79922	-2.37582	-1.65269	-0.762671	0.009318913	1.206304	0.03212192	0.08501547	1.4198	0.6805283	0.7319984	0.1470579	0.326276	0.495979	0.160319	0.017426	0.165427	0.0929381	0.191533	0.466419
4	-66379.74	-66366.94	-12.80579	0.553304	0.0563305	0.012606	0.276197	-0.591848	-2.87652	-4.37358	-1.28664	-1.60763	-2.37582	-2.39444	-2.30875	0.002568692	1.206304	0.06393529	0.3335208	1.4198	0.698601	0.4210059	0.1470579	0.326276	0.495979	0.160319	0.017426	0.200363	0.0929381	0.0912241	0.0993853
5	-63118.73	-63104.6	-14.13807	0.144555	0.0563305	0.010001	0.276197	-1.9341	-2.87652	-4.60507	-1.28664	-0.617281	-2.7519	-2.93405	-4.45216	0.1237729	0.06272983	0.06393529	0.3335208	0.4047017	1.429118	0.6089554	0.1499477	0.204536	0.684039	0.100501	0.010924	0.539409	0.0638068	0.0531811	0.0116533
6	-68660.76	-68645.76	-14.99341	0.0512939	0.0914288	0.0141361	0.276197	-2.97018	-2.3922	-4.25902	-1.28664	-1.84051	-2.54875	-2.68545	-4.60443	0.04992846	0.8854177	0.06393529	0.387823	0.1872821	0.07809792	0.372057	3.039329	0.407635	0.370297	0.200296	0.0217713	0.158736	0.0781795	0.0681908	0.0100074
7	-69809.64	-69800.48	-9.159829	0.12258	0.0914288	0.164596	0.184545	-2.09899	-2.3922	-1.80426	-1.68986	-2.49493	-2.96627	-2.94372	-4.03241	0.04992846	0.8854177	0.1621884	0.387823	0.1872821	0.07809792	0.372057	0.2398771	0.542485	0.161986	0.266556	0.0289735	0.0825026	0.0514949	0.0526694	0.0177315
8	-67561.28	-67546.26	-15.01342	0.382175	0.100175	0.164596	0.563167	-0.961878	-2.30084	-1.80426	-0.574179	-2.49493	-0.266277	-2.94372	0.214058	0.05922771	0.7238578	0.4702641	0.9221872	0.1872821	0.07809792	0.372057	0.2398771	0.510877	0.152548	0.30929	0.0272854	0.0825026	0.766227	0.0526694	1.23869
9	-66781.87	-66769.04	-12.83188	0.382175	0.0268123	0.0928965	0.563167	-0.961878	-3.6189	-2.37627	-0.574179	-2.49493	-1.3006	-4.26574	-1.28205	0.06133955	1.229194	0.1532528	0.4768802	0.1872821	0.07809792	0.372057	0.2398771	0.265296	0.22914	0.46458	0.040985	0.0825026	0.272367	0.0140414	0.277468
