Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-66140.81	-66131.77	-9.037783	0.624912	0.0698569	0.0738449	0.346581	-0.470145	-2.66131	-2.60579	-1.05964	-1.09707	-2.11075	-3.75329	-1.95546	0.1917014	0.03598146	0.01077811	0.3804672	0.0283741	0.3303513	0.6240169	0.7403237	0.250523	0.227319	0.51508	0.00707775	0.333848	0.121147	0.0234405	0.141499
1	-79287.36	-79267.01	-20.3572	0.0799039	0.0192319	0.244644	0.203963	-2.52693	-3.95119	-1.40795	-1.58981	0.861894	-4.16004	-2.43719	-1.95546	0.1917014	0.7435129	1.682666	0.3804672	0.0283741	1.813228	0.32552	0.7403237	0.250523	0.227319	0.51508	0.00707775	2.36764	0.015607	0.0874058	0.141499
2	-66326.96	-66314.69	-12.26744	0.357667	0.0138741	0.0512112	0.062891	-1.02815	-4.27773	-2.9718	-2.76635	-1.47077	-1.34559	-2.87995	-1.95546	0.1917014	0.06335282	1.682666	0.3804672	0.01407899	1.813228	0.04178135	0.2366163	0.250523	0.227319	0.51508	0.00707775	0.229749	0.260386	0.0561374	0.141499
3	-68411.13	-68404.1	-7.037538	0.0122507	0.128962	0.0512112	0.062891	-4.40217	-2.04824	-2.9718	-2.76635	-1.45843	-2.13555	-2.87995	-1.95546	0.002078638	0.2074382	0.4623723	0.3804672	0.002419983	0.7712953	0.04178135	0.9605634	0.379807	0.344628	0.264834	0.0107303	0.232601	0.11818	0.0561374	0.141499
4	-67061.31	-67046.03	-15.27597	0.00401826	0.128962	0.0272088	0.234114	-5.51691	-2.04824	-3.60422	-1.45195	-1.45843	-1.39743	-2.56105	-2.76374	0.002078638	0.2074382	0.4623723	0.3804672	0.001343037	0.7712953	3.376063	0.9605634	0.475901	0.291231	0.2238	0.0090677	0.232601	0.247231	0.0772234	0.0630553
5	-65161.05	-65144.96	-16.08645	0.0716009	0.128962	0.0272088	0.234114	-2.63665	-2.04824	-3.60422	-1.45195	-1.95794	-2.76782	0.204036	-3.43182	0.4337155	0.2074382	0.1633118	0.3804672	0.001343037	0.7712953	3.376063	0.9605634	0.475901	0.291231	0.2238	0.0090677	0.141148	0.0627989	1.22634	0.032328
6	-83308.96	-83301.37	-7.594655	0.0716009	0.128962	0.0272088	0.231281	-2.63665	-2.04824	-3.60422	-1.46412	-0.761189	-0.176881	-0.462199	-2.50661	0.14601	1.190725	0.1633118	0.2946781	0.000969233	0.06124642	0.008964842	0.1501638	0.408252	0.328822	0.252688	0.0102381	0.467111	0.83788	0.629897	0.0815439
7	-75685.63	-75673.98	-11.64702	0.147753	0.128962	0.00837312	0.0915121	-1.91221	-2.04824	-4.78273	-2.39128	-4.47008	-0.176881	-0.376675	-2.32627	0.1366887	1.190725	0.1633118	0.2946781	0.05288823	0.05498785	0.02257009	0.0499393	0.408252	0.328822	0.252688	0.0102381	0.0114464	0.83788	0.686139	0.097659
8	-66273.88	-66267.61	-6.266955	0.0345256	0.128962	0.573195	0.0915121	-3.36606	-2.04824	-0.556529	-2.39128	-1.79799	-3.47419	-2.85262	-2.32627	0.1366887	1.190725	0.1644657	0.01385817	0.1880545	0.05498785	0.3124	0.00502882	0.408252	0.328822	0.252688	0.0102381	0.165631	0.0309869	0.057693	0.097659
9	-70723.35	-70707.95	-15.40817	0.0345256	0.128962	0.573195	0.0839095	-3.36606	-2.04824	-0.556529	-2.47802	0.638608	-2.13281	-2.07354	-2.24698	0.1366887	1.190725	0.1792995	0.2801521	0.1880545	0.4538994	0.3124	0.8102966	0.482864	0.388918	0.116109	0.0121093	1.89384	0.118504	0.12574	0.105718
