Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56441.3	-56429.82	-11.47441	0.0033441	0.021072	0.00157337	0.00991415	-5.70056	-3.85981	-0.753981	0.97379	0.003806807	0.1798153	0.007485276	0.01881047	0.690247	0.0875184	0.175975	0.0462593	0.0461851	0.0610109	0.240875	0.318198	-3.0751	-2.7967	1.65162	2.46548
1	-56416.32	-56408.77	-7.54756	0.011748	0.021072	0.00947698	0.0169985	-4.44407	-3.85981	-0.214818	0.16967	0.003806807	0.1383639	0.009914961	0.01735551	0.690247	0.0875184	0.175975	0.0462593	0.0461851	0.0509055	0.240875	0.265494	-3.0751	-2.97778	1.65162	1.63515
2	-56414.14	-56407.5	-6.644569	0.011748	0.0389759	0.00947698	0.0314414	-4.44407	-3.24481	-0.214818	0.16967	0.007001037	0.1383639	0.007109969	0.01735551	0.690247	0.0875184	0.175975	0.0462593	0.049359	0.0561767	0.223832	0.254748	-3.00863	-2.87925	1.51177	1.66826
3	-56448.69	-56437.91	-10.78436	0.00219139	0.0676162	0.000745467	0.0230016	-6.12322	-2.69391	-1.07828	0.16967	0.01103388	0.2191113	0.01016489	0.01735551	0.690247	0.0875184	0.175975	0.0462593	0.0551333	0.0663883	0.269098	0.324032	-2.898	-2.71224	1.58532	1.66826
4	-56437.67	-56428.79	-8.878068	0.00415084	0.0285788	0.00141203	0.00972193	-5.48444	-3.55509	-1.07828	0.16967	0.01103388	0.2191113	0.01016489	0.01994859	0.617841	0.0783377	0.262415	0.0414067	0.0593443	0.0662261	0.244442	0.272788	-2.8244	-2.71468	1.41562	0.99743
5	-56406.02	-56396.85	-9.174144	0.00415084	0.0194193	0.00428567	0.02005	-5.48444	-3.94149	0.0319653	-0.114264	0.01205309	0.159822	0.006334407	0.01994859	0.837754	0.0373376	0.105173	0.0197354	0.0588669	0.0752905	0.231996	0.296722	-2.83248	-2.5864	1.37144	1.85179
6	-56452.7	-56448.05	-4.648727	0.0168324	0.0820321	0.0259749	0.126588	-4.08445	-2.50065	0.433829	-0.114264	0.005290506	0.1267697	0.009977644	0.01489878	0.582292	0.330888	0.073102	0.0137174	0.0588669	0.0962701	0.22277	0.364315	-2.83248	-2.3406	1.33086	0.711492
7	-56483.84	-56475.16	-8.676744	0.0168324	0.0601285	0.0259749	0.0927877	-4.08445	-2.81127	0.433829	-1.86361	0.002800982	0.09980824	0.009977644	0.01489878	0.546363	0.380199	0.0618353	0.0116032	0.0588669	0.0962701	0.220116	0.359975	-2.83248	-2.3406	1.31888	2.97413
8	-56472.14	-56466.14	-6.000724	0.0107287	0.0601285	0.0165561	0.0927877	-4.53483	-2.81127	0.433829	1.20255	0.003192953	0.1171701	0.005693147	0.0241588	0.17611	0.690512	0.112305	0.0210736	0.061553	0.0962701	0.238333	0.372757	-2.78786	-2.3406	1.35377	0.657794
9	-56434.85	-56428.6	-6.252059	0.0266467	0.0479636	0.04112	0.0740152	-3.62509	-3.03731	0.433829	1.20255	0.0006142997	0.1142562	0.008952907	0.02652599	0.22788	0.599534	0.145318	0.0272685	0.0577202	0.079526	0.228512	0.31484	-2.85215	-2.53167	1.37598	1.6371
10	-56416.39	-56407.41	-8.98431	0.0266467	0.0309399	0.00222198	0.00257997	-3.62509	-3.47571	-2.48427	1.20255	0.003927966	0.1664124	0.003804341	0.01927459	0.428967	0.197874	0.0638571	0.309302	0.0620602	0.0743512	0.245694	0.294353	-2.77965	-2.59895	1.37598	1.6371
11	-56415.71	-56407.39	-8.318696	0.0266467	0.0309399	0.0017478	0.00202939	-3.62509	-3.47571	-2.72431	1.20255	0.004512731	0.169606	0.003804341	0.01881483	0.428967	0.197874	0.0638571	0.309302	0.0632251	0.0734126	0.250305	0.290637	-2.76105	-2.61166	1.37598	0.358572
