Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56416.74	-56410.92	-5.822328	0.0351992	0.06872	0.00615616	0.0120188	-3.34673	-2.67772	-1.74357	0.713922	0.001544491	0.1948776	0.007835437	0.01718275	0.07089	0.432364	0.489129	0.00761635	0.0778975	0.0757801	0.288976	0.281121	-2.55236	-2.57992	1.31095	0.980847
1	-56409.05	-56403.77	-5.284084	0.0178265	0.0460768	0.015097	0.0390218	-4.02707	-3.07744	-0.166189	0.713922	0.002681797	0.1654911	0.0097996	0.01718275	0.126184	0.219659	0.248498	0.405659	0.0778975	0.0757801	0.301643	0.293444	-2.55236	-2.57992	1.35385	0.980847
2	-56399.36	-56393.92	-5.439447	0.0178265	0.0383817	0.015097	0.0325049	-4.02707	-3.26017	-0.166189	0.713922	0.002681797	0.1654911	0.00946981	0.0208227	0.482356	0.160006	0.0369276	0.32071	0.0769867	0.0757801	0.285834	0.281355	-2.56412	-2.57992	1.31178	0.980847
3	-56411.83	-56405.32	-6.510878	0.0178265	0.0477272	0.015097	0.0404195	-4.02707	-3.04225	-0.166189	0.713922	0.001649939	0.1654911	0.008609964	0.0208227	0.37804	0.341667	0.0289414	0.251352	0.0769867	0.0764207	0.264834	0.262887	-2.56412	-2.5715	1.23547	2.31176
4	-56414.48	-56407.83	-6.658352	0.0178265	0.0274878	0.015097	0.023279	-4.02707	-3.59401	-0.166189	0.713922	0.001806355	0.1518417	0.008609964	0.01685508	0.392568	0.316366	0.0300537	0.261012	0.0833424	0.0885133	0.267106	0.283679	-2.4848	-2.4246	1.16469	2.28357
5	-56432.08	-56424.61	-7.471245	0.0226477	0.00926411	0.01918	0.00784564	-3.7877	-4.68161	-0.166189	-0.346797	0.001803504	0.1444145	0.007653002	0.01685508	0.509434	0.112852	0.0390005	0.338714	0.0833424	0.0885133	0.245202	0.260415	-2.4848	-2.4246	1.07912	2.28357
6	-56424.84	-56416.92	-7.917291	0.00633391	0.00926411	0.0053641	0.00784564	-5.06184	-4.68161	-0.166189	-0.346797	0.001803504	0.1204747	0.007653002	0.02367591	0.467203	0.103497	0.118665	0.310635	0.0833424	0.0750144	0.245202	0.2207	-2.4848	-2.59008	1.07912	0.605678
7	-56431.16	-56426.3	-4.860577	0.0157364	0.033516	0.013327	0.0283842	-4.15178	-3.39573	-0.166189	-0.346797	0.002051912	0.124761	0.008613653	0.01779358	0.467203	0.103497	0.118665	0.310635	0.0833424	0.079691	0.286544	0.27399	-2.4848	-2.5296	1.23493	0.605678
8	-56412.29	-56408.07	-4.218968	0.0292232	0.033516	0.0247487	0.0283842	-3.53279	-3.39573	-0.166189	-0.177074	0.003426327	0.1799553	0.008613653	0.01805887	0.471336	0.0955659	0.119715	0.313383	0.0833424	0.0885474	0.297091	0.315646	-2.4848	-2.42422	1.27108	0.605678
9	-56435.69	-56430.99	-4.707107	0.0200425	0.0568361	0.0232738	0.0659993	-3.9099	-2.86758	0.149473	-0.177074	0.009970335	0.1603991	0.009844163	0.01805887	0.178379	0.0388118	0.448861	0.333948	0.081049	0.080367	0.287042	0.284627	-2.5127	-2.52115	1.26458	0.961445
