Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
19	-56515.05	-56506.5	-8.553149	0.0498503	0.0129961	0.0213774	0.00557316	-2.99873	-4.3431	-0.846688	1.91255	0.005383475	0.2203356	0.01210574	0.02107769	0.106101	0.103049	0.0128737	0.777976	0.0697366	0.103824	0.236635	0.352304	-2.66303	-2.26505	1.22179	1.80574
20	-56447.28	-56439.27	-8.009758	0.0498503	0.0129961	0.0165588	0.00431693	-2.99873	-4.3431	-1.10211	1.91255	0.005383475	0.1322052	0.002616765	0.02225185	0.263643	0.381979	0.0477196	0.306658	0.0718997	0.0678435	0.243975	0.230211	-2.63248	-2.69055	1.22179	1.80574
21	-56466.79	-56458.59	-8.202483	0.020226	0.0441437	0.00671848	0.0146632	-3.90079	-3.12031	-1.10211	1.91255	0.009361617	0.1211535	0.008480458	0.02225185	0.263643	0.381979	0.0477196	0.306658	0.0567572	0.059035	0.192592	0.200322	-2.86897	-2.82962	1.22179	1.80574
22	-56461.57	-56456.16	-5.406725	0.0287649	0.0441437	0.0180805	0.027747	-3.5486	-3.12031	-0.464322	0.353225	0.003866859	0.1106715	0.008480458	0.02225185	0.180042	0.478669	0.0597987	0.281491	0.0674257	0.0947453	0.228794	0.321497	-2.69673	-2.35656	1.22179	1.80574
23	-56477.91	-56473.16	-4.744587	0.0287649	0.0446275	0.021227	0.0329328	-3.5486	-3.1094	-0.303883	1.25353	0.01346021	0.156721	0.008480458	0.02225185	0.378629	0.217245	0.0708087	0.333318	0.0715636	0.056375	0.309206	0.243581	-2.63717	-2.87573	1.46342	0.0927713
24	-56537.6	-56533.17	-4.425057	0.0256166	0.047966	0.0189037	0.0353964	-3.66452	-3.03726	-0.303883	1.25353	0.009379872	0.150815	0.00464898	0.009894715	0.204451	0.278141	0.0906571	0.426751	0.0532257	0.048154	0.295042	0.266928	-2.93321	-3.03335	1.71258	0.0131594
25	-56682.14	-56677.27	-4.865558	0.0221221	0.047966	0.0348856	0.0756404	-3.81118	-3.03726	0.455498	0.160334	0.01629769	0.130531	0.02413922	0.01611375	0.204451	0.278141	0.0906571	0.426751	0.0650344	0.048154	0.3605	0.266928	-2.73284	-3.03335	1.71258	0.0131594
26	-56490.76	-56486.07	-4.685665	0.0171322	0.047966	0.0456535	0.127819	-4.0668	-3.03726	0.980122	0.160334	0.02181189	0.166272	0.005139723	0.01403392	0.200552	0.29191	0.0889278	0.41861	0.0559693	0.0661088	0.31025	0.366456	-2.88295	-2.71645	1.71258	0.0531773
27	-56494.75	-56489.13	-5.618345	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	-0.296868	0.0186629	0.1128323	0.01599322	0.01403392	0.249137	0.120368	0.110472	0.520023	0.0503723	0.0699119	0.255192	0.354182	-2.98831	-2.66052	1.62258	0.0531773
28	-56521.5	-56514.22	-7.274879	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	1.8147	0.01514925	0.1749226	0.0135985	0.008393671	0.10336	0.143737	0.131919	0.620984	0.0700972	0.076231	0.355259	0.386346	-2.65787	-2.57399	1.62296	0.535109
29	-56508.71	-56501.8	-6.905678	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	1.8147	0.01200357	0.2352138	0.01587476	0.008393671	0.083696	0.328793	0.0846674	0.502844	0.0778924	0.091265	0.34472	0.403902	-2.55243	-2.39399	1.4874	0.20895
30	-56513.23	-56504.86	-8.37235	0.0171322	0.032414	0.0615438	0.116441	-4.0668	-3.42916	1.27879	-0.669348	0.01750253	0.1907085	0.01587476	0.008393671	0.25824	0.532228	0.118964	0.0905679	0.0711957	0.091265	0.29976	0.384259	-2.64232	-2.39399	1.43755	3.0078
31	-56484.62	-56476.06	-8.561142	0.00648675	0.0608362	0.0233023	0.218541	-5.03799	-2.79957	1.27879	0.878755	0.003905005	0.1679973	0.008455092	0.008393671	0.0240564	0.70026	0.156522	0.119161	0.0690442	0.091265	0.315998	0.417697	-2.67301	-2.39399	1.52099	2.09229
32	-56583.3	-56576.29	-7.010729	0.0134356	0.0367403	0.016154	0.0441741	-4.30985	-3.30388	0.184263	-1.03318	0.008751968	0.1371963	0.008455092	0.008393671	0.0125075	0.364082	0.561455	0.0619549	0.0518631	0.091265	0.237365	0.417697	-2.95915	-2.39399	1.52099	2.09229
33	-56471.14	-56464.28	-6.860176	0.023921	0.0146772	0.0212822	0.0130581	-3.733	-4.22146	-0.116887	-0.39805	0.002646243	0.1371963	0.008455092	0.009412209	0.00915648	0.266537	0.41103	0.313277	0.0518631	0.0622797	0.223027	0.267821	-2.95915	-2.77612	1.45868	2.09229
34	-56485.78	-56477.36	-8.419294	0.0145162	0.00658632	0.0122711	0.00556768	-4.23249	-5.02276	-0.168016	1.17745	0.01562382	0.1527102	0.01761183	0.01349386	0.010825	0.315106	0.614373	0.0596964	0.0511175	0.0622797	0.21982	0.267821	-2.97363	-2.77612	1.45868	0.491171
35	-56480.83	-56475.43	-5.404135	0.0145162	0.044361	0.0122711	0.0375001	-4.23249	-3.1154	-0.168016	0.539869	0.01562382	0.1530976	0.01761183	0.01044175	0.00749858	0.281612	0.669537	0.0413523	0.0577484	0.0621713	0.23667	0.254796	-2.85166	-2.77786	1.41057	0.679374
36	-56495.71	-56488.22	-7.49543	0.0145162	0.0118261	0.0108326	0.00882513	-4.23249	-4.43744	-0.292709	1.23717	0.01562382	0.1531025	0.01617772	0.01044175	0.230785	0.218257	0.518909	0.0320492	0.0577484	0.0668336	0.263932	0.305455	-2.85166	-2.70555	1.51959	0.679374
37	-56429.19	-56424.69	-4.502776	0.0506873	0.0236703	0.065456	0.0305671	-2.98208	-3.74353	0.255702	0.362722	0.005630381	0.1531025	0.004522234	0.02294103	0.227395	0.215051	0.525976	0.0315784	0.061451	0.0653091	0.295246	0.313783	-2.78951	-2.72862	1.56957	0.679374
38	-56460.76	-56452.27	-8.483596	0.0419014	0.00952787	0.0445711	0.0101349	-3.17244	-4.65353	0.0617656	-1.6639	0.003271527	0.1995202	0.004522234	0.02294103	0.399512	0.151246	0.442613	0.00662915	0.075358	0.0586276	0.362064	0.281681	-2.5855	-2.83655	1.56957	1.99962
39	-56444.88	-56438.75	-6.131795	0.0133896	0.0226436	0.00604066	0.0102156	-4.31327	-3.78788	-0.795967	-0.428578	0.004853418	0.1995202	0.004522234	0.01930392	0.500434	0.13303	0.360705	0.00583072	0.0585585	0.0586276	0.257308	0.257612	-2.83773	-2.83655	1.48025	0.745457
40	-56459.24	-56451.97	-7.267389	0.0196279	0.0138904	0.00885503	0.00626657	-3.9308	-4.27656	-0.795967	1.39773	0.01992447	0.1816111	0.004522234	0.02148375	0.348367	0.133937	0.125732	0.391964	0.0543863	0.0509211	0.238976	0.223749	-2.91164	-2.97748	1.48025	0.745457
41	-56427.46	-56417.88	-9.578389	0.00435113	0.0138904	0.00517167	0.0165098	-5.43732	-4.27656	0.17276	1.39773	0.007972155	0.1366617	0.004522234	0.02298621	0.330317	0.17881	0.119218	0.371656	0.0470383	0.0534373	0.206688	0.234806	-3.05679	-2.92925	1.48025	0.745457
42	-56536.56	-56531.19	-5.364171	0.0248734	0.0637175	0.0295641	0.0757334	-3.69395	-2.7533	0.17276	-0.790871	0.001144339	0.08794259	0.0187346	0.02318386	0.0683418	0.334889	0.22328	0.37349	0.0444533	0.0682706	0.195329	0.299984	-3.11332	-2.68428	1.48025	0.745457
43	-56465.79	-56457.6	-8.188724	0.00513119	0.0273631	0.00609883	0.0325233	-5.27242	-3.59856	0.17276	-0.790871	0.0046234	0.1144935	0.0187346	0.01309136	0.088494	0.327645	0.21845	0.365411	0.0530086	0.0533817	0.253722	0.255508	-2.9373	-2.93029	1.56579	0.745457
44	-56452.47	-56444.14	-8.323032	0.00513119	0.0191174	0.0125432	0.0467325	-5.27242	-3.95716	0.893843	-0.790871	0.001031838	0.1415688	0.0109508	0.01309136	0.088494	0.327645	0.21845	0.365411	0.0479083	0.0512189	0.237218	0.253611	-3.03847	-2.97165	1.59969	0.265477
45	-56517.75	-56511.62	-6.128324	0.0118045	0.024276	0.00721953	0.014847	-4.43928	-3.71827	-0.491688	-0.0702687	0.00345615	0.09955816	0.0109508	0.01309136	0.133797	0.182744	0.13098	0.552479	0.0479083	0.0351116	0.237218	0.173856	-3.03847	-3.34922	1.59969	0.265477
46	-56511.33	-56502.83	-8.500337	0.0150273	0.00440313	0.00919059	0.00269293	-4.19789	-5.42544	-0.491688	-0.0702687	0.03178693	0.1512782	0.0109508	0.01376077	0.133234	0.182863	0.131065	0.552838	0.0479083	0.0400594	0.237218	0.198355	-3.03847	-3.21739	1.59969	0.182811
47	-56708.61	-56701.02	-7.581408	0.0331374	0.00569478	0.0308619	0.00530372	-3.40709	-5.1682	-0.0711411	-0.876585	0.03178693	0.1123721	0.024008	0.01376077	0.462977	0.165781	0.338229	0.0330131	0.0584224	0.0381403	0.266024	0.17367	-2.84006	-3.26648	1.51589	0.182811
48	-56548.95	-56541.12	-7.824083	0.0258156	0.00569478	0.0240428	0.00530372	-3.65678	-5.1682	-0.0711411	1.03586	0.03119779	0.2004614	0.007987294	0.02147302	0.413852	0.341778	0.222638	0.0217308	0.0584224	0.038654	0.302319	0.200023	-2.84006	-3.25311	1.64378	0.182811
49	-56472.45	-56462.54	-9.909182	0.0303603	0.0153633	0.0769792	0.038954	-3.49462	-4.17578	0.9304	1.03586	0.03119779	0.2004614	0.007987294	0.02147302	0.0747511	0.636949	0.226558	0.0617414	0.0566623	0.0622023	0.293211	0.321878	-2.87065	-2.77736	1.64378	3.91041
50	-56525.92	-56514.41	-11.51095	0.0303603	0.00262772	0.0769792	0.00666265	-3.49462	-5.94164	0.9304	-1.15952	0.03119779	0.214413	0.002321137	0.03043406	0.330028	0.274123	0.123259	0.272589	0.0525344	0.0622023	0.270056	0.319755	-2.94629	-2.77736	1.63716	2.26585
51	-56424.85	-56417.98	-6.865393	0.0157454	0.0201021	0.0176871	0.022581	-4.1512	-3.90693	0.116287	-1.15952	0.00337375	0.1261635	0.009793578	0.03131296	0.429706	0.108177	0.107198	0.354919	0.0523754	0.0622023	0.242371	0.287846	-2.94932	-2.77736	1.53203	0.653492
52	-56435.81	-56427.53	-8.27649	0.0100762	0.0098172	0.0121802	0.0118671	-4.59758	-4.62362	0.189632	-0.645403	0.00337375	0.1167326	0.009793578	0.03131296	0.566915	0.269263	0.141428	0.0223941	0.0425264	0.0549743	0.203948	0.263646	-3.15763	-2.90089	1.56774	0.653492
53	-56458.72	-56451.21	-7.507436	0.00636625	0.0296952	0.00769556	0.0358957	-5.05674	-3.51677	0.189632	-0.359449	0.008505286	0.1354824	0.006454209	0.03131296	0.268231	0.300673	0.406089	0.0250064	0.0433751	0.0549743	0.213806	0.270981	-3.13787	-2.90089	1.59518	0.772573
54	-56443.51	-56435.09	-8.415799	0.0378474	0.00379076	0.0457501	0.00458229	-3.27419	-5.57519	0.189632	-0.411797	0.01312397	0.1354824	0.008841943	0.03131296	0.184322	0.519439	0.279055	0.0171838	0.0559307	0.0549743	0.275696	0.270981	-2.88364	-2.90089	1.59518	0.68714
55	-56473.51	-56460.72	-12.79316	0.0109561	0.00835768	0.000549707	0.000419336	-4.51386	-4.78457	-2.99226	-0.986215	0.01635946	0.1396572	0.008841943	0.03131296	0.17385	0.489927	0.320016	0.0162075	0.0516195	0.0567085	0.19034	0.209105	-2.96386	-2.86983	1.30491	0.68714
56	-56411.71	-56402.98	-8.727949	0.0109561	0.00835768	0.0046961	0.00358235	-4.51386	-4.78457	-0.847161	-0.986215	0.01370671	0.1530139	0.008841943	0.02672488	0.353113	0.156617	0.466636	0.0236332	0.0675171	0.0678113	0.24896	0.250045	-2.69537	-2.69103	1.30491	0.973544
57	-56449.5	-56441.26	-8.235899	0.0235107	0.0328778	0.0100774	0.0140924	-3.7503	-3.41496	-0.847161	-0.986215	0.02063653	0.1624535	0.008841943	0.02672488	0.133577	0.25222	0.576144	0.0380594	0.0617382	0.0645526	0.227651	0.238029	-2.78485	-2.74027	1.30491	3.20023
58	-56532.52	-56528.22	-4.302717	0.0235107	0.0678002	0.0100774	0.0290612	-3.7503	-2.69119	-0.847161	-0.133853	0.02162903	0.1611569	0.009360156	0.02672488	0.193055	0.364526	0.143606	0.298812	0.0566505	0.0801988	0.183796	0.260195	-2.87085	-2.52325	1.17692	0.248852
59	-56532.51	-56528.32	-4.187064	0.0512588	0.0669074	0.0256699	0.0335065	-2.97087	-2.70445	-0.691569	-0.133853	0.02162903	0.1467683	0.01416847	0.02672488	0.174243	0.302399	0.0917091	0.431648	0.0660664	0.0731102	0.214344	0.237197	-2.71709	-2.61579	1.17692	0.678539
60	-56451.03	-56444.51	-6.518569	0.0512588	0.00961274	0.0256699	0.00481396	-2.97087	-4.64467	-0.691569	-0.133853	0.01007895	0.1262371	0.008360866	0.02544228	0.12262	0.50908	0.0645382	0.303762	0.0660664	0.0837917	0.214344	0.271852	-2.71709	-2.47942	1.17692	1.44876
61	-56452.63	-56447.14	-5.492679	0.0513833	0.0336136	0.0277995	0.0181857	-2.96844	-3.39283	-0.614295	-1.74735	0.002113317	0.1248244	0.008360866	0.02544228	0.51667	0.132207	0.0615281	0.289595	0.079634	0.0961054	0.258363	0.311802	-2.53031	-2.34231	1.17692	0.563284
62	-56449.8	-56444.25	-5.551002	0.0793389	0.0336136	0.0429241	0.0181857	-2.53403	-3.39283	-0.614295	-1.74735	0.003632146	0.2545642	0.006992776	0.02942157	0.0295765	0.265444	0.123535	0.581444	0.0902597	0.0918634	0.320676	0.326374	-2.40506	-2.38745	1.26774	0.563284
63	-56484.49	-56477.05	-7.446877	0.0174341	0.00688748	0.0318679	0.0125897	-4.04933	-4.97805	0.60317	-0.0410683	0.005941426	0.2545642	0.008794386	0.03476603	0.0295765	0.265444	0.123535	0.581444	0.0902597	0.0930854	0.320676	0.330715	-2.40506	-2.37424	1.26774	0.563284
64	-56640.63	-56633.04	-7.596754	0.0228186	0.00668316	0.0677508	0.019843	-3.78018	-5.00816	1.08826	-0.0410683	0.05176449	0.2386765	0.006373638	0.03476603	0.0268648	0.199576	0.092881	0.680678	0.0902597	0.0810869	0.359337	0.322819	-2.40506	-2.51223	1.38157	0.563284
65	-56554.17	-56547.64	-6.535085	0.0100389	0.0130449	0.0122176	0.0158759	-4.60128	-4.33936	0.196406	-0.0410683	0.0003312281	0.2386765	0.005111638	0.03476603	0.0314654	0.303278	0.108787	0.556469	0.0862436	0.0945025	0.257161	0.281788	-2.45058	-2.35913	1.09253	0.563284
66	-56413.69	-56403.89	-9.801091	0.00762282	0.0119836	0.00217585	0.00342059	-4.87661	-4.42421	-1.25373	0.746	0.001049615	0.1036997	0.005111638	0.0214829	0.0226424	0.218238	0.0782826	0.680837	0.0662466	0.0793536	0.197534	0.236617	-2.71437	-2.53384	1.09253	2.49487
