Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56381.85	-56371.58	-10.26524	0.00495563	0.0188987	0.001881	0.00717333	-5.30723	-3.96866	-0.968724	-1.35103	0.001736372	0.1222344	0.008221771	0.01983511	0.144051	0.458531	0.168274	0.229144	0.0624304	0.0681225	0.23067	0.251701	-2.7737	-2.68645	1.30694	1.91197
1	-56379.93	-56369.15	-10.7772	0.00495563	0.00563869	0.00158254	0.00180067	-5.30723	-5.1781	-1.14149	1.36697	0.001736372	0.1177221	0.007132982	0.02337142	0.231171	0.0821665	0.290745	0.395917	0.0579261	0.063	0.23178	0.252083	-2.84859	-2.76462	1.38662	0.101779
2	-56380.18	-56369.22	-10.96329	0.00495563	0.00778668	0.00142638	0.00224124	-5.30723	-4.85534	-1.24539	-1.81677	0.004515583	0.1409356	0.007123526	0.0215618	0.0630874	0.0603762	0.585616	0.290921	0.0598373	0.063	0.239427	0.252083	-2.81613	-2.76462	1.38662	0.108735
3	-56385.61	-56374.13	-11.48212	0.00685595	0.00597693	0.000707136	0.000616473	-4.98264	-5.11985	-2.27165	-1.13771	0.003191554	0.1242146	0.006913577	0.02081552	0.423916	0.0371238	0.36008	0.17888	0.0598373	0.0621754	0.220542	0.22916	-2.81613	-2.7778	1.30446	0.108735
4	-56383.69	-56373.22	-10.47377	0.00685595	0.00910594	0.00229577	0.0030492	-4.98264	-4.69883	-1.09405	1.65625	0.002690058	0.1263015	0.009579146	0.02081552	0.26208	0.137165	0.222614	0.378141	0.0583535	0.0666561	0.229348	0.26198	-2.84124	-2.70821	1.36872	0.929925
5	-56380.81	-56372.37	-8.445563	0.00685595	0.0172778	0.00229577	0.0057856	-4.98264	-4.05833	-1.09405	-0.75766	0.001878408	0.1393502	0.008430203	0.02081552	0.130949	0.501867	0.166084	0.2011	0.0583535	0.0631676	0.24125	0.261152	-2.84124	-2.76196	1.41931	0.929925
6	-56383.31	-56373.97	-9.342848	0.00533281	0.0172778	0.00178573	0.0057856	-5.23388	-4.05833	-1.09405	1.16822	0.004642089	0.1297075	0.008711209	0.02017019	0.130949	0.501867	0.166084	0.2011	0.0583535	0.0631676	0.24125	0.261152	-2.84124	-2.76196	1.41931	0.929925
7	-56382.03	-56373.35	-8.679686	0.00494226	0.0172778	0.00533516	0.0186513	-5.30993	-4.05833	0.0764961	0.956955	0.001767104	0.127868	0.008711209	0.0195972	0.643498	0.205876	0.0681309	0.0824954	0.0574601	0.0631676	0.239375	0.263152	-2.85666	-2.76196	1.42694	0.929925
8	-56384.38	-56375.5	-8.880981	0.00469106	0.0107512	0.00466033	0.0106807	-5.3621	-4.53274	-0.00657245	0.956955	0.004715948	0.1507523	0.008394281	0.02087949	0.643498	0.205876	0.0681309	0.0824954	0.0588169	0.066674	0.255244	0.289341	-2.83333	-2.70794	1.46779	0.283635
9	-56389.25	-56375.31	-13.94319	0.00148587	0.0107512	0.00292929	0.0211951	-6.51175	-4.53274	0.678757	0.752297	0.005376953	0.1507523	0.008394281	0.0208895	0.643498	0.205876	0.0681309	0.0824954	0.0569732	0.0608962	0.247243	0.264268	-2.86517	-2.79858	1.46779	2.23104
10	-56388.77	-56376.96	-11.81251	0.00367287	0.00831462	0.00529904	0.0119959	-5.60678	-4.78974	0.366552	0.936881	0.005376953	0.1304592	0.007108949	0.02016117	0.271306	0.582797	0.0659917	0.0799052	0.052433	0.0649959	0.22754	0.282059	-2.94822	-2.73343	1.46779	2.23486
11	-56389.81	-56378.5	-11.31953	0.00396719	0.00386327	0.0109898	0.0107019	-5.5297	-5.55624	1.01891	-0.418694	0.003194742	0.1181262	0.007108949	0.02155021	0.366456	0.43648	0.0891356	0.107929	0.052433	0.0649959	0.229553	0.284554	-2.94822	-2.73343	1.4766	0.206467
12	-56386.15	-56375.17	-10.98297	0.00426301	0.00386327	0.0118092	0.0107019	-5.45778	-5.55624	1.01891	-0.418694	0.002327148	0.1181262	0.006921218	0.02285728	0.508194	0.218521	0.123612	0.149673	0.0518409	0.0621435	0.224716	0.269375	-2.95958	-2.77831	1.46666	0.00958311
13	-56384.37	-56375.47	-8.90348	0.00426301	0.0150942	0.0118092	0.0418134	-5.45778	-4.19345	1.01891	-0.418694	0.002254341	0.1176415	0.007402633	0.02169937	0.508194	0.218521	0.123612	0.149673	0.0526469	0.0621435	0.22821	0.269375	-2.94415	-2.77831	1.46666	0.458826
14	-56391.48	-56382.37	-9.106211	0.00498585	0.0120455	0.00142906	0.00345251	-5.30115	-4.41906	-1.24959	-0.418694	0.005365716	0.1409507	0.006493306	0.02169937	0.219043	0.346998	0.196287	0.237672	0.0546935	0.0649946	0.245416	0.291638	-2.90601	-2.73345	1.50121	0.458826
