Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56399.34	-56393.24	-6.09889	0.00891581	0.0336564	0.00419003	0.015817	-4.71993	-3.39155	-0.755119	0.981732	0.003306597	0.1290903	0.01043045	0.01741042	0.721626	0.00991368	0.2352	0.0332605	0.0713074	0.0736225	0.236587	0.244269	-2.64076	-2.6088	1.19932	0.182123
1	-56403.36	-56396.83	-6.523923	0.00819055	0.0229072	0.00384919	0.0107653	-4.80477	-3.7763	-0.755119	0.981732	0.003306597	0.1644495	0.009342683	0.01732412	0.900246	0.0161504	0.0294191	0.0541848	0.0720273	0.0768946	0.238976	0.255125	-2.63071	-2.56532	1.19932	0.137121
2	-56399.91	-56394.85	-5.054596	0.0257266	0.0243052	0.0142032	0.0134185	-3.66023	-3.71706	-0.59406	1.21831	0.0031308	0.1472886	0.009342683	0.01732412	0.864021	0.0337053	0.0613965	0.0408768	0.0711211	0.075584	0.246132	0.261577	-2.64337	-2.58251	1.24148	0.137121
3	-56402.88	-56397.06	-5.826624	0.0135204	0.0243052	0.00380663	0.00684306	-4.30356	-3.71706	-1.26746	-0.484138	0.0008867069	0.1063447	0.009533436	0.01732412	0.26457	0.182293	0.332058	0.221079	0.0653689	0.0733157	0.226225	0.253727	-2.72771	-2.61298	1.24148	0.134138
4	-56399.32	-56393.45	-5.873096	0.0135204	0.0291013	0.00380663	0.00819338	-4.30356	-3.53697	-1.26746	0.377398	0.004742359	0.1421578	0.009533436	0.0207507	0.0467182	0.140747	0.256379	0.556156	0.063215	0.081027	0.218771	0.280414	-2.76121	-2.51297	1.24148	0.272067
5	-56391.59	-56384.07	-7.517714	0.00488851	0.0291013	0.00137635	0.00819338	-5.32087	-3.53697	-1.26746	-0.228307	0.00123116	0.1247271	0.008802047	0.01717737	0.33996	0.097451	0.177514	0.385075	0.0650309	0.0719077	0.217978	0.241029	-2.73289	-2.63237	1.20953	0.299029
6	-56396.48	-56385.34	-11.13778	0.0104688	0.004314	0.00294747	0.00121459	-4.55935	-5.44589	-1.26746	-0.228307	0.003070206	0.1043793	0.006700658	0.02276361	0.602991	0.058616	0.106773	0.231619	0.0619542	0.0640718	0.208169	0.215284	-2.78136	-2.74775	1.21195	2.31824
7	-56401.37	-56391.94	-9.427789	0.00965598	0.0175562	0.00173586	0.0031561	-4.64018	-4.04235	-1.71607	-0.111739	0.005735007	0.1071333	0.006700658	0.02276361	0.14309	0.092381	0.399488	0.365041	0.0642922	0.0679013	0.216247	0.228387	-2.74432	-2.6897	1.21299	2.31824
8	-56393.41	-56385.37	-8.042528	0.019299	0.0293066	0.00136523	0.00207319	-3.9477	-3.52994	-2.64873	-0.533722	0.004061761	0.1372447	0.007016419	0.02276361	0.0662853	0.579552	0.18506	0.169103	0.0642922	0.0736035	0.216913	0.248328	-2.74432	-2.60906	1.21606	0.2655
9	-56396.83	-56391.18	-5.648136	0.019299	0.0122607	0.015363	0.00976016	-3.9477	-4.40136	-0.228088	-0.533722	0.001701731	0.1052379	0.007016419	0.02224059	0.0662853	0.579552	0.18506	0.169103	0.0642922	0.0726123	0.237003	0.267674	-2.74432	-2.62262	1.30464	0.2655
10	-56396.62	-56390.67	-5.944475	0.00853849	0.0215174	0.0067971	0.017129	-4.76317	-3.83889	-0.228088	-0.533722	0.00214762	0.1411517	0.005495803	0.02224059	0.26669	0.0290635	0.023885	0.680362	0.0642922	0.0819465	0.22216	0.283164	-2.74432	-2.50169	1.23996	0.2655
11	-56390.73	-56384.91	-5.812741	0.0172789	0.0286713	0.0137549	0.0228239	-4.05827	-3.55186	-0.228088	1.05735	0.003310575	0.1297928	0.006832152	0.02224059	0.131906	0.139132	0.0831498	0.645813	0.0687331	0.0696493	0.25125	0.254599	-2.67752	-2.66428	1.29622	0.906255
12	-56388.03	-56382.07	-5.96419	0.011954	0.0278973	0.00951602	0.0222077	-4.42669	-3.57923	-0.228088	-0.806361	0.002138692	0.1388774	0.006160509	0.01787829	0.105517	0.334231	0.0639057	0.496347	0.0661391	0.0715997	0.241767	0.261728	-2.716	-2.63667	1.29622	0.906255
13	-56390.85	-56385.66	-5.188998	0.0114856	0.0375858	0.00914317	0.0299203	-4.46666	-3.28113	-0.228088	-0.943462	0.002138692	0.1390755	0.008264531	0.01787829	0.0470452	0.149019	0.582636	0.2213	0.0654958	0.0804464	0.231922	0.284862	-2.72577	-2.52016	1.26441	0.0923017
14	-56395.68	-56389.48	-6.191134	0.00940451	0.0375858	0.00987813	0.0394786	-4.66657	-3.28113	0.0491344	-0.943462	0.001958665	0.1596903	0.008264531	0.01787829	0.0474348	0.04564	0.587461	0.319464	0.0684355	0.0822055	0.240168	0.288493	-2.68186	-2.49853	1.25545	0.797023
15	-56392.18	-56385.79	-6.381417	0.00940451	0.0365783	0.011739	0.0456582	-4.66657	-3.3083	0.221727	-0.943462	0.001765416	0.1330785	0.008815197	0.01994013	0.0403982	0.14999	0.500316	0.309296	0.0684355	0.078076	0.259431	0.295977	-2.68186	-2.55007	1.3326	0.797023
16	-56402.17	-56396.13	-6.044557	0.00940451	0.0250071	0.0201611	0.0536094	-4.66657	-3.6886	0.762566	-0.0510691	0.001765416	0.1514858	0.01102381	0.01994013	0.0223262	0.0828924	0.723848	0.170933	0.0610465	0.0804125	0.240765	0.317143	-2.79612	-2.52059	1.37218	0.109137
17	-56393.64	-56386.51	-7.135789	0.0078985	0.0326339	0.0169326	0.0699595	-4.84108	-3.4224	0.762566	-0.949446	0.004210569	0.1514858	0.01102381	0.02027353	0.455459	0.0729979	0.231905	0.239638	0.0658956	0.0787754	0.26173	0.312887	-2.71968	-2.54115	1.37924	0.685056
18	-56392.17	-56385.29	-6.879181	0.0103127	0.0208913	0.0221081	0.0447862	-4.57438	-3.86842	0.762566	-0.949446	0.003726166	0.1418718	0.008671665	0.01655943	0.370105	0.08444	0.268255	0.2772	0.0658956	0.0735012	0.26173	0.291938	-2.71968	-2.61045	1.37924	0.685056
19	-56390.54	-56382.98	-7.559842	0.010056	0.010976	0.00727726	0.00794305	-4.59958	-4.51204	-0.323416	-1.01075	0.006164996	0.1628145	0.006837725	0.02448139	0.370105	0.08444	0.268255	0.2772	0.0611243	0.0739202	0.236888	0.28648	-2.79485	-2.60477	1.35468	0.523433
20	-56397.56	-56390.11	-7.445559	0.010056	0.0109667	0.00727726	0.00793631	-4.59958	-4.51289	-0.323416	-1.01075	0.002383279	0.1352932	0.006837725	0.02448139	0.126559	0.0491888	0.662775	0.161477	0.0592706	0.0739202	0.208806	0.260415	-2.82564	-2.60477	1.25929	0.523433
21	-56392.21	-56385.66	-6.551071	0.0235322	0.00726039	0.0184419	0.00568988	-3.74939	-4.92532	-0.243744	-1.01075	0.005048784	0.1388784	0.006837725	0.02448139	0.138654	0.0538896	0.630548	0.176909	0.0646559	0.0737933	0.227778	0.259968	-2.73868	-2.60649	1.25929	0.101564
22	-56393.66	-56386.2	-7.454087	0.00784367	0.0135325	0.00283505	0.00489126	-4.84805	-4.30266	-1.01765	-1.01075	0.003036941	0.1465796	0.00537369	0.02149064	0.495352	0.0686358	0.210694	0.225318	0.0702159	0.0737933	0.268003	0.281657	-2.65618	-2.60649	1.33942	0.101564
23	-56390.16	-56382.7	-7.465512	0.00784367	0.0135586	0.0182424	0.0315338	-4.84805	-4.30074	0.84404	-1.01075	0.003036941	0.1420355	0.007551821	0.02443371	0.0657629	0.303519	0.416995	0.213723	0.0667255	0.0768949	0.238758	0.275146	-2.70717	-2.56532	1.27486	0.101564
24	-56388.38	-56381.49	-6.886396	0.00980195	0.01292	0.0227968	0.0300486	-4.62517	-4.34898	0.84404	0.536641	0.00366996	0.1420355	0.007551821	0.02443371	0.0502167	0.372476	0.414108	0.163199	0.0656617	0.0768949	0.241151	0.282407	-2.72324	-2.56532	1.30091	0.178761
25	-56388.92	-56380.69	-8.223903	0.00715271	0.01292	0.0166354	0.0300486	-4.94026	-4.34898	0.84404	-1.12853	0.004223121	0.1544351	0.007551821	0.02195821	0.0890562	0.502168	0.119352	0.289424	0.0680932	0.0781765	0.271236	0.311401	-2.68688	-2.54879	1.38211	0.434924
26	-56388.54	-56379.83	-8.702064	0.00715271	0.01292	0.0166354	0.0300486	-4.94026	-4.34898	0.84404	1.58352	0.000997519	0.1415727	0.007350412	0.01937992	0.288859	0.434156	0.0808724	0.196112	0.0660971	0.0738992	0.247206	0.276386	-2.71663	-2.60505	1.3191	0.434924
27	-56387.91	-56379.93	-7.980314	0.00800009	0.0236454	0.0186062	0.0549931	-4.8283	-3.74459	0.84404	1.58352	0.002265658	0.1237465	0.007350412	0.01887052	0.383635	0.389672	0.0924265	0.134266	0.0616412	0.0715552	0.254922	0.295922	-2.78642	-2.63729	1.41963	0.580769
28	-56385.67	-56374.85	-10.82845	0.00297719	0.00757824	0.00692418	0.017625	-5.81678	-4.88247	0.84404	0.990759	0.002265658	0.1311449	0.006329156	0.01887052	0.382238	0.505091	0.0459381	0.0667333	0.0643596	0.0731742	0.239962	0.272826	-2.74327	-2.61491	1.31599	0.580769
29	-56386.5	-56379.02	-7.479663	0.0155745	0.017708	0.0176051	0.0200167	-4.16212	-4.03374	0.122552	0.487093	0.004412049	0.1384267	0.008584085	0.02227017	0.740081	0.212513	0.0193281	0.0280776	0.0643596	0.0731742	0.240571	0.273519	-2.74327	-2.61491	1.31853	2.22497
30	-56385.72	-56374.42	-11.30165	0.0113986	0.01217	0.00113523	0.00121206	-4.47427	-4.40878	-2.30665	-1.30994	0.002563179	0.1500126	0.008584085	0.02078018	0.740081	0.212513	0.0193281	0.0280776	0.0643064	0.0731742	0.240372	0.273519	-2.7441	-2.61491	1.31853	1.70967
31	-56398.54	-56391	-7.543227	0.0266698	0.01217	0.00526439	0.00240226	-3.62422	-4.40878	-1.62257	0.772062	0.00589063	0.1409837	0.008584085	0.02078018	0.747901	0.20612	0.0187466	0.0272328	0.0627037	0.0615897	0.234381	0.230217	-2.76933	-2.78726	1.31853	0.872861
32	-56388.06	-56380.9	-7.160031	0.0202759	0.01217	0.00400228	0.00240226	-3.89832	-4.40878	-1.62257	-0.375642	0.00589063	0.1546162	0.008584085	0.02532143	0.152832	0.720312	0.0316872	0.0951686	0.0651664	0.0651721	0.254063	0.254085	-2.73081	-2.73072	1.36064	0.301097
33	-56388.86	-56377.34	-11.51461	0.0211006	0.01217	0.00416509	0.00240226	-3.85845	-4.40878	-1.62257	0.0661037	0.005418941	0.1546162	0.007076467	0.02384236	0.152832	0.720312	0.0316872	0.0951686	0.0651664	0.0661089	0.260998	0.264773	-2.73081	-2.71645	1.38757	4.87664
34	-56387.94	-56376.57	-11.36263	0.0211006	0.0084434	0.0134804	0.00539419	-3.85845	-4.77437	-0.448063	0.930656	0.005418941	0.1559224	0.007975491	0.02384236	0.142963	0.673799	0.0942148	0.0890232	0.0651664	0.0691464	0.255913	0.271543	-2.73081	-2.67153	1.36789	4.87664
35	-56394.5	-56389.16	-5.34296	0.0211006	0.025963	0.014102	0.0173516	-3.85845	-3.65108	-0.402986	0.930656	0.001868034	0.1554774	0.006616722	0.02384236	0.384916	0.483577	0.0676168	0.0638908	0.0651664	0.0797978	0.255913	0.313372	-2.73081	-2.52826	1.36789	0.549345
36	-56391.25	-56385.21	-6.044564	0.0211006	0.0168085	0.014102	0.0112335	-3.85845	-4.08587	-0.402986	1.47991	0.00679724	0.1660401	0.008055888	0.01906481	0.199563	0.0805749	0.0287871	0.691075	0.0651664	0.0690302	0.260696	0.276153	-2.73081	-2.67321	1.38641	0.0521293
37	-56391.12	-56384.36	-6.765822	0.0100693	0.0339456	0.00672954	0.0226866	-4.59826	-3.383	-0.402986	-0.896441	0.004585377	0.164675	0.008055888	0.01906481	0.199563	0.0805749	0.0287871	0.691075	0.0636894	0.0690302	0.244977	0.26552	-2.75374	-2.67321	1.34715	1.19962
38	-56391.05	-56384.87	-6.174128	0.00778322	0.0339456	0.00520169	0.0226866	-4.85578	-3.383	-0.402986	-0.896441	0.004538008	0.1445677	0.01106408	0.01906481	0.194847	0.102299	0.0281069	0.674747	0.0683615	0.073849	0.252104	0.27234	-2.68294	-2.60573	1.30503	0.0950097
