Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56467.66	-56455.14	-12.52746	0.0051898	0.0475493	0.00019754	0.00180987	-5.26106	-3.04599	-3.26851	0.0319082	0.01427348	0.141119	0.009230277	0.02433634	0.577404	0.0468791	0.133604	0.242113	0.0403097	0.0418379	0.214599	0.222734	-3.21116	-3.17395	1.67218	0.116093
1	-56446.41	-56436.7	-9.712645	0.04255	0.00335336	0.00763858	0.000601996	-3.15708	-5.69779	-1.71747	0.485041	0.01427348	0.1768537	0.009230277	0.02433634	0.516013	0.0418947	0.225721	0.216371	0.0469223	0.0477007	0.249802	0.253946	-3.05926	-3.04281	1.67218	0.116093
2	-56463.32	-56453.78	-9.543481	0.04255	0.00427301	0.0374177	0.00375761	-3.15708	-5.45544	-0.128534	0.644114	0.01227496	0.1649393	0.01045926	0.01724611	0.130125	0.0478581	0.257851	0.564166	0.0469223	0.0477007	0.26116	0.265492	-3.05926	-3.04281	1.71664	1.98151
3	-56504.78	-56496.69	-8.093633	0.0445474	0.0100811	0.0253783	0.00574311	-3.1112	-4.59709	-0.562659	0.499334	0.01002447	0.2290445	0.01118599	0.025277	0.168623	0.0621276	0.0368696	0.73238	0.0469223	0.0594825	0.26116	0.331067	-3.05926	-2.82207	1.71664	1.98151
4	-56436.42	-56428.52	-7.90103	0.014998	0.0128757	0.00854422	0.00733516	-4.19984	-4.35242	-0.562659	0.163706	0.01002447	0.2077005	0.01118599	0.01684082	0.168623	0.0621276	0.0368696	0.73238	0.0739856	0.0643324	0.297211	0.258433	-2.60388	-2.74369	1.39057	1.98151
5	-56474	-56467.7	-6.296245	0.0615338	0.0195622	0.0504857	0.0160499	-2.78817	-3.93416	-0.197897	0.623297	0.01242826	0.2061024	0.01278366	0.01865769	0.395436	0.0451781	0.026811	0.532574	0.0739856	0.0662049	0.297211	0.265955	-2.60388	-2.715	1.39057	1.98151
6	-56466.14	-56459.09	-7.053418	0.0138787	0.0199774	0.00965319	0.013895	-4.2774	-3.91315	-0.363069	0.623297	0.006503363	0.1906758	0.005507957	0.01093709	0.194196	0.0830877	0.0346393	0.688077	0.0662735	0.0662049	0.299518	0.299208	-2.71396	-2.715	1.50838	1.98151
7	-56472.25	-56466.77	-5.477116	0.030912	0.0199774	0.0215005	0.013895	-3.47661	-3.91315	-0.363069	0.988564	0.006503363	0.2116534	0.00852916	0.01093709	0.0526017	0.580224	0.0551215	0.312053	0.0714892	0.0662049	0.32309	0.299208	-2.63821	-2.715	1.50838	0.794541
8	-56475.29	-56467.57	-7.714762	0.0119014	0.0107998	0.00827789	0.0075117	-4.4311	-4.52822	-0.363069	1.05916	0.003049129	0.2116534	0.00852916	0.01305588	0.341139	0.288891	0.0555412	0.314429	0.0601279	0.0787164	0.29526	0.386539	-2.81128	-2.5419	1.59138	0.794541
9	-56567.75	-56563.28	-4.478377	0.0324773	0.0528815	0.0128484	0.0209206	-3.42721	-2.9397	-0.92732	1.05916	0.03137245	0.1991356	0.002417258	0.01286001	0.341139	0.288891	0.0555412	0.314429	0.0526743	0.0506332	0.265861	0.255559	-2.94363	-2.98315	1.61884	0.405944
10	-56559.38	-56554.86	-4.518968	0.0292914	0.0484402	0.0174427	0.0288455	-3.53046	-3.02743	-0.518376	0.835682	0.02805696	0.1515653	0.002417258	0.01286001	0.336045	0.284577	0.0696451	0.309734	0.0508836	0.0534056	0.246331	0.25854	-2.97821	-2.92984	1.57713	0.925441
11	-56486.03	-56481.25	-4.774554	0.0292914	0.0618054	0.0174427	0.0368043	-3.53046	-2.78377	-0.518376	-0.146074	0.0003235153	0.1515653	0.002417258	0.0223988	0.0260164	0.663854	0.0538711	0.256258	0.0508836	0.0557681	0.246331	0.269977	-2.97821	-2.88655	1.57713	1.38325
12	-56463.34	-56457.77	-5.575625	0.0180257	0.0938507	0.0107341	0.0558869	-4.01596	-2.36605	-0.518376	-0.146074	0.004824522	0.1408747	0.007363982	0.01435774	0.0260164	0.663854	0.0538711	0.256258	0.0467091	0.0560916	0.226122	0.271543	-3.06382	-2.88077	1.57713	1.38325
13	-56536.04	-56531.23	-4.801871	0.0180257	0.0408819	0.00790597	0.0179306	-4.01596	-3.19707	-0.824181	0.147745	0.03703784	0.1408747	0.007363982	0.01435774	0.564626	0.188205	0.0684454	0.178723	0.0467091	0.0532684	0.184396	0.210291	-3.06382	-2.93241	1.37315	0.272426
14	-56526.13	-56519.99	-6.141743	0.0180257	0.0266901	0.00777278	0.0115089	-4.01596	-3.62346	-0.841171	0.147745	0.04429578	0.149855	0.007363982	0.02802859	0.164009	0.659793	0.124283	0.0519145	0.0453291	0.0532684	0.185949	0.218518	-3.09381	-2.93241	1.41152	0.840297
15	-56398.25	-56389.79	-8.458916	0.0395731	0.0102085	0.0135354	0.00349167	-3.2296	-4.58453	-1.07284	1.91216	0.003222989	0.149855	0.007363982	0.02802859	0.404863	0.447853	0.102693	0.0445914	0.0572378	0.0638962	0.234801	0.262115	-2.86054	-2.7505	1.41152	0.840297
16	-56431.27	-56424	-7.27396	0.0223098	0.0395886	0.00903079	0.0160251	-3.80273	-3.22921	-0.904387	-1.8168	0.005432121	0.149855	0.007363982	0.02802859	0.161551	0.573586	0.184674	0.080189	0.0501281	0.0615628	0.239087	0.293625	-2.99317	-2.7877	1.56225	0.840297
17	-56510.22	-56504.99	-5.229941	0.0915808	0.0395886	0.037071	0.0160251	-2.39053	-3.22921	-0.904387	0.39205	0.01237155	0.1604765	0.009563287	0.03884366	0.148981	0.606765	0.170304	0.0739495	0.0501281	0.0606358	0.239087	0.289204	-2.99317	-2.80287	1.56225	0.840297
18	-56446.17	-56439.9	-6.268464	0.0370848	0.061488	0.0142879	0.0236899	-3.29455	-2.78891	-0.953794	-0.257586	0.01237155	0.1604765	0.009563287	0.02052582	0.123888	0.484114	0.0451929	0.346805	0.0501281	0.059746	0.239087	0.28496	-2.99317	-2.81765	1.56225	2.08428
19	-56445.59	-56440.94	-4.655563	0.0319962	0.0309719	0.0199973	0.0193571	-3.44214	-3.47467	-0.470022	-0.257586	0.0205895	0.1778934	0.009563287	0.02052582	0.14384	0.13773	0.315772	0.402658	0.0501281	0.0525897	0.247535	0.25969	-2.99317	-2.94524	1.59697	0.184303
20	-56457.01	-56452.3	-4.707943	0.0382045	0.0510098	0.00961397	0.0128363	-3.2648	-2.97574	-1.37974	-0.49193	0.01696373	0.1787744	0.004832022	0.02052582	0.137317	0.225783	0.275569	0.361331	0.0513855	0.0599078	0.253744	0.295828	-2.9684	-2.81495	1.59697	0.184303
21	-56440.73	-56431.09	-9.638973	0.0351037	0.00633774	0.02689	0.00485482	-3.34945	-5.06123	-0.26655	-2.16367	0.01696373	0.1787744	0.004832022	0.02052582	0.0863712	0.239117	0.291843	0.382669	0.0523835	0.0599078	0.25989	0.29722	-2.94916	-2.81495	1.60167	1.18068
22	-56484.96	-56476.39	-8.563766	0.0528825	0.00510741	0.0342512	0.00330799	-2.93968	-5.27706	-0.434351	-0.857823	0.01696373	0.2501958	0.01108297	0.03037267	0.0843878	0.31333	0.2284	0.373882	0.0606686	0.0599078	0.300995	0.29722	-2.80233	-2.81495	1.60167	1.18068
