Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
19	-55948.31	-55941.87	-6.439762	0.0128749	0.0545621	0.0178205	0.0755211	-4.35248	-2.90842	0.325072	0.649626	0.02806078	0.1359632	0.005119714	0.02120559	0.0196181	0.195617	0.407545	0.37722	0.0469131	0.074826	0.22723	0.36243	-3.05946	-2.59259	1.57766	1.59971
20	-55920.5	-55912.56	-7.940688	0.0100113	0.0307839	0.0138569	0.0426089	-4.60405	-3.48076	0.325072	-1.08525	0.01532526	0.08589429	0.006169653	0.02120559	0.0183661	0.183133	0.381535	0.416966	0.0461813	0.0368892	0.223685	0.178678	-3.07518	-3.29984	1.57766	1.59971
21	-55880.48	-55873.04	-7.443419	0.0100113	0.0524033	0.00520357	0.0272378	-4.60405	-2.94879	-0.654364	-1.08525	0.02094577	0.1460547	0.006169653	0.02771037	0.0201416	0.200837	0.41842	0.360602	0.0554908	0.056545	0.222305	0.226529	-2.89154	-2.87272	1.38784	1.59971
22	-55860.98	-55852.91	-8.06681	0.00809057	0.0205706	0.00420525	0.010692	-4.81706	-3.88389	-0.654364	-1.08525	0.001677515	0.1401452	0.002553148	0.02771037	0.0230884	0.0771107	0.160651	0.73915	0.0587844	0.056545	0.2355	0.226529	-2.83388	-2.87272	1.38784	1.59971
23	-55844.98	-55837.45	-7.524945	0.0081619	0.01704	0.00617834	0.0128989	-4.80828	-4.07219	-0.278427	-0.699162	0.002591933	0.1401452	0.002676736	0.04346702	0.119453	0.398951	0.124728	0.356867	0.0605601	0.0607694	0.242614	0.243452	-2.80412	-2.80067	1.38784	1.1392
24	-55936.98	-55930.3	-6.681925	0.0326323	0.01704	0.00695785	0.00363328	-3.42245	-4.07219	-1.54543	-0.699162	0.006463133	0.118366	0.002248115	0.03303326	0.119453	0.398951	0.124728	0.356867	0.0690006	0.0417096	0.254976	0.154128	-2.67364	-3.17702	1.30705	1.1392
25	-55909.5	-55902.96	-6.53827	0.0177296	0.0190617	0.0216395	0.0232654	-4.03252	-3.96007	0.199286	-0.699162	0.001080313	0.0722246	0.00288747	0.03303326	0.119453	0.398951	0.124728	0.356867	0.0417656	0.0420868	0.198922	0.200451	-3.17568	-3.16802	1.56084	1.1392
26	-55905.56	-55896.61	-8.951141	0.00976182	0.0321939	0.00122155	0.0040286	-4.62928	-3.43598	-2.07836	-0.699162	0.002408569	0.07411861	0.00288747	0.04594873	0.218553	0.364383	0.100391	0.316673	0.0413138	0.0420868	0.19677	0.200451	-3.18656	-3.16802	1.56084	0.877704
27	-55974.64	-55969.17	-5.477294	0.0357983	0.0316493	0.0271608	0.0240129	-3.32985	-3.45304	-0.276127	0.724181	0.005253879	0.1350991	0.009379752	0.0724474	0.172815	0.0508358	0.0793817	0.696968	0.0456334	0.0598026	0.217343	0.284828	-3.08712	-2.81671	1.56084	0.37949
28	-55946.1	-55940.35	-5.742388	0.0219083	0.0194018	0.0278712	0.0246825	-3.82089	-3.94239	0.24073	-0.423229	0.004900569	0.1835789	0.00919832	0.0724474	0.127622	0.0536131	0.0837187	0.735046	0.0617511	0.0883093	0.294109	0.420601	-2.78464	-2.42691	1.56084	0.0721817
29	-55976.46	-55971.14	-5.325374	0.0249104	0.0194018	0.0219657	0.0171082	-3.69247	-3.94239	-0.125805	-0.991871	0.004900569	0.190899	0.003233175	0.0724474	0.38321	0.160984	0.251382	0.204424	0.0797142	0.0883093	0.371635	0.411706	-2.52931	-2.42691	1.53946	0.0142061
30	-55901.17	-55893.82	-7.347576	0.0249104	0.0334211	0.010887	0.0146066	-3.69247	-3.39857	-0.827717	-0.805036	0.004900569	0.2003591	0.009193807	0.05833063	0.275842	0.395141	0.181868	0.147148	0.0752539	0.0883093	0.29523	0.346449	-2.58689	-2.42691	1.36689	2.15082
31	-55968.05	-55960.94	-7.115054	0.0317397	0.0214002	0.0138717	0.00935287	-3.45019	-3.84435	-0.827717	-0.805036	0.008860199	0.09149184	0.009193807	0.05277369	0.122009	0.55623	0.25601	0.0657511	0.0752539	0.0883093	0.224587	0.263549	-2.58689	-2.42691	1.09339	2.15082
