Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-55834.04	-55829.01	-5.032005	0.024734	0.0305986	0.0146741	0.0181534	-3.69958	-3.4868	-0.522096	-0.406984	0.002749811	0.1603791	0.00511195	0.03364995	0.174189	0.0347677	0.322836	0.468208	0.067226	0.0700725	0.268109	0.279461	-2.69969	-2.65823	1.38333	0.761419
1	-55837.17	-55832.24	-4.933059	0.024734	0.0305986	0.016621	0.020562	-3.69958	-3.4868	-0.397509	-0.406984	0.002749811	0.1496528	0.005844581	0.0279428	0.25601	0.051099	0.47448	0.218411	0.067226	0.0700725	0.268109	0.279461	-2.69969	-2.65823	1.38333	0.761419
2	-55838.39	-55823.66	-14.73102	0.000653179	0.0162961	0.00245041	0.0611349	-7.33366	-4.11683	1.32216	0.32108	0.002579273	0.1436838	0.00561039	0.02967002	0.25601	0.051099	0.47448	0.218411	0.0700717	0.0700725	0.26063	0.260633	-2.65824	-2.65823	1.31358	0.761419
3	-55845.67	-55834.4	-11.27126	0.00351955	0.0162961	0.0132036	0.0611349	-5.64942	-4.11683	1.32216	-0.393899	0.002579273	0.155928	0.00561039	0.02967002	0.179462	0.0358201	0.332608	0.45211	0.071112	0.0782489	0.255136	0.280742	-2.6435	-2.54786	1.27754	2.42323
4	-55844.97	-55833.26	-11.70958	0.00351955	0.0162961	0.00103226	0.00477953	-5.64942	-4.11683	-1.22658	2.11988	0.001674249	0.1580899	0.006429996	0.02967002	0.194525	0.0234215	0.47615	0.305903	0.073425	0.0782489	0.263435	0.280742	-2.61149	-2.54786	1.27754	0.750977
5	-55839.26	-55831.82	-7.43985	0.0204186	0.0162961	0.0231406	0.0184685	-3.89131	-4.11683	0.125141	2.11988	0.002878337	0.1300285	0.006429996	0.02945288	0.364756	0.157496	0.288703	0.189045	0.0706244	0.0638883	0.256865	0.232365	-2.65038	-2.75062	1.29117	0.31294
6	-55839.31	-55831.66	-7.658164	0.00884171	0.0138211	0.00694622	0.0108581	-4.72828	-4.28156	-0.241282	-0.627935	0.004283433	0.1210415	0.006429996	0.02945288	0.250057	0.149215	0.471129	0.129599	0.0717617	0.063259	0.245442	0.216361	-2.6344	-2.76052	1.22971	1.1946
7	-55832.92	-55823.57	-9.346636	0.00600842	0.0331982	0.000824081	0.00455327	-5.11459	-3.40526	-1.98665	0.610626	0.00157165	0.1424747	0.006429996	0.02945288	0.449703	0.268348	0.0488787	0.233071	0.0717617	0.0683417	0.245442	0.233745	-2.6344	-2.68323	1.22971	1.1946
8	-55836.27	-55827.84	-8.434625	0.00507042	0.0331982	0.00183493	0.0120141	-5.28433	-3.40526	-1.01642	0.610626	0.003086899	0.1376939	0.006429996	0.04111322	0.433146	0.053067	0.289298	0.224489	0.0700112	0.0661866	0.239455	0.226374	-2.6591	-2.71528	1.22971	1.1946
9	-55831.58	-55824.26	-7.321488	0.00871529	0.0146351	0.00273965	0.00460054	-4.74268	-4.22433	-1.15725	0.352439	0.0003338612	0.134243	0.00505507	0.04111322	0.306041	0.0374948	0.204405	0.452058	0.0700112	0.0682653	0.24835	0.242157	-2.6591	-2.68435	1.26618	0.321644
