Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-55970.71	-55965.08	-5.634529	0.0380404	0.0272739	0.0279753	0.0200575	-3.26911	-3.60183	-0.307324	-0.871413	0.02331332	0.1220751	0.007358323	0.02533907	0.473187	0.0796164	0.145701	0.301496	0.0649549	0.0472712	0.270877	0.197132	-2.73406	-3.05185	1.42797	1.19322
1	-56054.56	-56045.87	-8.697242	0.0112466	0.0146357	0.00567777	0.00738874	-4.48769	-4.22429	-0.683509	-1.55207	0.05239728	0.0723332	0.007358323	0.02533907	0.473187	0.0796164	0.145701	0.301496	0.0482234	0.0472712	0.172737	0.169327	-3.03191	-3.05185	1.27593	1.19322
2	-56013.16	-56005.47	-7.68776	0.00735591	0.0188379	0.00371358	0.00951017	-4.91225	-3.97188	-0.683509	-0.0904812	0.01270648	0.09284956	0.006624936	0.02533907	0.421366	0.087448	0.160033	0.331153	0.0488373	0.115774	0.183905	0.435968	-3.01926	-2.15611	1.32593	1.19322
3	-55906.76	-55901.59	-5.164022	0.0412295	0.0319606	0.0208144	0.0161351	-3.1886	-3.44325	-0.683509	0.444033	0.002447748	0.1049792	0.006624936	0.02533907	0.421366	0.087448	0.160033	0.331153	0.0534422	0.0698053	0.220125	0.287524	-2.92916	-2.66204	1.41559	1.19322
4	-55975.31	-55969.82	-5.483668	0.0365613	0.0817139	0.0184577	0.0412526	-3.30876	-2.50453	-0.683509	-0.222722	0.002447748	0.1481955	0.006092984	0.06568078	0.370932	0.187831	0.149721	0.291516	0.0517953	0.047767	0.231382	0.213387	-2.96046	-3.04142	1.49677	1.19322
5	-55946.7	-55942.14	-4.559664	0.0365613	0.0817139	0.0184577	0.0412526	-3.30876	-2.50453	-0.683509	0.755542	0.007837919	0.1423312	0.006092984	0.005924022	0.293605	0.049532	0.118509	0.538354	0.0517953	0.047767	0.250278	0.230814	-2.96046	-3.04142	1.57527	1.19322
6	-55919.14	-55912.67	-6.468912	0.00904436	0.0817139	0.00515497	0.0465741	-4.70561	-2.50453	-0.56218	0.755542	0.007837919	0.1994876	0.008863502	0.007621629	0.220604	0.0372167	0.337678	0.404501	0.0575805	0.0512088	0.271944	0.241852	-2.85457	-2.97184	1.55241	1.19322
7	-55924.43	-55917.15	-7.279737	0.00904436	0.0817139	0.00515497	0.0465741	-4.70561	-2.50453	-0.56218	0.755542	0.02189261	0.1977297	0.008863502	0.03812762	0.110429	0.0350204	0.317751	0.5368	0.0639281	0.0512088	0.301923	0.241852	-2.75	-2.97184	1.55241	1.19322
8	-55921.08	-55915.52	-5.558257	0.0344636	0.0236107	0.0196431	0.0134573	-3.36785	-3.74605	-0.56218	0.755542	0.01248699	0.1977297	0.008863502	0.02206553	0.182306	0.0321908	0.292077	0.493427	0.0639281	0.0512088	0.2616	0.209551	-2.75	-2.97184	1.40906	0.853984
9	-55902.57	-55898.66	-3.910169	0.0344636	0.0735763	0.0196431	0.0419359	-3.36785	-2.60943	-0.56218	-0.083746	0.009051818	0.1816729	0.008863502	0.0252394	0.13929	0.0245953	0.22316	0.612954	0.067766	0.0489111	0.277305	0.200149	-2.69169	-3.01775	1.40906	0.1423
10	-55853.05	-55846.78	-6.275807	0.0344636	0.0544551	0.0196431	0.0310375	-3.36785	-2.91038	-0.56218	-0.083746	0.003915642	0.1625668	0.005384206	0.0252394	0.153899	0.0271749	0.141683	0.677243	0.0636489	0.0654261	0.260457	0.26773	-2.75437	-2.72683	1.40906	2.7868
11	-56030.74	-56026.61	-4.136136	0.0479179	0.0544551	0.0235534	0.0267666	-3.03827	-2.91038	-0.71022	-0.186057	0.03933674	0.1127481	0.005384206	0.04743752	0.163608	0.0288893	0.150621	0.656881	0.0533354	0.0654261	0.221942	0.272254	-2.93115	-2.72683	1.42581	0.343596
12	-55956.29	-55952.75	-3.542878	0.0479179	0.0624949	0.0235534	0.0307185	-3.03827	-2.77267	-0.71022	-0.186057	0.02242694	0.2635788	0.005384206	0.02849328	0.115169	0.316403	0.106027	0.4624	0.0673618	0.0685053	0.265258	0.269761	-2.69768	-2.68084	1.37063	0.0955182
