Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-55823.82	-55814.05	-9.77632	0.00439988	0.0207101	0.00104878	0.00493658	-5.42618	-3.87713	-1.43395	-0.55479	0.003365701	0.13307	0.004876739	0.03795049	0.0280302	0.221521	0.0810815	0.669367	0.0646757	0.0592584	0.254745	0.233407	-2.73837	-2.82585	1.37088	1.27879
1	-55827.09	-55819.58	-7.508542	0.0121115	0.0267189	0.00288697	0.00636887	-4.4136	-3.62238	-1.43395	-0.55479	0.004400467	0.1467682	0.00552033	0.02948434	0.0280302	0.221521	0.0810815	0.669367	0.0646757	0.0619895	0.250147	0.239758	-2.73837	-2.78079	1.35267	1.27879
2	-55827.43	-55821.78	-5.649298	0.0121115	0.0251191	0.00663948	0.0137702	-4.4136	-3.68413	-0.601124	-0.55479	0.005120569	0.1310023	0.004638103	0.03269322	0.0796906	0.217057	0.345109	0.358143	0.0644103	0.0618081	0.247834	0.237821	-2.74248	-2.78372	1.34748	0.258143
3	-55827.3	-55821.34	-5.959963	0.0121115	0.0347311	0.00663948	0.0190394	-4.4136	-3.36012	-0.601124	-0.55479	0.002073741	0.1556845	0.005430039	0.03269322	0.0344002	0.227739	0.362093	0.375768	0.064707	0.0630073	0.260953	0.254099	-2.73789	-2.7645	1.39447	0.711866
4	-55830.15	-55824.37	-5.777589	0.0160977	0.0347311	0.00695809	0.0150123	-4.12908	-3.36012	-0.83877	-0.55479	0.002673368	0.1519955	0.005400725	0.03733126	0.0677221	0.308553	0.310223	0.313502	0.0636687	0.0673926	0.256766	0.271784	-2.75406	-2.69722	1.39447	0.711866
5	-55831.33	-55825.84	-5.48698	0.0160977	0.0440284	0.00695809	0.0190309	-4.12908	-3.12292	-0.83877	-0.387658	0.003201862	0.1440549	0.006185892	0.02828893	0.0510228	0.479055	0.233726	0.236196	0.0651377	0.0603707	0.264301	0.244958	-2.73125	-2.80725	1.40058	0.711866
6	-55829.09	-55819.31	-9.786339	0.00357201	0.0273435	0.000896365	0.00686161	-5.63463	-3.59928	-1.38254	-1.28502	0.005998743	0.1463552	0.006185892	0.02808564	0.112446	0.540441	0.160009	0.187104	0.0646992	0.0603707	0.251513	0.234686	-2.73801	-2.80725	1.35774	0.534646
7	-55833.89	-55825.53	-8.358701	0.00357201	0.0440549	0.00310437	0.0382873	-5.63463	-3.12232	-0.140318	-1.28502	0.006786337	0.1314916	0.004596306	0.03099524	0.103887	0.499302	0.22395	0.172861	0.0634285	0.0629859	0.246573	0.244853	-2.75784	-2.76484	1.35774	0.534646
8	-55832.99	-55818.2	-14.79456	0.00249356	0.01971	0.000373702	0.00295389	-5.99404	-3.92663	-1.89801	-1.7989	0.002675593	0.1455668	0.004596306	0.03099524	0.503019	0.229972	0.103149	0.16386	0.0628263	0.0629859	0.244232	0.244853	-2.76738	-2.76484	1.35774	2.75725
9	-55836.13	-55825.85	-10.27612	0.0167038	0.00992328	0.00250335	0.00148717	-4.09212	-4.61287	-1.89801	-1.67297	0.004050463	0.1578715	0.004596306	0.03099524	0.502949	0.230004	0.103163	0.163884	0.0673907	0.0601283	0.250971	0.223925	-2.69725	-2.81127	1.31483	1.27975
10	-55835.19	-55823.33	-11.85815	0.0167038	0.00327448	0.00250335	0.000490737	-4.09212	-5.7216	-1.89801	-1.67297	0.004824096	0.1535341	0.005348723	0.03694314	0.499109	0.189078	0.0874192	0.224393	0.0657236	0.0668803	0.244763	0.249071	-2.7223	-2.70485	1.31483	0.430513
11	-55830.25	-55822.38	-7.866632	0.015999	0.0151606	0.00239772	0.00227207	-4.13523	-4.18906	-1.89801	-0.928375	0.004584232	0.1490463	0.005348723	0.03516156	0.422803	0.313056	0.0740542	0.190087	0.0657236	0.0694273	0.248717	0.262732	-2.7223	-2.66748	1.33086	0.308772
12	-55823.48	-55814.92	-8.561767	0.00336512	0.0173857	0.00277784	0.0143516	-5.69429	-4.05211	-0.191788	0.692	0.002913808	0.133498	0.004340551	0.03516156	0.294984	0.373174	0.163736	0.168106	0.0657236	0.0618926	0.248717	0.234219	-2.7223	-2.78236	1.33086	0.308772
13	-55825.09	-55817.67	-7.420497	0.009176	0.0173857	0.00894393	0.016946	-4.69116	-4.05211	-0.0256168	0.692	0.002550674	0.134642	0.00561323	0.03516156	0.32914	0.355095	0.155803	0.159962	0.0657236	0.0580383	0.257904	0.227746	-2.7223	-2.84665	1.36713	1.08724
14	-55824.67	-55817.88	-6.789076	0.009176	0.0153603	0.00894393	0.0149718	-4.69116	-4.17597	-0.0256168	0.136643	0.001787021	0.1306586	0.005191916	0.03516156	0.15628	0.168604	0.599164	0.075952	0.0657236	0.0580383	0.257904	0.227746	-2.7223	-2.84665	1.36713	0.56861
15	-55825.61	-55819.07	-6.535818	0.009176	0.0187435	0.0119863	0.0244841	-4.69116	-3.97691	0.267176	0.136643	0.002864079	0.1325664	0.005191916	0.03238383	0.134858	0.282569	0.517032	0.0655408	0.0652051	0.0580383	0.256911	0.228674	-2.73022	-2.84665	1.37119	0.56861
16	-55825.75	-55817.33	-8.420553	0.00332562	0.0395535	0.00138306	0.0164495	-5.7061	-3.2301	-0.877356	0.136643	0.00412973	0.1408778	0.006007499	0.03238383	0.0496806	0.310389	0.567937	0.0719936	0.0627154	0.0587486	0.247102	0.231473	-2.76915	-2.83449	1.37119	0.58978
17	-55824.7	-55814.56	-10.14008	0.00283786	0.00842416	0.00136293	0.00404584	-5.8647	-4.77665	-0.733416	0.136643	0.003864188	0.1413077	0.004668537	0.03228876	0.110027	0.48992	0.286418	0.113635	0.0627154	0.0592552	0.247102	0.233468	-2.76915	-2.8259	1.37119	0.266056
18	-55826.8	-55820.34	-6.454931	0.00888806	0.0197867	0.00426863	0.00950287	-4.72305	-3.92275	-0.733416	0.136643	0.002223637	0.1413077	0.004107977	0.03917493	0.110027	0.48992	0.286418	0.113635	0.0625311	0.0592552	0.246376	0.233468	-2.77209	-2.8259	1.37119	0.266056
19	-55827.72	-55819.99	-7.724017	0.00930418	0.0095717	0.00318477	0.00327634	-4.67729	-4.64894	-1.07208	0.136643	0.002224083	0.1132945	0.004107977	0.03917493	0.161393	0.377584	0.330069	0.130953	0.060748	0.0558272	0.23935	0.219962	-2.80102	-2.88549	1.37119	0.266056
20	-55831.13	-55821	-10.12873	0.00930418	0.0223133	0.000859794	0.00206196	-4.67729	-3.80257	-2.38153	0.864405	0.001413052	0.1290648	0.004416513	0.03956018	0.378628	0.160664	0.153492	0.307217	0.0593217	0.0571427	0.232404	0.223867	-2.82478	-2.8622	1.3655	1.16714
21	-55829.79	-55818.43	-11.35986	0.00930418	0.00766422	0.000993858	0.000818679	-4.67729	-4.87119	-2.23663	0.864405	0.002465023	0.1272341	0.00417843	0.03645105	0.367341	0.155874	0.161454	0.31533	0.058332	0.0571427	0.244209	0.23923	-2.8416	-2.8622	1.43187	1.16714
22	-55830.91	-55820.35	-10.55974	0.00930418	0.00689017	0.00164943	0.00122148	-4.67729	-4.97766	-1.73003	0.864405	0.006157688	0.1366097	0.00417843	0.03645105	0.100865	0.428356	0.150609	0.320171	0.058332	0.0586014	0.244209	0.245337	-2.8416	-2.837	1.43187	1.16714
23	-55826.23	-55814.65	-11.58005	0.00191013	0.00992842	0.00164025	0.00852563	-6.26058	-4.61235	-0.152324	0.864405	0.003004944	0.1294206	0.00417843	0.03645105	0.199839	0.338047	0.0880039	0.37411	0.0592341	0.0586014	0.247986	0.245337	-2.82626	-2.837	1.43187	0.726439
24	-55833.47	-55818.62	-14.85247	0.0029197	0.00626448	0.00324078	0.00695338	-5.83627	-5.07286	0.104331	-0.828805	0.002323293	0.1294206	0.00417843	0.041822	0.199839	0.338047	0.0880039	0.37411	0.0597947	0.0618845	0.250333	0.259082	-2.81684	-2.78249	1.43187	4.28917
25	-55835.28	-55824.71	-10.56571	0.00233557	0.00903685	0.00301395	0.0116616	-6.0595	-4.70644	0.254994	-0.828805	0.002323293	0.122355	0.00417843	0.04199945	0.155833	0.0686073	0.695865	0.0796944	0.06171	0.0618845	0.258351	0.259082	-2.78531	-2.78249	1.43187	0.0872278
26	-55829.1	-55820.29	-8.810833	0.00547652	0.00789194	0.00561514	0.0080917	-5.20729	-4.84191	0.0249969	-0.828805	0.001654952	0.1299662	0.004424423	0.04032442	0.300682	0.328668	0.21688	0.153771	0.0581789	0.0613105	0.243568	0.256679	-2.84423	-2.7918	1.43187	0.134062
27	-55829.69	-55818.9	-10.78906	0.00577155	0.0111614	0.00755666	0.0146135	-5.15482	-4.4953	0.269489	-1.49338	0.002865196	0.1299662	0.004779034	0.03704187	0.328898	0.334132	0.197172	0.139798	0.0576152	0.0613105	0.241208	0.256679	-2.85397	-2.7918	1.43187	2.00667
28	-55828.22	-55818.45	-9.773683	0.00577155	0.0163652	0.00560427	0.0158908	-5.15482	-4.1126	-0.0294118	-1.49338	0.002873759	0.1370005	0.004779034	0.03704187	0.401808	0.186523	0.240881	0.170789	0.0602556	0.0616471	0.257357	0.2633	-2.80916	-2.78633	1.45187	1.57041
29	-55828.62	-55818.76	-9.856226	0.00715556	0.0226791	0.00115487	0.00366029	-4.93987	-3.78631	-1.8239	-1.04847	0.001663596	0.1449377	0.005145296	0.03704187	0.241948	0.0120195	0.145046	0.600987	0.0618828	0.0559821	0.264307	0.239104	-2.78251	-2.88272	1.45187	1.29658
30	-55833.81	-55826.8	-7.011261	0.00715556	0.0226791	0.00679585	0.021539	-4.93987	-3.78631	-0.0515769	-1.04847	0.0008465633	0.143055	0.004351889	0.03704187	0.358238	0.0172878	0.512717	0.111758	0.0618828	0.0545148	0.264307	0.232837	-2.78251	-2.90928	1.45187	0.189635
31	-55831.66	-55820.63	-11.0248	0.00636049	0.00338771	0.00604075	0.00321741	-5.05765	-5.6876	-0.0515769	0.481737	0.003173424	0.1420743	0.004351889	0.03432799	0.297672	0.183431	0.426034	0.0928634	0.0632243	0.0545148	0.247752	0.213622	-2.76107	-2.90928	1.36574	1.2034
32	-55837.38	-55822.94	-14.44329	0.00636049	0.00591286	0.00604075	0.00561563	-5.05765	-5.13063	-0.0515769	-0.878028	0.003452525	0.1335586	0.004351889	0.03097437	0.331136	0.0916319	0.473929	0.103303	0.0660901	0.0545148	0.247427	0.204091	-2.71674	-2.90928	1.32009	5.72352
33	-55835.7	-55823.18	-12.51926	0.00452408	0.00346799	0.00695078	0.00532821	-5.39834	-5.66418	0.429441	-0.878028	0.004528762	0.1293893	0.005958528	0.03097437	0.331136	0.0916319	0.473929	0.103303	0.0660901	0.0545148	0.243318	0.200702	-2.71674	-2.90928	1.30335	1.65881
34	-55829.96	-55820.48	-9.479041	0.00837256	0.00346799	0.00900623	0.00373046	-4.7828	-5.66418	0.0729576	-0.878028	0.004463422	0.1284518	0.005304659	0.03097437	0.341324	0.0636858	0.488509	0.106481	0.0662771	0.0644741	0.244006	0.237368	-2.71391	-2.74149	1.30335	0.0688906
35	-55830.44	-55819	-11.43565	0.0042217	0.00346799	0.00156581	0.00128626	-5.46752	-5.66418	-0.991836	-0.878028	0.002182607	0.1387939	0.004956677	0.03667481	0.200208	0.0373557	0.26655	0.495886	0.0642977	0.0644741	0.236718	0.237368	-2.74423	-2.74149	1.30335	0.0688906
36	-55823.52	-55815.28	-8.234542	0.0042217	0.030519	0.00156581	0.0113194	-5.46752	-3.4894	-0.991836	-0.878028	0.002288908	0.1288815	0.004956677	0.03667481	0.250103	0.0466654	0.0837613	0.61947	0.0654073	0.0644741	0.240803	0.237368	-2.72712	-2.74149	1.30335	0.447393
37	-55823.49	-55815.49	-8.004649	0.00474854	0.030519	0.00176121	0.0113194	-5.34992	-3.4894	-0.991836	-0.881575	0.002987578	0.1375407	0.005190986	0.03667481	0.195027	0.0363891	0.285528	0.483055	0.0676273	0.0644741	0.250853	0.239156	-2.69374	-2.74149	1.31085	0.447393
38	-55824.07	-55814.97	-9.104404	0.00384414	0.0156688	0.00142577	0.00581149	-5.5612	-4.15608	-0.991836	0.739254	0.001926308	0.1312544	0.005308389	0.03667481	0.106924	0.12987	0.49837	0.264836	0.0658223	0.0653275	0.243699	0.241867	-2.7208	-2.72834	1.30897	0.447393
