Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56935.19	-56924.28	-10.91103	0.0191867	0.0338459	0.0240665	0.042454	-3.95354	-3.38594	0.226603	-0.265234	2.584883	0.4091627	0.03765958	0.3069891	0.295666	0.0403108	0.104521	0.559502	0.0393763	0.0987921	0.101948	0.255781	-3.23459	-2.31474	0.951302	1.58368
1	-56899.2	-56888.46	-10.73716	0.0760636	0.0338459	0.0101592	0.00452052	-2.57619	-3.38594	-2.01319	-0.265234	1.644377	0.1164971	0.03765958	0.3069891	0.146163	0.0199278	0.090202	0.743707	0.0393763	0.113337	0.101948	0.293437	-3.23459	-2.17739	0.951302	1.58368
2	-56988.91	-56979.06	-9.845062	0.272466	0.186643	0.036391	0.0249283	-1.30024	-1.67856	-2.01319	-0.265234	1.119307	0.01127694	0.0214868	0.3069891	0.367396	0.0254848	0.115355	0.491763	0.0433313	0.0765767	0.112188	0.198263	-3.13888	-2.56946	0.951302	1.58368
3	-56616.79	-56609.76	-7.029418	0.0365103	0.0574583	0.0165236	0.0260041	-3.31016	-2.8567	-0.792806	-1.03858	1.119307	0.6104114	0.0214868	0.09475778	0.416884	0.0552671	0.250163	0.277685	0.0661873	0.0765767	0.171364	0.198263	-2.71527	-2.56946	0.951302	0.418694
4	-57012.43	-57003.53	-8.894112	0.0255488	0.0913047	0.0264197	0.0944169	-3.66716	-2.39355	0.033518	-1.03858	2.097795	0.5273738	0.0214868	0.1417607	0.416884	0.0552671	0.250163	0.277685	0.0697714	0.0440988	0.204894	0.129503	-2.66253	-3.12132	1.07727	0.929846
5	-56993.89	-56984.23	-9.658644	0.0255488	0.0324125	0.00461193	0.00585092	-3.66716	-3.42921	-1.71194	1.47189	0.02650312	0.5273738	0.0214868	0.2746762	0.270065	0.282856	0.302426	0.144654	0.087367	0.0479123	0.256566	0.140702	-2.43764	-3.03838	1.07727	0.929846
6	-57003.68	-56994.48	-9.199138	0.0255488	0.0324125	0.00461193	0.00585092	-3.66716	-3.42921	-1.71194	-1.78316	0.07185322	0.4412323	0.0214868	0.01449714	0.270065	0.282856	0.302426	0.144654	0.0431166	0.190589	0.229674	1.01523	-3.14385	-1.65763	1.67275	0.929846
7	-57036.72	-57027.74	-8.978853	0.0255488	0.11385	0.0119768	0.0533706	-3.66716	-2.17287	-0.75762	1.77859	0.4253472	0.3583549	0.01294443	0.05883087	0.290219	0.229337	0.324995	0.155449	0.0465124	0.190589	0.147111	0.602801	-3.06804	-1.65763	1.15147	2.15025
8	-57937.72	-57928.19	-9.531909	0.0875237	0.59401	0.107326	0.728404	-2.43585	-0.52086	0.20396	1.03478	0.2857536	0.08378519	0.06182638	0.5648502	0.500142	0.0754397	0.394573	0.0298452	0.0922081	0.190589	0.291639	0.602801	-2.38371	-1.65763	1.15147	1.6653
9	-57319.43	-57307.3	-12.12754	0.026818	0.064436	0.00778167	0.0186971	-3.61868	-2.74208	-1.2373	-0.840366	0.2857536	1.877228	0.2198037	0.5648502	0.500142	0.0754397	0.394573	0.0298452	0.116127	0.0608895	0.367291	0.192583	-2.15307	-2.79869	1.15147	1.6653
