Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-55852.03	-55846.58	-5.445024	0.0197145	0.0216917	0.0128631	0.0141532	-3.9264	-3.83083	-0.426988	-0.168515	0.001477102	0.1451025	0.006939988	0.03023525	0.0145814	0.118679	0.404724	0.462015	0.0558908	0.0475944	0.259334	0.220839	-2.88436	-3.04504	1.53472	0.259877
1	-55845.31	-55839.02	-6.289884	0.0127907	0.0216917	0.039617	0.0671862	-4.35903	-3.83083	1.13054	-0.168515	0.0007749476	0.1451025	0.005221678	0.03308296	0.00919234	0.0510328	0.255145	0.68463	0.0615836	0.0679827	0.285749	0.315441	-2.78736	-2.6885	1.53472	0.259877
2	-55876.51	-55870.15	-6.360342	0.0141528	0.0216917	0.0438359	0.0671862	-4.25784	-3.83083	1.13054	0.690929	0.0001714078	0.1864919	0.005221678	0.03221973	0.0555745	0.0486438	0.243201	0.65258	0.0690749	0.0679827	0.320509	0.315441	-2.67256	-2.6885	1.53472	0.259877
3	-55858.52	-55853.09	-5.428159	0.0182433	0.0216917	0.0565054	0.0671862	-4.00396	-3.83083	1.13054	0.247177	0.005908229	0.1617165	0.005275324	0.0224943	0.0572792	0.048556	0.242762	0.651402	0.0690749	0.0712204	0.320509	0.330464	-2.67256	-2.64198	1.53472	0.0850218
4	-55862.37	-55855.95	-6.417376	0.0231183	0.0134735	0.0317172	0.0184851	-3.76713	-4.30703	0.316234	-0.0856006	0.01065157	0.2110138	0.005275324	0.02987147	0.0330048	0.45177	0.139882	0.375343	0.0687946	0.0597224	0.319208	0.277113	-2.67663	-2.81805	1.53472	1.09715
5	-55864.12	-55857.28	-6.834219	0.0100937	0.0269637	0.013848	0.036993	-4.59585	-3.61326	0.316234	-0.0856006	0.01129358	0.2171298	0.006556605	0.02987147	0.0359765	0.402408	0.152477	0.409139	0.0672168	0.0597224	0.311887	0.277113	-2.69983	-2.81805	1.53472	1.09715
6	-55873.69	-55867.46	-6.233143	0.0419345	0.0269637	0.0575321	0.036993	-3.17165	-3.61326	0.316234	-1.16154	0.01138469	0.1893773	0.00569914	0.02987147	0.056089	0.603152	0.237718	0.103041	0.0672168	0.0613945	0.311887	0.284871	-2.69983	-2.79044	1.53472	1.55274
7	-55872.01	-55862.59	-9.412447	0.0116172	0.00817582	0.00592248	0.00416807	-4.45527	-4.80657	-0.673728	-1.16154	0.01117512	0.1893773	0.00441471	0.02987147	0.0870367	0.348992	0.137547	0.426424	0.0672168	0.0487457	0.311887	0.226181	-2.69983	-3.02114	1.53472	1.55274
8	-55897.8	-55890.25	-7.541282	0.0741987	0.00848637	0.0633838	0.00724943	-2.60101	-4.76929	-0.157538	-1.16154	0.003355256	0.1893773	0.003730072	0.04964404	0.0870367	0.348992	0.137547	0.426424	0.0758251	0.0510759	0.321891	0.216826	-2.57933	-2.97444	1.44578	1.55274
9	-55851.25	-55844.04	-7.210671	0.0247777	0.0210928	0.00476696	0.00405803	-3.69781	-3.85882	-1.64823	0.686367	0.002827758	0.1563592	0.002920886	0.03703122	0.0870367	0.348992	0.137547	0.426424	0.0764302	0.0713953	0.280629	0.262143	-2.57138	-2.63952	1.30066	1.55274
