Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56405.71	-56401.45	-4.264104	0.00885808	0.0217627	-4.72643	-3.82756	-2.05396	-2.08412	0.008326755	0.02616963	0.287283	0.712717	0.128226	0.124417
1	-56396.45	-56391.5	-4.952608	0.00885808	0.0132037	-4.72643	-4.32726	-2.09148	-2.1094	0.005866678	0.04092905	0.507816	0.492184	0.123505	0.121311
2	-56390.52	-56385.54	-4.984059	0.00853927	0.0132037	-4.76308	-4.32726	-2.0583	-2.132	0.005467043	0.04092905	0.443382	0.556618	0.12767	0.1186
3	-56390.22	-56384.75	-5.471157	0.00938196	0.00820833	-4.66897	-4.80261	-2.01962	-2.13681	0.005467043	0.03204214	0.664798	0.335202	0.132706	0.118031
4	-56391.84	-56387.45	-4.382783	0.00938196	0.0158661	-4.66897	-4.14357	-2.01962	-2.13681	0.005467043	0.02873926	0.728194	0.271806	0.132706	0.118031
5	-56397.29	-56392.9	-4.387199	0.00938196	0.0158661	-4.66897	-4.14357	-2.08826	-2.13681	0.005658242	0.02873926	0.866433	0.133567	0.123903	0.118031
6	-56389.33	-56383.9	-5.431859	0.00763683	0.0106251	-4.87477	-4.54454	-2.06111	-2.13059	0.005658242	0.03360795	0.866433	0.133567	0.127312	0.118767
7	-56392.03	-56386.87	-5.158539	0.00763683	0.0115854	-4.87477	-4.45801	-2.0666	-2.16159	0.004361465	0.03360795	0.860164	0.139836	0.126615	0.115142
8	-56393.46	-56388.27	-5.189005	0.00763683	0.0115854	-4.87477	-4.45801	-2.02481	-2.09513	0.003805239	0.03916931	0.814615	0.185385	0.132019	0.123054
9	-56390.83	-56384.61	-6.216627	0.00536723	0.0104767	-5.22744	-4.5586	-2.08965	-2.09513	0.005442675	0.03916931	0.824498	0.175502	0.12373	0.123054
10	-56392.1	-56387.74	-4.357233	0.00750566	0.026686	-4.8921	-3.62362	-2.0439	-2.07779	0.005442675	0.03916931	0.824498	0.175502	0.129523	0.125207
11	-56391.28	-56387.12	-4.16027	0.0101642	0.0194361	-4.58888	-3.94063	-2.04948	-2.07779	0.005442675	0.03916931	0.824498	0.175502	0.128802	0.125207
12	-56391.19	-56385.04	-6.14912	0.00371763	0.0210336	-5.59467	-3.86163	-2.05971	-2.07779	0.006101006	0.03916931	0.824498	0.175502	0.127491	0.125207
13	-56393.39	-56387.4	-5.997344	0.00325722	0.027304	-5.72688	-3.60072	-2.0257	-2.07779	0.006101006	0.02634027	0.342884	0.657116	0.131901	0.125207
14	-56393.44	-56390.01	-3.435342	0.0131179	0.027304	-4.33378	-3.60072	-2.0257	-2.0255	0.006101006	0.03622449	0.342884	0.657116	0.131901	0.131928
15	-56394.98	-56390.66	-4.319646	0.0131179	0.012128	-4.33378	-4.41224	-1.99284	-2.0255	0.004833031	0.03622449	0.342884	0.657116	0.136308	0.131928
16	-56395.03	-56391.75	-3.278196	0.0173704	0.02107	-4.05299	-3.85991	-2.02517	-2.0255	0.005627258	0.03622449	0.111843	0.888157	0.131972	0.131928
17	-56396.12	-56391.27	-4.854648	0.0129335	0.00922353	-4.34793	-4.686	-1.9833	-2.06732	0.005627258	0.03622449	0.111843	0.888157	0.137615	0.126524
18	-56393.67	-56388.09	-5.579504	0.00822181	0.00922353	-4.80097	-4.686	-1.99871	-2.15835	0.005627258	0.03622449	0.708495	0.291505	0.13551	0.115515
19	-56398.2	-56392.42	-5.787425	0.00422301	0.0179572	-5.46721	-4.01977	-2.00957	-2.20925	0.004899676	0.03048563	0.708495	0.291505	0.134047	0.109783
20	-56397.54	-56393.75	-3.791256	0.0154007	0.0141152	-4.17334	-4.2605	-1.99484	-2.00342	0.004899676	0.03048563	0.198706	0.801294	0.136036	0.134873
