Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
34	-56409.47	-56404.14	-5.325432	0.00654816	0.0166733	-5.02857	-4.09395	-1.984	-2.08438	0.006445798	0.04563486	0.982145	0.0178551	0.137518	0.124384
35	-56405.98	-56403.19	-2.789711	0.0175329	0.0370296	-4.04368	-3.29604	-2.0501	-2.03471	0.006445798	0.03473675	0.982145	0.0178551	0.128722	0.130718
36	-56410.71	-56406.41	-4.300878	0.0206093	0.00803781	-3.88201	-4.8236	-2.01982	-2.16773	0.006435569	0.02325507	0.982145	0.0178551	0.132679	0.114437
37	-56408.5	-56404.93	-3.575218	0.0206093	0.0115163	-3.88201	-4.46399	-1.96763	-2.16532	0.004965027	0.02325507	0.979741	0.0202586	0.139788	0.114713
38	-56401.95	-56398.23	-3.719199	0.00972674	0.0224079	-4.63288	-3.79834	-2.04863	-2.16532	0.004782701	0.02325507	0.800158	0.199842	0.128912	0.114713
39	-56404.01	-56399.75	-4.263909	0.00811775	0.0213441	-4.8137	-3.84698	-2.04863	-2.21188	0.006830397	0.02325507	0.921159	0.0788414	0.128912	0.109494
40	-56406.96	-56402.34	-4.617306	0.014282	0.00887833	-4.24876	-4.72414	-2.0095	-2.21188	0.006830397	0.02325507	0.921159	0.0788414	0.134056	0.109494
41	-56409.11	-56405.24	-3.873715	0.012489	0.0164737	-4.38291	-4.10599	-2.0095	-2.2276	0.003725941	0.04165578	0.921159	0.0788414	0.134056	0.107787
42	-56415.04	-56411.53	-3.509171	0.0163027	0.0164737	-4.11642	-4.10599	-1.99643	-2.2276	0.003552573	0.04403303	0.921159	0.0788414	0.13582	0.107787
43	-56415.69	-56411.93	-3.762877	0.0147419	0.0164737	-4.21706	-4.10599	-1.99187	-1.91745	0.003552573	0.04942897	0.77742	0.22258	0.13644	0.146982
44	-56426.12	-56421.12	-4.99827	0.00568204	0.023644	-5.17045	-3.74465	-2.01676	-1.8554	0.003552573	0.04942897	0.77742	0.22258	0.133086	0.15639
45	-56409.91	-56407.74	-2.172677	0.0211534	0.0390935	-3.85595	-3.2418	-1.99391	-2.05983	0.004274768	0.02584911	0.687936	0.312064	0.136162	0.127475
46	-56405.22	-56402.11	-3.109725	0.0211534	0.0208905	-3.85595	-3.86846	-1.99391	-2.05983	0.00725611	0.03160378	0.545718	0.454282	0.136162	0.127475
47	-56419.8	-56415.4	-4.399112	0.00646526	0.0316451	-5.04131	-3.45317	-2.08789	-2.19109	0.004230255	0.04345641	0.801239	0.198761	0.123949	0.111794
48	-56414.63	-56410.08	-4.551459	0.00646526	0.0316451	-5.04131	-3.45317	-2.05133	-2.21243	0.005666634	0.04345641	0.801239	0.198761	0.128563	0.109434
49	-56392.44	-56386.9	-5.542554	0.00646526	0.0134206	-5.04131	-4.31097	-2.02565	-2.10751	0.005666634	0.04345641	0.239612	0.760388	0.131909	0.121541
50	-56422.7	-56419.2	-3.497704	0.0295637	0.0134206	-3.52121	-4.31097	-1.90695	-2.17175	0.006895832	0.04345641	0.239612	0.760388	0.148532	0.113978
51	-56419.37	-56416.55	-2.820616	0.0295637	0.0186171	-3.52121	-3.98367	-1.90695	-2.17175	0.006458693	0.02940795	0.135859	0.864141	0.148532	0.113978
52	-56417.36	-56415.29	-2.068023	0.0301552	0.0305512	-3.5014	-3.48835	-1.92083	-2.0277	0.003986786	0.02940795	0.800431	0.199569	0.146486	0.131637
53	-56425.69	-56423.85	-1.841913	0.0301552	0.044617	-3.5014	-3.10964	-1.92083	-1.86319	0.003986786	0.02940795	0.799308	0.200692	0.146486	0.155177
54	-56439.42	-56436.97	-2.450498	0.0306035	0.017707	-3.48664	-4.03379	-2.00548	-2.25843	0.003986786	0.02313084	0.333093	0.666907	0.134595	0.104515
55	-56421.4	-56419.16	-2.246115	0.0306035	0.0315919	-3.48664	-3.45486	-1.90328	-1.95186	0.003986786	0.04239074	0.507138	0.492862	0.149079	0.142009
56	-56403.15	-56400.49	-2.660904	0.016882	0.0315919	-4.08151	-3.45486	-1.99854	-1.95186	0.003986786	0.02953886	0.388622	0.611378	0.135534	0.142009
57	-56408.49	-56405.04	-3.444919	0.00846789	0.0374628	-4.77147	-3.28441	-2.04941	-2.07635	0.003245258	0.02953886	0.549062	0.450938	0.128811	0.125387
58	-56441.14	-56437.9	-3.239066	0.00846789	0.0374628	-4.77147	-3.28441	-2.06263	-2.07161	0.001839373	0.03440334	0.695667	0.304333	0.127119	0.125983
59	-56432.22	-56425.55	-6.667996	0.00521644	0.00660566	-5.25594	-5.01983	-2.06263	-1.94133	0.001839373	0.0447597	0.856651	0.143349	0.127119	0.143513
60	-56432.74	-56427.14	-5.593828	0.00468859	0.0153017	-5.36262	-4.17979	-2.05819	-2.18006	0.002158226	0.04887367	0.894074	0.105926	0.127685	0.113034
61	-56431.91	-56428.35	-3.565033	0.0094554	0.023842	-4.66117	-3.73631	-2.05819	-2.18006	0.002158226	0.03848674	0.616	0.384	0.127685	0.113034
62	-56394.28	-56389.79	-4.492756	0.0133283	0.0107359	-4.31786	-4.53416	-2.01683	-2.20154	0.004872443	0.03848674	0.636362	0.363638	0.133076	0.110632
63	-56396.35	-56391.57	-4.786073	0.0133283	0.00957633	-4.31786	-4.64846	-2.01683	-2.20154	0.006335083	0.03653642	0.636362	0.363638	0.133076	0.110632
64	-56391.94	-56384.97	-6.973214	0.00452436	0.0079388	-5.39828	-4.83599	-2.09328	-2.20154	0.005002718	0.03653642	0.400002	0.599998	0.123282	0.110632
65	-56407.13	-56402.65	-4.48685	0.00727147	0.029394	-4.9238	-3.52696	-1.98652	-2.09499	0.006702499	0.04244023	0.605681	0.394319	0.137172	0.123071
66	-56418.18	-56413.9	-4.284778	0.00939786	0.0238048	-4.66727	-3.73787	-2.07334	-2.21364	0.007993321	0.04244023	0.605681	0.394319	0.125765	0.109302
67	-56401.23	-56396.76	-4.468125	0.00939786	0.0184074	-4.66727	-3.995	-2.07334	-1.94338	0.006242374	0.04040366	0.746127	0.253873	0.125765	0.143219
68	-56400.07	-56391.95	-8.11776	0.00389298	0.00573788	-5.54858	-5.16067	-2.05043	-2.28987	0.006242374	0.04040366	0.746127	0.253873	0.12868	0.101279
69	-56421.95	-56416.19	-5.754388	0.0051515	0.0176712	-5.26847	-4.03582	-1.98966	-2.30302	0.007799916	0.04040366	0.746127	0.253873	0.136742	0.0999563
70	-56400.77	-56395	-5.768662	0.00636197	0.0127723	-5.05742	-4.36048	-2.03709	-2.09698	0.007799916	0.04040366	0.231167	0.768833	0.130408	0.122826
71	-56414.87	-56411.08	-3.789008	0.0145627	0.015474	-4.22929	-4.16859	-1.96512	-2.2762	0.004217691	0.04040366	0.231167	0.768833	0.14014	0.102674
72	-56404.4	-56399.45	-4.956467	0.0145627	0.00741459	-4.22929	-4.90431	-2.03992	-2.2762	0.004217691	0.04040366	0.231167	0.768833	0.130039	0.102674
73	-56402.94	-56397.96	-4.974862	0.0145627	0.00741459	-4.22929	-4.90431	-2.0226	-2.2762	0.006217795	0.02878112	0.231167	0.768833	0.13231	0.102674
74	-56399.59	-56392.85	-6.738509	0.00488569	0.00741459	-5.32144	-4.90431	-2.0226	-2.15009	0.005602983	0.02203932	0.231167	0.768833	0.13231	0.116474
75	-56402.51	-56398.95	-3.558063	0.010552	0.0251116	-4.55144	-3.68443	-2.0226	-1.96736	0.005602983	0.02196491	0.0372828	0.962717	0.13231	0.139825
76	-56399.63	-56396.51	-3.116779	0.0123195	0.0292442	-4.39657	-3.53207	-2.01065	-2.11083	0.004462256	0.02582716	0.0372828	0.962717	0.133902	0.121138
77	-56405.1	-56401.48	-3.618909	0.0123195	0.0226295	-4.39657	-3.7885	-2.01065	-1.95583	0.006902074	0.02582716	0.0372828	0.962717	0.133902	0.141447
78	-56415.08	-56410.7	-4.376529	0.00855025	0.0226295	-4.7618	-3.7885	-2.01065	-1.85788	0.004891776	0.04556257	0.183333	0.816667	0.133902	0.156003
79	-56400.45	-56395.36	-5.095468	0.00433488	0.0384091	-5.44106	-3.25946	-2.05545	-1.85788	0.004935853	0.03235034	0.287013	0.712987	0.128035	0.156003
80	-56396.32	-56390.85	-5.467044	0.00390118	0.0384091	-5.54648	-3.25946	-2.04557	-2.09098	0.007424528	0.03102152	0.0494562	0.950544	0.129306	0.123567
81	-56388.48	-56383.45	-5.029163	0.00529153	0.0235463	-5.24165	-3.74879	-2.0397	-2.03581	0.005094188	0.03102152	0.0494562	0.950544	0.130067	0.130575
