Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56401.37	-56397.56	-3.807998	0.0150652	0.0163091	-4.19537	-4.11603	-2.06949	-2.12489	0.006129138	0.03726463	0.421418	0.578582	0.126251	0.119446
1	-56396.85	-56392.23	-4.616409	0.00621444	0.0312732	-5.08088	-3.46499	-2.06949	-2.12489	0.006129138	0.03823707	0.219507	0.780493	0.126251	0.119446
2	-56396.88	-56391.21	-5.664818	0.0123251	0.00631858	-4.39611	-5.06426	-2.06444	-2.02679	0.005817052	0.03823707	0.199821	0.800179	0.126889	0.131757
3	-56396.35	-56392.99	-3.355819	0.0123251	0.0274975	-4.39611	-3.59366	-2.05402	-1.97717	0.004106409	0.03823707	0.199821	0.800179	0.128218	0.138461
4	-56398.36	-56393.2	-5.155226	0.0123251	0.00757421	-4.39611	-4.88301	-2.02439	-1.97717	0.005020281	0.03141882	0.199821	0.800179	0.132074	0.138461
5	-56393.02	-56389.08	-3.940245	0.00817481	0.0279099	-4.8067	-3.57877	-2.02439	-2.10756	0.00446902	0.03141882	0.199821	0.800179	0.132074	0.121534
6	-56402.63	-56398.3	-4.327619	0.00817481	0.022595	-4.8067	-3.79002	-2.03421	-2.0556	0.007915372	0.02511389	0.199821	0.800179	0.130783	0.128016
7	-56396.54	-56393	-3.538978	0.0110283	0.0258112	-4.50729	-3.65695	-2.03421	-2.13598	0.006102084	0.02511389	0.199821	0.800179	0.130783	0.118129
8	-56398.71	-56393.21	-5.495961	0.00405773	0.0258112	-5.50713	-3.65695	-2.00653	-2.02519	0.005885161	0.02511389	0.199821	0.800179	0.134454	0.131969
9	-56394	-56388.74	-5.263716	0.00405773	0.0345911	-5.50713	-3.36416	-2.04476	-2.13081	0.005885161	0.02748977	0.199821	0.800179	0.129411	0.118741
10	-56392.53	-56387.19	-5.339286	0.00405773	0.0387037	-5.50713	-3.25182	-2.03851	-1.96183	0.005885161	0.03461389	0.199821	0.800179	0.130222	0.140601
11	-56401.61	-56398.94	-2.672881	0.0158555	0.0387037	-4.14424	-3.25182	-2.02266	-1.96183	0.005885161	0.02416939	0.811108	0.188892	0.132303	0.140601
12	-56405.24	-56402.72	-2.519477	0.0180001	0.0387037	-4.01738	-3.25182	-2.02266	-1.92844	0.005885161	0.02416939	0.793592	0.206408	0.132303	0.145374
13	-56409.97	-56407.37	-2.599342	0.0180001	0.0342001	-4.01738	-3.37553	-1.9693	-1.91702	0.005598605	0.02416939	0.793592	0.206408	0.139554	0.147045
14	-56398.14	-56394.17	-3.964607	0.00782792	0.0342001	-4.85006	-3.37553	-2.04818	-2.03866	0.007293563	0.02416939	0.289539	0.710461	0.12897	0.130203
15	-56397.81	-56391.81	-6.002208	0.00347685	0.0240113	-5.66163	-3.72923	-2.07654	-2.05908	0.007293563	0.02416939	0.590236	0.409764	0.125363	0.127571
16	-56396.26	-56387.85	-8.403316	0.0014105	0.0240113	-6.56381	-3.72923	-2.11953	-2.05638	0.004278097	0.03489747	0.170019	0.829981	0.120088	0.127916
17	-56390.18	-56381.44	-8.736695	0.00132243	0.0247579	-6.62828	-3.69861	-2.05045	-2.05638	0.005791141	0.03489747	0.157884	0.842116	0.128676	0.127916
18	-56400.95	-56394.95	-6.00744	0.00400526	0.0206419	-5.52015	-3.88043	-2.0804	-2.20844	0.007346355	0.03489747	0.36238	0.63762	0.124881	0.109871
19	-56399.31	-56395.29	-4.019616	0.0069881	0.0401625	-4.96355	-3.21482	-2.0804	-1.97404	0.004106492	0.03784243	0.36238	0.63762	0.124881	0.138895
20	-56389.59	-56383.56	-6.031985	0.00384236	0.0180623	-5.56167	-4.01393	-2.06418	-2.07147	0.004106492	0.03784243	0.225871	0.774129	0.126923	0.126
21	-56397.05	-56393.55	-3.50194	0.0131809	0.0221827	-4.32899	-3.80844	-1.97891	-2.06036	0.004420419	0.03784243	0.225871	0.774129	0.13822	0.127408
22	-56401.62	-56398.76	-2.865053	0.0214605	0.0221827	-3.84154	-3.80844	-1.9565	-2.091	0.004317707	0.03784243	0.219697	0.780303	0.141352	0.123564
23	-56393.59	-56390.09	-3.504356	0.0128304	0.0211381	-4.35594	-3.85668	-1.99896	-2.091	0.004317707	0.03330849	0.0965103	0.90349	0.135475	0.123564
24	-56397.81	-56394.12	-3.681244	0.0128304	0.0179057	-4.35594	-4.02263	-2.05986	-2.12949	0.005571552	0.02610918	0.33796	0.66204	0.127472	0.118898
25	-56416.32	-56411.43	-4.895879	0.00636763	0.0179057	-5.05653	-4.02263	-2.05862	-2.1716	0.008294872	0.01792238	0.531598	0.468402	0.12763	0.113996
26	-56404.35	-56399.17	-5.18606	0.00636251	0.0181482	-5.05733	-4.00919	-2.04364	-2.19914	0.008294872	0.03205781	0.531598	0.468402	0.129556	0.110898
27	-56402.6	-56397.47	-5.131867	0.00636251	0.0185867	-5.05733	-3.98531	-1.9992	-2.1609	0.007683433	0.03209675	0.358695	0.641305	0.135443	0.115221
28	-56394.67	-56389.09	-5.574765	0.00494354	0.0187854	-5.30967	-3.97468	-2.03153	-2.00319	0.006454591	0.03209675	0.750864	0.249136	0.131135	0.134904
29	-56392.4	-56387.81	-4.592923	0.00557445	0.0311896	-5.18956	-3.46767	-2.07316	-2.06673	0.004375941	0.03255092	0.265598	0.734402	0.125788	0.126599
30	-56392.65	-56388.47	-4.173632	0.010539	0.0154789	-4.55268	-4.16828	-2.06794	-2.08795	0.004375941	0.03255092	0.371199	0.628801	0.126446	0.123941
31	-56389.93	-56383.98	-5.943193	0.00358322	0.020925	-5.63149	-3.86681	-2.06791	-2.08795	0.004375941	0.03079431	0.514452	0.485548	0.126449	0.123941
32	-56399.88	-56396.25	-3.625716	0.0134212	0.0213824	-4.31092	-3.84519	-2.01112	-1.97179	0.006672902	0.03079431	0.514452	0.485548	0.133839	0.139208
33	-56395.92	-56392.18	-3.740164	0.0113729	0.0213824	-4.47652	-3.84519	-2.01112	-2.18901	0.005496389	0.03079431	0.514452	0.485548	0.133839	0.112028
34	-56396.23	-56392.63	-3.603936	0.0112367	0.022424	-4.48857	-3.79762	-2.05836	-2.09	0.005496389	0.02518253	0.514452	0.485548	0.127663	0.123687
35	-56409.65	-56404.98	-4.668825	0.0175241	0.00747901	-4.04418	-4.89565	-2.00511	-1.97539	0.005976655	0.02518253	0.48085	0.51915	0.134646	0.138707
36	-56401.99	-56399.39	-2.60237	0.0175241	0.0331426	-4.04418	-3.40694	-2.03985	-2.03787	0.004725974	0.02793535	0.48085	0.51915	0.130048	0.130306
37	-56391.58	-56387.12	-4.458044	0.00597843	0.0316025	-5.1196	-3.45452	-2.03985	-1.99371	0.005125621	0.02793535	0.179352	0.820648	0.130048	0.13619
38	-56392.39	-56388.29	-4.101727	0.0123842	0.013469	-4.39133	-4.30736	-2.03354	-2.11671	0.004981542	0.02793535	0.179352	0.820648	0.130871	0.120427
39	-56390.85	-56386.73	-4.113867	0.00832765	0.023582	-4.78817	-3.74727	-2.03409	-2.11671	0.005533732	0.02793535	0.179352	0.820648	0.1308	0.120427
40	-56400.74	-56396.31	-4.432134	0.0130133	0.0120795	-4.34178	-4.41625	-2.07838	-2.00203	0.004736614	0.04498056	0.543813	0.456187	0.125132	0.135061
41	-56395.56	-56387.11	-8.44716	0.00164876	0.0181027	-6.40773	-4.01169	-2.07826	-2.03666	0.004736614	0.04485489	0.519392	0.480608	0.125148	0.130464
42	-56389.64	-56382.77	-6.872876	0.00292109	0.0148769	-5.8358	-4.20794	-2.07826	-2.09056	0.004736614	0.02855597	0.107102	0.892898	0.125148	0.123618
43	-56393.27	-56388.84	-4.4376	0.00965051	0.0148769	-4.64074	-4.20794	-2.0158	-2.18576	0.00573129	0.02855597	0.107102	0.892898	0.133214	0.112392
44	-56393.06	-56387.66	-5.396354	0.0120505	0.00697028	-4.41865	-4.9661	-2.05683	-2.16701	0.00573129	0.03278701	0.107102	0.892898	0.127859	0.114519
45	-56393.57	-56389.55	-4.020176	0.00901018	0.0247323	-4.7094	-3.69965	-2.04671	-2.16701	0.00573129	0.03278701	0.0987757	0.901224	0.129159	0.114519
46	-56389.74	-56385.7	-4.03896	0.00901018	0.024284	-4.7094	-3.71794	-2.04908	-2.01153	0.005458892	0.03278701	0.0987757	0.901224	0.128853	0.133783
47	-56395.12	-56391.9	-3.225378	0.011583	0.0401178	-4.45822	-3.21593	-2	-1.97616	0.005458892	0.03278701	0.205893	0.794107	0.135335	0.138601
48	-56390.74	-56386.51	-4.234964	0.00696045	0.0324832	-4.96751	-3.42703	-2.03179	-2.0857	0.005458892	0.03278701	0.192401	0.807599	0.1311	0.12422
49	-56392.27	-56386.31	-5.958377	0.00330059	0.0324832	-5.71365	-3.42703	-2.04523	-2.02261	0.006862104	0.0305554	0.192401	0.807599	0.12935	0.13231
50	-56391.46	-56385.1	-6.363762	0.00330059	0.0205207	-5.71365	-3.88632	-2.08733	-2.08779	0.006578342	0.0305554	0.222645	0.777355	0.124018	0.123961
51	-56391.45	-56385.58	-5.873077	0.00345432	0.0245614	-5.66813	-3.70658	-2.08962	-2.08779	0.00455353	0.0305554	0.222645	0.777355	0.123734	0.123961
52	-56395.15	-56391.18	-3.965114	0.0104985	0.0185941	-4.55652	-3.98491	-2.05875	-1.98199	0.0046425	0.0305554	0.227957	0.772043	0.127614	0.137795
53	-56395.33	-56391.3	-4.026982	0.00942488	0.0187297	-4.6644	-3.97764	-2.02357	-2.10482	0.0046425	0.02568665	0.657987	0.342013	0.132183	0.121868
54	-56401.17	-56397.3	-3.873007	0.0142174	0.0187297	-4.25329	-3.97764	-2.02357	-2.0533	0.007022388	0.04234795	0.657987	0.342013	0.132183	0.128311
55	-56394.58	-56390.26	-4.317893	0.0164995	0.0106915	-4.10442	-4.53831	-2.02357	-2.0533	0.005288775	0.04234795	0.493503	0.506497	0.132183	0.128311
56	-56400.08	-56397.04	-3.038479	0.0226966	0.018851	-3.78554	-3.97119	-2.02399	-2.0533	0.00479601	0.03817646	0.156502	0.843498	0.132127	0.128311
57	-56398.15	-56395.26	-2.891943	0.0226966	0.0214066	-3.78554	-3.84406	-2.00515	-2.03834	0.004836371	0.03740106	0.156502	0.843498	0.13464	0.130244
58	-56399.03	-56395.28	-3.741402	0.0139008	0.0175569	-4.27581	-4.04231	-1.98468	-2.1994	0.005072185	0.03740106	0.300966	0.699034	0.137425	0.110869
59	-56394.5	-56387.83	-6.66835	0.0124462	0.0038001	-4.38634	-5.57273	-2.04517	-2.02712	0.005072185	0.03665406	0.300966	0.699034	0.129359	0.131714
60	-56396.22	-56391.43	-4.792213	0.00718036	0.0166305	-4.93641	-4.09652	-2.0333	-1.96972	0.004056772	0.03538577	0.599667	0.400333	0.130903	0.139496
61	-56392.05	-56388.07	-3.983047	0.00718036	0.0401261	-4.93641	-3.21573	-2.0333	-1.97273	0.004897768	0.03238331	0.202145	0.797855	0.130903	0.139076
62	-56390.33	-56385.21	-5.124313	0.00718036	0.0132716	-4.93641	-4.32213	-2.08235	-2.0593	0.004897768	0.03258289	0.202145	0.797855	0.124637	0.127543
63	-56389.72	-56384.44	-5.284996	0.00718036	0.0125775	-4.93641	-4.37585	-2.08235	-2.0593	0.004897768	0.03794288	0.202145	0.797855	0.124637	0.127543
64	-56400.03	-56395.34	-4.691668	0.0104071	0.0125775	-4.56527	-4.37585	-2.03265	-2.22197	0.007213235	0.03014393	0.202145	0.797855	0.130988	0.108395
65	-56390.56	-56385.2	-5.351523	0.00690519	0.0125775	-4.97548	-4.37585	-2.00864	-2.14396	0.005036478	0.03630732	0.174063	0.825937	0.134172	0.11719
66	-56394.6	-56390.25	-4.350737	0.0110847	0.0125775	-4.50219	-4.37585	-2.05792	-2.1592	0.004938842	0.02749971	0.174063	0.825937	0.12772	0.115417
67	-56405.24	-56402.16	-3.075375	0.0110847	0.0437077	-4.50219	-3.13023	-2.05792	-2.09409	0.006181818	0.02275178	0.174063	0.825937	0.12772	0.123182
68	-56400	-56397.01	-2.991099	0.0172695	0.0288499	-4.05882	-3.54565	-2.03025	-1.93029	0.005211948	0.03889303	0.229532	0.770468	0.131303	0.145107
