Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56394	-56387.38	-6.618305	0.00264031	0.0280634	-5.93686	-3.57329	-2.08618	-2.13705	0.005683681	0.03609074	0.232432	0.767568	0.12416	0.118002
1	-56392.78	-56388.25	-4.526418	0.0063691	0.0280634	-5.0563	-3.57329	-2.07028	-1.96982	0.005683681	0.03013476	0.700612	0.299388	0.126151	0.139482
2	-56392.09	-56387.88	-4.208881	0.0063691	0.0420626	-5.0563	-3.1686	-2.04547	-2.02373	0.005683681	0.03013476	0.625815	0.374185	0.129319	0.132162
3	-56390.52	-56385.5	-5.018056	0.00447985	0.0365981	-5.40816	-3.30776	-2.04547	-1.99523	0.005313104	0.03013476	0.492031	0.507969	0.129319	0.135983
4	-56393.42	-56389.53	-3.88333	0.00787341	0.0365981	-4.84426	-3.30776	-2.04254	-1.94163	0.005313104	0.03013476	0.492031	0.507969	0.129699	0.14347
5	-56391.98	-56387.79	-4.191435	0.00668843	0.0364061	-5.00738	-3.31302	-2.04254	-1.95785	0.005313104	0.03013476	0.379473	0.620527	0.129699	0.141162
6	-56393.77	-56389.67	-4.099349	0.0108357	0.0157113	-4.52491	-4.15338	-2.05369	-2.02023	0.004503405	0.03021977	0.379473	0.620527	0.12826	0.132625
7	-56388.68	-56381.34	-7.335364	0.00591715	0.00518148	-5.1299	-5.26266	-2.07269	-2.1418	0.005564394	0.03840871	0.125683	0.874317	0.125847	0.117443
8	-56389.08	-56383.19	-5.886699	0.00797352	0.00748248	-4.83163	-4.89519	-2.0317	-2.1418	0.0041813	0.03840871	0.125683	0.874317	0.131112	0.117443
9	-56393.94	-56390.11	-3.831231	0.0106472	0.0223618	-4.54246	-3.8004	-2.0369	-2.1418	0.004601493	0.03892113	0.125683	0.874317	0.130433	0.117443
10	-56392.59	-56388.65	-3.940755	0.0103008	0.0223618	-4.57553	-3.8004	-2.01065	-2.1418	0.005920809	0.0337051	0.125683	0.874317	0.133902	0.117443
11	-56391.58	-56385.76	-5.816298	0.0103008	0.00604046	-4.57553	-5.10928	-2.04411	-2.06802	0.004327175	0.0337051	0.660964	0.339036	0.129495	0.126436
12	-56395.18	-56386.75	-8.431306	0.0103008	0.00203244	-4.57553	-6.19852	-2.05697	-2.20824	0.004327175	0.0337051	0.496779	0.503221	0.12784	0.109894
13	-56393.82	-56389.2	-4.615384	0.0110224	0.0110109	-4.50783	-4.50887	-2.00831	-2.16574	0.004327175	0.0337051	0.827978	0.172022	0.134215	0.114665
14	-56394.72	-56389.98	-4.742377	0.0110224	0.0110109	-4.50783	-4.50887	-2.04592	-2.08469	0.004092837	0.04466886	0.827978	0.172022	0.129262	0.124346
15	-56399.9	-56395.01	-4.884992	0.0110224	0.00959654	-4.50783	-4.64635	-2.04592	-2.08469	0.003369099	0.04593244	0.827978	0.172022	0.129262	0.124346
16	-56404.14	-56400.64	-3.505578	0.0110224	0.0269795	-4.50783	-3.61268	-2.03687	-2.02607	0.003369099	0.04323616	0.842454	0.157546	0.130437	0.131853
17	-56390.48	-56386.7	-3.774638	0.00985272	0.0269795	-4.62001	-3.61268	-2.03045	-2.02607	0.004819393	0.03622191	0.484953	0.515047	0.131276	0.131853
18	-56388.72	-56383.85	-4.861374	0.00708433	0.0171545	-4.94987	-4.06549	-2.04975	-2.02607	0.004819393	0.03622191	0.484953	0.515047	0.128767	0.131853
19	-56389.36	-56380.61	-8.743702	0.00373762	0.00423462	-5.58931	-5.46446	-2.04975	-2.18568	0.004819393	0.04002179	0.484953	0.515047	0.128767	0.112402
20	-56393.21	-56387.59	-5.618871	0.0089413	0.00810191	-4.71707	-4.81566	-2.04833	-2.22296	0.004819393	0.04002179	0.472158	0.527842	0.128951	0.108288
21	-56388.3	-56382.36	-5.941937	0.00739665	0.00823875	-4.90673	-4.79891	-2.06427	-2.10327	0.004819393	0.04002179	0.476134	0.523866	0.126911	0.122057
22	-56389.55	-56383.64	-5.9152	0.00471605	0.0149403	-5.35678	-4.20369	-2.06427	-2.11791	0.004817736	0.04002179	0.826768	0.173232	0.126911	0.120283
23	-56394	-56388.07	-5.925508	0.00467712	0.0149403	-5.36507	-4.20369	-2.10322	-2.11791	0.004817736	0.03991277	0.826768	0.173232	0.122062	0.120283
24	-56397.28	-56391.3	-5.97824	0.00467712	0.0130806	-5.36507	-4.33662	-2.10078	-2.11791	0.00367885	0.03991277	0.746402	0.253598	0.122361	0.120283
25	-56394.59	-56388.09	-6.500026	0.00644732	0.00626379	-5.04409	-5.07297	-2.06615	-2.11791	0.003377387	0.0367761	0.648141	0.351859	0.126672	0.120283
26	-56392.58	-56386.87	-5.713364	0.00644732	0.0121798	-5.04409	-4.40798	-2.06615	-2.06332	0.00577926	0.04444058	0.22249	0.77751	0.126672	0.127031
