Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56391.5	-56381.77	-9.732254	0.00219791	0.0048489	-6.12025	-5.329	-2.03163	-2.11149	0.004486888	0.03665745	0.263959	0.736041	0.131121	0.121058
1	-56388.1	-56380.01	-8.087276	0.00219791	0.0121254	-6.12025	-4.41245	-2.06393	-2.06782	0.005611527	0.0326849	0.0781748	0.921825	0.126954	0.126461
2	-56390.36	-56385.16	-5.205717	0.00792721	0.0121254	-4.83745	-4.41245	-2.07184	-2.04784	0.005611527	0.03637145	0.355836	0.644164	0.125954	0.129013
3	-56393.04	-56386.45	-6.595024	0.00272319	0.0254941	-5.90595	-3.66931	-2.08839	-2.12262	0.005260168	0.03637145	0.777251	0.222749	0.123886	0.119718
4	-56390.16	-56384.67	-5.493491	0.00427902	0.0254941	-5.45403	-3.66931	-2.06291	-1.99075	0.005260168	0.03447717	0.777251	0.222749	0.127083	0.136593
5	-56390.56	-56384.94	-5.622622	0.00427902	0.019522	-5.45403	-3.93622	-2.05737	-2.05742	0.004284943	0.03185665	0.836768	0.163232	0.127789	0.127783
6	-56391.06	-56386.46	-4.597965	0.0084828	0.0150074	-4.76971	-4.19922	-2.05737	-2.05742	0.004221739	0.03406442	0.836768	0.163232	0.127789	0.127783
7	-56392.56	-56387.49	-5.076041	0.00991563	0.00928223	-4.61364	-4.67965	-2.02116	-2.05742	0.004221739	0.03406442	0.772598	0.227402	0.132502	0.127783
8	-56391.41	-56386.32	-5.084805	0.00991563	0.00928223	-4.61364	-4.67965	-2.02129	-2.07794	0.004327373	0.03406442	0.772598	0.227402	0.132485	0.125188
9	-56393.92	-56389.62	-4.299126	0.00991563	0.0153913	-4.61364	-4.17395	-2.07784	-2.08324	0.004327373	0.03406442	0.772598	0.227402	0.1252	0.124526
10	-56391.02	-56383.11	-7.909666	0.00201489	0.0153913	-6.20719	-4.17395	-2.07784	-2.03665	0.004327373	0.03586321	0.821224	0.178776	0.1252	0.130465
11	-56397.72	-56386.83	-10.89007	0.000613271	0.0324199	-7.3967	-3.42898	-2.06956	-2.03665	0.004327373	0.03052449	0.926825	0.0731747	0.126241	0.130465
12	-56396.03	-56386.11	-9.913753	0.000811064	0.0324199	-7.11716	-3.42898	-2.07601	-2.00771	0.0044997	0.03052449	0.926825	0.0731747	0.12543	0.134296
13	-56391.56	-56381.4	-10.16193	0.00121623	0.00944356	-6.712	-4.66242	-2.07601	-2.16207	0.0044997	0.03528195	0.926825	0.0731747	0.12543	0.115086
14	-56389.4	-56383.35	-6.045	0.00709503	0.00768059	-4.94836	-4.86906	-2.04406	-2.14067	0.0044997	0.03528195	0.926825	0.0731747	0.129502	0.117575
15	-56393.6	-56386.53	-7.070861	0.00709503	0.00498418	-4.94836	-5.30149	-2.0461	-2.02558	0.005876292	0.03554882	0.30312	0.69688	0.129238	0.131917
16	-56397.41	-56391.91	-5.50206	0.0177822	0.00514831	-4.02956	-5.26909	-2.0461	-2.11055	0.005468336	0.03554882	0.30312	0.69688	0.129238	0.121171
17	-56397.12	-56391.63	-5.491475	0.0198535	0.00488415	-3.91937	-5.32176	-1.97987	-2.15896	0.005468336	0.03554882	0.30312	0.69688	0.138087	0.115445
18	-56395.2	-56391.64	-3.56625	0.0198535	0.0143252	-3.91937	-4.24573	-2.00524	-2.1146	0.005468336	0.03554882	0.099147	0.900853	0.134628	0.120682
19	-56395.85	-56392.38	-3.467544	0.0198535	0.0143252	-3.91937	-4.24573	-1.98899	-2.1146	0.005111574	0.03127285	0.099147	0.900853	0.136833	0.120682
20	-56396.11	-56392.65	-3.455125	0.0154488	0.0186963	-4.17022	-3.97943	-1.99761	-1.99704	0.005111574	0.03127285	0.099147	0.900853	0.135659	0.135737
21	-56403.15	-56400.21	-2.948899	0.0154488	0.0389617	-4.17022	-3.24518	-1.99761	-1.98371	0.005111574	0.04380415	0.099147	0.900853	0.135659	0.137557
22	-56391.14	-56387.04	-4.100436	0.00675869	0.0389617	-4.99693	-3.24518	-2.0419	-1.98371	0.005111574	0.03028363	0.24785	0.75215	0.129782	0.137557
23	-56390.52	-56385.17	-5.349353	0.00675869	0.012863	-4.99693	-4.3534	-2.05883	-2.03942	0.005896884	0.03028363	0.126608	0.873392	0.127603	0.130105
24	-56388.02	-56381.94	-6.073639	0.00392262	0.0176179	-5.541	-4.03884	-2.04993	-2.12294	0.005907839	0.03028363	0.126608	0.873392	0.128744	0.119679
25	-56392.8	-56381.17	-11.62939	0.000600761	0.0173095	-7.41731	-4.0565	-2.085	-2.12294	0.004642731	0.03028363	0.126608	0.873392	0.124307	0.119679
26	-56388.46	-56379.96	-8.507085	0.00172559	0.0137363	-6.36219	-4.28772	-2.0547	-2.12294	0.005215884	0.03028363	0.126608	0.873392	0.128131	0.119679
27	-56388.52	-56384.18	-4.341762	0.00991626	0.0169716	-4.61358	-4.07622	-2.04095	-2.09089	0.005346708	0.03800053	0.126608	0.873392	0.129906	0.123577
28	-56387.18	-56380.88	-6.302472	0.0053992	0.00964722	-5.22151	-4.64109	-2.04063	-2.09089	0.005114383	0.03800053	0.199871	0.800129	0.129947	0.123577
29	-56389.95	-56382.9	-7.053316	0.00254339	0.0202681	-5.97426	-3.89871	-2.06739	-2.00358	0.005114383	0.03800053	0.199871	0.800129	0.126516	0.134851
30	-56392.94	-56389.16	-3.77373	0.0100494	0.0276109	-4.60025	-3.58954	-2.06739	-2.00358	0.005114383	0.03800053	0.272518	0.727482	0.126516	0.134851
31	-56392.47	-56387.37	-5.095126	0.00685597	0.0162009	-4.98263	-4.12269	-2.06739	-2.00358	0.004898275	0.04258257	0.272518	0.727482	0.126516	0.134851
32	-56400.61	-56394.11	-6.501061	0.00685597	0.00669801	-4.98263	-5.00595	-2.01902	-1.98874	0.004272853	0.04435797	0.272518	0.727482	0.132786	0.136868
33	-56391.41	-56385.08	-6.338985	0.00685597	0.00657745	-4.98263	-5.02411	-2.01902	-2.14245	0.004272853	0.03234782	0.230562	0.769438	0.132786	0.117367
34	-56390.6	-56381.5	-9.104466	0.00148305	0.0119292	-6.51365	-4.42876	-2.0889	-2.14245	0.004360438	0.03234782	0.230562	0.769438	0.123824	0.117367
35	-56390.05	-56380.58	-9.471379	0.00217408	0.00575375	-6.13115	-5.1579	-2.04513	-2.14245	0.005988833	0.03234782	0.0312903	0.96871	0.129363	0.117367
36	-56395.01	-56388.59	-6.428732	0.0031747	0.0224486	-5.75254	-3.79653	-2.04479	-2.17269	0.007137754	0.03234782	0.0936488	0.906351	0.129407	0.113871
37	-56396.72	-56392.22	-4.495569	0.0084454	0.0197208	-4.77413	-3.92608	-2.04277	-2.18189	0.007137754	0.03311768	0.0936488	0.906351	0.129669	0.112828
38	-56395.21	-56391.16	-4.057325	0.00681502	0.049354	-4.98863	-3.00874	-2.05527	-2.01551	0.00592244	0.03311768	0.0936488	0.906351	0.128058	0.133252
39	-56393.58	-56389.59	-3.995792	0.00681502	0.0443084	-4.98863	-3.11658	-2.05527	-1.95046	0.005619638	0.02695705	0.0631323	0.936868	0.128058	0.142209
40	-56400.57	-56397.11	-3.462148	0.0100655	0.0443084	-4.59864	-3.11658	-2.05527	-1.92102	0.004913766	0.04121741	0.0631323	0.936868	0.128058	0.146458
41	-56391.97	-56386.77	-5.192154	0.00480947	0.0274704	-5.33717	-3.59464	-2.05976	-1.95012	0.005158669	0.03645984	0.0631323	0.936868	0.127484	0.142257
42	-56388.42	-56383.52	-4.897699	0.00688903	0.016175	-4.97782	-4.12429	-2.04044	-2.10806	0.005158669	0.02920692	0.0631323	0.936868	0.129971	0.121474
43	-56392.91	-56386.84	-6.072947	0.0124629	0.00466189	-4.385	-5.36833	-2.04044	-2.10806	0.005158669	0.02920692	0.0631323	0.936868	0.129971	0.121474
44	-56390.57	-56384.59	-5.97886	0.00386284	0.0180443	-5.55635	-4.01493	-2.04044	-2.07561	0.003998824	0.03563543	0.0631323	0.936868	0.129971	0.12548
45	-56387.66	-56378.21	-9.449262	0.00170955	0.00806841	-6.37152	-4.8198	-2.05408	-2.11987	0.004859578	0.03563543	0.0631323	0.936868	0.128211	0.120047
46	-56390.25	-56386.12	-4.136311	0.00778725	0.0249501	-4.85527	-3.69088	-2.03974	-2.09172	0.004859578	0.02906287	0.0631323	0.936868	0.130063	0.123475
47	-56390.81	-56385.75	-5.056746	0.00505839	0.023503	-5.28671	-3.75063	-2.03974	-2.10497	0.004859578	0.02906287	0.692485	0.307515	0.130063	0.121849
48	-56388.94	-56383.79	-5.152203	0.00505839	0.0225731	-5.28671	-3.791	-2.03974	-2.08343	0.004859578	0.03190076	0.668582	0.331418	0.130063	0.124502
49	-56394.77	-56389	-5.763637	0.00859985	0.00743164	-4.75601	-4.90201	-2.0169	-2.02112	0.004859578	0.03190076	0.217646	0.782354	0.133067	0.132507
50	-56392.04	-56388.14	-3.904999	0.00859985	0.0304564	-4.75601	-3.49146	-2.0169	-2.05462	0.004859578	0.03647904	0.217646	0.782354	0.133067	0.128142
51	-56389.5	-56383.53	-5.963047	0.00859985	0.00689542	-4.75601	-4.9769	-2.07347	-2.13351	0.005013237	0.03647904	0.217646	0.782354	0.125748	0.11842
52	-56396.98	-56392.9	-4.07877	0.0196769	0.0102259	-3.92831	-4.58283	-1.99164	-2.02349	0.005013237	0.03647904	0.542452	0.457548	0.136472	0.132194
53	-56396.4	-56392.66	-3.742564	0.0196769	0.0124925	-3.92831	-4.38263	-2.02804	-2.09777	0.005013237	0.03647904	0.603854	0.396146	0.131593	0.12273
54	-56395.23	-56388.75	-6.478889	0.00432511	0.0115674	-5.44332	-4.45957	-1.99884	-2.10738	0.005125062	0.03647904	0.603854	0.396146	0.135492	0.121556
55	-56394.05	-56387.74	-6.312187	0.00599816	0.0084088	-5.1163	-4.77848	-1.99884	-2.10738	0.005216016	0.03610749	0.533415	0.466585	0.135492	0.121556
56	-56394.78	-56389.88	-4.895842	0.0136072	0.0084088	-4.29716	-4.77848	-1.9843	-2.10738	0.005216016	0.03610749	0.712286	0.287714	0.137476	0.121556
57	-56398.49	-56393.68	-4.817102	0.0136072	0.00789975	-4.29716	-4.84092	-1.99388	-2.11132	0.005216016	0.02529362	0.0892028	0.910797	0.136166	0.121077
58	-56391.3	-56385.25	-6.048956	0.00401269	0.0155015	-5.51829	-4.16682	-2.0445	-2.11132	0.005401537	0.02529362	0.177805	0.822195	0.129445	0.121077
59	-56396.91	-56393.01	-3.893886	0.00855404	0.0302076	-4.76135	-3.49966	-2.0445	-2.11132	0.006942412	0.02536355	0.177805	0.822195	0.129445	0.121077
60	-56395.79	-56391.36	-4.426756	0.00644008	0.0302076	-5.04521	-3.49966	-2.0445	-2.10828	0.006942412	0.02536355	0.45739	0.54261	0.129445	0.121447
61	-56392.32	-56387.53	-4.797758	0.0114259	0.0093478	-4.47187	-4.67261	-2.0445	-2.0888	0.004822485	0.0285278	0.360375	0.639625	0.129445	0.123836
62	-56395.11	-56391.74	-3.364329	0.0114259	0.0277829	-4.47187	-3.58333	-2.03223	-2.1197	0.004822485	0.0285278	0.360375	0.639625	0.131043	0.120067
63	-56394.79	-56390.01	-4.783491	0.00516002	0.0287594	-5.26681	-3.54879	-2.03223	-2.1197	0.004379849	0.03005494	0.509146	0.490854	0.131043	0.120067
64	-56392.27	-56388.61	-3.663368	0.0128745	0.0184579	-4.35251	-3.99226	-2.04404	-2.07052	0.004379849	0.03361125	0.509146	0.490854	0.129505	0.12612
65	-56390.9	-56386.31	-4.592372	0.00890583	0.0143269	-4.72105	-4.24562	-2.05779	-2.03352	0.004379849	0.03361125	0.509146	0.490854	0.127735	0.130874
66	-56388.91	-56382.42	-6.49252	0.00890583	0.00506812	-4.72105	-5.28478	-2.032	-2.1156	0.004865478	0.03432425	0.471648	0.528352	0.131073	0.120561
67	-56389.47	-56383.42	-6.045007	0.00753285	0.00745004	-4.88848	-4.89954	-2.0751	-2.1156	0.004520155	0.0391795	0.471648	0.528352	0.125544	0.120561
68	-56391.84	-56386.33	-5.515295	0.00753285	0.00916262	-4.88848	-4.69262	-2.02492	-2.14394	0.004520155	0.02884078	0.290079	0.709921	0.132005	0.117192
69	-56397.34	-56393.67	-3.66772	0.0180125	0.013274	-4.01669	-4.32195	-2.02608	-2.1602	0.004195346	0.03691899	0.237998	0.762002	0.131851	0.115302
70	-56397.66	-56393.72	-3.937913	0.0164305	0.0122301	-4.10862	-4.40386	-1.98327	-2.02099	0.004195346	0.03691899	0.305535	0.694465	0.137619	0.132524
71	-56391.93	-56388.3	-3.632057	0.0164305	0.0158599	-4.10862	-4.14396	-2.0136	-2.06347	0.004900897	0.03691899	0.200776	0.799224	0.133507	0.127013
72	-56391.04	-56384.88	-6.162457	0.00637428	0.0083832	-5.05548	-4.78153	-2.01873	-2.18115	0.004900897	0.03691899	0.746649	0.253351	0.132824	0.112912
73	-56397.49	-56391.16	-6.334096	0.00460316	0.0107583	-5.38101	-4.53208	-2.07766	-2.03273	0.006250846	0.0242024	0.746649	0.253351	0.125223	0.130977
74	-56392.03	-56385.72	-6.303622	0.00309809	0.0235898	-5.77697	-3.74694	-2.0831	-2.03273	0.006250846	0.02775651	0.746649	0.253351	0.124544	0.130977
75	-56391.18	-56384.15	-7.029301	0.00303019	0.012525	-5.79913	-4.38003	-2.04252	-2.0927	0.004095559	0.03257172	0.631409	0.368591	0.129702	0.123353
76	-56392.35	-56387.27	-5.085403	0.0046195	0.0272486	-5.37747	-3.60275	-2.07007	-2.05952	0.004095559	0.03257172	0.631409	0.368591	0.126177	0.127515
77	-56393.31	-56387.51	-5.803588	0.00373743	0.0272486	-5.58936	-3.60275	-2.08678	-1.99726	0.006351537	0.03257172	0.934156	0.065844	0.124086	0.135706
78	-56396.12	-56387.28	-8.842022	0.00109828	0.0404828	-6.81401	-3.20688	-2.08328	-1.99726	0.006351537	0.02704351	0.934156	0.065844	0.124521	0.135706
79	-56395.28	-56386.46	-8.822562	0.00109828	0.0404828	-6.81401	-3.20688	-2.08328	-2.03716	0.006169847	0.02724065	0.760145	0.239855	0.124521	0.130399
80	-56395.31	-56385.78	-9.533716	0.000890986	0.0404828	-7.02318	-3.20688	-2.08328	-1.97696	0.006169847	0.02724065	0.481194	0.518806	0.124521	0.13849
81	-56394.58	-56391.25	-3.324094	0.0102006	0.0404828	-4.5853	-3.20688	-2.03748	-1.95399	0.005305069	0.02810244	0.334414	0.665586	0.130356	0.141708
82	-56395.54	-56392.19	-3.35404	0.0103304	0.0404828	-4.57267	-3.20688	-2.00403	-2.02754	0.005305069	0.03152115	0.680258	0.319742	0.13479	0.131659
83	-56400.66	-56397.39	-3.273129	0.0103304	0.056285	-4.57267	-2.87733	-2.00742	-1.99133	0.006282744	0.03152115	0.680258	0.319742	0.134335	0.136514
84	-56396.98	-56390.56	-6.416374	0.00406349	0.0136015	-5.50571	-4.29758	-2.02161	-2.01526	0.006282744	0.03152115	0.855466	0.144534	0.132442	0.133286
85	-56392.51	-56385.73	-6.777209	0.00230011	0.0350665	-6.0748	-3.35051	-2.07508	-2.02835	0.006282744	0.03016094	0.912058	0.087942	0.125546	0.131552
86	-56392.09	-56386.39	-5.697493	0.0042816	0.0232296	-5.45343	-3.76233	-2.07508	-2.02835	0.006282744	0.03657051	0.912058	0.087942	0.125546	0.131552
87	-56396.38	-56389.94	-6.441949	0.00283705	0.0232296	-5.86499	-3.76233	-2.07525	-2.02835	0.006282744	0.022676	0.912058	0.087942	0.125525	0.131552
88	-56391.38	-56385.08	-6.298806	0.00309748	0.0232296	-5.77717	-3.76233	-2.07525	-2.12416	0.004917007	0.03442266	0.912058	0.087942	0.125525	0.119534
89	-56391.57	-56384.27	-7.303842	0.00220165	0.0232296	-6.11855	-3.76233	-2.06013	-2.10626	0.005440865	0.03778281	0.912058	0.087942	0.127438	0.121693
90	-56388.27	-56380.13	-8.133945	0.00182681	0.0178343	-6.30519	-4.02663	-2.06689	-2.09489	0.005440865	0.03778281	0.256674	0.743326	0.126579	0.123084
91	-56388.18	-56383	-5.179553	0.00928473	0.0103315	-4.67938	-4.57256	-2.04912	-2.09269	0.005440865	0.03778281	0.111979	0.888021	0.128848	0.123354
92	-56389.37	-56384.05	-5.322076	0.00495219	0.0226095	-5.30793	-3.78939	-2.03637	-2.09269	0.005180079	0.03805294	0.335639	0.664361	0.130502	0.123354
93	-56387.89	-56380.38	-7.50999	0.00495219	0.00559006	-5.30793	-5.18676	-2.03637	-2.1121	0.005180079	0.03737494	0.102093	0.897907	0.130502	0.120984
94	-56392.62	-56386.41	-6.205176	0.00904732	0.00559006	-4.70529	-5.18676	-2.03637	-2.23036	0.005180079	0.0300103	0.102093	0.897907	0.130502	0.10749
95	-56390.77	-56385.39	-5.389302	0.00904732	0.00859777	-4.70529	-4.75625	-2.01381	-2.14256	0.005180079	0.0300103	0.102093	0.897907	0.133479	0.117355
96	-56390.61	-56384.22	-6.387771	0.00556608	0.00859777	-5.19106	-4.75625	-2.01381	-2.1795	0.005180079	0.03459364	0.0728854	0.927115	0.133479	0.113098
97	-56390.57	-56386.64	-3.92871	0.00942085	0.0242243	-4.66483	-3.7204	-2.0176	-2.0765	0.004862513	0.03459364	0.568326	0.431674	0.132974	0.125368
98	-56390.63	-56385.33	-5.304603	0.00703116	0.0123266	-4.9574	-4.39599	-2.0176	-2.16711	0.005468082	0.03129243	0.421294	0.578706	0.132974	0.114508
99	-56390.16	-56382.8	-7.362454	0.0044958	0.00648019	-5.40461	-5.03901	-2.05015	-2.05679	0.005468082	0.03129243	0.13805	0.86195	0.128716	0.127864
100	-56389.54	-56384.16	-5.377826	0.00641061	0.0139523	-5.0498	-4.27211	-2.05015	-2.0688	0.004619955	0.04156384	0.548254	0.451746	0.128716	0.126337
101	-56392.08	-56387.16	-4.919744	0.00641061	0.0164583	-5.0498	-4.10693	-2.0635	-2.0688	0.003767806	0.03272468	0.227868	0.772132	0.127009	0.126337
102	-56399.11	-56395.02	-4.096467	0.00641061	0.0402284	-5.0498	-3.21318	-2.09189	-2.00177	0.00407333	0.03272468	0.12838	0.87162	0.123453	0.135096
103	-56395.44	-56391.64	-3.801833	0.0079584	0.0402284	-4.83353	-3.21318	-2.03206	-1.98145	0.006495841	0.02537889	0.479535	0.520465	0.131065	0.137869
104	-56394.93	-56390.27	-4.656051	0.00521091	0.0402284	-5.257	-3.21318	-2.05009	-2.02415	0.006886605	0.02537889	0.613516	0.386484	0.128723	0.132106
105	-56404.79	-56400.07	-4.712798	0.0114476	0.0104366	-4.46997	-4.56244	-2.05009	-2.03131	0.006886605	0.02414026	0.613516	0.386484	0.128723	0.131163
106	-56391.75	-56383.68	-8.077396	0.00265063	0.00972925	-5.93296	-4.63262	-2.05864	-2.09939	0.006590301	0.03687981	0.632549	0.367451	0.127627	0.122532
107	-56390.65	-56382.08	-8.57295	0.00203818	0.00972925	-6.1957	-4.63262	-2.05393	-2.12872	0.004180251	0.03793334	0.771846	0.228154	0.12823	0.118989
108	-56390.92	-56381.53	-9.393638	0.00203818	0.00623295	-6.1957	-5.07791	-2.08616	-2.08427	0.004180251	0.03793334	0.74133	0.25867	0.124164	0.124398
109	-56389.46	-56381.61	-7.846382	0.00332703	0.00726036	-5.70568	-4.92533	-2.05928	-2.06505	0.004460391	0.03793334	0.74133	0.25867	0.127546	0.126812
110	-56395.63	-56389.04	-6.588849	0.00805287	0.00525199	-4.82173	-5.24915	-2.04813	-2.25768	0.004460391	0.03793334	0.74133	0.25867	0.128976	0.104593
111	-56390.77	-56385.83	-4.94355	0.010797	0.010417	-4.52848	-4.56432	-2.04813	-2.10147	0.005737194	0.03793334	0.74133	0.25867	0.128976	0.122277
112	-56388.7	-56382.23	-6.472814	0.00445256	0.010417	-5.41428	-4.56432	-2.04813	-2.10147	0.004139056	0.03716504	0.488209	0.511791	0.128976	0.122277
113	-56388.59	-56381.47	-7.119009	0.00451522	0.00757124	-5.4003	-4.8834	-2.04827	-2.10147	0.004647512	0.04170019	0.256629	0.743371	0.128958	0.122277
114	-56393.15	-56387.11	-6.046167	0.00451522	0.0149564	-5.4003	-4.20262	-2.03508	-2.05353	0.004647512	0.04290853	0.732731	0.267269	0.13067	0.128281
115	-56388.98	-56382.68	-6.297669	0.00451522	0.012008	-5.4003	-4.42218	-2.02987	-2.12466	0.004647512	0.03870467	0.189283	0.810717	0.131353	0.119474
116	-56391.74	-56382.77	-8.970556	0.00173823	0.0105187	-6.35489	-4.5546	-2.02987	-2.12466	0.004647512	0.03870467	0.189283	0.810717	0.131353	0.119474
117	-56391.1	-56385.34	-5.762213	0.00652095	0.00964164	-5.03274	-4.64166	-2.02987	-2.06914	0.004647512	0.03069197	0.563844	0.436156	0.131353	0.126294
118	-56390.47	-56383.71	-6.763685	0.00354377	0.0133298	-5.64257	-4.31775	-2.06987	-2.06914	0.004647512	0.04305031	0.376687	0.623313	0.126203	0.126294
119	-56393.87	-56386.22	-7.656375	0.00535683	0.0052178	-5.22938	-5.25568	-2.05707	-2.06914	0.006189767	0.04305031	0.315512	0.684488	0.127828	0.126294
120	-56394.31	-56386.92	-7.387379	0.0105745	0.00315514	-4.54931	-5.75872	-2.00914	-2.06914	0.004519821	0.04188943	0.315512	0.684488	0.134104	0.126294
121	-56388.18	-56382.49	-5.696451	0.00777615	0.00847731	-4.85669	-4.77036	-2.056	-2.09744	0.004519821	0.03504453	0.551751	0.448249	0.127964	0.122771
122	-56391.53	-56385.89	-5.636975	0.0123658	0.00578188	-4.39282	-5.15303	-2.02032	-2.09744	0.004602959	0.03292511	0.551751	0.448249	0.132613	0.122771
123	-56390.69	-56386.31	-4.378605	0.0123658	0.0116038	-4.39282	-4.45642	-2.02032	-2.10753	0.004602959	0.03292511	0.551751	0.448249	0.132613	0.121538
124	-56392.78	-56388.25	-4.527765	0.0123658	0.01166	-4.39282	-4.45159	-2.01746	-2.08985	0.006233834	0.03292511	0.587113	0.412887	0.132993	0.123705
125	-56392.01	-56387.53	-4.484257	0.0125114	0.01166	-4.38112	-4.45159	-2.02355	-2.08698	0.004499578	0.04269006	0.587113	0.412887	0.132186	0.124062
126	-56390.59	-56384.29	-6.295965	0.00848364	0.00603039	-4.76962	-5.11094	-2.04759	-2.07639	0.004499578	0.04269006	0.587113	0.412887	0.129045	0.125382
127	-56390.55	-56385.86	-4.68572	0.00848364	0.0149474	-4.76962	-4.20322	-2.01534	-2.07639	0.004499578	0.03706743	0.58839	0.41161	0.133275	0.125382
128	-56393.25	-56385.43	-7.813685	0.00848364	0.00294614	-4.76962	-5.82726	-2.01534	-2.09481	0.004100804	0.03706743	0.363959	0.636041	0.133275	0.123093
129	-56395.45	-56389.55	-5.898859	0.00783067	0.0080224	-4.84971	-4.82552	-2.03323	-2.09481	0.004100804	0.04712807	0.529322	0.470678	0.130912	0.123093
130	-56396.28	-56390.21	-6.069434	0.0132064	0.00497598	-4.32705	-5.30313	-2.04159	-2.08286	0.004680937	0.04826554	0.476602	0.523398	0.129822	0.124573
131	-56397.69	-56392.07	-5.614475	0.0119139	0.006698	-4.43005	-5.00595	-2.05873	-2.1444	0.00481993	0.04826554	0.476602	0.523398	0.127616	0.117138
132	-56400.36	-56393.69	-6.674446	0.0119139	0.00424242	-4.43005	-5.46262	-2.04633	-2.19162	0.005834867	0.04826554	0.476602	0.523398	0.129209	0.111735
133	-56400.74	-56387.9	-12.84212	0.0119139	0.000528027	-4.43005	-7.54636	-2.04633	-2.05772	0.004376067	0.04559001	0.476602	0.523398	0.129209	0.127744
134	-56390.13	-56385.72	-4.411983	0.0119139	0.0122202	-4.43005	-4.40466	-2.0442	-2.05772	0.005005323	0.03357233	0.0867982	0.913202	0.129483	0.127744
135	-56394.53	-56390.44	-4.085722	0.00775649	0.0255807	-4.85923	-3.66592	-2.02088	-2.05772	0.005005323	0.02604017	0.783304	0.216696	0.132539	0.127744
136	-56404.29	-56401.64	-2.656521	0.0217432	0.0255807	-3.82845	-3.66592	-1.97474	-1.99296	0.005660434	0.02604017	0.825967	0.174033	0.138798	0.136291
137	-56395.6	-56388.94	-6.662357	0.00633447	0.00612111	-5.06175	-5.09601	-2.0193	-2.15965	0.005660434	0.02604017	0.942299	0.0577011	0.132748	0.115365
138	-56395.82	-56389.65	-6.172204	0.0047953	0.0108994	-5.34012	-4.51905	-2.0193	-2.15965	0.005332494	0.02604017	0.942299	0.0577011	0.132748	0.115365
139	-56389.96	-56383.59	-6.369869	0.0043975	0.0116758	-5.42672	-4.45024	-2.07676	-2.15965	0.005332494	0.0329385	0.942299	0.0577011	0.125336	0.115365
140	-56390.5	-56380.64	-9.856051	0.00116308	0.0133005	-6.75668	-4.31995	-2.06796	-2.04817	0.005585113	0.0329385	0.486473	0.513527	0.126444	0.12897
141	-56388.27	-56381.23	-7.045042	0.00304514	0.0133005	-5.79421	-4.31995	-2.03899	-2.13865	0.004862234	0.0348519	0.409196	0.590804	0.13016	0.117814
142	-56391.03	-56383.62	-7.406851	0.00319839	0.0102752	-5.74511	-4.57802	-2.03899	-2.1695	0.004862234	0.04113932	0.4215	0.5785	0.13016	0.114235
143	-56388.94	-56383.35	-5.588067	0.00869861	0.00845484	-4.74459	-4.77302	-2.03899	-2.17343	0.0054808	0.03491608	0.4215	0.5785	0.13016	0.113786
144	-56388.23	-56380.37	-7.861807	0.00299676	0.00844952	-5.81022	-4.77365	-2.06539	-2.17753	0.0054808	0.03429961	0.624876	0.375124	0.126768	0.113321
145	-56395.62	-56389.19	-6.431329	0.0101181	0.00480927	-4.59343	-5.33721	-2.06256	-2.23844	0.0054808	0.03429961	0.624876	0.375124	0.127128	0.106625
146	-56395.67	-56390.63	-5.038457	0.0101181	0.0107212	-4.59343	-4.53553	-1.99637	-2.05613	0.0054808	0.04087099	0.624876	0.375124	0.135827	0.127948
147	-56391.59	-56386.74	-4.844379	0.0138222	0.00886147	-4.28148	-4.72604	-2.0241	-2.12856	0.0054808	0.03966308	0.504069	0.495931	0.132112	0.119008
148	-56393.51	-56387.93	-5.588844	0.011984	0.00672953	-4.42418	-5.00125	-2.0241	-2.15545	0.005802148	0.03966308	0.957691	0.042309	0.132112	0.115851
149	-56398.91	-56393.47	-5.433942	0.011984	0.00672953	-4.42418	-5.00125	-2.0241	-1.96679	0.004546565	0.03505453	0.957691	0.042309	0.132112	0.139905
