Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56744.2	-56743.02	-1.182257	0.051555	0.042889	-2.96511	-3.14914	-1.99635	-2.79147	0.003229809	0.01973679	0.777831	0.222169	0.13583	0.061331
1	-56583.52	-56582.32	-1.198336	0.051555	0.0709796	-2.96511	-2.64536	-1.71869	-1.63021	0.003229809	0.02170517	0.777831	0.222169	0.179301	0.195888
2	-56724.51	-56724.61	0.09965789	0.068973	0.0709796	-2.67404	-2.64536	-1.72172	-1.63021	0.003229809	0.002088395	0.425661	0.574339	0.178758	0.195888
3	-56682.3	-56681.8	-0.5023188	0.068973	0.0644197	-2.67404	-2.74234	-1.67279	-2.34579	0.003229809	0.008746258	0.707048	0.292952	0.187722	0.0957713
4	-56658.79	-56655.39	-3.400144	0.068973	0.0110875	-2.67404	-4.50194	-1.67279	-2.34579	0.003229809	0.08758505	0.707048	0.292952	0.187722	0.0957713
5	-56718.62	-56715.84	-2.78255	0.0378191	0.0365201	-3.27494	-3.30989	-2.13425	-2.34579	0.01670162	0.05879532	0.707048	0.292952	0.118333	0.0957713
6	-57150.44	-57147.68	-2.757953	0.018917	0.0577878	-3.96769	-2.85098	-1.50359	-2.34579	0.01670162	0.01732819	0.239341	0.760659	0.22233	0.0957713
7	-57148.44	-57145.47	-2.961407	0.0484033	0.0386576	-3.02819	-3.25301	-2.1376	-3.31983	0.01670162	0.05911743	0.173797	0.826203	0.117937	0.0361591
8	-56703.14	-56700	-3.144699	0.0299527	0.0370831	-3.50814	-3.29459	-2.1376	-1.59256	0.01670162	0.05911743	0.173797	0.826203	0.117937	0.203405
9	-56689.58	-56684.54	-5.036239	0.00722362	0.0370831	-4.9304	-3.29459	-1.87677	-2.72061	0.01669661	0.05911743	0.146667	0.853333	0.153083	0.0658345
10	-56569.08	-56565.56	-3.522605	0.0245601	0.0264239	-3.70663	-3.63349	-1.87677	-1.97955	0.01669661	0.05911743	0.427878	0.572122	0.153083	0.138132
11	-56573.74	-56571.58	-2.153858	0.0232668	0.0996399	-3.76073	-2.30619	-2.23094	-1.62723	0.006594883	0.02916333	0.427878	0.572122	0.107427	0.196473
12	-56879	-56877.31	-1.693069	0.0757063	0.0996399	-2.58089	-2.30619	-1.87179	-2.76192	0.01192056	0.02916333	0.427878	0.572122	0.153849	0.0631701
13	-56656.05	-56651.46	-4.588444	0.0757063	0.00592739	-2.58089	-5.12817	-1.77221	-2.73666	0.01192056	0.02916333	0.083813	0.916187	0.169957	0.0647866
14	-56840.45	-56835.91	-4.538213	0.084325	0.00592739	-2.47308	-5.12817	-1.9682	-2.21971	0.01422677	0.02916333	0.0364717	0.963528	0.139708	0.108641
15	-56858.87	-56856.02	-2.846177	0.084325	0.05898	-2.47308	-2.83056	-1.9682	-1.78105	0.0195877	0.1231488	0.0364717	0.963528	0.139708	0.168461
16	-56633.03	-56631.18	-1.852617	0.0679036	0.05898	-2.68967	-2.83056	-1.9682	-1.78105	0.003108258	0.1048855	0.0364717	0.963528	0.139708	0.168461
17	-56566.36	-56565.26	-1.095139	0.0604631	0.05898	-2.80572	-2.83056	-1.9682	-1.83702	0.007214492	0.01150293	0.0364717	0.963528	0.139708	0.159292
18	-56588.15	-56586.23	-1.91877	0.0604631	0.060198	-2.80572	-2.81012	-1.66828	-2.08655	0.007214492	0.05127269	0.0364717	0.963528	0.188571	0.124114
19	-56808.01	-56806.1	-1.911594	0.0604631	0.119398	-2.80572	-2.12529	-1.66828	-2.08655	0.006041736	0.06809156	0.0364717	0.963528	0.188571	0.124114
20	-56866.35	-56863.19	-3.156055	0.111879	0.025056	-2.19034	-3.68664	-1.70954	-1.53403	0.01530695	0.06809156	0.0209004	0.9791	0.180948	0.215664
21	-56729.46	-56726.76	-2.707663	0.0640227	0.196396	-2.74852	-1.62762	-1.70954	-1.53403	0.01530695	0.06809156	0.0209004	0.9791	0.180948	0.215664
22	-56788.4	-56785.88	-2.521478	0.0952721	0.0314746	-2.35102	-3.45858	-1.95804	-2.1022	0.01021143	0.07786813	0.0209004	0.9791	0.141135	0.122188
23	-56765.91	-56763.71	-2.195264	0.0676573	0.10785	-2.6933	-2.22701	-1.66747	-2.1022	0.01021143	0.07626283	0.0209004	0.9791	0.188724	0.122188
24	-56669.78	-56668.81	-0.9741212	0.100862	0.10785	-2.294	-2.22701	-1.66747	-2.1022	0.01021143	0.008424804	0.0209004	0.9791	0.188724	0.122188
25	-56706.24	-56704.92	-1.316602	0.0751254	0.0507509	-2.5886	-2.98083	-1.81062	-2.16276	0.01583879	0.008424804	0.0209004	0.9791	0.163553	0.115007
26	-56842.37	-56839.35	-3.014021	0.109564	0.0665356	-2.21125	-2.71002	-1.65998	-1.43211	0.01181693	0.1636218	0.0209004	0.9791	0.190142	0.238804
27	-57552.43	-57548.54	-3.895111	0.0495024	0.02557	-3.00573	-3.66634	-1.46442	-1.43211	0.01181693	0.1636218	0.0209004	0.9791	0.231213	0.238804
28	-56895.58	-56893	-2.578993	0.139599	0.02557	-1.96898	-3.66634	-1.81455	-1.74895	0.002205696	0.1636218	0.0209004	0.9791	0.16291	0.173956
29	-56916.44	-56912.24	-4.197738	0.0140163	0.02557	-4.26754	-3.66634	-2.21018	-2.2004	0.03129154	0.03651002	0.0209004	0.9791	0.10968	0.110759
30	-56796.32	-56792.26	-4.06466	0.0140163	0.0338084	-4.26754	-3.38705	-1.7461	-2.15731	0.02574329	0.04377175	0.0209004	0.9791	0.174453	0.115636
31	-56906.1	-56904.3	-1.805579	0.0491811	0.240554	-3.01225	-1.42481	-1.7461	-2.15972	0.02574329	0.007422526	0.0861582	0.913842	0.174453	0.115357
32	-56821.96	-56820.52	-1.442892	0.056638	0.141472	-2.87107	-1.95565	-1.91214	-2.15972	0.02574329	0.007422526	0.252055	0.747945	0.147763	0.115357
33	-56698.88	-56697.25	-1.630738	0.0367893	0.0487172	-3.30255	-3.02172	-1.91214	-2.93415	0.005652356	0.01821789	0.163362	0.836638	0.147763	0.0531758
34	-56653.76	-56653.39	-0.3765378	0.0367893	0.0487172	-3.30255	-3.02172	-2.07692	-2.30655	0.005652356	0.002182706	0.116774	0.883226	0.125316	0.0996044
35	-56725.47	-56723.69	-1.781591	0.0213019	0.0914192	-3.84896	-2.3923	-1.70942	-1.787	0.01314974	0.005251292	0.557055	0.442945	0.180971	0.167463
36	-56889.59	-56886.85	-2.733856	0.0824822	0.155897	-2.49517	-1.85856	-1.80645	-1.787	0.03180018	0.06289428	0.557055	0.442945	0.164237	0.167463
