Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56426.62	-56423.33	-3.294362	0.00985795	0.0350495	-4.61948	-3.35099	-2.06943	-2.04114	0.007932815	0.01393734	0.206418	0.793582	0.126258	0.12988
1	-56427.89	-56424.39	-3.499515	0.00744452	0.0779891	-4.90028	-2.55119	-2.06141	-1.78361	0.007932815	0.01393734	0.206418	0.793582	0.127275	0.168031
2	-56452.22	-56448.26	-3.959623	0.00744452	0.0251914	-4.90028	-3.68125	-2.03994	-1.78361	0.005341393	0.01393734	0.603392	0.396608	0.130036	0.168031
3	-56438.72	-56436.14	-2.578414	0.0181262	0.0229051	-4.0104	-3.77639	-2.02452	-2.27576	0.005341393	0.01393734	0.427215	0.572785	0.132058	0.102719
4	-56406.82	-56402.41	-4.40961	0.00489004	0.0724671	-5.32055	-2.62462	-2.02452	-1.93738	0.00488461	0.02645933	0.204543	0.795457	0.132058	0.144081
5	-56401.68	-56397.85	-3.831868	0.00666009	0.057208	-5.01162	-2.86106	-2.01618	-1.99532	0.00488461	0.02645933	0.204543	0.795457	0.133163	0.135971
6	-56417.99	-56414.55	-3.43714	0.0102001	0.0357356	-4.58536	-3.33161	-2.1037	-2.03783	0.003600102	0.04508279	0.204543	0.795457	0.122004	0.130311
7	-56420.12	-56417.14	-2.981816	0.0158963	0.0294693	-4.14167	-3.5244	-1.94355	-1.97491	0.003600102	0.04508279	0.204543	0.795457	0.143195	0.138774
8	-56446.96	-56444.78	-2.173789	0.0415885	0.024025	-3.17993	-3.72866	-1.94355	-2.23277	0.003600102	0.04307848	0.386001	0.613999	0.143195	0.107231
9	-56486.87	-56485.38	-1.489972	0.0405458	0.0330518	-3.20532	-3.40968	-1.87975	-2.35666	0.005374579	0.01300309	0.658227	0.341773	0.152628	0.094736
10	-56494.8	-56492.45	-2.350729	0.0405458	0.0214178	-3.20532	-3.84353	-1.87397	-2.42798	0.009215533	0.01805031	0.724496	0.275504	0.153514	0.0882145
11	-56475.22	-56473.17	-2.055221	0.0405458	0.0298294	-3.20532	-3.51226	-1.8676	-1.976	0.00908601	0.01805031	0.561321	0.438679	0.154493	0.138622
12	-56483.37	-56481.44	-1.926815	0.0533735	0.025288	-2.93044	-3.67742	-1.91307	-2.1432	0.007661067	0.01805031	0.188593	0.811407	0.147626	0.117279
13	-56456.85	-56454.35	-2.502681	0.0241045	0.025288	-3.72536	-3.67742	-1.90829	-2.37887	0.007661067	0.01805031	0.188593	0.811407	0.148334	0.0926548
14	-56444.4	-56441.93	-2.470355	0.0383028	0.025288	-3.26223	-3.67742	-1.93462	-1.86893	0.007661067	0.03200992	0.0313031	0.968697	0.14448	0.154289
15	-56456.13	-56454.1	-2.031154	0.0383028	0.030216	-3.26223	-3.49938	-1.93462	-2.2918	0.007661067	0.02176495	0.757059	0.242941	0.14448	0.101084
16	-56484.92	-56480.97	-3.9492	0.0383028	0.00868643	-3.26223	-4.74599	-1.98572	-2.2918	0.01008113	0.02942221	0.793548	0.206452	0.137282	0.101084
17	-56484.16	-56481.88	-2.283648	0.0383028	0.0347267	-3.26223	-3.36025	-1.93858	-2.33595	0.01008113	0.03343691	0.545239	0.454761	0.143908	0.0967182
18	-56440.84	-56438.91	-1.934686	0.0270819	0.0925334	-3.60889	-2.38019	-1.90808	-1.86237	0.00538161	0.03343691	0.314416	0.685584	0.148365	0.155304
19	-56424.11	-56422.12	-1.989141	0.0270819	0.0666826	-3.60889	-2.70781	-1.90808	-1.86237	0.00538161	0.03343691	0.533058	0.466942	0.148365	0.155304
20	-56422.61	-56420.25	-2.365217	0.0177846	0.0595125	-4.02942	-2.82157	-2.05771	-2.04846	0.005020737	0.03343691	0.154505	0.845495	0.127746	0.128934
21	-56435.28	-56432.83	-2.443848	0.029418	0.0286917	-3.52615	-3.55115	-2.05771	-2.04846	0.006771881	0.03343691	0.154505	0.845495	0.127746	0.128934
22	-56457.56	-56454.63	-2.930804	0.0304429	0.0129062	-3.4919	-4.35005	-2.05771	-2.28381	0.004583711	0.02255456	0.883579	0.116421	0.127746	0.101895
23	-56437.83	-56435.21	-2.616503	0.0314873	0.0200284	-3.45817	-3.9106	-1.9089	-2.01352	0.002784788	0.05468259	0.883579	0.116421	0.148243	0.133518
24	-56416.94	-56413.5	-3.446338	0.0241701	0.0132898	-3.72264	-4.32076	-1.9089	-2.01352	0.004836624	0.03598297	0.883579	0.116421	0.148243	0.133518
25	-56409.17	-56406.58	-2.58511	0.0241701	0.0327031	-3.72264	-3.42028	-2.00806	-2.01352	0.006897037	0.03598297	0.883579	0.116421	0.134249	0.133518
26	-56444.53	-56442.63	-1.898781	0.0259487	0.0403013	-3.65163	-3.21137	-2.07475	-1.9423	0.002725802	0.03598297	0.765171	0.234829	0.125588	0.143374
27	-56434.79	-56432.95	-1.83949	0.0259487	0.0517565	-3.65163	-2.9612	-2.02111	-1.9423	0.002725802	0.04099529	0.695752	0.304248	0.132509	0.143374
28	-56439.27	-56436.46	-2.802265	0.0259487	0.0289821	-3.65163	-3.54108	-2.04983	-1.9423	0.008511298	0.04099529	0.901966	0.0980344	0.128756	0.143374
29	-56412.34	-56409.04	-3.305577	0.0192918	0.0161886	-3.94808	-4.12345	-2.04709	-2.23076	0.004467305	0.03516046	0.908734	0.0912664	0.129111	0.107447
30	-56429.74	-56422.74	-6.998333	0.00963482	0.00396904	-4.64237	-5.52923	-2.07555	-1.80356	0.004467305	0.03868063	0.94967	0.0503299	0.125487	0.164712
31	-56418.59	-56410.87	-7.715055	0.00621316	0.00396904	-5.08109	-5.52923	-2.05548	-2.44119	0.005287933	0.03252093	0.635102	0.364898	0.128031	0.0870572
32	-56406.18	-56398.15	-8.026043	0.00890238	0.00273507	-4.72144	-5.9016	-2.05548	-2.13601	0.007527075	0.02606872	0.666493	0.333507	0.128031	0.118125
33	-56421.96	-56417.25	-4.708329	0.0151094	0.00728133	-4.19244	-4.92244	-2.11438	-2.13601	0.003271316	0.03341983	0.530627	0.469373	0.120708	0.118125
34	-56417.18	-56409.71	-7.47222	0.00397739	0.00728133	-5.52713	-4.92244	-2.14657	-2.29671	0.00614772	0.03341983	0.295089	0.704911	0.116885	0.10059
35	-56407.18	-56401.67	-5.506107	0.00506379	0.0189773	-5.28564	-3.96451	-2.14657	-2.06292	0.00614772	0.0353236	0.295089	0.704911	0.116885	0.127083
36	-56440.77	-56432.86	-7.90823	0.00262447	0.00992708	-5.94288	-4.61249	-2.06676	-1.77956	0.00614772	0.02473894	0.377274	0.622726	0.126595	0.168712
37	-56412.78	-56407.56	-5.225168	0.0089264	0.0104087	-4.71874	-4.56511	-2.06676	-2.10678	0.008398786	0.02473894	0.377274	0.622726	0.126595	0.121628
38	-56452.92	-56449.59	-3.33557	0.0126771	0.0397278	-4.36796	-3.2257	-2.06676	-2.13014	0.01204252	0.02621584	0.377274	0.622726	0.126595	0.11882
39	-56521.6	-56518.67	-2.924941	0.0126771	0.0819087	-4.36796	-2.50215	-2.15684	-2.13014	0.01204252	0.02127289	0.377274	0.622726	0.11569	0.11882
40	-56452.16	-56448.85	-3.311682	0.0126771	0.0352161	-4.36796	-3.34625	-2.03051	-2.18571	0.01204252	0.02127289	0.305749	0.694251	0.131268	0.112398
41	-56438.43	-56435	-3.425088	0.00658378	0.0712994	-5.02315	-2.64087	-2.03051	-1.99734	0.00336994	0.01914397	0.305749	0.694251	0.131268	0.135695
