state	power	likelihood
800	0.0254804	-56471.9
900	0.0254804	-56424.9
1000	0.0254804	-56440.3
300	0.0205963	-56507.7
400	0.0205963	-56593.9
500	0.0205963	-56489.4
600	0.0205963	-56676.5
700	0.0205963	-56509.4
800	0.0205963	-56445
900	0.0205963	-56693.5
1000	0.0205963	-56447.7
300	0.0164916	-56754.3
400	0.0164916	-56628.6
500	0.0164916	-56520
600	0.0164916	-56562.3
700	0.0164916	-56722.2
800	0.0164916	-56599.6
900	0.0164916	-56462.3
1000	0.0164916	-56571.6
300	0.0130691	-56505.3
400	0.0130691	-56740.3
500	0.0130691	-56545.3
600	0.0130691	-57276.7
700	0.0130691	-56481.1
800	0.0130691	-56612.6
900	0.0130691	-56603
1000	0.0130691	-56630.7
300	0.01024	-56617.9
400	0.01024	-56787
500	0.01024	-56557.1
600	0.01024	-56603.5
700	0.01024	-56571.9
800	0.01024	-56655.7
900	0.01024	-56542.5
1000	0.01024	-56493.3
300	0.00792352	-56552.6
400	0.00792352	-56548.1
500	0.00792352	-56915.6
600	0.00792352	-56819
700	0.00792352	-56488.6
800	0.00792352	-56889.4
900	0.00792352	-56710.3
1000	0.00792352	-56837
300	0.00604662	-56802.9
400	0.00604662	-57221
500	0.00604662	-57060.7
600	0.00604662	-56681
700	0.00604662	-56662.2
800	0.00604662	-57363.5
900	0.00604662	-56921.1
1000	0.00604662	-56805.1
300	0.00454354	-57034.8
400	0.00454354	-57573.8
500	0.00454354	-57003.4
600	0.00454354	-56759.9
700	0.00454354	-56591.4
800	0.00454354	-56782.7
900	0.00454354	-56983.3
1000	0.00454354	-57418.3
300	0.00335544	-57484.9
400	0.00335544	-56904.6
500	0.00335544	-57098.7
600	0.00335544	-57262.4
700	0.00335544	-57533.5
800	0.00335544	-57660
900	0.00335544	-57278.3
1000	0.00335544	-57331.9
300	0.00243	-56881.8
400	0.00243	-57734.1
500	0.00243	-57585.8
600	0.00243	-58023.4
700	0.00243	-57067.7
800	0.00243	-57555.4
900	0.00243	-57169.6
1000	0.00243	-58216.3
300	0.00172104	-57490
400	0.00172104	-57260.6
500	0.00172104	-56818.6
600	0.00172104	-58006.4
700	0.00172104	-56829
800	0.00172104	-57204.4
900	0.00172104	-58820.9
1000	0.00172104	-57510.8
300	0.00118814	-57478.9
400	0.00118814	-57079.7
500	0.00118814	-58014.5
600	0.00118814	-57307.6
700	0.00118814	-59717.3
800	0.00118814	-56914.8
900	0.00118814	-57837.9
1000	0.00118814	-57455.8
300	0.000796262	-58447.7
400	0.000796262	-57715.9
500	0.000796262	-58290.6
600	0.000796262	-59234.4
700	0.000796262	-58032
800	0.000796262	-58282.3
900	0.000796262	-57149.1
1000	0.000796262	-57351.4
300	0.000515363	-57701.5
400	0.000515363	-57801.3
500	0.000515363	-60054.4
600	0.000515363	-58643.7
700	0.000515363	-57953.4
800	0.000515363	-57370.4
900	0.000515363	-59796.8
1000	0.000515363	-58673.6
300	0.00032	-57704.9
400	0.00032	-57967.2
500	0.00032	-57783
600	0.00032	-57168.7
700	0.00032	-56639
800	0.00032	-59097.3
900	0.00032	-58662.1
1000	0.00032	-59000.1
300	0.000188957	-71814.8
400	0.000188957	-63636.2
500	0.000188957	-63959.2
600	0.000188957	-60447.8
700	0.000188957	-59843.5
800	0.000188957	-58811.3
900	0.000188957	-63407.5
1000	0.000188957	-59935.1
300	0.000104858	-62921.2
400	0.000104858	-62553.9
500	0.000104858	-62551.8
600	0.000104858	-60101.5
